"sp","decimallongitude","decimallatitude"
"Contopus_sordidulus","-122.667975","45.710397"
"Contopus_sordidulus","-114.12998","46.95375"
"Contopus_sordidulus","-112.743427","33.991601"
"Contopus_sordidulus","-118.113204","35.381735"
"Contopus_sordidulus","-114.307068","34.126846"
"Contopus_sordidulus","-122.80417","45.51426"
"Contopus_sordidulus","-122.26859","40.46806"
"Contopus_sordidulus","-105.22489","38.43864"
"Contopus_sordidulus","-123.78469","42.30092"
"Contopus_sordidulus","-121.562948","40.536177"
"Contopus_sordidulus","-122.875771","38.544541"
"Contopus_sordidulus","-110.84595","31.763405"
"Contopus_sordidulus","-109.09101","31.89639"
"Contopus_sordidulus","-120.43925","39.69341"
"Contopus_sordidulus","-143.360939","61.373864"
"Contopus_sordidulus","-117.761212","35.219425"
"Contopus_sordidulus","-117.160636","34.2339"
"Contopus_sordidulus","-124.21009","42.070429"
"Contopus_sordidulus","-115.233665685587","37.5315711736998"
"Contopus_sordidulus","-103.482714","43.581479"
"Contopus_sordidulus","-121.96493","42.42683"
"Contopus_sordidulus","-111.748981","45.22307"
"Contopus_sordidulus","-123.371229","43.22765"
"Contopus_sordidulus","-122.886157","46.723727"
"Contopus_sordidulus","-112.123396","46.517395"
"Contopus_sordidulus","-106.5027","47.9925"
"Contopus_sordidulus","-120.868","46.746907"
"Contopus_sordidulus","-119.23558","38.13055"
"Contopus_sordidulus","-120.468564","46.563995"
"Contopus_sordidulus","-110.88083","45.64486"
"Contopus_sordidulus","-114.024863","34.263334"
"Contopus_sordidulus","-116.867924","33.339277"
"Contopus_sordidulus","-122.31677","38.30593"
"Contopus_sordidulus","-117.242542","34.037628"
"Contopus_sordidulus","-123.094511","39.315574"
"Contopus_sordidulus","-105.27783","40.034647"
"Contopus_sordidulus","-122.747755","45.89425"
"Contopus_sordidulus","-121.842515","36.285201"
"Contopus_sordidulus","-120.394959","47.399337"
"Contopus_sordidulus","-117.835364","34.324246"
"Contopus_sordidulus","-120.661997","47.738612"
"Contopus_sordidulus","-120.713611","47.777864"
"Contopus_sordidulus","-122.350552","48.188679"
"Contopus_sordidulus","-118.252802","34.203568"
"Contopus_sordidulus","-119.478984","37.439787"
"Contopus_sordidulus","-117.559208","47.481523"
"Contopus_sordidulus","-118.63776","35.60682"
"Contopus_sordidulus","-103.42854","24.10397"
"Contopus_sordidulus","-123.095884","49.368458"
"Contopus_sordidulus","-119.3205","47.10119"
"Contopus_sordidulus","-122.08376","42.20585"
"Contopus_sordidulus","-114.093296","46.539957"
"Contopus_sordidulus","-105.187705","40.18154"
"Contopus_sordidulus","-107.592105","38.870704"
"Contopus_sordidulus","-108.60414","39.07411"
"Contopus_sordidulus","-123.86973","44.62954"
"Contopus_sordidulus","-110.38879","31.51727"
"Contopus_sordidulus","-117.253904","32.961002"
"Contopus_sordidulus","-118.038598","33.706023"
"Contopus_sordidulus","-120.340347","46.305103"
"Contopus_sordidulus","-118.20302","50.948884"
"Contopus_sordidulus","-123.10306","40.49536"
"Contopus_sordidulus","-119.471113","48.442752"
"Contopus_sordidulus","-102.240486","40.968493"
"Contopus_sordidulus","-105.27528","35.65417"
"Contopus_sordidulus","-119.57159","49.301789"
"Contopus_sordidulus","-120.516838","49.50024"
"Contopus_sordidulus","-123.21452","44.78987"
"Contopus_sordidulus","-122.387951","38.680805"
"Contopus_sordidulus","-118.217501","46.596277"
"Contopus_sordidulus","-120.846605","41.301539"
"Contopus_sordidulus","-103.303971","29.241735"
"Contopus_sordidulus","-119.46619","37.832023"
"Contopus_sordidulus","-117.695804","34.368484"
"Contopus_sordidulus","-121.364657","41.188602"
"Contopus_sordidulus","-123.98852","40.357991"
"Contopus_sordidulus","-122.571174","47.193728"
"Contopus_sordidulus","-110.76145","31.53554"
"Contopus_sordidulus","-121.861271","39.773589"
"Contopus_sordidulus","-122.761949","47.083638"
"Contopus_sordidulus","-121.437134","43.280573"
"Contopus_sordidulus","-101.591949","17.645331"
"Contopus_sordidulus","-106.069865","35.994952"
"Contopus_sordidulus","-117.635687","35.612055"
"Contopus_sordidulus","-122.6099","45.573549"
"Contopus_sordidulus","-104.991056","38.07476"
"Contopus_sordidulus","-102.858467","43.938945"
"Contopus_sordidulus","-105.21875","40.645833"
"Contopus_sordidulus","-122.088111","37.554564"
"Contopus_sordidulus","-105.188255","38.266826"
"Contopus_sordidulus","-105.047836","35.836485"
"Contopus_sordidulus","-119.546376","47.312182"
"Contopus_sordidulus","-111.023712","33.332823"
"Contopus_sordidulus","-118.617196","42.159077"
"Contopus_sordidulus","-122.002789","37.889762"
"Contopus_sordidulus","-116.265199","43.765686"
"Contopus_sordidulus","-120.15511","39.156496"
"Contopus_sordidulus","-89.942783","15.083751"
"Contopus_sordidulus","-116.676663689991","33.8177887287639"
"Contopus_sordidulus","-112.142773","34.738791"
"Contopus_sordidulus","-103.319635","34.307002"
"Contopus_sordidulus","-107.842","32.890476"
"Contopus_sordidulus","-106.49311","31.781689"
"Contopus_sordidulus","-124.110789","43.773015"
"Contopus_sordidulus","-121.631471","44.371365"
"Contopus_sordidulus","-123.22873","49.26811"
"Contopus_sordidulus","-123.3713","48.429821"
"Contopus_sordidulus","-105.34981","38.494142"
"Contopus_sordidulus","-121.939702","47.682061"
"Contopus_sordidulus","-106.68189","35.12957"
"Contopus_sordidulus","-121.6859","43.490457"
"Contopus_sordidulus","-119.797532","37.526211"
"Contopus_sordidulus","-123.190431","44.058295"
"Contopus_sordidulus","-119.00945","48.55215"
"Contopus_sordidulus","-118.495874","47.611255"
"Contopus_sordidulus","-94.53354","17.984063"
"Contopus_sordidulus","-115.27346","36.3102"
"Contopus_sordidulus","-102.278528","22.147521"
"Contopus_sordidulus","-96.731995","17.224699"
"Contopus_sordidulus","-121.142889","48.716502"
"Contopus_sordidulus","-121.239237","44.312085"
"Contopus_sordidulus","-111.930501","41.226725"
"Contopus_sordidulus","-115.513","33.228349"
"Contopus_sordidulus","-118.089981","34.263175"
"Contopus_sordidulus","-117.691383","48.137683"
"Contopus_sordidulus","-116.997871","34.101002"
"Contopus_sordidulus","-119.57832","37.320719"
"Contopus_sordidulus","-104.11654","30.71288"
"Contopus_sordidulus","-122.181873","37.377797"
"Contopus_sordidulus","-127.147074","54.706555"
"Contopus_sordidulus","-118.406696","32.855797"
"Contopus_sordidulus","-123.0904","45.50946"
"Contopus_sordidulus","-120.816107","35.329411"
"Contopus_sordidulus","-122.609774","42.155565"
"Contopus_sordidulus","-118.065373","35.795414"
"Contopus_sordidulus","-119.646836","38.335941"
"Contopus_sordidulus","-123.10151","45.07172"
"Contopus_sordidulus","-117.885672","33.630808"
"Contopus_sordidulus","-118.682717","42.0962"
"Contopus_sordidulus","-106.076796","35.709967"
"Contopus_sordidulus","-90.691286","14.518721"
"Contopus_sordidulus","-105.289359","40.24704"
"Contopus_sordidulus","-119.444948","49.896817"
"Contopus_sordidulus","-119.631667","49.564167"
"Contopus_sordidulus","-122.568789","46.989805"
"Contopus_sordidulus","-116.835748","47.659108"
"Contopus_sordidulus","-120.50458","39.12925"
"Contopus_sordidulus","-119.326","37.0354"
"Contopus_sordidulus","-121.225376","38.585747"
"Contopus_sordidulus","-120.407856","38.842375"
"Contopus_sordidulus","-122.408906","47.127436"
"Contopus_sordidulus","-103.494965","34.089063"
"Contopus_sordidulus","-119.357014","34.606014"
"Contopus_sordidulus","-123.23023","44.29172"
"Contopus_sordidulus","-115.95033","43.40151"
"Contopus_sordidulus","-122.919497","47.225696"
"Contopus_sordidulus","-121.770143","36.960214"
"Contopus_sordidulus","-122.504704","37.536257"
"Contopus_sordidulus","-120.08923","39.437999"
"Contopus_sordidulus","-122.51476","38.28556"
"Contopus_sordidulus","-103.807068","43.735383"
"Contopus_sordidulus","-112.0236","46.37277"
"Contopus_sordidulus","-121.465943","40.509068"
"Contopus_sordidulus","-103.467039","29.491777"
"Contopus_sordidulus","-121.38497","48.58928"
"Contopus_sordidulus","-114.052288","50.942481"
"Contopus_sordidulus","-118.173966","33.958739"
"Contopus_sordidulus","-118.66528","34.8398"
"Contopus_sordidulus","-122.22101","47.190176"
"Contopus_sordidulus","-103.810992","43.407548"
"Contopus_sordidulus","-121.193962","46.633644"
"Contopus_sordidulus","-122.128229","37.075587"
"Contopus_sordidulus","-119.164583","48.335083"
"Contopus_sordidulus","-117.084378","33.972193"
"Contopus_sordidulus","-105.135239","39.550151"
"Contopus_sordidulus","-116.874833","34.170376"
"Contopus_sordidulus","-120.820684","46.53325"
"Contopus_sordidulus","-116.959848","51.31629"
"Contopus_sordidulus","-121.190185","39.310925"
"Contopus_sordidulus","-117.616364","35.685484"
"Contopus_sordidulus","-104.841628","39.636299"
"Contopus_sordidulus","-117.667007","48.459718"
"Contopus_sordidulus","-122.124192","38.436416"
"Contopus_sordidulus","-120.457363","45.719649"
"Contopus_sordidulus","-105.354863","39.695747"
"Contopus_sordidulus","-104.586711","36.567849"
