"sp","decimallongitude","decimallatitude"
"Dumetella_carolinensis",-88.976593,17.028544
"Dumetella_carolinensis",-94.637205,45.379487
"Dumetella_carolinensis",-83.480108,43.232541
"Dumetella_carolinensis",-92.141519,39.031486
"Dumetella_carolinensis",-90.728702,38.700415
"Dumetella_carolinensis",-80.363312,40.436443
"Dumetella_carolinensis",-103.987913,44.328023
"Dumetella_carolinensis",-107.166,52.694
"Dumetella_carolinensis",-65.767293,44.630512
"Dumetella_carolinensis",-111.360823,43.432843
"Dumetella_carolinensis",-111.187606,39.774134
"Dumetella_carolinensis",-76.97072,42.140215
"Dumetella_carolinensis",-65.27422,46.811013
"Dumetella_carolinensis",-82.261848,29.699386
"Dumetella_carolinensis",-95.398694,30.053807
"Dumetella_carolinensis",-86.020981,14.797224
"Dumetella_carolinensis",-79.000196,35.792127
"Dumetella_carolinensis",-68.205952,44.387384
"Dumetella_carolinensis",-101.72981,35.541581
"Dumetella_carolinensis",-93.64129,34.2504
"Dumetella_carolinensis",-67.39944,46.90004
"Dumetella_carolinensis",-95.90766,41.89148
"Dumetella_carolinensis",-88.531428,17.773248
"Dumetella_carolinensis",-73.57192,45.408574
"Dumetella_carolinensis",-83.099274,34.662222
"Dumetella_carolinensis",-93.860508,44.27981
"Dumetella_carolinensis",-89.938588,34.294223
"Dumetella_carolinensis",-122.4444,51.80851
"Dumetella_carolinensis",-81.76204,36.88151
"Dumetella_carolinensis",-117.201243,51.507588
"Dumetella_carolinensis",-104.458351,38.547159
"Dumetella_carolinensis",-85.517639,42.167181
"Dumetella_carolinensis",-112.570951,52.196601
"Dumetella_carolinensis",-94.916667,17.366667
"Dumetella_carolinensis",-71.348401,47.320299
"Dumetella_carolinensis",-101.263161,48.22669
"Dumetella_carolinensis",-75.466705,42.298245
"Dumetella_carolinensis",-92.43772,30.938656
"Dumetella_carolinensis",-90.064802,39.993693
"Dumetella_carolinensis",-79.528227,42.217331
"Dumetella_carolinensis",-83.728478,46.377413
"Dumetella_carolinensis",-96.459403,48.485396
"Dumetella_carolinensis",-91.298626,44.309735
"Dumetella_carolinensis",-85.182495,33.551696
"Dumetella_carolinensis",-83.680286,37.058465
"Dumetella_carolinensis",-118.529656,46.785862
"Dumetella_carolinensis",-74.429498,40.380846
"Dumetella_carolinensis",-97.78498,29.12835
"Dumetella_carolinensis",-66.578101,45.123493
"Dumetella_carolinensis",-75.917029,36.671001
"Dumetella_carolinensis",-71.56717,46.08963
"Dumetella_carolinensis",-97.5693,31.78655
"Dumetella_carolinensis",-94.75708,36.670622
"Dumetella_carolinensis",-107.73777,44.550295
"Dumetella_carolinensis",-92.747354,49.05542
"Dumetella_carolinensis",-80.784616,39.908025
"Dumetella_carolinensis",-84.745668,34.866617
"Dumetella_carolinensis",-90.528374,41.714118
"Dumetella_carolinensis",-97.279472,27.491827
"Dumetella_carolinensis",-102.216659,52.879739
"Dumetella_carolinensis",-76.429911,45.84919
"Dumetella_carolinensis",-88.36131,41.62628
"Dumetella_carolinensis",-89.634005,17.394409
"Dumetella_carolinensis",-116.746463,51.130862
"Dumetella_carolinensis",-119.05965,48.79277
"Dumetella_carolinensis",-92.96844,31.7552
"Dumetella_carolinensis",-98.082069,40.020899
"Dumetella_carolinensis",-69.97319,43.918871
"Dumetella_carolinensis",-74.776897,44.498342
"Dumetella_carolinensis",-66.176147,45.143305
"Dumetella_carolinensis",-75.203751,39.419018
"Dumetella_carolinensis",-93.689518,36.229846
"Dumetella_carolinensis",-116.17601,48.14523
"Dumetella_carolinensis",-96.914495,50.999976
"Dumetella_carolinensis",-85.449085,44.245483
"Dumetella_carolinensis",-91.805878,47.80716
"Dumetella_carolinensis",-88.674002,17.29661
"Dumetella_carolinensis",-108.190076,38.110772
"Dumetella_carolinensis",-83.10118,36.3858
"Dumetella_carolinensis",-87.815827,42.42555
"Dumetella_carolinensis",-93.562,31.312
"Dumetella_carolinensis",-98.312347,45.596753
"Dumetella_carolinensis",-102.34447,41.40498
"Dumetella_carolinensis",-93.559746,39.805718
"Dumetella_carolinensis",-94.127693,45.076821
"Dumetella_carolinensis",-95.603721,29.377385
"Dumetella_carolinensis",-110.360488,45.614623
"Dumetella_carolinensis",-90.528889,43.460339
"Dumetella_carolinensis",-87.923393,44.543018
"Dumetella_carolinensis",-116.625538,49.160379
"Dumetella_carolinensis",-104.682541,47.057493
"Dumetella_carolinensis",-91.33441,32.347772
"Dumetella_carolinensis",-79.216468,36.539778
"Dumetella_carolinensis",-84.651142,46.569445
"Dumetella_carolinensis",-85.866483,16.455389
"Dumetella_carolinensis",-116.42302,46.873896
"Dumetella_carolinensis",-84.788618,10.913887
"Dumetella_carolinensis",-85.727348,30.625505
"Dumetella_carolinensis",-84.819817,30.350213
"Dumetella_carolinensis",-78.152495,43.238359
"Dumetella_carolinensis",-84.485378,42.731568
"Dumetella_carolinensis",-95.79915,30.004301
"Dumetella_carolinensis",-72.765284,42.598651
"Dumetella_carolinensis",-81.846986,29.761006
"Dumetella_carolinensis",-112.870373,49.404306
"Dumetella_carolinensis",-90.013813,46.131628
"Dumetella_carolinensis",-98.685594,50.432513
"Dumetella_carolinensis",-67.206674,47.175383
"Dumetella_carolinensis",-83.186417,30.632004
"Dumetella_carolinensis",-89.275937,36.397957
"Dumetella_carolinensis",-76.5272,39.357927
"Dumetella_carolinensis",-95.781762,29.121832
"Dumetella_carolinensis",-84.142742,41.381575
"Dumetella_carolinensis",-99.735326,46.823818
"Dumetella_carolinensis",-99.464217,50.235353
"Dumetella_carolinensis",-60.475462,46.420275
"Dumetella_carolinensis",-109.6772,48.377119
"Dumetella_carolinensis",-90.57151,37.210815
"Dumetella_carolinensis",-97.000221,42.00121
"Dumetella_carolinensis",-88.290165,42.688723
"Dumetella_carolinensis",-86.262159,32.130705
"Dumetella_carolinensis",-73.04301,44.969759
"Dumetella_carolinensis",-88.105545,21.608121
"Dumetella_carolinensis",-81.255441,32.966052
"Dumetella_carolinensis",-81.820507,29.427448
"Dumetella_carolinensis",-92.445595,46.663922
"Dumetella_carolinensis",-104.28274,39.73503
"Dumetella_carolinensis",-95.838504,40.411063
"Dumetella_carolinensis",-109.808195,41.800111
"Dumetella_carolinensis",-70.152213,45.647077
"Dumetella_carolinensis",-87.476664,34.72285
"Dumetella_carolinensis",-97.60829,31.156629
"Dumetella_carolinensis",-84.175701,41.219393
"Dumetella_carolinensis",-86.115403,42.535295
"Dumetella_carolinensis",-102.795139,51.327304
"Dumetella_carolinensis",-83.394213,33.420911
"Dumetella_carolinensis",-88.584706,45.233783
"Dumetella_carolinensis",-76.373348,38.1652
"Dumetella_carolinensis",-96.108598,49.346525
"Dumetella_carolinensis",-89.24358,31.138407
"Dumetella_carolinensis",-71.809694,45.144736
"Dumetella_carolinensis",-76.74389,38.44292
"Dumetella_carolinensis",-106.79096,52.927222
"Dumetella_carolinensis",-99.258299,43.174763
"Dumetella_carolinensis",-108.560865,49.20467
"Dumetella_carolinensis",-95.14805,43.153188
"Dumetella_carolinensis",-78.034016,38.376533
"Dumetella_carolinensis",-93.589503,39.580606
"Dumetella_carolinensis",-100.750346,37.14977
"Dumetella_carolinensis",-71.079547,48.453293
"Dumetella_carolinensis",-67.111359,17.956118
"Dumetella_carolinensis",-85.71612,43.74284
"Dumetella_carolinensis",-99.024142,41.723572
"Dumetella_carolinensis",-117.487106,50.103845
"Dumetella_carolinensis",-68.855132,45.927364
"Dumetella_carolinensis",-84.309636,34.219138
"Dumetella_carolinensis",-95.965085,36.725854
"Dumetella_carolinensis",-122.299157,52.352181
"Dumetella_carolinensis",-102.832664,38.965076
"Dumetella_carolinensis",-84.200863,31.589568
"Dumetella_carolinensis",-89.469995,34.833215
"Dumetella_carolinensis",-100.77753,47.39
"Dumetella_carolinensis",-71.577795,43.203268
"Dumetella_carolinensis",-83.535443,34.851824
"Dumetella_carolinensis",-110.058917,47.819602
"Dumetella_carolinensis",-67.019473,45.895611
"Dumetella_carolinensis",-91.479464,37.33403
"Dumetella_carolinensis",-87.802863,42.07819
"Dumetella_carolinensis",-86.172123,33.657781
"Dumetella_carolinensis",-77.817975,35.952763
"Dumetella_carolinensis",-81.350466,28.245825
"Dumetella_carolinensis",-106.0461,38.3773
"Dumetella_carolinensis",-80.547108,27.309745
"Dumetella_carolinensis",-76.511288,40.238614
"Dumetella_carolinensis",-78.289947,45.993384
"Dumetella_carolinensis",-64.28948,44.27083
"Dumetella_carolinensis",-84.057126,34.562228
"Dumetella_carolinensis",-82.1799,38.68017
"Dumetella_carolinensis",-94.40735,35.29864
"Dumetella_carolinensis",-114.068749,51.939093
"Dumetella_carolinensis",-104.24017,43.84406
"Dumetella_carolinensis",-96.502533,43.432711
"Dumetella_carolinensis",-89.077792,33.096791
"Dumetella_carolinensis",-83.508067,38.999576
"Dumetella_carolinensis",-77.357032,43.26898
"Dumetella_carolinensis",-81.095788,38.923692
"Dumetella_carolinensis",-94.055157,41.757739
"Dumetella_carolinensis",-89.01902,17.8412
"Dumetella_carolinensis",-99.984555,49.864843
"Dumetella_carolinensis",-85.352976,37.091558
"Dumetella_carolinensis",-75.628338,41.390461
"Dumetella_carolinensis",-101.292967,49.565326
"Dumetella_carolinensis",-102.638901,45.996947
"Dumetella_carolinensis",-111.748745,43.870782
"Dumetella_carolinensis",-83.732536,39.21711
"Dumetella_carolinensis",-70.878441,43.195924
"Dumetella_carolinensis",-93.16082,35.77216
"Dumetella_carolinensis",-77.345402,36.816478
"Dumetella_carolinensis",-98.418531,34.568281
"Dumetella_carolinensis",-70.871638,45.299155
"Dumetella_carolinensis",-85.1058,40.17226
"Dumetella_carolinensis",-76.350732,45.684477
"Dumetella_carolinensis",-83.295765,38.608957
"Dumetella_carolinensis",-116.292899,50.639718
"Dumetella_carolinensis",-72.635238,44.06795
"Dumetella_carolinensis",-80.194917,37.797374
"Dumetella_carolinensis",-84.928626,45.386715
"Dumetella_carolinensis",-83.6873709453368,43.0123476248008
"Dumetella_carolinensis",-95.901992,49.526193
"Dumetella_carolinensis",-94.741802,38.74498
"Dumetella_carolinensis",-92.08332,15.09027
"Dumetella_carolinensis",-75.900944,23.596883
"Dumetella_carolinensis",-100.761237,38.859293
"Dumetella_carolinensis",-83.731735,32.458504
"Dumetella_carolinensis",-81.555505,46.158275
"Dumetella_carolinensis",-75.763435,41.037801
"Dumetella_carolinensis",-105.763872,45.529645
"Dumetella_carolinensis",-108.136239,43.724515
"Dumetella_carolinensis",-103.315086,40.289871
"Dumetella_carolinensis",-66.822968,45.128239
"Dumetella_carolinensis",-77.695688,45.661738
"Dumetella_carolinensis",-76.258421,43.874718
"Dumetella_carolinensis",-66.180986,45.705992
"Dumetella_carolinensis",-92.749667,33.483818
"Dumetella_carolinensis",-96.762119,39.085204
"Dumetella_carolinensis",-111.476641,47.325007
"Dumetella_carolinensis",-88.821354,43.365292
