"sp","decimallongitude","decimallatitude"
"Falco_sparverius",-80.320836,39.126988
"Falco_sparverius",-79.00456,41.83987
"Falco_sparverius",-101.73928,35.193555
"Falco_sparverius",-120.2269,42.613
"Falco_sparverius",-123.906383,42.641031
"Falco_sparverius",-113.893547,45.009645
"Falco_sparverius",-96.984429,49.43978
"Falco_sparverius",-83.7495,33.9258
"Falco_sparverius",-100.113945,39.374118
"Falco_sparverius",-70.813365,19.071918
"Falco_sparverius",-116.985168,34.053195
"Falco_sparverius",-123.222388,44.229676
"Falco_sparverius",-102.492442,51.16589
"Falco_sparverius",-85.077867,46.18916
"Falco_sparverius",-97.281833,47.744634
"Falco_sparverius",-109.89468,43.480722
"Falco_sparverius",-121.09251,56.115175
"Falco_sparverius",-120.242974,48.382134
"Falco_sparverius",-81.68232,40.189365
"Falco_sparverius",-120.216711,36.440798
"Falco_sparverius",-80.318298,43.900366
"Falco_sparverius",-97.142572,35.886737
"Falco_sparverius",-105.667,54.5
"Falco_sparverius",-78.329727,22.358973
"Falco_sparverius",-111.095295,38.834359
"Falco_sparverius",-85.797853,32.631441
"Falco_sparverius",-98.657699,29.225969
"Falco_sparverius",-83.19558,42.07552
"Falco_sparverius",-103.800759,40.376269
"Falco_sparverius",-100.566616,39.379426
"Falco_sparverius",-97.079567,31.070639
"Falco_sparverius",-77.35,48.2
"Falco_sparverius",-94.586534,47.100719
"Falco_sparverius",-122.422492,42.389336
"Falco_sparverius",-106.766682,23.61932
"Falco_sparverius",-98.06036,19.395201
"Falco_sparverius",-84.971394,45.757209
"Falco_sparverius",-77.79835,34.20986
"Falco_sparverius",-99.78251,33.76181
"Falco_sparverius",-118.560913,45.197991
"Falco_sparverius",-113.806611,35.115766
"Falco_sparverius",-97.105,18.85
"Falco_sparverius",-104.635162,50.045896
"Falco_sparverius",-97.145233,31.672084
"Falco_sparverius",-76.802278,41.192208
"Falco_sparverius",-70.450344,5.3607
"Falco_sparverius",-97.651977,38.870721
"Falco_sparverius",-105.157013,41.156298
"Falco_sparverius",-76.720962,44.183435
"Falco_sparverius",-100.282688,25.600277
"Falco_sparverius",-100.310245,26.056298
"Falco_sparverius",-75.53439,41.163017
"Falco_sparverius",-90.917015,30.876887
"Falco_sparverius",-104.12362,41.0367
"Falco_sparverius",-97.918224,18.781636
"Falco_sparverius",-105,50.833
"Falco_sparverius",-98.044181,40.477378
"Falco_sparverius",-92.549343,45.957236
"Falco_sparverius",-106.957865,31.962504
"Falco_sparverius",-99.996667,21.931667
"Falco_sparverius",-101.6325,19.674167
"Falco_sparverius",-112.25,59.917
"Falco_sparverius",-89.937,29.687
"Falco_sparverius",-64.018364,46.1172
"Falco_sparverius",-97.395172,49.708497
"Falco_sparverius",-112.66547,53.36761
"Falco_sparverius",-110.220337,42.583584
"Falco_sparverius",-94.54168,48.899213
"Falco_sparverius",-77.4925,43.957778
"Falco_sparverius",-92.205213,38.951957
"Falco_sparverius",-120.099132,47.272321
"Falco_sparverius",-118.705191,39.422307
"Falco_sparverius",-96.829848,16.200449
"Falco_sparverius",-92.449,16.528
"Falco_sparverius",-78.917681,42.266344
"Falco_sparverius",-106.21273,40.017098
"Falco_sparverius",-109.124492,31.7005
"Falco_sparverius",-96.36552,17.3072
"Falco_sparverius",-84.7015,48.093216
"Falco_sparverius",-102.390979,21.042255
"Falco_sparverius",-154.046,64.125
"Falco_sparverius",-96.616318,15.684227
"Falco_sparverius",-107.635,27.75306
"Falco_sparverius",-96.063616,45.739536
"Falco_sparverius",-115.107536,45.529621
"Falco_sparverius",-102.612452,32.944275
"Falco_sparverius",-71.65368,19.877547
"Falco_sparverius",-97.98349,35.04042
"Falco_sparverius",-91.587611,38.336281
"Falco_sparverius",-121.120834,41.853196
"Falco_sparverius",-92.464414,30.866067
"Falco_sparverius",-85.582488,32.017987
"Falco_sparverius",-117.372844,35.61689
"Falco_sparverius",-125.651493,49.004012
"Falco_sparverius",-96.549882,51.515509
"Falco_sparverius",-99.175425,32.121198
"Falco_sparverius",-120.481226,46.333111
"Falco_sparverius",-86.427496,44.119281
"Falco_sparverius",-93.187,32.687
"Falco_sparverius",-79.97946,22.402439
"Falco_sparverius",-116.031568,30.516257
"Falco_sparverius",-102.843509,44.390334
"Falco_sparverius",-112.7448,40.22104
"Falco_sparverius",-111.467,53.783
"Falco_sparverius",-65.836816,43.871958
"Falco_sparverius",-78.407675,37.740602
"Falco_sparverius",-111.693878,44.099975
"Falco_sparverius",-83.76287,37.153126
"Falco_sparverius",-111.886654,32.618846
"Falco_sparverius",-94.3007,34.0814
"Falco_sparverius",-67.138052,18.36422
"Falco_sparverius",-96.574759,45.267081
"Falco_sparverius",-116.594893,35.069059
"Falco_sparverius",-113.36792,49.582226
"Falco_sparverius",-96.328104,33.037993
"Falco_sparverius",-69.23614,45.838765
"Falco_sparverius",-89.267769,35.485996
"Falco_sparverius",-81.08043,36.996033
"Falco_sparverius",-73.756714,42.171992
"Falco_sparverius",-89.991496,36.120605
"Falco_sparverius",-120.385437,38.854414
"Falco_sparverius",-107.176877,35.500186
"Falco_sparverius",-73.46958,45.73004
"Falco_sparverius",-119.093943,34.736182
"Falco_sparverius",-108.505196,34.340828
"Falco_sparverius",-81.018548,40.248292
"Falco_sparverius",-67.413633,46.484979
"Falco_sparverius",-119.826508,44.229457
"Falco_sparverius",-90.940876,16.111792
"Falco_sparverius",-100.751495,46.117038
"Falco_sparverius",-68.95344,44.53484
"Falco_sparverius",-93.266986,39.264547
"Falco_sparverius",-73.319248,41.624464
"Falco_sparverius",-64.708142,18.334791
"Falco_sparverius",-94.07708,17.82935
"Falco_sparverius",-105.839195,53.416438
"Falco_sparverius",-66.800995,45.045146
"Falco_sparverius",-111.391754,28.632747
"Falco_sparverius",-83.067981,33.84325
"Falco_sparverius",-117.534828,37.441064
"Falco_sparverius",-79.135208,22.631124
"Falco_sparverius",-99.878082,49.219185
"Falco_sparverius",-122.56988,38.412929
"Falco_sparverius",-110.051315,43.144722
"Falco_sparverius",-88.580532,47.126038
"Falco_sparverius",-104.504795,24.085725
"Falco_sparverius",-81.966419,40.32286
"Falco_sparverius",-80.734706,36.033952
"Falco_sparverius",-86.29997,32.36684
"Falco_sparverius",-79.899889,49.287511
"Falco_sparverius",-86.547203,37.922061
"Falco_sparverius",-113.023539,36.233621
"Falco_sparverius",-111.956177,37.127476
"Falco_sparverius",-73.96127,43.61837
"Falco_sparverius",-109,50.5
"Falco_sparverius",-82.21447,31.448582
"Falco_sparverius",-71.135101,21.453069
"Falco_sparverius",-71.834106,8.247508
"Falco_sparverius",-85.178289,31.092118
"Falco_sparverius",-81.97989,42.55004
"Falco_sparverius",-97.542541,34.565141
"Falco_sparverius",-71.250453,18.279792
"Falco_sparverius",-101.488931,22.088344
"Falco_sparverius",-91.403632,30.829692
"Falco_sparverius",-97.441,25.241
"Falco_sparverius",-96.10817,37.01049
"Falco_sparverius",-117.587228,34.601987
"Falco_sparverius",-62.709806,45.684213
"Falco_sparverius",-82.179513,42.353144
"Falco_sparverius",-85.279655,48.596365
"Falco_sparverius",-83.3981,35.13751
"Falco_sparverius",-81.639128,34.26389
"Falco_sparverius",-67.999535,44.029297
"Falco_sparverius",-90.888011,16.808574
"Falco_sparverius",-71.822588,43.189783
"Falco_sparverius",-86.024387,37.645628
"Falco_sparverius",-115.161862,41.851686
"Falco_sparverius",-110.770958,32.610874
"Falco_sparverius",-114.659843,45.241445
"Falco_sparverius",-86.749794,41.308487
"Falco_sparverius",-97.534444,26.741944
"Falco_sparverius",-88.899994,43.628745
"Falco_sparverius",-120.469169,50.19091
"Falco_sparverius",-71.139543,42.676551
"Falco_sparverius",-97.838383,39.854344
"Falco_sparverius",-76.795249,37.535458
"Falco_sparverius",-117.007152,32.860105
"Falco_sparverius",-115.548856,46.817698
"Falco_sparverius",-66.476383,45.183731
"Falco_sparverius",-90.414319,46.50377
"Falco_sparverius",-110.567747,42.004144
"Falco_sparverius",-114.28293,51.43294
"Falco_sparverius",-92.21613,43.639336
"Falco_sparverius",-96.57506,35.511955
"Falco_sparverius",-91.267612,14.662149
"Falco_sparverius",-109.992242,37.426935
"Falco_sparverius",-92.71275,36.23533
"Falco_sparverius",-95.884938,40.680719
"Falco_sparverius",-97.95751,34.0201
"Falco_sparverius",-111.279831,54.180521
"Falco_sparverius",-93.497601,43.20405
"Falco_sparverius",-89.8872,37.801
"Falco_sparverius",-85.616455,34.021933
"Falco_sparverius",-107.058678,47.37743
"Falco_sparverius",-115.592015,28.303743
"Falco_sparverius",-93.52939,35.75912
"Falco_sparverius",-123.207722,49.627336
"Falco_sparverius",-97.25647,35.718643
"Falco_sparverius",-101.662498,41.215
"Falco_sparverius",-97.69043,25.720735
"Falco_sparverius",-120.583191,35.522168
"Falco_sparverius",-85.226306,46.60999
"Falco_sparverius",-101.99707,51.6998
"Falco_sparverius",-98.999394,53.715493
"Falco_sparverius",-96.405233,42.002765
"Falco_sparverius",-112.460015,47.686397
"Falco_sparverius",-93.904438,37.106722
"Falco_sparverius",-84.892731,37.314475
"Falco_sparverius",-117.376205,38.899868
"Falco_sparverius",-99.281776,50.461659
"Falco_sparverius",-98.248512,16.356003
"Falco_sparverius",-108.384933,44.828604
"Falco_sparverius",-94.2561,42.164112
"Falco_sparverius",-96.331918,28.914696
"Falco_sparverius",-101.787515,32.595348
"Falco_sparverius",-126.045799,53.793724
"Falco_sparverius",-146.811762,63.103837
"Falco_sparverius",-84.115821,9.957158
"Falco_sparverius",-109.547768,39.677598
"Falco_sparverius",-101.258111,41.553586
"Falco_sparverius",-101.61396,33.54635
"Falco_sparverius",-84.73995,37.81898
"Falco_sparverius",-100.366845,21.474356
"Falco_sparverius",-105.051515,38.463762
"Falco_sparverius",-122.389946,37.427952
"Falco_sparverius",-110.564186,52.149757
"Falco_sparverius",-101.339629,40.115594
"Falco_sparverius",-71.626365,19.867154
"Falco_sparverius",-97.296295,28.609843
"Falco_sparverius",-119.917232,46.391574
"Falco_sparverius",-121.627922,55.696338
"Falco_sparverius",-100.359592,34.118626
"Falco_sparverius",-98.4161,38.59078
"Falco_sparverius",-100.395942,29.899478
"Falco_sparverius",-89.638481,30.302507
"Falco_sparverius",-81.875246,32.485547
"Falco_sparverius",-120.981789,37.259299
"Falco_sparverius",-104.928,28.2092
"Falco_sparverius",-99.3013,30.114246
"Falco_sparverius",-71.993344,18.935029
"Falco_sparverius",-117.261114,45.879015
"Falco_sparverius",-99.178047,37.053407
"Falco_sparverius",-95.055835,30.766435
"Falco_sparverius",-103.558754,33.370157
"Falco_sparverius",-85.65568,45.738507
"Falco_sparverius",-73.975754,40.406352
"Falco_sparverius",-122.50971,42.24779
"Falco_sparverius",-97.114849,47.600665
"Falco_sparverius",-92.559181,36.348027
"Falco_sparverius",-99.137707,29.142116
"Falco_sparverius",-115.893831,35.353776
"Falco_sparverius",-115.994596,32.730812
"Falco_sparverius",-113.647209,45.004815
"Falco_sparverius",-124.6667,64.283
"Falco_sparverius",-107.9268,29.358
"Falco_sparverius",-100.430698,20.718113
"Falco_sparverius",-91.24046,42.86721
"Falco_sparverius",-120.74166,38.545773
"Falco_sparverius",-99.248,28.968
"Falco_sparverius",-99.554672,41.32101
"Falco_sparverius",-84.055702,38.282008
"Falco_sparverius",-95.570441,38.454403
"Falco_sparverius",-112.664071,48.510546
"Falco_sparverius",-121.440489,44.566635
"Falco_sparverius",-99.161385,28.542966
"Falco_sparverius",-144.381325,62.703107
"Falco_sparverius",-70.816669,44.50679
"Falco_sparverius",-100.136955,40.088932
"Falco_sparverius",-92.397766,34.307144
"Falco_sparverius",-109.0771,45.37598
"Falco_sparverius",-118.764954,50.954967
"Falco_sparverius",-121.797695,43.596928
"Falco_sparverius",-79.996599,38.409582
"Falco_sparverius",-97.882819,35.305039
"Falco_sparverius",-68.81763,44.9228
"Falco_sparverius",-122.856389,51.776583
"Falco_sparverius",-120.824842,43.067915
"Falco_sparverius",-86.301512,40.762819
"Falco_sparverius",-94.776915,17.195255
"Falco_sparverius",-120.800686,47.127498
"Falco_sparverius",-94.250275,35.78
"Falco_sparverius",-83.543451,40.0801
"Falco_sparverius",-68.167645,49.298892
"Falco_sparverius",-73.929945,45.318791
"Falco_sparverius",-75.836306,4.414253
"Falco_sparverius",-106.565891,34.474846
"Falco_sparverius",-82.606373,29.599432
"Falco_sparverius",-92.81099,43.28417
"Falco_sparverius",-98.73956,37.645852
"Falco_sparverius",-113.211365,32.550286
"Falco_sparverius",-110.583333,28.616667
"Falco_sparverius",-111.212025,36.12817
"Falco_sparverius",-76.616464,43.925184
"Falco_sparverius",-116.088581,41.668167
"Falco_sparverius",-97.449,25.356
"Falco_sparverius",-71.247507,8.603094
"Falco_sparverius",-59.631042,2.940298
"Falco_sparverius",-91.222526,16.907302
"Falco_sparverius",-104.030556,18.899167
"Falco_sparverius",-104.406117,44.639534
"Falco_sparverius",-88.937833,48.3
"Falco_sparverius",-121.270738,39.07918
"Falco_sparverius",-112.77756,38.46896
"Falco_sparverius",-106.551847,45.036792
"Falco_sparverius",-114.16004,54.39957
"Falco_sparverius",-92.5,50.333
"Falco_sparverius",-114.894147,49.742947
"Falco_sparverius",-87.312641,30.840268
"Falco_sparverius",-87.289776,31.882417
"Falco_sparverius",-91.136185,32.793804
"Falco_sparverius",-88.369732,35.692539
"Falco_sparverius",-75.4333,5.8
"Falco_sparverius",-95.0445,37.80722
"Falco_sparverius",-121.698861,48.516548
"Falco_sparverius",-105.959701,31.884554
"Falco_sparverius",-104.726116,20.910255
"Falco_sparverius",-85.85309,41.23814
"Falco_sparverius",-111.999412,41.491077
"Falco_sparverius",-82.3564,31.9833
"Falco_sparverius",-93.9215,33.4725
"Falco_sparverius",-65.459676,47.05757
"Falco_sparverius",-112.785215,33.970129
"Falco_sparverius",-89.647751,42.795149
"Falco_sparverius",-82.83736,35.53291
"Falco_sparverius",-91.437,32.687
"Falco_sparverius",-99.557419,42.577861
"Falco_sparverius",-85.881628,32.80369
"Falco_sparverius",-74.644957,2.117422
"Falco_sparverius",-91.127131,41.777221
"Falco_sparverius",-103.581782,29.898212
"Falco_sparverius",-132.711005,60.1684
"Falco_sparverius",-89.380646,44.820812
"Falco_sparverius",-118.843602,47.873061
"Falco_sparverius",-106.61454,32.371017
"Falco_sparverius",-74.6225,4.8455
"Falco_sparverius",-96.097469,16.656662
"Falco_sparverius",-91.216447,14.736835
"Falco_sparverius",-98.722847,26.693039
"Falco_sparverius",-101.22083,23.73333
"Falco_sparverius",-95.802786,31.028802
"Falco_sparverius",-79.953003,35.098563
"Falco_sparverius",-79.319422,34.053169
"Falco_sparverius",-134.665114,59.999054
"Falco_sparverius",-98.114176,38.036803
"Falco_sparverius",-98.247172,37.063732
"Falco_sparverius",-85.859126,43.481873
"Falco_sparverius",-71.122913,42.010944
"Falco_sparverius",-120.881912,49.913001
"Falco_sparverius",-75.216981,39.309695
"Falco_sparverius",-114.594879,42.525335
"Falco_sparverius",-107.661085,37.076109
"Falco_sparverius",-114.352913,34.456465
"Falco_sparverius",-83.26894,39.239063
"Falco_sparverius",-80.383352,42.579213
"Falco_sparverius",-105.29848,38.71401
"Falco_sparverius",-89.803307,18.113345
"Falco_sparverius",-94.70541,46.369437
"Falco_sparverius",-122.893205,42.467765
"Falco_sparverius",-123.893166,43.006216
"Falco_sparverius",-118.15164,43.90881
"Falco_sparverius",-75.997925,39.054651
"Falco_sparverius",-104.935784,34.533288
"Falco_sparverius",-118.308678,47.810273
"Falco_sparverius",-114.937405,52.328323
"Falco_sparverius",-85.713594,44.663525
"Falco_sparverius",-85.886865,36.372284
"Falco_sparverius",-83.192575,30.486847
"Falco_sparverius",-104.538927,50.492265
"Falco_sparverius",-91.030127,35.970801
"Falco_sparverius",-98.234253,25.492868
"Falco_sparverius",-108.392959,27.028165
"Falco_sparverius",-89.590961,48.000882
"Falco_sparverius",-87.75953,35.31895
"Falco_sparverius",-91.928787,38.378269
"Falco_sparverius",-82.692718,45.778539
"Falco_sparverius",-109.698958,45.940706
"Falco_sparverius",-113.022537,42.188338
"Falco_sparverius",-123.22902,38.895895
"Falco_sparverius",-98.55508,49.5298
"Falco_sparverius",-102.333295,35.68416
"Falco_sparverius",-96.825857,29.463514
"Falco_sparverius",-84.461346,32.722599
"Falco_sparverius",-88.12879,30.514421
"Falco_sparverius",-118.429871,54.714309
"Falco_sparverius",-88.71761,37.143027
"Falco_sparverius",-116.439457,44.731735
"Falco_sparverius",-105.699034,37.995216
"Falco_sparverius",-97.665946,27.308295
"Falco_sparverius",-68.069143,44.988014
"Falco_sparverius",-85.054371,44.301517
"Falco_sparverius",-93.221569,43.884903
"Falco_sparverius",-75.980759,46.488938
"Falco_sparverius",-93.232468,41.468107
"Falco_sparverius",-109.02832,59.260266
"Falco_sparverius",-100.233153,46.261971
"Falco_sparverius",-113.813553,34.615127
"Falco_sparverius",-113.216171,32.858825
"Falco_sparverius",-71.714126,19.765048
"Falco_sparverius",-99.402924,44.071801
"Falco_sparverius",-116.498251,51.716713
"Falco_sparverius",-99.810791,28.488005
"Falco_sparverius",-122.852468,44.352785
"Falco_sparverius",-122.912118,46.99996
"Falco_sparverius",-103.867446,31.613058
"Falco_sparverius",-92.798467,15.964347
"Falco_sparverius",-75.127687,40.866518
"Falco_sparverius",-100.34676,33.687728
"Falco_sparverius",-118.578186,39.523111
"Falco_sparverius",-71.478682,44.224736
"Falco_sparverius",-91.159873,44.486801
"Falco_sparverius",-120.630045,41.904603
"Falco_sparverius",-103.270798,44.422502
"Falco_sparverius",-92.430661,16.639373
"Falco_sparverius",-112.255066,42.204419
"Falco_sparverius",-106.204534,46.273753
"Falco_sparverius",-98.310096,34.381888
"Falco_sparverius",-84.88286,30.704095
"Falco_sparverius",-92.989059,45.656224
"Falco_sparverius",-111.2146,50.205033
"Falco_sparverius",-115.792465,41.64816
"Falco_sparverius",-117.735683,40.972957
"Falco_sparverius",-88.960841,46.484651
"Falco_sparverius",-80.677757,51.245799
"Falco_sparverius",-77.17467,33.53351
"Falco_sparverius",-83.383333,14.133333
"Falco_sparverius",-88.379187,39.114808
"Falco_sparverius",-79.295103,34.495854
"Falco_sparverius",-119.309227,45.931931
"Falco_sparverius",-105.186539,43.66812
"Falco_sparverius",-89.83692,17.82059
"Falco_sparverius",-75.823603,42.873857
"Falco_sparverius",-103.374943,36.97259
"Falco_sparverius",-70.821674,48.082938
"Falco_sparverius",-107.861753,44.497911
"Falco_sparverius",-96.383931,36.847448
"Falco_sparverius",-99.102173,47.462451
"Falco_sparverius",-116.244001,33.602275
"Falco_sparverius",-97.06667,15.8625
"Falco_sparverius",-99.112767,21.24545
"Falco_sparverius",-141.929049,64.03873
"Falco_sparverius",-85.613537,34.089346
"Falco_sparverius",-93.589503,39.580606
"Falco_sparverius",-82.22422,26.845836
"Falco_sparverius",-120.82489,36.778492
"Falco_sparverius",-97.6894,27.885819
"Falco_sparverius",-78.79585,43.1382
"Falco_sparverius",-95.439512,42.157927
"Falco_sparverius",-89.49165,37.736613
"Falco_sparverius",-118.946915,44.153159
"Falco_sparverius",-109.141882,26.364581
"Falco_sparverius",-99.62054,35.717538
"Falco_sparverius",-67.097471,46.080233
"Falco_sparverius",-117.284889,36.08205
"Falco_sparverius",-91.108675,46.425612
"Falco_sparverius",-77.819939,46.001493
"Falco_sparverius",-103.93972,38.11241
"Falco_sparverius",-84.203392,9.461846
"Falco_sparverius",-87.49732,37.333115
"Falco_sparverius",-87.073517,14.385467
"Falco_sparverius",-80.191355,43.091206
"Falco_sparverius",-122.559829,45.957505
"Falco_sparverius",-96.09749,42.23059
"Falco_sparverius",-80.633469,35.006835
"Falco_sparverius",-114.34227,42.3555
"Falco_sparverius",-101.4,26.966667
"Falco_sparverius",-95.728994,34.939182
"Falco_sparverius",-94.631896,42.407284
"Falco_sparverius",-115,50
"Falco_sparverius",-88.290711,40.078113
"Falco_sparverius",-109.992928,52.663006
"Falco_sparverius",-68.474522,47.482123
"Falco_sparverius",-83.015399,46.809225
"Falco_sparverius",-79.857688,36.416689
"Falco_sparverius",-72.103423,19.239576
"Falco_sparverius",-77.814898,45.478836
"Falco_sparverius",-116.123943,51.186122
"Falco_sparverius",-118.961849,45.196257
"Falco_sparverius",-97.65938,19.43672
"Falco_sparverius",-78.985519,46.679595
"Falco_sparverius",-106.280744,52.197884
"Falco_sparverius",-109.763231,43.03747
"Falco_sparverius",-106.031284,22.832674
"Falco_sparverius",-121.325884,50.809406
"Falco_sparverius",-115.101399,57.084924
"Falco_sparverius",-107.256449,47.619653
"Falco_sparverius",-99.865306,31.939636
"Falco_sparverius",-86.465996,40.039108
"Falco_sparverius",-116.74078,40.03452
"Falco_sparverius",-91.0829,40.8658
"Falco_sparverius",-111.348839,39.950017
"Falco_sparverius",-73.222689,42.130646
"Falco_sparverius",-109.665527,27.279044
"Falco_sparverius",-84.758148,13.722763
"Falco_sparverius",-100.417485,34.160433
"Falco_sparverius",-118.383463,46.036822
"Falco_sparverius",-86.5882,39.4028
"Falco_sparverius",-102.185533,39.871063
"Falco_sparverius",-98.96372,22.21561
"Falco_sparverius",-113.870267,32.798828
"Falco_sparverius",-106.997738,36.933254
"Falco_sparverius",-91.623788,35.774198
"Falco_sparverius",-77.88456,43.08725
"Falco_sparverius",-98.137322,27.012741
"Falco_sparverius",-68.87836,12.083104
"Falco_sparverius",-106.056912,26.733932
"Falco_sparverius",-104.677791,24.101986
"Falco_sparverius",-76.178255,39.570519
"Falco_sparverius",-121.945324,49.266992
"Falco_sparverius",-118.481162,33.44481
"Falco_sparverius",-64.279289,45.85231
"Falco_sparverius",-105.192718,35.763833
"Falco_sparverius",-124.55359,54.061353
"Falco_sparverius",-89.492414,31.086943
"Falco_sparverius",-104.845962,20.567546
"Falco_sparverius",-117.697563,56.22255
"Falco_sparverius",-81.285298,41.760714
"Falco_sparverius",-109.524014,26.703572
"Falco_sparverius",-106.396923,37.908856
"Falco_sparverius",-109.714348,53.167686
"Falco_sparverius",-76.042213,46.586474
"Falco_sparverius",-82.201943,29.461273
"Falco_sparverius",-89.618863,35.501807
"Falco_sparverius",-99.651489,19.280036
"Falco_sparverius",-78.839436,34.58139
"Falco_sparverius",-93.355713,37.26421
"Falco_sparverius",-66.881837,18.138613
"Falco_sparverius",-99.95622,17.55442
"Falco_sparverius",-103.714242,41.868922
"Falco_sparverius",-82.514362,39.935013
"Falco_sparverius",-81.790724,40.468692
"Falco_sparverius",-143.847084,62.660586
"Falco_sparverius",-121.872602,48.538623
"Falco_sparverius",-77.322807,42.291913
"Falco_sparverius",-103.488464,19.531319
"Falco_sparverius",-84.62617,35.168144
"Falco_sparverius",-121.367165,38.0572
"Falco_sparverius",-104.822788,34.118446
"Falco_sparverius",-122.741588,46.887139
