"sp","decimallongitude","decimallatitude"
"Lanius_ludovicianus",-81.117296,33.94514
"Lanius_ludovicianus",-95.546894,35.4527
"Lanius_ludovicianus",-108.829021,42.954538
"Lanius_ludovicianus",-103.965597,31.968173
"Lanius_ludovicianus",-114.172492,29.683361
"Lanius_ludovicianus",-97.813339,37.286346
"Lanius_ludovicianus",-83.178177,41.115055
"Lanius_ludovicianus",-90.208008,30.783556
"Lanius_ludovicianus",-119.340652,34.602966
"Lanius_ludovicianus",-113.306894,42.010131
"Lanius_ludovicianus",-98.036327,35.554016
"Lanius_ludovicianus",-99.098053,30.655634
"Lanius_ludovicianus",-82.680448,32.734679
"Lanius_ludovicianus",-88.864803,40.570545
"Lanius_ludovicianus",-116.395683,43.039897
"Lanius_ludovicianus",-102.252588,40.306695
"Lanius_ludovicianus",-81.578258,34.058016
"Lanius_ludovicianus",-95.098618,32.937897
"Lanius_ludovicianus",-88.967982,30.399771
"Lanius_ludovicianus",-83.525449,34.064248
"Lanius_ludovicianus",-91.263428,35.189522
"Lanius_ludovicianus",-86.416826,32.349204
"Lanius_ludovicianus",-98.639561,33.197291
"Lanius_ludovicianus",-95.599665,36.970855
"Lanius_ludovicianus",-92.72418,47.095779
"Lanius_ludovicianus",-102.14346,41.33139
"Lanius_ludovicianus",-102.33,22.741667
"Lanius_ludovicianus",-90.522537,31.182847
"Lanius_ludovicianus",-79.36976,35.09046
"Lanius_ludovicianus",-113.623352,26.735799
"Lanius_ludovicianus",-95.915749,29.305938
"Lanius_ludovicianus",-92.615797,39.578979
"Lanius_ludovicianus",-97.11669,33.937
"Lanius_ludovicianus",-104.1265,38.45798
"Lanius_ludovicianus",-106.546626,39.952442
"Lanius_ludovicianus",-108.392959,27.028165
"Lanius_ludovicianus",-105.166952,43.447759
"Lanius_ludovicianus",-77.432,39.296
"Lanius_ludovicianus",-116.064033,43.561984
"Lanius_ludovicianus",-94.316269,37.167442
"Lanius_ludovicianus",-80.668123,35.351186
"Lanius_ludovicianus",-99.094362,31.282879
"Lanius_ludovicianus",-97.421179,25.851963
"Lanius_ludovicianus",-112.154789,40.27599
"Lanius_ludovicianus",-118.592133,46.654591
"Lanius_ludovicianus",-105.04602,39.906969
"Lanius_ludovicianus",-83.137,29.313
"Lanius_ludovicianus",-95.38539,28.91664
"Lanius_ludovicianus",-121.70403,37.92992
"Lanius_ludovicianus",-80.34,27.489167
"Lanius_ludovicianus",-101.517641,40.418626
"Lanius_ludovicianus",-82.632629,36.553347
"Lanius_ludovicianus",-99.212222,19.320152
"Lanius_ludovicianus",-99.247742,26.668323
"Lanius_ludovicianus",-121.948242,41.442726
"Lanius_ludovicianus",-107.2962,32.90762
"Lanius_ludovicianus",-88.572464,33.622053
"Lanius_ludovicianus",-105.776367,33.157098
"Lanius_ludovicianus",-100.27115,31.47696
"Lanius_ludovicianus",-86.612091,32.849668
"Lanius_ludovicianus",-95.646715,30.729555
"Lanius_ludovicianus",-111.612167,32.477329
"Lanius_ludovicianus",-106.33056,47.33639
"Lanius_ludovicianus",-80.500259,25.447615
"Lanius_ludovicianus",-105.610199,39.224275
"Lanius_ludovicianus",-88.02453,42.368835
"Lanius_ludovicianus",-76.319793,43.210541
"Lanius_ludovicianus",-120.194013,39.625962
"Lanius_ludovicianus",-111.595001,32.704256
"Lanius_ludovicianus",-104.119,24.201
"Lanius_ludovicianus",-120.371575,40.738933
"Lanius_ludovicianus",-86.014312,31.983896
"Lanius_ludovicianus",-89.064278,36.28651
"Lanius_ludovicianus",-82.86231,34.10933
"Lanius_ludovicianus",-102.512083,38.563791
"Lanius_ludovicianus",-98.706376,35.93296
"Lanius_ludovicianus",-112.777563,38.468963
"Lanius_ludovicianus",-93.482323,32.26878
"Lanius_ludovicianus",-97.228017,30.58528
"Lanius_ludovicianus",-98.827515,18.437925
"Lanius_ludovicianus",-119.079391,36.323216
"Lanius_ludovicianus",-100.313759,42.88892
"Lanius_ludovicianus",-79.85857,43.6468899990578
"Lanius_ludovicianus",-111.540559,40.749012
"Lanius_ludovicianus",-105.233917,21.320081
"Lanius_ludovicianus",-108.400541,29.616852
"Lanius_ludovicianus",-78.012671,35.635998
"Lanius_ludovicianus",-115.929451,33.096287
"Lanius_ludovicianus",-104.94455,34.78286
"Lanius_ludovicianus",-114.707966,43.034146
"Lanius_ludovicianus",-96.26358,30.665675
"Lanius_ludovicianus",-115.634365,32.809281
"Lanius_ludovicianus",-85.253048,34.922534
"Lanius_ludovicianus",-111.592892,40.907372
"Lanius_ludovicianus",-93.273129,34.283596
"Lanius_ludovicianus",-92.83436,33.58451
"Lanius_ludovicianus",-81.40543,31.138044
"Lanius_ludovicianus",-87.321875,38.327709
"Lanius_ludovicianus",-96.138638,35.726767
"Lanius_ludovicianus",-115.225468,37.567338
"Lanius_ludovicianus",-105.160124,48.889891
"Lanius_ludovicianus",-104.51971,24.772165
"Lanius_ludovicianus",-114.51183,37.61496
"Lanius_ludovicianus",-96.990051,20.429587
"Lanius_ludovicianus",-80.102138,26.999383
"Lanius_ludovicianus",-75.4799,35.66591
"Lanius_ludovicianus",-110.883636,35.070469
"Lanius_ludovicianus",-93.9704,33.751
"Lanius_ludovicianus",-120.815449,45.024645
"Lanius_ludovicianus",-91.921106,32.623295
"Lanius_ludovicianus",-96.669689,36.895652
"Lanius_ludovicianus",-89.87761,33.14855
"Lanius_ludovicianus",-107.940693,28.360921
"Lanius_ludovicianus",-97.294579,26.136947
"Lanius_ludovicianus",-118.420384,33.370512
"Lanius_ludovicianus",-93.312,32.437
"Lanius_ludovicianus",-99.530605,39.335855
"Lanius_ludovicianus",-89.619942,35.133948
"Lanius_ludovicianus",-108.726872,32.429021
"Lanius_ludovicianus",-105.83243,33.83248
"Lanius_ludovicianus",-108.115082,25.468074
"Lanius_ludovicianus",-97.94775,28.197321
"Lanius_ludovicianus",-101.183141,25.050094
"Lanius_ludovicianus",-114.971085,35.67065
"Lanius_ludovicianus",-104.151667,21.481667
"Lanius_ludovicianus",-86.837171,35.558895
"Lanius_ludovicianus",-77.445717,44.028371
"Lanius_ludovicianus",-81.43784,42.9528599990591
"Lanius_ludovicianus",-100.591853,38.700553
"Lanius_ludovicianus",-96.48843,38.14491
"Lanius_ludovicianus",-101.126747,29.652256
"Lanius_ludovicianus",-121.48967,42.258043
"Lanius_ludovicianus",-111.411989,25.913175
"Lanius_ludovicianus",-99.648077,35.207951
"Lanius_ludovicianus",-76.418152,44.17531
"Lanius_ludovicianus",-95.583715,36.6406
"Lanius_ludovicianus",-100.036583,30.191583
"Lanius_ludovicianus",-117.224843,34.77372
"Lanius_ludovicianus",-92.134438,37.522525
"Lanius_ludovicianus",-101.093101,30.911651
"Lanius_ludovicianus",-75.51778,43.75944
"Lanius_ludovicianus",-111.831207,48.033101
"Lanius_ludovicianus",-111.945877,50.412456
"Lanius_ludovicianus",-109.04377,26.131707
"Lanius_ludovicianus",-108.830724,26.015699
"Lanius_ludovicianus",-104.769163,31.98606
"Lanius_ludovicianus",-102.373781,39.760456
