"sp","decimallongitude","decimallatitude"
"Martes_americana","-147.716389","64.837778"
"Martes_americana","-152.31222","63.88278"
"Martes_americana","-147.662427","65.084127"
"Martes_americana","-118.816348","44.710434"
"Martes_americana","-60.864338","46.783601"
"Martes_americana","-131.726045","52.600617"
"Martes_americana","-121.737655","44.0127"
"Martes_americana","-107.266886","39.112271"
"Martes_americana","-106.97251295507","38.973004429241"
"Martes_americana","-121.651812","46.918651"
"Martes_americana","-120.810814","48.398779"
"Martes_americana","-78.359256","45.583981"
"Martes_americana","-78.583333","45.55"
"Martes_americana","-78.5","45.833333"
"Martes_americana","-135.13326","56.94592"
"Martes_americana","-135.416667","57.766667"
"Martes_americana","-135.18","57.01"
"Martes_americana","-135.215","57.53083"
"Martes_americana","-135.629722","57.566667"
"Martes_americana","-135.395","57.94475"
"Martes_americana","-135","56.997371"
"Martes_americana","-135.34629","57.162362"
"Martes_americana","-135.29","56.88"
"Martes_americana","-135.701505","57.717801"
"Martes_americana","-66.272977","48.930852"
"Martes_americana","-81.504006","45.988166"
"Martes_americana","-84.473369","46.627255"
"Martes_americana","-118.09639","52.871113"
"Martes_americana","-65.096494","45.727531"
"Martes_americana","-90.7397","47.7371"
"Martes_americana","-120.262517","39.422037"
"Martes_americana","-132","53.25"
"Martes_americana","-80.966667","46.5"
"Martes_americana","-84.47","46.24"
"Martes_americana","-86.7096","46.3837"
"Martes_americana","-155.03","66.92"
"Martes_americana","-154.75","66.97"
"Martes_americana","-155.5","66.63"
"Martes_americana","-155.62","66.87"
"Martes_americana","-155.62","66.97"
"Martes_americana","-108.047135","39.061546"
"Martes_americana","-116.692657","52.161175"
"Martes_americana","-118.343056","53.370278"
"Martes_americana","-115.829722","51.0808329990783"
"Martes_americana","-132.571751","67.2541039993281"
"Martes_americana","-131.785703","67.699979"
"Martes_americana","-124.906253","67.4839299993335"
"Martes_americana","-132.685766","67.84995"
"Martes_americana","-125.258333","50.048611"
"Martes_americana","-125.059722","49.269167"
"Martes_americana","-131.800036","53.165513"
"Martes_americana","-132.312639","53.602957"
"Martes_americana","-102.858217","53.48898"
"Martes_americana","-122.984314574441","50.0997118392381"
"Martes_americana","-117.2833","49.4833"
"Martes_americana","-122.95","50.133333"
"Martes_americana","-124.266279","48.873687"
"Martes_americana","-122.805055","50.322016"
"Martes_americana","-120.800932178417","49.0997322724191"
"Martes_americana","-128.009722","52.753056"
