"sp","decimallongitude","decimallatitude"
"Mustela_frenata","-121.112489","35.572069"
"Mustela_frenata","-119.23656","38.062647"
"Mustela_frenata","-124.049314","44.51494"
"Mustela_frenata","-122.4074","37.2823"
"Mustela_frenata","-106.6826","35.131031"
"Mustela_frenata","-75.210278","4.498889"
"Mustela_frenata","-117.284318915206","34.140370547717"
"Mustela_frenata","-122.448615","37.47685"
"Mustela_frenata","-122.898619","38.069364"
"Mustela_frenata","-123.934112","46.414341"
"Mustela_frenata","-120.849992","35.365945"
"Mustela_frenata","-73.800556","6.06972"
"Mustela_frenata","-104.858485","38.824053"
"Mustela_frenata","-105.270004","40.014982"
"Mustela_frenata","-118.523444","35.406931"
"Mustela_frenata","-103.299625","29.271161"
"Mustela_frenata","-118.750556","36.5625"
"Mustela_frenata","-123.067629","38.33511"
"Mustela_frenata","-120.64217619212","35.1501389840857"
"Mustela_frenata","-97.10361","18.84972"
"Mustela_frenata","-98.909","19.287"
"Mustela_frenata","-78.594359","35.533506"
"Mustela_frenata","-121.161","40.3078"
"Mustela_frenata","-122.177","44.2358"
"Mustela_frenata","-76.076722","3.6675"
"Mustela_frenata","-71.01062","44.694252"
"Mustela_frenata","-106.83069","37.77254"
"Mustela_frenata","-97.34717","26.22884"
"Mustela_frenata","-105.049166","38.695201"
"Mustela_frenata","-72.135237","41.797226"
"Mustela_frenata","-101.78951","19.823275"
"Mustela_frenata","-104.138921","19.806428"
"Mustela_frenata","-101.573889","19.559167"
"Mustela_frenata","-96.466141","17.713369"
"Mustela_frenata","-102.422755","21.027977"
"Mustela_frenata","-105.620499","40.349292"
"Mustela_frenata","-117.09317","32.556055"
"Mustela_frenata","-122.976623","38.218951"
"Mustela_frenata","-122.088661","36.984455"
"Mustela_frenata","-106.86323","40.280453"
"Mustela_frenata","-118.866667","34.083333"
"Mustela_frenata","-99.884203","29.633084"
"Mustela_frenata","-74.071026","4.851266"
"Mustela_frenata","-106.879498","33.797563"
"Mustela_frenata","-73.062859","44.304933"
"Mustela_frenata","-111.585695","40.602071"
"Mustela_frenata","-99.267","19.028"
"Mustela_frenata","-120.311230261048","39.4427846330577"
"Mustela_frenata","-103.180815","20.985941"
"Mustela_frenata","-100.721468","20.033023"
"Mustela_frenata","-81.3770020079876","41.4383660576286"
"Mustela_frenata","-96.909167","19.538056"
"Mustela_frenata","-105.029444","21.459167"
"Mustela_frenata","-97.041669","19.321939"
"Mustela_frenata","-92.816944","16.727222"
"Mustela_frenata","-96.986389","19.189722"
"Mustela_frenata","-97.025994","19.007833"
"Mustela_frenata","-99.9125","23.955833"
"Mustela_frenata","-98.876944","19.718333"
"Mustela_frenata","-89.225","20.475"
"Mustela_frenata","-104.96833","19.385"
"Mustela_frenata","-97.3","19.508"
"Mustela_frenata","-88.57134","20.684"
"Mustela_frenata","-97.454167","21.593611"
"Mustela_frenata","-97.212778","25.5075"
"Mustela_frenata","-92.238","15.213"
"Mustela_frenata","-102.09818898018","20.4063449514146"
"Mustela_frenata","-99.834444","25.189722"
"Mustela_frenata","-101.667477609775","21.3721035668777"
"Mustela_frenata","-103.429444","21.631389"
"Mustela_frenata","-97.108333","19.475"
"Mustela_frenata","-97.936944","22.695833"
"Mustela_frenata","-97.727778","23.491667"
"Mustela_frenata","-88.38333","18.38333"
"Mustela_frenata","-98.622169","19.02272"
"Mustela_frenata","-100.645","23.796944"
"Mustela_frenata","-102.346667","22.642222"
"Mustela_frenata","-103.353333","25.751667"
"Mustela_frenata","-87.668056","20.859722"
"Mustela_frenata","-95.000833","18.123056"
"Mustela_frenata","-95.113611","18.419444"
"Mustela_frenata","-99.461944","17.359722"
"Mustela_frenata","-99.107475","19.293081"
"Mustela_frenata","-98.0284211444106","22.4838165606159"
"Mustela_frenata","-104.694444","20.631111"
"Mustela_frenata","-103.326667","18.560278"
"Mustela_frenata","-104.8939","21.5161"
