"sp","decimallongitude","decimallatitude"
"Neovison_vison","-105.514991","40.378416"
"Neovison_vison","-80.858862","38.251162"
"Neovison_vison","-85.53506","32.70815"
"Neovison_vison","-86.57904","33.99972"
"Neovison_vison","-123.698182","49.068432"
"Neovison_vison","-78.206575","44.442315"
"Neovison_vison","-75.79545","45.373814"
"Neovison_vison","-81.884337","41.409184"
"Neovison_vison","-75.629546","35.894536"
"Neovison_vison","-93.120208","37.046202"
"Neovison_vison","-75.715464","40.053281"
"Neovison_vison","-79.689187","47.718463"
"Neovison_vison","-82.510255","41.934065"
"Neovison_vison","-76.451383","42.479731"
"Neovison_vison","-97.000645","33.05677"
"Neovison_vison","-95.943458","41.394208"
"Neovison_vison","-74.511383","45.113867"
"Neovison_vison","-76.621978","39.956242"
"Neovison_vison","-81.900218","41.025617"
"Neovison_vison","-73.439627","44.018544"
"Neovison_vison","-75.7262","45.754755"
"Neovison_vison","-80.679302","41.051912"
"Neovison_vison","-79.710189","43.391129"
"Neovison_vison","-93.17677","44.882994"
"Neovison_vison","-88.21043","40.125716"
"Neovison_vison","-123.96771875512","49.1997008065185"
"Neovison_vison","-80.826434","46.195609"
"Neovison_vison","-87.739253","41.977584"
"Neovison_vison","-97.376388","32.708775"
"Neovison_vison","-79.879146","42.979582"
"Neovison_vison","-79.94557","43.2709199990584"
"Neovison_vison","-72.448412","43.176468"
"Neovison_vison","-113.376932","46.964791"
"Neovison_vison","-113.584085","47.323166"
"Neovison_vison","-71.3667","41.55"
"Neovison_vison","-72.24125","43.763767"
"Neovison_vison","-73.26561","44.53221"
"Neovison_vison","-78.30765","37.253009"
"Neovison_vison","-73.83007","42.780717"
"Neovison_vison","-105.262287","40.218848"
"Neovison_vison","-123.918948128611","46.0444107514273"
"Neovison_vison","-93.240726","44.83407"
"Neovison_vison","-84.314103","46.530309"
"Neovison_vison","-72.613524","42.962625"
"Neovison_vison","-123.141","44.8519"
"Neovison_vison","-122.712935","47.075463"
"Neovison_vison","-73.177896","44.019081"
"Neovison_vison","-123.41202","43.241244"
"Neovison_vison","-105.189028","40.663354"
"Neovison_vison","-69.886924","44.528031"
"Neovison_vison","-111.869087","39.804756"
"Neovison_vison","-105.055197","40.145644"
"Neovison_vison","-81.504672","45.979861"
"Neovison_vison","-70.631983","41.551129"
"Neovison_vison","-72.534262","44.609332"
"Neovison_vison","-83.948943","41.530361"
"Neovison_vison","-73.057343","44.227278"
"Neovison_vison","-84.403455","40.160217"
"Neovison_vison","-87.854929","42.913426"
"Neovison_vison","-79.512674","43.587092"
"Neovison_vison","-77.946486","38.962598"
"Neovison_vison","-86.730789","41.206582"
"Neovison_vison","-79.656318","43.546682"
"Neovison_vison","-81.285261","41.76134"
"Neovison_vison","-84.225276","46.320296"
"Neovison_vison","-72.680522","44.901665"
"Neovison_vison","-78.919076","39.143067"
"Neovison_vison","-79.179097","43.751984"
"Neovison_vison","-93.174968","45.405348"
"Neovison_vison","-92.902671","44.979993"
"Neovison_vison","-73.493785","42.681072"
"Neovison_vison","-82.031883","39.570658"
"Neovison_vison","-72.866551","43.276848"
"Neovison_vison","-72.465692","43.600004"
"Neovison_vison","-91.196136","47.381716"
"Neovison_vison","-72.759908","44.333089"
"Neovison_vison","-81.684311","40.993364"
"Neovison_vison","-84.265787","46.62364"
"Neovison_vison","-73.051963","43.218745"
"Neovison_vison","-121.439292","38.265702"
"Neovison_vison","-80.34589","32.684859"
"Neovison_vison","-78.39996","43.119149"
"Neovison_vison","-73.034985","43.693833"
"Neovison_vison","-87.95188","41.57744"
"Neovison_vison","-105.605714","41.322073"
"Neovison_vison","-87.647252","44.098989"
"Neovison_vison","-83.692667","35.644799"
"Neovison_vison","-81.570989","41.280709"
"Neovison_vison","-72.509483","44.71775"
"Neovison_vison","-65.045378","45.571728"
"Neovison_vison","-114.117908","47.454907"
"Neovison_vison","-105.03888","40.571758"
"Neovison_vison","-80.985034","43.372501"
"Neovison_vison","-79.103301","44.638391"
"Neovison_vison","-81.575099","41.485817"
"Neovison_vison","-96.778649","44.272069"
"Neovison_vison","-122.907947","48.713859"
"Neovison_vison","-122.460655","47.43959"
"Neovison_vison","-87.804784","42.484623"
"Neovison_vison","-119.824056","39.520107"
"Neovison_vison","-79.874387","32.751712"
"Neovison_vison","-111.873028","40.799224"
"Neovison_vison","-74.413088","41.377453"
"Neovison_vison","-92.507778","44.039982"
"Neovison_vison","-117.125587","49.604748"
"Neovison_vison","-73.360605","44.067662"
"Neovison_vison","-75.747959","45.248203"
"Neovison_vison","-75.182113","41.76813"
"Neovison_vison","-72.794965","44.21221"
"Neovison_vison","-115.461509","40.181903"
"Neovison_vison","-71.335926","42.478298"
"Neovison_vison","-89.9819131940708","29.7202272126831"
"Neovison_vison","-90.7031","30.15"
"Neovison_vison","-84.787967","43.595357"
"Neovison_vison","-85.038611","43.408056"
"Neovison_vison","-84.84","43.65"
"Neovison_vison","-83.860617","42.50795"
"Neovison_vison","-83.532525","45.333811"
"Neovison_vison","-84.659444","44.983056"
"Neovison_vison","-83.841944","35.594167"
"Neovison_vison","-85.147231","43.741432"
"Neovison_vison","-85.07603","43.60284"
"Neovison_vison","-84.14","42.95"
"Neovison_vison","-84.169167","41.850556"
"Neovison_vison","-85.58","44.34"
"Neovison_vison","-85.67251","42.7606"
"Neovison_vison","-85.005833","41.786111"
"Neovison_vison","-80.35","43.366667"
"Neovison_vison","-78.547","43.965"
"Neovison_vison","-122.653449","38.455112"
"Neovison_vison","-85.385385","42.397544"
"Neovison_vison","-81.537299","41.034549"
"Neovison_vison","-76.645576","38.054242"
"Neovison_vison","-121.469121","38.593366"
"Neovison_vison","-70.895838","42.280187"
"Neovison_vison","-154.75","66.97"
"Neovison_vison","-141","69"
"Neovison_vison","-75.461858","40.251578"
"Neovison_vison","-78.855128","42.846373"
"Neovison_vison","-82.425249","45.701189"
"Neovison_vison","-84.864154","42.509715"
"Neovison_vison","-74.494836","39.950971"
"Neovison_vison","-117.402056","47.66773"
"Neovison_vison","-77.5229","37.219257"
"Neovison_vison","-127.496659","50.720821"
"Neovison_vison","-118.943446","49.056813"
"Neovison_vison","-122.979357","50.118519"
"Neovison_vison","-121.9","54.8"
"Neovison_vison","-119.547926","49.085893"
"Neovison_vison","-132.571751","67.2541039993281"
"Neovison_vison","-126.583333","67.9"
"Neovison_vison","-123.3","48.45"
"Neovison_vison","-125.276389","48.895833"
"Neovison_vison","-124.800005","49.266597"
"Neovison_vison","-119.133333","50.583333"
"Neovison_vison","-98.629283","54.909521"
"Neovison_vison","-124.045","52.338611"
