"sp","decimallongitude","decimallatitude"
"Onychomys_leucogaster","-107.91703","32.5895699991433"
"Onychomys_leucogaster","-99.025","22.608333"
"Onychomys_leucogaster","-106.323","31.787"
"Onychomys_leucogaster","-102.05944","28.55806"
"Onychomys_leucogaster","-106.46300602687","31.3431765657156"
"Onychomys_leucogaster","-98.207778","23.7675"
"Onychomys_leucogaster","-98.277778","26.092222"
"Onychomys_leucogaster","-106.476944","31.610278"
"Onychomys_leucogaster","-99.826389","25.186944"
"Onychomys_leucogaster","-101.226575283723","27.1969997561782"
"Onychomys_leucogaster","-99.146111","23.736111"
"Onychomys_leucogaster","-99.583333","24.85"
"Onychomys_leucogaster","-98.816944","26.286667"
"Onychomys_leucogaster","-110.595278","31.166944"
"Onychomys_leucogaster","-106.550556","30.495278"
"Onychomys_leucogaster","-97.14497","25.9183999992576"
"Onychomys_leucogaster","-100.185556","25.781944"
"Onychomys_leucogaster","-100.311667","25.685278"
"Onychomys_leucogaster","-99.394444","25.805833"
"Onychomys_leucogaster","-99.814722","26.892222"
"Onychomys_leucogaster","-99.508889","27.479722"
"Onychomys_leucogaster","-99.625556","25.696944"
"Onychomys_leucogaster","-107.767222","30.258056"
"Onychomys_leucogaster","-108.494722","31.168611"
"Onychomys_leucogaster","-108.333056","30.906667"
"Onychomys_leucogaster","-99.480278","26.304722"
"Onychomys_leucogaster","-99.480278","26.554722"
"Onychomys_leucogaster","-110.72437","31.16515"
"Onychomys_leucogaster","-97.281944","25.834167"
"Onychomys_leucogaster","-97.5","25.9"
"Onychomys_leucogaster","-110.22417","31.21361"
"Onychomys_leucogaster","-98.408","24.364"
"Onychomys_leucogaster","-97.504","25.796"
"Onychomys_leucogaster","-110.235278","30.0275"
"Onychomys_leucogaster","-104.77172","32.15149"
"Onychomys_leucogaster","-106.468292","32.7934"
"Onychomys_leucogaster","-99.36014","35.03948"
"Onychomys_leucogaster","-99.22986","34.53629"
"Onychomys_leucogaster","-99.734842","34.41359"
"Onychomys_leucogaster","-106.759","31.876"
"Onychomys_leucogaster","-106.61","31.85"
"Onychomys_leucogaster","-106.407924","31.945523"
"Onychomys_leucogaster","-106.699967","32.277697"
"Onychomys_leucogaster","-103.301960302399","34.4434730613106"
"Onychomys_leucogaster","-106.95328","32.06396"
"Onychomys_leucogaster","-106.016667","31.883333"
"Onychomys_leucogaster","-106.261695","31.753962"
"Onychomys_leucogaster","-108.013016043794","36.1686769089321"
"Onychomys_leucogaster","-108.227214626201","33.8533969889852"
"Onychomys_leucogaster","-104.007247","32.223994"
"Onychomys_leucogaster","-105.855","32.349"
"Onychomys_leucogaster","-106.221578568043","32.7447995174605"
"Onychomys_leucogaster","-105.323","31.787"
"Onychomys_leucogaster","-106.70083","32.07885"
"Onychomys_leucogaster","-105.4087","33.6137"
"Onychomys_leucogaster","-106.287","31.616"
"Onychomys_leucogaster","-106.070771","31.570765"
"Onychomys_leucogaster","-106.254997","31.909"
"Onychomys_leucogaster","-103.526871","32.367068"
"Onychomys_leucogaster","-106.066383","33.431601"
"Onychomys_leucogaster","-106.328","31.1"
"Onychomys_leucogaster","-108.5","31.88"
"Onychomys_leucogaster","-99.326393","38.937157"
"Onychomys_leucogaster","-110.83","41.15"
"Onychomys_leucogaster","-99.5469","34.46767"
"Onychomys_leucogaster","-99.66724","34.79718"
"Onychomys_leucogaster","-99.18497","34.47807"
"Onychomys_leucogaster","-99.081116","34.211246"
"Onychomys_leucogaster","-99.956291","34.934685"
