"sp","decimallongitude","decimallatitude"
"Oreoscoptes_montanus","-119.0083","38.0167"
"Oreoscoptes_montanus","-119.08017","38.20477"
"Oreoscoptes_montanus","-118.856621","37.64076"
"Oreoscoptes_montanus","-118.400114","37.560763"
"Oreoscoptes_montanus","-117.022462","39.242158"
"Oreoscoptes_montanus","-121.703367","38.559106"
"Oreoscoptes_montanus","-98.149796","26.070971"
"Oreoscoptes_montanus","-99.14037","26.899567"
"Oreoscoptes_montanus","-120.25741","39.81021"
"Oreoscoptes_montanus","-118.735428","43.261706"
"Oreoscoptes_montanus","-120.02839","42.83424"
"Oreoscoptes_montanus","-120.848065","47.160847"
"Oreoscoptes_montanus","-109.780609","35.065818"
"Oreoscoptes_montanus","-104.090663","40.841922"
"Oreoscoptes_montanus","-118.89636","43.239621"
"Oreoscoptes_montanus","-116.325324","34.103774"
"Oreoscoptes_montanus","-116.171174","34.096218"
"Oreoscoptes_montanus","-116.390632","34.073878"
"Oreoscoptes_montanus","-110.011059","41.489521"
"Oreoscoptes_montanus","-119.635062","47.457133"
"Oreoscoptes_montanus","-115.639687","42.848378"
"Oreoscoptes_montanus","-116.365184","43.236514"
"Oreoscoptes_montanus","-98.076681","30.655055"
"Oreoscoptes_montanus","-117.809628","34.678294"
"Oreoscoptes_montanus","-107.880417","36.3508"
"Oreoscoptes_montanus","-116.870439","36.503356"
"Oreoscoptes_montanus","-118.215465","34.805523"
"Oreoscoptes_montanus","-116.43439","33.12071"
"Oreoscoptes_montanus","-109.801408","34.886539"
"Oreoscoptes_montanus","-111.985928","33.362889"
"Oreoscoptes_montanus","-98.488957","27.323865"
"Oreoscoptes_montanus","-110.220345","32.302533"
"Oreoscoptes_montanus","-97.510262","32.590749"
"Oreoscoptes_montanus","-116.303388","33.19867"
"Oreoscoptes_montanus","-116.375695","33.255432"
"Oreoscoptes_montanus","-103.299548","29.270412"
"Oreoscoptes_montanus","-112.532122","33.493755"
"Oreoscoptes_montanus","-106.087526","35.618528"
"Oreoscoptes_montanus","-104.992368","31.923951"
"Oreoscoptes_montanus","-111.466341","32.589255"
"Oreoscoptes_montanus","-113.308615","31.718575"
"Oreoscoptes_montanus","-101.488745","32.23174"
"Oreoscoptes_montanus","-109.518585","35.733136"
"Oreoscoptes_montanus","-112.434769","37.653383"
"Oreoscoptes_montanus","-112.02379","34.281124"
"Oreoscoptes_montanus","-112.14287","33.881681"
"Oreoscoptes_montanus","-113.103843","35.480291"
"Oreoscoptes_montanus","-106.607697","35.080364"
"Oreoscoptes_montanus","-111.669425","32.644888"
"Oreoscoptes_montanus","-100.097809","30.585908"
"Oreoscoptes_montanus","-115.484535","33.154576"
"Oreoscoptes_montanus","-97.382491","30.655893"
"Oreoscoptes_montanus","-98.675447","30.567678"
"Oreoscoptes_montanus","-107.931271","38.744659"
"Oreoscoptes_montanus","-104.879265","38.430329"
"Oreoscoptes_montanus","-112.187316","40.907853"
"Oreoscoptes_montanus","-111.863016","33.962279"
"Oreoscoptes_montanus","-104.540706","38.694655"
"Oreoscoptes_montanus","-119.771223","49.230805"
"Oreoscoptes_montanus","-121.263737","36.413846"
"Oreoscoptes_montanus","-111.798162","34.637269"
"Oreoscoptes_montanus","-99.787117","20.861033"
"Oreoscoptes_montanus","-108.86618","33.54478"
"Oreoscoptes_montanus","-108.428193","30.83902"
"Oreoscoptes_montanus","-103.746389","26.686111"
"Oreoscoptes_montanus","-102.04","26.813"
"Oreoscoptes_montanus","-102.083333","26.883333"
"Oreoscoptes_montanus","-102.279931608033","26.9186211472524"
"Oreoscoptes_montanus","-102.002","26.788"
"Oreoscoptes_montanus","-99.5","27.486"
"Oreoscoptes_montanus","-116.096726","30.968108"
"Oreoscoptes_montanus","-112.33","28.763333"
"Oreoscoptes_montanus","-117.058333","32.341667"
"Oreoscoptes_montanus","-101.12","27.866667"
"Oreoscoptes_montanus","-113.050627","27.60024"
"Oreoscoptes_montanus","-115.891667","30.568333"
"Oreoscoptes_montanus","-115.266667","29.42"
"Oreoscoptes_montanus","-101.346541","20.678402"
"Oreoscoptes_montanus","-115.814994996884","30.3128768351983"
"Oreoscoptes_montanus","-116.25","31.883333"
"Oreoscoptes_montanus","-110.6","24.833333"
"Oreoscoptes_montanus","-114.14","29.7"
"Oreoscoptes_montanus","-110.083333","23.833333"
"Oreoscoptes_montanus","-104.433","29.217"
"Oreoscoptes_montanus","-113.227296","26.785273"
"Oreoscoptes_montanus","-113.598311","31.365694"
"Oreoscoptes_montanus","-101.69938","27.034912"
"Oreoscoptes_montanus","-115.966667","30.453333"
"Oreoscoptes_montanus","-114.916667","27.7"
"Oreoscoptes_montanus","-114.880687","31.076769"
"Oreoscoptes_montanus","-113.933981","28.5002"
"Oreoscoptes_montanus","-115.551723","30.063551"
"Oreoscoptes_montanus","-115.816667","32.25"
"Oreoscoptes_montanus","-107.283333","31.133333"
"Oreoscoptes_montanus","-114.16566","29.24684"
"Oreoscoptes_montanus","-115.25","28.198333"
"Oreoscoptes_montanus","-114.966667","29.933333"
"Oreoscoptes_montanus","-112.673333","29.905"
"Oreoscoptes_montanus","-100.97","26.021667"
"Oreoscoptes_montanus","-115.913333","30.768333"
"Oreoscoptes_montanus","-114.736667","31.958333"
"Oreoscoptes_montanus","-114.97069","31.270092"
"Oreoscoptes_montanus","-102.983333","25.758333"
"Oreoscoptes_montanus","-106.486667","31.303333"
"Oreoscoptes_montanus","-105.411667","23.786667"
"Oreoscoptes_montanus","-112.667303","29.916822"
"Oreoscoptes_montanus","-114.733333","29.666667"
"Oreoscoptes_montanus","-110.943921","28.885199"
"Oreoscoptes_montanus","-114.814013","30.613446"
"Oreoscoptes_montanus","-101.433779","25.665161"
"Oreoscoptes_montanus","-116.038333","30.458333"
"Oreoscoptes_montanus","-115.3","32.416667"
"Oreoscoptes_montanus","-100.352194","25.495528"
"Oreoscoptes_montanus","-119.76962","35.19886"
"Oreoscoptes_montanus","-96.776247","33.739116"
"Oreoscoptes_montanus","-120.622029","37.167943"
"Oreoscoptes_montanus","-119.962764","35.830723"
"Oreoscoptes_montanus","-116.216667","33.683333"
"Oreoscoptes_montanus","-119.575796","35.790317"
"Oreoscoptes_montanus","-119.57197","35.36882"
"Oreoscoptes_montanus","-118.552109","34.803764"
"Oreoscoptes_montanus","-118.424761","34.86806"
"Oreoscoptes_montanus","-116.851273","34.435231"
"Oreoscoptes_montanus","-117.63834","35.672219"
"Oreoscoptes_montanus","-119.774696","35.112691"
"Oreoscoptes_montanus","-119.742605","35.1396"
"Oreoscoptes_montanus","-103.915806","30.603077"
"Oreoscoptes_montanus","-121.054313","43.401759"
"Oreoscoptes_montanus","-119.950301","35.840068"
"Oreoscoptes_montanus","-117.860298","35.301957"
"Oreoscoptes_montanus","-118.34316","37.191433"
"Oreoscoptes_montanus","-121.996479","41.885346"
"Oreoscoptes_montanus","-118.205181","37.519532"
"Oreoscoptes_montanus","-118.183866","37.376472"
"Oreoscoptes_montanus","-118.843305","42.858453"
"Oreoscoptes_montanus","-119.316152","41.980353"
"Oreoscoptes_montanus","-117.918878","35.712162"
"Oreoscoptes_montanus","-117.813907","35.663817"
"Oreoscoptes_montanus","-121.616635","41.993149"
"Oreoscoptes_montanus","-121.358872","41.676829"
"Oreoscoptes_montanus","-120.1084","41.31457"
"Oreoscoptes_montanus","-120.190515","40.484821"
"Oreoscoptes_montanus","-118.899193","37.626129"
"Oreoscoptes_montanus","-112.97785","37.9404"
"Oreoscoptes_montanus","-120.212402","42.988577"
"Oreoscoptes_montanus","-119.62962","38.67915"
"Oreoscoptes_montanus","-118.960851","43.249788"
"Oreoscoptes_montanus","-118.205338","35.489188"
"Oreoscoptes_montanus","-118.427893","37.403022"
"Oreoscoptes_montanus","-103.931029","30.597674"
"Oreoscoptes_montanus","-119.138918","37.98331"
"Oreoscoptes_montanus","-119.024506","37.784283"
"Oreoscoptes_montanus","-111.832361","33.571958"
"Oreoscoptes_montanus","-119.143115","38.049554"
"Oreoscoptes_montanus","-115.3935","35.04537"
"Oreoscoptes_montanus","-117.616796","35.25218"
"Oreoscoptes_montanus","-119.631243","49.360492"
"Oreoscoptes_montanus","-117.65087","34.05436"
"Oreoscoptes_montanus","-119.656134","42.548729"
"Oreoscoptes_montanus","-119.4843","35.032007"
"Oreoscoptes_montanus","-121.524711","38.374189"
"Oreoscoptes_montanus","-118.61334","37.30476"
"Oreoscoptes_montanus","-117.298965","35.012318"
"Oreoscoptes_montanus","-118.7","37.6"
"Oreoscoptes_montanus","-113.66566","37.16627"
"Oreoscoptes_montanus","-120.256305","40.584634"
"Oreoscoptes_montanus","-120.282354","42.483871"
"Oreoscoptes_montanus","-119.237966","43.628681"
"Oreoscoptes_montanus","-121.747098","37.737938"
"Oreoscoptes_montanus","-118.287048","37.16743"
"Oreoscoptes_montanus","-119.144659","34.125234"
"Oreoscoptes_montanus","-119.327316","35.17712"
"Oreoscoptes_montanus","-118.21686","35.594035"
"Oreoscoptes_montanus","-118.047022","35.315852"
"Oreoscoptes_montanus","-107.435989","44.761727"
"Oreoscoptes_montanus","-119.557857","35.037973"
"Oreoscoptes_montanus","-115.9641","33.678372"
"Oreoscoptes_montanus","-120.006409","41.581278"
"Oreoscoptes_montanus","-119.028132","36.190711"
"Oreoscoptes_montanus","-120.28214","39.678457"
"Oreoscoptes_montanus","-103.845","30.5426"
"Oreoscoptes_montanus","-121.726016","41.971708"
"Oreoscoptes_montanus","-99.503474","30.076967"
"Oreoscoptes_montanus","-103.618927","29.311549"
"Oreoscoptes_montanus","-105.158386","35.548848"
"Oreoscoptes_montanus","-119.485413","39.918681"
"Oreoscoptes_montanus","-105.601209","37.551435"
"Oreoscoptes_montanus","-119.749603","34.421549"
"Oreoscoptes_montanus","-120.491545","34.948727"
"Oreoscoptes_montanus","-118.318462","35.656982"
"Oreoscoptes_montanus","-118.78006","39.471185"
"Oreoscoptes_montanus","-113.833895","42.198356"
"Oreoscoptes_montanus","-119.767608","38.765305"
"Oreoscoptes_montanus","-119.218268","38.309681"
"Oreoscoptes_montanus","-106.251769","35.603926"
"Oreoscoptes_montanus","-108.60672","35.543122"
"Oreoscoptes_montanus","-105.439165","33.52614"
"Oreoscoptes_montanus","-115.047412","43.267087"
"Oreoscoptes_montanus","-106.046761","31.921428"
"Oreoscoptes_montanus","-120.194185","41.740882"
"Oreoscoptes_montanus","-120.227523","46.974733"
"Oreoscoptes_montanus","-122.282252","41.580639"
"Oreoscoptes_montanus","-120.697989","46.857374"
"Oreoscoptes_montanus","-109.26384","45.170783"
"Oreoscoptes_montanus","-110.808616","43.764355"
"Oreoscoptes_montanus","-116.209098","43.296386"
"Oreoscoptes_montanus","-119.834747","39.650327"
"Oreoscoptes_montanus","-101.777666","31.791075"
"Oreoscoptes_montanus","-118.016667","37.333333"
"Oreoscoptes_montanus","-106.891522","33.805575"
"Oreoscoptes_montanus","-120.5","39.6333"
"Oreoscoptes_montanus","-119.069298","43.578433"
"Oreoscoptes_montanus","-108.756924","35.196116"
"Oreoscoptes_montanus","-115.500984","43.082305"
"Oreoscoptes_montanus","-111.116323","31.438843"
"Oreoscoptes_montanus","-112.086725","41.089249"
"Oreoscoptes_montanus","-106.715956","32.344618"
"Oreoscoptes_montanus","-120.804849","46.905363"
"Oreoscoptes_montanus","-119.115894","43.287433"
"Oreoscoptes_montanus","-104.882762","38.876869"
"Oreoscoptes_montanus","-111.69","35.112"
"Oreoscoptes_montanus","-111.807749","33.686813"
"Oreoscoptes_montanus","-118.406846","33.743469"
"Oreoscoptes_montanus","-111.432545","40.530698"
"Oreoscoptes_montanus","-120.064754","44.163222"
"Oreoscoptes_montanus","-120.750704","42.982953"
"Oreoscoptes_montanus","-120.59","37.626"
"Oreoscoptes_montanus","-109.740251","40.224934"
"Oreoscoptes_montanus","-111.157093","41.544818"
"Oreoscoptes_montanus","-109.945893","40.295436"
"Oreoscoptes_montanus","-109.728227","40.929564"
"Oreoscoptes_montanus","-115.427376","36.135349"
"Oreoscoptes_montanus","-112.266777","41.479133"
"Oreoscoptes_montanus","-109.550857","41.146345"
"Oreoscoptes_montanus","-122.146126","44.729027"
"Oreoscoptes_montanus","-116.56976","34.047729"
"Oreoscoptes_montanus","-117.749931","44.861481"
"Oreoscoptes_montanus","-118.653485","37.678406"
"Oreoscoptes_montanus","-105.164351","39.579248"
"Oreoscoptes_montanus","-104.385205","40.753604"
"Oreoscoptes_montanus","-115.387566","43.34624"
"Oreoscoptes_montanus","-109.575062","38.577829"
"Oreoscoptes_montanus","-104.466098","38.540586"
"Oreoscoptes_montanus","-107.225103","40.427088"
"Oreoscoptes_montanus","-107.582009","40.847125"
"Oreoscoptes_montanus","-117.18786","43.17891"
"Oreoscoptes_montanus","-117.09837","43.27699"
"Oreoscoptes_montanus","-104.087005","40.714565"
"Oreoscoptes_montanus","-108.982959","31.517148"
"Oreoscoptes_montanus","-120.295851","41.948651"
"Oreoscoptes_montanus","-111.91914","40.955141"
"Oreoscoptes_montanus","-112.527809","40.904362"
"Oreoscoptes_montanus","-106.678388","34.408946"
"Oreoscoptes_montanus","-120.156784","41.861379"
"Oreoscoptes_montanus","-106.62054","38.48373"
"Oreoscoptes_montanus","-115.26525","41.074908"
"Oreoscoptes_montanus","-119.64219","48.96658"
"Oreoscoptes_montanus","-118.502784","37.702863"
"Oreoscoptes_montanus","-104.811076","31.910507"
"Oreoscoptes_montanus","-104.378014","38.325498"
"Oreoscoptes_montanus","-110.632625","44.269112"
"Oreoscoptes_montanus","-119.31724","41.695731"
"Oreoscoptes_montanus","-112.027073","39.378895"
"Oreoscoptes_montanus","-119.577745","42.077835"
"Oreoscoptes_montanus","-119.783249","42.135653"
"Oreoscoptes_montanus","-106.405938","40.555258"
"Oreoscoptes_montanus","-119.63304","45.74121"
"Oreoscoptes_montanus","-120.186282","43.635413"
"Oreoscoptes_montanus","-119.481943","42.023967"
"Oreoscoptes_montanus","-119.364441","41.716548"
"Oreoscoptes_montanus","-103.132954","29.483091"
"Oreoscoptes_montanus","-105.956503","35.01281"
"Oreoscoptes_montanus","-108.573706","32.866795"
"Oreoscoptes_montanus","-120.64742","42.723368"
"Oreoscoptes_montanus","-97.087383","27.832777"
"Oreoscoptes_montanus","-106.182271","35.825121"
"Oreoscoptes_montanus","-111.921018","40.995825"
"Oreoscoptes_montanus","-102.719421","33.979666"
"Oreoscoptes_montanus","-119.827495","42.396992"
"Oreoscoptes_montanus","-105.130218","40.339413"
"Oreoscoptes_montanus","-110.369897","37.893101"
"Oreoscoptes_montanus","-107.446918","44.689516"
"Oreoscoptes_montanus","-103.127975","29.628384"
"Oreoscoptes_montanus","-103.293367","29.248218"
"Oreoscoptes_montanus","-97.827762","30.696252"
"Oreoscoptes_montanus","-97.2173","26.065201"
"Oreoscoptes_montanus","-109.82065","38.45986"
"Oreoscoptes_montanus","-113.943329","37.897614"
"Oreoscoptes_montanus","-110.338783","39.243554"
"Oreoscoptes_montanus","-104.271841","39.020984"
"Oreoscoptes_montanus","-109.478464","37.569986"
"Oreoscoptes_montanus","-107.180943","38.475271"
"Oreoscoptes_montanus","-120.112839","46.628487"
"Oreoscoptes_montanus","-118.887089","47.333084"
"Oreoscoptes_montanus","-117.468438","36.339569"
"Oreoscoptes_montanus","-119.987183","46.936199"
"Oreoscoptes_montanus","-119.636714","47.81153"
"Oreoscoptes_montanus","-98.491905","29.304046"
"Oreoscoptes_montanus","-111.732819","44.591557"
"Oreoscoptes_montanus","-108.89323","44.52864"
"Oreoscoptes_montanus","-106.651134","35.08449"
"Oreoscoptes_montanus","-119.396236","46.463956"
"Oreoscoptes_montanus","-119.793549","47.614496"
"Oreoscoptes_montanus","-118.91756","35.89239"
"Oreoscoptes_montanus","-122.242041","41.533678"
"Oreoscoptes_montanus","-108.544118","38.269031"
"Oreoscoptes_montanus","-100.135392","31.459513"
"Oreoscoptes_montanus","-105.202932","38.377091"
"Oreoscoptes_montanus","-110.681274","45.035294"
"Oreoscoptes_montanus","-112.764358","33.377846"
