"sp","decimallongitude","decimallatitude"
"Salpinctes_obsoletus","-114.449379","36.485024"
"Salpinctes_obsoletus","-118.258549","36.917532"
"Salpinctes_obsoletus","-111.816444","36.990762"
"Salpinctes_obsoletus","-109.001541","32.687895"
"Salpinctes_obsoletus","-118.33816","36.89295"
"Salpinctes_obsoletus","-118.424712","37.392323"
"Salpinctes_obsoletus","-115.791891","29.789437"
"Salpinctes_obsoletus","-119.967552","46.85694"
"Salpinctes_obsoletus","-110.881319","31.731014"
"Salpinctes_obsoletus","-103.621218","29.164202"
"Salpinctes_obsoletus","-114.643977","34.595693"
"Salpinctes_obsoletus","-118.616887","34.528285"
"Salpinctes_obsoletus","-112.718418","32.043659"
"Salpinctes_obsoletus","-120.641277","37.800002"
"Salpinctes_obsoletus","-116.143053","34.026948"
"Salpinctes_obsoletus","-113.137765","37.194818"
"Salpinctes_obsoletus","-117.9772","35.801601"
"Salpinctes_obsoletus","-111.138267","33.271845"
"Salpinctes_obsoletus","-117.39398","33.979142"
"Salpinctes_obsoletus","-111.001927","31.802308"
"Salpinctes_obsoletus","-111.777273","34.901384"
"Salpinctes_obsoletus","-110.326103","31.4244"
"Salpinctes_obsoletus","-116.562057","34.056026"
"Salpinctes_obsoletus","-109.992743","38.525241"
"Salpinctes_obsoletus","-103.357744","29.523442"
"Salpinctes_obsoletus","-117.903865","34.62372"
"Salpinctes_obsoletus","-107.875593","37.254843"
"Salpinctes_obsoletus","-101.435512","34.798735"
"Salpinctes_obsoletus","-103.310285","36.583299"
"Salpinctes_obsoletus","-115.49374","36.15748"
"Salpinctes_obsoletus","-112.861862","31.858605"
"Salpinctes_obsoletus","-117.648125","33.692067"
"Salpinctes_obsoletus","-116.60996","31.896151"
"Salpinctes_obsoletus","-120.802801","36.78495"
"Salpinctes_obsoletus","-109.014845","27.02526"
"Salpinctes_obsoletus","-119.745585","46.831031"
"Salpinctes_obsoletus","-102.918656","29.200779"
"Salpinctes_obsoletus","-109.86268","32.8057"
"Salpinctes_obsoletus","-97.900865","30.412817"
"Salpinctes_obsoletus","-101.78746","35.06755"
"Salpinctes_obsoletus","-122.502875","41.717428"
"Salpinctes_obsoletus","-111.434669","34.946566"
"Salpinctes_obsoletus","-113.771101","37.275193"
"Salpinctes_obsoletus","-119.720893","39.126756"
"Salpinctes_obsoletus","-118.367729","34.283177"
"Salpinctes_obsoletus","-110.737317","32.3352"
"Salpinctes_obsoletus","-111.842623","33.60612"
"Salpinctes_obsoletus","-112","34.8"
"Salpinctes_obsoletus","-110.12175","38.825162"
"Salpinctes_obsoletus","-116.012921","43.387866"
"Salpinctes_obsoletus","-116.660161","32.536098"
"Salpinctes_obsoletus","-108.785602","27.00318"
"Salpinctes_obsoletus","-113.081975","37.167481"
"Salpinctes_obsoletus","-104.5998","37.748458"
"Salpinctes_obsoletus","-118.444623","32.881566"
"Salpinctes_obsoletus","-104.091425","30.670548"
"Salpinctes_obsoletus","-116.479325","45.635487"
"Salpinctes_obsoletus","-116.688194","32.692699"
"Salpinctes_obsoletus","-116.1168","33.068153"
"Salpinctes_obsoletus","-116.381122","33.136711"
"Salpinctes_obsoletus","-107.930058","36.050175"
"Salpinctes_obsoletus","-110.705366","38.57018"
"Salpinctes_obsoletus","-111.465054","33.868171"
"Salpinctes_obsoletus","-111.991925","33.362237"
"Salpinctes_obsoletus","-115.762646","33.712729"
"Salpinctes_obsoletus","-115.58202","28.3089"
"Salpinctes_obsoletus","-113.38354","37.12063"
