"sp","decimallongitude","decimallatitude"
"Sitta_canadensis",-75.620047,45.919954
"Sitta_canadensis",-118.329835,36.897572
"Sitta_canadensis",-79.234302,45.962773
"Sitta_canadensis",-80.001689,36.50672
"Sitta_canadensis",-73.750499,45.969192
"Sitta_canadensis",-81.378684,44.702747
"Sitta_canadensis",-120.475808,35.189761
"Sitta_canadensis",-90.190222,44.653635
"Sitta_canadensis",-104.418337,45.044427
"Sitta_canadensis",-82.132778,33.84135
"Sitta_canadensis",-90.19845,43.182358
"Sitta_canadensis",-84.481784,39.133839
"Sitta_canadensis",-95.724143,37.689967
"Sitta_canadensis",-99.245381,40.369828
"Sitta_canadensis",-81.500122,37.136663
"Sitta_canadensis",-94.532166,44.528913
"Sitta_canadensis",-71.73945,45.94057
"Sitta_canadensis",-87.727379,46.826229
"Sitta_canadensis",-120.840608,37.043754
"Sitta_canadensis",-92.47548,42.72578
"Sitta_canadensis",-92.24348,47.46453
"Sitta_canadensis",-95.106637,31.04486
"Sitta_canadensis",-94.204859,31.814473
"Sitta_canadensis",-89.836278,34.25688
"Sitta_canadensis",-100.921783,51.836937
"Sitta_canadensis",-93.276059,49.472319
"Sitta_canadensis",-124.09519,44.280143
"Sitta_canadensis",-119.065992,37.936291
"Sitta_canadensis",-105.530964,37.931063
"Sitta_canadensis",-119.348903,34.879436
"Sitta_canadensis",-100.576744,42.288368
"Sitta_canadensis",-66.040689,43.645809
"Sitta_canadensis",-114.068298,38.976493
"Sitta_canadensis",-82.136075,34.936358
"Sitta_canadensis",-92.924602,49.682686
"Sitta_canadensis",-92.909746,40.831541
"Sitta_canadensis",-116.954259,50.137229
"Sitta_canadensis",-95.372786,40.426681
"Sitta_canadensis",-86.615868,38.75328
"Sitta_canadensis",-110.757465,54.260813
"Sitta_canadensis",-118.062859,52.994537
"Sitta_canadensis",-53.216667,47.75
"Sitta_canadensis",-121.864779,56.656264
"Sitta_canadensis",-106.379243,35.83083
"Sitta_canadensis",-122.880652,50.349192
"Sitta_canadensis",-119.511401,47.057763
"Sitta_canadensis",-99.822807,35.524962
"Sitta_canadensis",-89.898955,49.071379
"Sitta_canadensis",-67.10078,44.501755
"Sitta_canadensis",-124.607277,48.36697
