"sp","decimallongitude","decimallatitude"
"Sitta_carolinensis",-84.504132,42.738407
"Sitta_carolinensis",-81.251911,33.83777
"Sitta_carolinensis",-107.237301,41.797234
"Sitta_carolinensis",-93.7958,36.96396
"Sitta_carolinensis",-108.31945,46.506032
"Sitta_carolinensis",-83.635751,35.765188
"Sitta_carolinensis",-91.852827,47.042799
"Sitta_carolinensis",-91.11985,44.32106
"Sitta_carolinensis",-85.268712,41.066992
"Sitta_carolinensis",-76.117691,40.617829
"Sitta_carolinensis",-75.633477,40.650571
"Sitta_carolinensis",-80.93231,41.381091
"Sitta_carolinensis",-106.133702,38.842816
"Sitta_carolinensis",-122.00562,44.287978
"Sitta_carolinensis",-93.934628,47.059664
"Sitta_carolinensis",-90.83201,38.803296
"Sitta_carolinensis",-93.252103,43.98755
"Sitta_carolinensis",-95.528149,46.607524
"Sitta_carolinensis",-87.33058,40.385324
"Sitta_carolinensis",-113.052063,53.414443
"Sitta_carolinensis",-105.19422,36.774471
"Sitta_carolinensis",-93.888104,46.153401
"Sitta_carolinensis",-120.663666,38.348148
"Sitta_carolinensis",-118.721706,34.599278
"Sitta_carolinensis",-101.63392,49.15631
"Sitta_carolinensis",-95.988922,50.431268
"Sitta_carolinensis",-106.698489,37.261715
"Sitta_carolinensis",-101.613333,19.523333
"Sitta_carolinensis",-115.206499,36.63175
"Sitta_carolinensis",-105.351166,35.265102
"Sitta_carolinensis",-101.792944,48.792432
"Sitta_carolinensis",-92.6314,37.4576
"Sitta_carolinensis",-79.3087,45.03539
"Sitta_carolinensis",-96.14007,33.651065
"Sitta_carolinensis",-97.049739,34.455306
"Sitta_carolinensis",-96.588364,50.569719
"Sitta_carolinensis",-109.018553,46.300847
"Sitta_carolinensis",-76.65125,40.28584
"Sitta_carolinensis",-78.534479,35.43538
"Sitta_carolinensis",-71.261208,43.828769
"Sitta_carolinensis",-109.11874,39.6527
"Sitta_carolinensis",-122.632742,41.744805
"Sitta_carolinensis",-76.654272,36.653021
"Sitta_carolinensis",-94.057769,43.988591
"Sitta_carolinensis",-121.361847,43.857733
"Sitta_carolinensis",-96.684666,42.079551
"Sitta_carolinensis",-82.446556,41.102962
"Sitta_carolinensis",-82.097485,34.66244
"Sitta_carolinensis",-78.177772,41.096546
"Sitta_carolinensis",-95.685983,34.168529
"Sitta_carolinensis",-102.25641,35.53083
"Sitta_carolinensis",-90.13119,32.15345
"Sitta_carolinensis",-80.956953,44.785189
"Sitta_carolinensis",-87.78952,36.08658
"Sitta_carolinensis",-99.29998,19.332668
"Sitta_carolinensis",-67.21895,46.09476
"Sitta_carolinensis",-90.748843,45.626946
"Sitta_carolinensis",-99.634023,50.968826
"Sitta_carolinensis",-79.853183,43.22748
"Sitta_carolinensis",-97.528038,37.209004
"Sitta_carolinensis",-113.34775,54.616269
"Sitta_carolinensis",-108.064868,35.325809
