"sp","decimallongitude","decimallatitude"
"Sorex_trowbridgii","-122.399567","37.53557"
"Sorex_trowbridgii","-122.2444","43.2617"
"Sorex_trowbridgii","-122.267669302136","48.9997179463304"
"Sorex_trowbridgii","-121.75","49.083333"
"Sorex_trowbridgii","-121.966667","49.05"
"Sorex_trowbridgii","-121.116667","49.166667"
"Sorex_trowbridgii","-122.75","49"
"Sorex_trowbridgii","-122.117958","49.066547"
"Sorex_trowbridgii","-122.33083","47.60639"
"Sorex_trowbridgii","-122.527336265138","47.176418774826"
"Sorex_trowbridgii","-123.5513","48.1314"
"Sorex_trowbridgii","-123.57808","48.06544"
"Sorex_trowbridgii","-123.4681","47.8614"
"Sorex_trowbridgii","-122.549229660433","46.8297199547738"
"Sorex_trowbridgii","-120.734971","48.3550819990634"
"Sorex_trowbridgii","-123.25","47.566667"
"Sorex_trowbridgii","-122.561371581235","43.746442699854"
"Sorex_trowbridgii","-123.086489768436","44.0519347190114"
"Sorex_trowbridgii","-121.8642","47.5497"
"Sorex_trowbridgii","-123.7239","47.3514999990601"
"Sorex_trowbridgii","-123.04486898975","48.0789111576115"
"Sorex_trowbridgii","-121.054366101872","46.9283067604058"
"Sorex_trowbridgii","-123.925565","46.407599999058"
"Sorex_trowbridgii","-120.578691443401","47.4656133911079"
"Sorex_trowbridgii","-122.548399829162","45.316228829125"
"Sorex_trowbridgii","-121.947662","47.204433"
"Sorex_trowbridgii","-122.450509287748","38.576383907352"
"Sorex_trowbridgii","-122.855834654277","39.7263121148285"
"Sorex_trowbridgii","-122.134807908454","46.2730266368318"
"Sorex_trowbridgii","-123.799040219252","39.3112877897638"
"Sorex_trowbridgii","-118.575047124006","35.7999074989537"
"Sorex_trowbridgii","-123.26016237394","47.5219104311082"
"Sorex_trowbridgii","-121.879519478163","48.8900217835399"
"Sorex_trowbridgii","-121.690946044773","48.6480237280195"
"Sorex_trowbridgii","-121.442","47.8880999990617"
"Sorex_trowbridgii","-123.901500084422","47.3549046088402"
"Sorex_trowbridgii","-123.763555244937","47.5235054234234"
"Sorex_trowbridgii","-123.901502596911","47.4707042147542"
"Sorex_trowbridgii","-124.289034","47.9178999990618"
"Sorex_trowbridgii","-124.0188","48.0810999990624"
"Sorex_trowbridgii","-124.2998","47.8888999990617"
"Sorex_trowbridgii","-123.858076","47.2214999990597"
"Sorex_trowbridgii","-123.9096","47.2359999990598"
"Sorex_trowbridgii","-123.215877","46.8760189990589"
"Sorex_trowbridgii","-123.673893316107","43.4548355509334"
"Sorex_trowbridgii","-123.515588503074","43.396437684845"
"Sorex_trowbridgii","-123.395991788813","43.7456349752698"
"Sorex_trowbridgii","-123.156685509176","43.7171375071125"
"Sorex_trowbridgii","-123.201872023496","42.8750467335531"
"Sorex_trowbridgii","-123.123270644311","42.9044470936481"
"Sorex_trowbridgii","-123.496579294986","42.8897438429239"
"Sorex_trowbridgii","-122.011139","47.081883"
"Sorex_trowbridgii","-121.956708559081","46.5350269830808"
"Sorex_trowbridgii","-124.36835","47.60593"
"Sorex_trowbridgii","-121.2705","48.6674999990647"
"Sorex_trowbridgii","-122.318423849353","46.8341221576183"
"Sorex_trowbridgii","-123.0903","47.961799999062"
"Sorex_trowbridgii","-122.7462","46.9448999990591"
"Sorex_trowbridgii","-122.157570512442","44.246941435781"
"Sorex_trowbridgii","-121.992364452589","44.1348440169989"
"Sorex_trowbridgii","-122.2438","44.2183999990571"
"Sorex_trowbridgii","-121.812299148956","46.7497273589208"
"Sorex_trowbridgii","-121.5777","46.6430999990584"
"Sorex_trowbridgii","-121.85054","46.994827"
"Sorex_trowbridgii","-121.603959","46.6897189990585"
"Sorex_trowbridgii","-121.6894","46.5560809990583"
"Sorex_trowbridgii","-121.546298","46.5892419990583"
"Sorex_trowbridgii","-121.9577","46.401360999058"
"Sorex_trowbridgii","-122.015304","46.1021799990575"
"Sorex_trowbridgii","-121.97909","46.1240199990576"
"Sorex_trowbridgii","-121.84642","45.8498199990572"
"Sorex_trowbridgii","-121.970891436764","45.637232008667"
"Sorex_trowbridgii","-122.020466","45.8857999990573"
"Sorex_trowbridgii","-124.050003","44.633335"
"Sorex_trowbridgii","-123.222659255759","47.4214111220256"
"Sorex_trowbridgii","-121.444335","49.380215"
"Sorex_trowbridgii","-121.293","47.629"
"Sorex_trowbridgii","-122.1029","47.9769"
"Sorex_trowbridgii","-121.929037820702","47.9832222918521"
"Sorex_trowbridgii","-124.485196840205","47.6743976950334"
"Sorex_trowbridgii","-121.992655398579","48.7080207440688"
"Sorex_trowbridgii","-122.462667759606","48.7047161156699"
"Sorex_trowbridgii","-123.4827","46.6562"
"Sorex_trowbridgii","-122.326125","46.8474189990588"
"Sorex_trowbridgii","-124.09","46.81"
"Sorex_trowbridgii","-121.74","47.9"
"Sorex_trowbridgii","-122.208733","47.681522"
"Sorex_trowbridgii","-120.7621","48.3731999990635"
"Sorex_trowbridgii","-120.938995449139","47.1953338594534"
"Sorex_trowbridgii","-122.4298","47.0029999990592"
"Sorex_trowbridgii","-121.9211","47.3951999990602"
"Sorex_trowbridgii","-121.640907805422","46.9025283358829"
"Sorex_trowbridgii","-121.569207807507","46.9944286490812"
"Sorex_trowbridgii","-121.575947188283","48.837224761822"
"Sorex_trowbridgii","-121.067033284595","48.8256956923742"
