"sp","decimallongitude","decimallatitude"
"Tamias_townsendii","-123.878585","46.132162"
"Tamias_townsendii","-124.022723221832","44.6366203411815"
"Tamias_townsendii","-123.332667","45.706415"
"Tamias_townsendii","-123.41740890636","48.0470885106627"
"Tamias_townsendii","-122.839487","45.498211"
"Tamias_townsendii","-124.0986","43.9828"
"Tamias_townsendii","-123.903504","45.714696"
"Tamias_townsendii","-124.031956086489","46.2977401522057"
"Tamias_townsendii","-122.433333","47.233333"
"Tamias_townsendii","-123.16206","47.621637"
"Tamias_townsendii","-123.5629","44.5402"
"Tamias_townsendii","-123.886936","45.51223"
"Tamias_townsendii","-123.75","44.948209"
"Tamias_townsendii","-122.16366938592","44.1750420618892"
"Tamias_townsendii","-123.685983952847","48.0086049016845"
"Tamias_townsendii","-121.90272","46.84795"
"Tamias_townsendii","-121.675878","46.897007"
"Tamias_townsendii","-121.0958","48.6958999990648"
"Tamias_townsendii","-122.697536","48.077312"
"Tamias_townsendii","-122.570139","45.327743"
"Tamias_townsendii","-122.114174","45.576967"
"Tamias_townsendii","-123.005666819318","48.0265536516182"
"Tamias_townsendii","-123.65452","46.147018"
"Tamias_townsendii","-122.675906957725","45.5233261405035"
"Tamias_townsendii","-121.803611","47.451111"
"Tamias_townsendii","-120.651662","48.525828"
"Tamias_townsendii","-123.950294","45.273658"
"Tamias_townsendii","-122.415358","48.627066"
"Tamias_townsendii","-121.749463471533","44.418943591958"
"Tamias_townsendii","-123.03","43.5"
"Tamias_townsendii","-123.9","43.25"
"Tamias_townsendii","-123.5","43.5"
"Tamias_townsendii","-123.75","43.1"
"Tamias_townsendii","-121.02","47.87"
"Tamias_townsendii","-123.93","43.5"
"Tamias_townsendii","-124.102","44.4517"
"Tamias_townsendii","-121.266789","48.666195"
"Tamias_townsendii","-122.652955","48.408248"
"Tamias_townsendii","-122.316432","48.622566"
"Tamias_townsendii","-123.616962","46.558875"
"Tamias_townsendii","-122.264439","49.006408"
"Tamias_townsendii","-122.979357","50.118519"
"Tamias_townsendii","-122.484964","47.447231"
"Tamias_townsendii","-122.819747957104","46.2080464547404"
"Tamias_townsendii","-123.112027","47.390843"
"Tamias_townsendii","-123.093897","44.057354"
"Tamias_townsendii","-123.923095","45.978607"
"Tamias_townsendii","-120.594095","46.991518"
"Tamias_townsendii","-121.51530394037","46.8719296505722"
"Tamias_townsendii","-121.866667","49.233333"
"Tamias_townsendii","-122.883333","49.05"
"Tamias_townsendii","-122.133333","49.016667"
"Tamias_townsendii","-123.85","45.45"
"Tamias_townsendii","-123.75","45.25"
"Tamias_townsendii","-124.068420393735","44.4266218235032"
"Tamias_townsendii","-124.083333","43.7"
"Tamias_townsendii","-123.627778","44.726389"
"Tamias_townsendii","-122.844220610317","46.0083213843243"
"Tamias_townsendii","-121.787271389928","44.8069398951282"
"Tamias_townsendii","-121.946971984646","44.6200400038997"
"Tamias_townsendii","-122.989119035884","45.7434216661527"
"Tamias_townsendii","-122.333367377591","45.938221678238"
"Tamias_townsendii","-122.436995581597","45.8658261425578"
"Tamias_townsendii","-121.521675971332","45.4186376792789"
"Tamias_townsendii","-121.768095639778","46.1233309258468"
"Tamias_townsendii","-122.877862489804","42.7688510052972"
"Tamias_townsendii","-121.43985588807","49.383026245932"
"Tamias_townsendii","-124.1917","43.3636"
"Tamias_townsendii","-123.376767724809","46.1974951325508"
"Tamias_townsendii","-121.178702565465","47.2369314632729"
"Tamias_townsendii","-122.670389206453","45.9556143668473"
"Tamias_townsendii","-122.274821539635","46.7754818323924"
"Tamias_townsendii","-121.704519658945","46.3610012392584"
"Tamias_townsendii","-122.3992015295","45.6014082219352"
"Tamias_townsendii","-122.405906517589","45.8513475280481"
"Tamias_townsendii","-124.143192127225","42.7455396530375"
"Tamias_townsendii","-124.379097670309","42.7455374516292"
"Tamias_townsendii","-123.4092751687","47.9330078415248"
"Tamias_townsendii","-122.134807908454","46.2730266368318"
"Tamias_townsendii","-123.513274112975","42.5600478535594"
"Tamias_townsendii","-123.535975176192","42.5913472406171"
"Tamias_townsendii","-122.406216839635","46.2750240437976"
"Tamias_townsendii","-124.0564","42.6289"
"Tamias_townsendii","-124.200290491104","42.5711413663614"
