"sp","decimallongitude","decimallatitude"
"Thomomys_talpoides","-97.2","49"
"Thomomys_talpoides","-107.06694","51.699928"
"Thomomys_talpoides","-120.5857","47.0258"
"Thomomys_talpoides","-104.907003","50.767877"
"Thomomys_talpoides","-112.901495","53.236003"
"Thomomys_talpoides","-109.215517","38.455202"
"Thomomys_talpoides","-113.947367","46.821717"
"Thomomys_talpoides","-106.6454","38.9697"
"Thomomys_talpoides","-106.043927","35.980616"
"Thomomys_talpoides","-120.152429","46.995834"
"Thomomys_talpoides","-105.703708719294","35.7754234773673"
"Thomomys_talpoides","-110.37453","41.01852"
"Thomomys_talpoides","-106.652146629934","36.0949660491632"
"Thomomys_talpoides","-107.184848488889","37.414658243179"
"Thomomys_talpoides","-105.506165","40.448032"
"Thomomys_talpoides","-112.185509","44.486205"
"Thomomys_talpoides","-119.35","50.233333"
"Thomomys_talpoides","-119.139671","50.55085"
"Thomomys_talpoides","-119.336111","49.038611"
"Thomomys_talpoides","-120.50616","49.197852"
"Thomomys_talpoides","-120.273243","50.247786"
"Thomomys_talpoides","-120.95873","49.320419"
"Thomomys_talpoides","-116.550815775153","49.1830712732791"
"Thomomys_talpoides","-113.881389","49.050278"
"Thomomys_talpoides","-120.416667","50.683333"
"Thomomys_talpoides","-118.399406644826","46.0464618597497"
"Thomomys_talpoides","-109.086544","36.457039"
"Thomomys_talpoides","-112.207921878767","36.6382410802269"
"Thomomys_talpoides","-120.716469","46.996545"
"Thomomys_talpoides","-119.297347643553","47.1245092195351"
"Thomomys_talpoides","-97.8496","47.8259"
"Thomomys_talpoides","-112.1275","36.44722"
"Thomomys_talpoides","-112.08333","35.83333"
"Thomomys_talpoides","-105.692783","39.726218"
"Thomomys_talpoides","-105.725673353435","39.6960180381644"
"Thomomys_talpoides","-105.879178","39.663598"
"Thomomys_talpoides","-104.777728","39.545993"
"Thomomys_talpoides","-111.831879","40.763557"
"Thomomys_talpoides","-108.490154","40.689501"
"Thomomys_talpoides","-105.1911","39.653599"
"Thomomys_talpoides","-106.507867","35.807433"
"Thomomys_talpoides","-106.347543","36.55194"
"Thomomys_talpoides","-111.994348","45.381596"
"Thomomys_talpoides","-106.321111","35.778889"
"Thomomys_talpoides","-107.600895907485","35.2420023201418"
"Thomomys_talpoides","-106.391984","41.40528"
"Thomomys_talpoides","-112.833333","53.016667"
"Thomomys_talpoides","-113.733333","52.466667"
