"SpName","modelName","pval","adjRsquare","MinMass_used","MaxMass_used","Mean_used","es_bio1","pval_bio1","adjPval_bio1","sig_bio1_f","sig_bio1_nf","bio1_mean","bio1_breadth","es_bio12","pval_bio12","adjPval_bio12","sig_bio12_f","sig_bio12_nf","bio12_mean","bio12_breadth","es_bio4","pval_bio4","adjPval_bio4","sig_bio4_f","sig_bio4_nf","bio4_mean","bio4_breadth","es_bio15","pval_bio15","adjPval_bio15","sig_bio15_f","sig_bio15_nf","bio15_mean","bio15_breadth"
"Accipiter_cooperii","m8",1.3922729615469e-15,0.118503333675161,92.5,672,366.7028089,0.0241498477692775,0.705532886805511,0.770163940495265,"NS","NS",114.042760600744,208,0.0795361532156647,0.0918342651722802,0.186872051222663,"NS","NS",758.220047179711,1429,0.165915970161627,0.0328068727883899,0.0648135779477947,"NS","Pos",8013.08837381106,9997,-0.138479358545231,0.097405921868012,0.188030819404673,"NS","NS",43.0311251773436,91
"Accipiter_gentilis","m8",2.31904546057956e-08,0.178567289541525,274.8,1450,890.053379,-0.143013586654949,0.0721741080265355,0.129913394447764,"NS","NS",51.2234751774099,173,0.00960978982870918,0.892499721565834,0.919864310341219,"NS","NS",724.913991129868,1588,0.263296841991132,0.00235899323902414,0.0061048378051549,"Pos","Pos",9523.9143497286,8723.8,0.22721506476472,0.000720842867038149,0.00335611396520917,"Pos","Pos",39.1944123796583,65
"Aegolius_acadicus","m8",0.483936689791963,-0.00169445275556157,47.7,142,78.88825939,-0.0825849015139861,0.238534562867264,0.354690523915671,"NS","NS",64.9984058386943,139,-0.0372788602619644,0.644684707517496,0.749687659685086,"NS","NS",789.9571776013,1825,0.00357486376309914,0.967680153344729,0.967680153344729,"NS","NS",9055.48375568483,9019,0.0118938362147604,0.87708423835792,0.910425785466222,"NS","NS",37.4609996082678,74
"Aimophila_ruficeps","m10",1.85337175221726e-06,0.09577589126137,11.4,28.3,18.83044872,0.0527622436078628,0.383475264191591,0.512298985755954,"NS","NS",158.819756538629,140,0.161635287449726,0.0060173571947384,0.0219382814391504,"Pos","Pos",572.935383945615,1061.925,-9999,-9999,-9999,"Exl","Exl",5925.8248719065,7286.925,-0.172938786436294,0.00415198193667081,0.0151374341441123,"Neg","Neg",70.3941344898028,80
"Ammospermophilus_leucurus","m8",0.00581120287846888,0.0404817369196225,23,145,87.76106918,0.204060232970364,0.00769023028823772,0.0187861339898379,"Pos","Pos",140.637464788732,148,0.207423988496278,0.00360389429638563,0.0143336704969883,"Pos","Pos",220.763541247485,335,-9999,-9999,-9999,"Exl","Exl",7423.34645875251,5896,-0.102712054101462,0.131271746349914,0.239297454283697,"NS","NS",47.711106639839,81
"Antrozous_pallidus","m8",8.89810897949059e-06,0.180647003816676,5.7,27.6,16.71852349,-0.306283450466561,0.0010147491594692,0.00369195970785602,"Neg","Neg",156.667876270084,152,-0.229346227573841,0.0108654489712991,0.0345718830904971,"Neg","Neg",405.212742129236,991,-9999,-9999,-9999,"Exl","Exl",6452.16558010912,6473,0.053982417264812,0.551205211200848,0.68900651400106,"NS","NS",66.2308611542119,84
"Aphelocoma_californica","m8",1.05538497390818e-37,0.123609641577509,33.5,118.8,84.33857654,-0.0123346121839063,0.676108386559242,0.760621934879147,"NS","NS",121.716997660047,188,0.343981841990793,9.17483394625568e-34,4.01398985148686e-32,"Pos","Pos",455.460298794024,1393,0.0501912635825338,0.0738111792671031,0.135879670923531,"NS","NS",7006.57610847783,7547,-0.038880118235459,0.168293989379751,0.288739687661338,"NS","NS",52.9727245455091,82
"Aplodontia_rufa","m10",0.00997003373326947,0.0712299894743089,335,1700.97,903.2433553,-0.321979982680392,0.00218645552913314,0.00692377584225494,"Neg","Neg",79.7776725944959,101,0.141169674593491,0.0990787920291469,0.199296420748284,"NS","NS",1563.77273649334,2160.3,-9999,-9999,-9999,"Exl","Exl",5095.53336939617,4045.6,-0.0403887808385602,0.706409987526366,0.792447101391757,"NS","NS",63.1339509094597,41
"Archilochus_colubris","m8",0.00107706809586649,0.0571828687058662,1.08,5.2,2.824848485,0.0269758110833807,0.794361795253931,0.828267481636721,"NS","NS",120.790049797504,249,-0.138245298694092,0.0305805641359885,0.0775594017941737,"NS","Neg",1059.85526438135,1606,-9999,-9999,-9999,"Exl","Exl",8186.05463777999,11905,-0.130444605259476,0.0572568559848363,0.117881762321722,"NS","NS",35.4842368170923,87
"Auriparus_flaviceps","m8",3.89915412154076e-12,0.213732407163521,4.5,13,6.814169884,-0.0340782067199601,0.546271743357766,0.657834282494211,"NS","NS",186.635483808528,116,0.389642117581607,5.36597224651543e-10,7.825376192835e-09,"Pos","Pos",388.664189071482,712,-0.10844868286811,0.0897061957943024,0.157960909985619,"NS","NS",6131.22591603275,5810,-0.120762275608641,0.0387357853709671,0.0836884251841882,"NS","Neg",68.623841046784,80
