"sp","decimallongitude","decimallatitude"
"Aphelocoma_californica","-122.297745","37.855813"
"Aphelocoma_californica","-121.92297","36.53617"
"Aphelocoma_californica","-117.237875","32.810254"
"Aphelocoma_californica","-119.066667","34.35"
"Aphelocoma_californica","-110.85195","32.265071"
"Aphelocoma_californica","-122.590425","38.096509"
"Aphelocoma_californica","-99.148791","30.050059"
"Aphelocoma_californica","-118.129859","34.133865"
"Aphelocoma_californica","-108.768777","33.675524"
"Aphelocoma_californica","-107.5177","39.533703"
"Aphelocoma_californica","-119.002959","36.068048"
"Aphelocoma_californica","-121.632761","39.775017"
"Aphelocoma_californica","-121.976306","37.007573"
"Aphelocoma_californica","-111.890379","40.853086"
"Aphelocoma_californica","-122.041626","40.750118"
"Aphelocoma_californica","-121.749673","38.563234"
"Aphelocoma_californica","-122.344454","37.254845"
"Aphelocoma_californica","-121.530145","38.635361"
"Aphelocoma_californica","-121.819324","36.868154"
"Aphelocoma_californica","-122.532406","45.56785"
"Aphelocoma_californica","-120.85742","35.47346"
"Aphelocoma_californica","-122.52621","37.85001"
"Aphelocoma_californica","-119.79362","34.44068"
"Aphelocoma_californica","-120.018795","37.61583"
"Aphelocoma_californica","-122.143451","37.698835"
"Aphelocoma_californica","-120.518539","34.575949"
"Aphelocoma_californica","-106.384199","35.086488"
"Aphelocoma_californica","-106.289874","35.905741"
"Aphelocoma_californica","-105.027972","38.393549"
"Aphelocoma_californica","-121.341975","38.649269"
"Aphelocoma_californica","-121.988532697914","37.8171028056266"
"Aphelocoma_californica","-117.06589","33.05282"
"Aphelocoma_californica","-112.384971","36.721257"
"Aphelocoma_californica","-118.926144","36.054373"
"Aphelocoma_californica","-105.195057","38.299211"
"Aphelocoma_californica","-121.469","37.1966"
"Aphelocoma_californica","-106.337657","35.646347"
"Aphelocoma_californica","-105.898596","35.686798"
"Aphelocoma_californica","-121.420228","38.276112"
"Aphelocoma_californica","-121.120423","37.942406"
"Aphelocoma_californica","-121.967179","38.520202"
"Aphelocoma_californica","-105.162241","39.593879"
"Aphelocoma_californica","-119.775802","39.595027"
"Aphelocoma_californica","-122.26108","38.17492"
"Aphelocoma_californica","-121.37508","37.1307"
"Aphelocoma_californica","-110.02372","34.200338"
"Aphelocoma_californica","-121.821002","36.955672"
"Aphelocoma_californica","-117.427429","33.613239"
"Aphelocoma_californica","-101.324844","23.245684"
"Aphelocoma_californica","-106.628655","35.204246"
"Aphelocoma_californica","-122.221957","37.880907"
"Aphelocoma_californica","-118.758945","36.511706"
"Aphelocoma_californica","-123.110057","38.43975"
"Aphelocoma_californica","-119.828353","39.48947"
"Aphelocoma_californica","-121.524397","38.898075"
"Aphelocoma_californica","-122.283612","47.540394"
"Aphelocoma_californica","-117.265926","33.002486"
"Aphelocoma_californica","-117.75743","33.513374"
"Aphelocoma_californica","-119.987643","37.639057"
"Aphelocoma_californica","-121.291991","36.73143"
"Aphelocoma_californica","-113.063607","37.378845"
"Aphelocoma_californica","-111.810958","40.71065"
"Aphelocoma_californica","-122.831502","45.502526"
"Aphelocoma_californica","-124.363764","42.462584"
"Aphelocoma_californica","-123.802037","39.423632"
"Aphelocoma_californica","-110.605481","32.306758"
"Aphelocoma_californica","-121.928927","37.435987"
"Aphelocoma_californica","-99.247566","29.788399"
"Aphelocoma_californica","-104.86206","38.77937"
"Aphelocoma_californica","-105.89154","35.53812"
"Aphelocoma_californica","-119.73645","36.92526"
