"sp","decimallongitude","decimallatitude"
"Baeolophus_bicolor","-88.969667","37.300617"
"Baeolophus_bicolor","-98.5","39.76"
"Baeolophus_bicolor","-89.25037","40.00032"
"Baeolophus_bicolor","-86.381078","32.476641"
"Baeolophus_bicolor","-91.257591","30.695497"
"Baeolophus_bicolor","-73.222675","41.702525"
"Baeolophus_bicolor","-81.557962","30.506434"
"Baeolophus_bicolor","-81.397588","30.313592"
"Baeolophus_bicolor","-71.44977","42.43283"
"Baeolophus_bicolor","-82.341156","29.562707"
"Baeolophus_bicolor","-90.145928","41.873837"
"Baeolophus_bicolor","-77.031922","39.053442"
"Baeolophus_bicolor","-81.898597","27.969225"
"Baeolophus_bicolor","-76.542925","38.886588"
"Baeolophus_bicolor","-76.104526","38.753531"
"Baeolophus_bicolor","-81.933584","29.727141"
"Baeolophus_bicolor","-82.279186","33.792416"
"Baeolophus_bicolor","-76.297552","38.496976"
"Baeolophus_bicolor","-73.374789","41.816853"
"Baeolophus_bicolor","-76.632101","38.936225"
"Baeolophus_bicolor","-84.260294","31.647189"
"Baeolophus_bicolor","-86.460041","35.78332"
"Baeolophus_bicolor","-74.748712","41.601241"
"Baeolophus_bicolor","-72.186356","41.592851"
"Baeolophus_bicolor","-74.560072","40.466805"
"Baeolophus_bicolor","-76.752934","39.083118"
"Baeolophus_bicolor","-84.400537","37.929191"
"Baeolophus_bicolor","-73.821945","41.680605"
"Baeolophus_bicolor","-89.04626","42.18253"
"Baeolophus_bicolor","-71.189392","42.677575"
"Baeolophus_bicolor","-77.015877","39.025052"
"Baeolophus_bicolor","-97.14386","36.100851"
"Baeolophus_bicolor","-80.299437","36.15392"
"Baeolophus_bicolor","-75.31489","40.443804"
"Baeolophus_bicolor","-77.206979","39.417862"
"Baeolophus_bicolor","-83.098121","42.600467"
"Baeolophus_bicolor","-73.010635","41.449011"
"Baeolophus_bicolor","-82.018563","34.145791"
"Baeolophus_bicolor","-84.225266","33.881528"
"Baeolophus_bicolor","-76.421692","42.910675"
"Baeolophus_bicolor","-87.495117","34.888184"
"Baeolophus_bicolor","-90.436468","38.515397"
"Baeolophus_bicolor","-94.448841","32.762792"
"Baeolophus_bicolor","-75.633442","39.743071"
"Baeolophus_bicolor","-81.152961","29.160152"
"Baeolophus_bicolor","-74.505458","40.505321"
"Baeolophus_bicolor","-82.779558","28.196584"
"Baeolophus_bicolor","-84.202461","30.64278"
"Baeolophus_bicolor","-94.238792","31.025166"
"Baeolophus_bicolor","-77.235603","38.638327"
"Baeolophus_bicolor","-86.80701","33.886814"
"Baeolophus_bicolor","-72.564636","41.706581"
"Baeolophus_bicolor","-84.07847","35.94773"
"Baeolophus_bicolor","-94.540958","37.011189"
"Baeolophus_bicolor","-86.698265","36.108456"
"Baeolophus_bicolor","-95.209926","30.028529"
"Baeolophus_bicolor","-94.518127","37.169072"
"Baeolophus_bicolor","-78.513054","38.019545"
"Baeolophus_bicolor","-76.788452","40.268795"
"Baeolophus_bicolor","-74.79578","39.219322"
"Baeolophus_bicolor","-79.921049","32.729783"
"Baeolophus_bicolor","-85.38637","40.19334"
"Baeolophus_bicolor","-87.247218","38.378167"
"Baeolophus_bicolor","-73.966144","40.786058"
"Baeolophus_bicolor","-80.74989","33.7951"
"Baeolophus_bicolor","-77.886549","35.899919"
"Baeolophus_bicolor","-81.393633","41.144374"
"Baeolophus_bicolor","-75.06285","39.60008"
"Baeolophus_bicolor","-75.288277","43.126547"
"Baeolophus_bicolor","-95.912209","32.810613"
"Baeolophus_bicolor","-72.251093","43.792721"
"Baeolophus_bicolor","-96.634798","34.438487"
"Baeolophus_bicolor","-84.08309","42.48115"
"Baeolophus_bicolor","-84.316573","39.915477"
"Baeolophus_bicolor","-84.334584","45.410623"
"Baeolophus_bicolor","-73.057022","44.227212"
"Baeolophus_bicolor","-81.74737","33.51543"
"Baeolophus_bicolor","-84.307977","33.759272"
"Baeolophus_bicolor","-80.641361","35.397167"
"Baeolophus_bicolor","-82.692643","27.815778"
"Baeolophus_bicolor","-88.277249","34.980318"
"Baeolophus_bicolor","-80.952922","38.031301"
"Baeolophus_bicolor","-84.25976","39.84684"
"Baeolophus_bicolor","-97.099663","32.786078"
"Baeolophus_bicolor","-77.682819","40.774257"
"Baeolophus_bicolor","-74.070532","42.012029"
"Baeolophus_bicolor","-87.1245","39.019917"
"Baeolophus_bicolor","-95.569115","29.767611"
"Baeolophus_bicolor","-82.056895","35.897314"
"Baeolophus_bicolor","-70.846002","42.744712"
"Baeolophus_bicolor","-81.376848","30.226259"
"Baeolophus_bicolor","-74.773872","40.375758"
"Baeolophus_bicolor","-96.72335","32.69197"
"Baeolophus_bicolor","-84.179955","30.074218"
"Baeolophus_bicolor","-85.477753","37.924159"
"Baeolophus_bicolor","-72.96485","41.32643"
"Baeolophus_bicolor","-73.700483","40.95278"
"Baeolophus_bicolor","-82.435226","40.597792"
"Baeolophus_bicolor","-74.382315","41.569931"
"Baeolophus_bicolor","-78.639793","35.75019"
"Baeolophus_bicolor","-95.45151","39.29578"
"Baeolophus_bicolor","-74.938613","38.958041"
"Baeolophus_bicolor","-70.653865","42.673059"
"Baeolophus_bicolor","-77.292555","39.200551"
