"sp","decimallongitude","decimallatitude"
"Baeolophus_inornatus","-109.968875","23.555428"
"Baeolophus_inornatus","-122.81436","42.61309"
"Baeolophus_inornatus","-121.353562","36.269581"
"Baeolophus_inornatus","-118.481572","35.589735"
"Baeolophus_inornatus","-118.24391","34.05221"
"Baeolophus_inornatus","-122.219814","37.794449"
"Baeolophus_inornatus","-121.906113","37.662231"
"Baeolophus_inornatus","-120.970631","35.857822"
"Baeolophus_inornatus","-122.042012","37.992882"
"Baeolophus_inornatus","-118.19654","34.251399"
"Baeolophus_inornatus","-117.19571","33.430169"
"Baeolophus_inornatus","-122.721821","39.007633"
"Baeolophus_inornatus","-116.257594055154","34.0374703590611"
"Baeolophus_inornatus","-120.287463","37.641513"
"Baeolophus_inornatus","-116.505413","33.110659"
"Baeolophus_inornatus","-122.45585","40.49577"
"Baeolophus_inornatus","-122.611456","38.014693"
"Baeolophus_inornatus","-122.251278","37.854594"
"Baeolophus_inornatus","-118.110001","34.341717"
"Baeolophus_inornatus","-120.172148","37.577848"
"Baeolophus_inornatus","-119.928888","37.431409"
"Baeolophus_inornatus","-119.871923","37.417289"
"Baeolophus_inornatus","-122.10166","37.0254"
"Baeolophus_inornatus","-121.923247","36.624783"
"Baeolophus_inornatus","-121.38338","37.1581"
"Baeolophus_inornatus","-117.341623","33.580069"
"Baeolophus_inornatus","-121.404916","38.269858"
"Baeolophus_inornatus","-119.890076","34.998363"
"Baeolophus_inornatus","-117.962565","34.138129"
"Baeolophus_inornatus","-119.728328","34.417561"
"Baeolophus_inornatus","-121.904222","36.977924"
"Baeolophus_inornatus","-121.473083","37.337408"
"Baeolophus_inornatus","-121.173019","37.053533"
"Baeolophus_inornatus","-121.234817","36.426808"
"Baeolophus_inornatus","-122.041626","38.500221"
"Baeolophus_inornatus","-122.798266","38.044238"
"Baeolophus_inornatus","-116.598061","33.602065"
"Baeolophus_inornatus","-119.63268","37.319484"
"Baeolophus_inornatus","-121.925583","37.870585"
"Baeolophus_inornatus","-121.275313","38.627605"
"Baeolophus_inornatus","-116.47893","32.69946"
"Baeolophus_inornatus","-121.6572","36.73444"
"Baeolophus_inornatus","-121.905531","36.56422"
"Baeolophus_inornatus","-122.088296","37.432767"
"Baeolophus_inornatus","-117.79443","33.78925"
"Baeolophus_inornatus","-122.062105","38.686682"
"Baeolophus_inornatus","-121.049983","39.254578"
"Baeolophus_inornatus","-120.555291","35.458284"
"Baeolophus_inornatus","-122.042435015518","38.3573938207549"
"Baeolophus_inornatus","-119.338474","34.912118"
"Baeolophus_inornatus","-117.382908","33.444763"
"Baeolophus_inornatus","-120.976381","38.684471"
"Baeolophus_inornatus","-122.707994","42.188318"
"Baeolophus_inornatus","-123.23405","39.180577"
"Baeolophus_inornatus","-116.88128","32.919424"
"Baeolophus_inornatus","-117.803435","34.368272"
"Baeolophus_inornatus","-121.156025","36.477494"
"Baeolophus_inornatus","-122.00752","37.401245"
"Baeolophus_inornatus","-122.407692","38.631207"
"Baeolophus_inornatus","-122.126309","38.154487"
"Baeolophus_inornatus","-122.768252","38.484004"
"Baeolophus_inornatus","-122.19573","40.668293"
"Baeolophus_inornatus","-117.512512","34.301188"
"Baeolophus_inornatus","-122.717285","38.419166"
"Baeolophus_inornatus","-122.59189","38.58609"
"Baeolophus_inornatus","-121.20562","36.82655"
"Baeolophus_inornatus","-122.842576","38.443902"
"Baeolophus_inornatus","-122.240837","38.400195"
"Baeolophus_inornatus","-122.81815","42.27545"
"Baeolophus_inornatus","-121.05527","39.332073"
"Baeolophus_inornatus","-116.778305","32.837761"
"Baeolophus_inornatus","-120.681733","35.652177"
"Baeolophus_inornatus","-120.127652","37.654739"
"Baeolophus_inornatus","-121.714423","37.639536"
"Baeolophus_inornatus","-122.20479","37.817641"
"Baeolophus_inornatus","-120.81824","36.371546"
"Baeolophus_inornatus","-121.507504","38.652935"
"Baeolophus_inornatus","-118.937602","36.272459"
"Baeolophus_inornatus","-121.79924","39.223743"
"Baeolophus_inornatus","-122.018436","36.972063"
"Baeolophus_inornatus","-121.595413","36.390999"
"Baeolophus_inornatus","-119.61942","34.42408"
"Baeolophus_inornatus","-120.73201","35.17998"
"Baeolophus_inornatus","-120.144424","34.583475"
"Baeolophus_inornatus","-119.886246","37.478945"
"Baeolophus_inornatus","-119.974753","37.257296"
"Baeolophus_inornatus","-117.142067","33.477738"
"Baeolophus_inornatus","-117.57862","33.67539"
"Baeolophus_inornatus","-120.471296","38.083771"
"Baeolophus_inornatus","-121.740066","38.54491"
"Baeolophus_inornatus","-121.622128","36.934954"
"Baeolophus_inornatus","-116.704371","32.614197"
"Baeolophus_inornatus","-121.94622","39.72892"
"Baeolophus_inornatus","-118.034277","34.015317"
"Baeolophus_inornatus","-120.55738","38.078421"
"Baeolophus_inornatus","-117.585597","33.604826"
"Baeolophus_inornatus","-121.017029","36.629776"
"Baeolophus_inornatus","-122.236719","37.42685"
"Baeolophus_inornatus","-120.751625","36.367428"
"Baeolophus_inornatus","-118.631283","34.135864"
"Baeolophus_inornatus","-118.76357","36.199417"
"Baeolophus_inornatus","-120.464112","34.599369"
"Baeolophus_inornatus","-117.759232","34.17595"
"Baeolophus_inornatus","-122.847735","38.591381"
"Baeolophus_inornatus","-120.774164","38.335285"
"Baeolophus_inornatus","-121.1561","38.651089"
"Baeolophus_inornatus","-120.336406","34.836914"
"Baeolophus_inornatus","-116.570936","34.050906"
"Baeolophus_inornatus","-117.116747","33.075073"
"Baeolophus_inornatus","-121.813854","36.35424"
"Baeolophus_inornatus","-121.951945","37.084972"
"Baeolophus_inornatus","-118.72699","34.135021"
"Baeolophus_inornatus","-118.022046","34.471892"
"Baeolophus_inornatus","-121.9","37.333333"
"Baeolophus_inornatus","-117.03937","32.841637"
"Baeolophus_inornatus","-122.593549","42.14009"
