"sp","decimallongitude","decimallatitude"
"Blarina_brevicauda","-73.380636","41.147465"
"Blarina_brevicauda","-77.999117","44.610052"
"Blarina_brevicauda","-92.276788","38.926381"
"Blarina_brevicauda","-81.975346","41.001329"
"Blarina_brevicauda","-92.33389","38.966167"
"Blarina_brevicauda","-97.31367","46.531894"
"Blarina_brevicauda","-97.26102","46.50584"
"Blarina_brevicauda","-91.204028","47.383792"
"Blarina_brevicauda","-74.6598","40.3495"
"Blarina_brevicauda","-79.89768","40.444693"
"Blarina_brevicauda","-71.318772","42.461145"
"Blarina_brevicauda","-70.916101","42.470987"
"Blarina_brevicauda","-78.623768","43.900447"
"Blarina_brevicauda","-77.619701","39.346338"
"Blarina_brevicauda","-72.605278","41.40125"
"Blarina_brevicauda","-69.9646","45.8937"
"Blarina_brevicauda","-79.73","38.47"
"Blarina_brevicauda","-76.974492","38.908038"
"Blarina_brevicauda","-71.300011","44.060231"
"Blarina_brevicauda","-88.024384","41.783084"
"Blarina_brevicauda","-81.04691","43.0523299990588"
"Blarina_brevicauda","-83.381744","33.90143"
"Blarina_brevicauda","-73.229483","44.507911"
"Blarina_brevicauda","-77.80158","44.381077"
"Blarina_brevicauda","-85.883834","39.03539"
"Blarina_brevicauda","-64.939898","47.795111"
"Blarina_brevicauda","-91.667201","47.016613"
"Blarina_brevicauda","-84.286842","33.84842"
"Blarina_brevicauda","-75.035562","40.301784"
"Blarina_brevicauda","-84.79759","43.59074"
"Blarina_brevicauda","-84.7622","43.9425"
"Blarina_brevicauda","-85.848624","43.9447"
"Blarina_brevicauda","-84.7675","43.597778"
"Blarina_brevicauda","-84.363056","45.998056"
"Blarina_brevicauda","-84.37","42.6"
"Blarina_brevicauda","-85.05578","43.71979"
"Blarina_brevicauda","-83.7281711751929","42.2216557413771"
"Blarina_brevicauda","-85.027778","43.685278"
"Blarina_brevicauda","-84.6793046130098","45.5649289035713"
"Blarina_brevicauda","-84.710833","44.663056"
"Blarina_brevicauda","-84.79920569889","44.0191381669059"
"Blarina_brevicauda","-84.7886762185036","44.5135346781784"
"Blarina_brevicauda","-84.6063014948221","45.0273316956601"
"Blarina_brevicauda","-86.39587","46.37016"
"Blarina_brevicauda","-85.55","44.73"
"Blarina_brevicauda","-78.916667","42.866667"
"Blarina_brevicauda","-79.583333","43.966667"
"Blarina_brevicauda","-83.517497","44.270721"
"Blarina_brevicauda","-83.8377","35.9598"
"Blarina_brevicauda","-84.641323","43.004208"
"Blarina_brevicauda","-84.4838941302829","42.7042500507525"
"Blarina_brevicauda","-84.602211","42.736918"
"Blarina_brevicauda","-81.539964","41.131781"
"Blarina_brevicauda","-77.53","39.58"
"Blarina_brevicauda","-68.4224","45.0003"
"Blarina_brevicauda","-90.858","47.599"
"Blarina_brevicauda","-71.465","40.3467"
"Blarina_brevicauda","-94.022","47.821"
"Blarina_brevicauda","-77.5906","38.885"
"Blarina_brevicauda","-89.3814","44.3334"
"Blarina_brevicauda","-75.0663","40.4226"
"Blarina_brevicauda","-71.981499","44.589165"
"Blarina_brevicauda","-75.3592","41.3333"
"Blarina_brevicauda","-89.3828","44.337"
"Blarina_brevicauda","-89.517","37.835"
"Blarina_brevicauda","-69.82","46.08"
"Blarina_brevicauda","-75.3831","41.0725"
"Blarina_brevicauda","-77.1589","38.7031"
"Blarina_brevicauda","-77.7867","38.1533"
"Blarina_brevicauda","-77.1872","38.7892"
"Blarina_brevicauda","-78.0817","38.8183"
"Blarina_brevicauda","-90.858","47.738"
"Blarina_brevicauda","-79.1","38.78"
"Blarina_brevicauda","-89.6634","44.6409"
"Blarina_brevicauda","-77.09389","39.042156"
"Blarina_brevicauda","-89.5325","45.9861"
"Blarina_brevicauda","-71.75","45.333333"
"Blarina_brevicauda","-65.333925","48.00809"
"Blarina_brevicauda","-81.331128","42.953135"
"Blarina_brevicauda","-101.238183","53.82387"
"Blarina_brevicauda","-78.338361","45.792027"
"Blarina_brevicauda","-79.42","43.7"
"Blarina_brevicauda","-80.26312","43.5641999990579"
"Blarina_brevicauda","-83.06994","42.259695"
"Blarina_brevicauda","-74.182253","40.47417"
"Blarina_brevicauda","-74.798266","44.156452"
"Blarina_brevicauda","-85.2877","37.5273"
"Blarina_brevicauda","-84.2866","37.9875"
"Blarina_brevicauda","-84.3894","37.8605"
"Blarina_brevicauda","-84.4655","38.0582"
"Blarina_brevicauda","-78.6142","39.3171"
"Blarina_brevicauda","-83.1613","37.4543"
"Blarina_brevicauda","-83.6099","37.764"
"Blarina_brevicauda","-83.3782","38.5316"
"Blarina_brevicauda","-81.3785","41.52"
"Blarina_brevicauda","-80.246674","36.025597"
"Blarina_brevicauda","-78.412039","40.547161"
"Blarina_brevicauda","-79.10195","43.8310699990575"
"Blarina_brevicauda","-79.179","43.831"
"Blarina_brevicauda","-79.616667","43.8"
"Blarina_brevicauda","-71.137239","42.160765"
"Blarina_brevicauda","-75.063325","41.672322"
"Blarina_brevicauda","-77.003213","39.586792"
"Blarina_brevicauda","-72.74862","44.363614"
"Blarina_brevicauda","-76.451","42.4465"
"Blarina_brevicauda","-76.473922","42.451402"
"Blarina_brevicauda","-84.244849","43.980576"
"Blarina_brevicauda","-95.2675","38.601063"
"Blarina_brevicauda","-83.7438","42.4395"
"Blarina_brevicauda","-72.9256","41.314888"
"Blarina_brevicauda","-74.260861","41.191896"
"Blarina_brevicauda","-67.764841","45.787868"
"Blarina_brevicauda","-90.42889","42.28628"
"Blarina_brevicauda","-80.763698","40.602723"
"Blarina_brevicauda","-88.928206","37.920502"
"Blarina_brevicauda","-89.21667","37.690971"
"Blarina_brevicauda","-88.721337","38.140066"
"Blarina_brevicauda","-79.939299","43.944442"
"Blarina_brevicauda","-88.1290741195311","40.1132777491076"
"Blarina_brevicauda","-88.11028","40.11333"
"Blarina_brevicauda","-71.579513","42.630093"
"Blarina_brevicauda","-72.532928","43.373713"
"Blarina_brevicauda","-72.665209","44.688545"
"Blarina_brevicauda","-88.925728","43.036983"
"Blarina_brevicauda","-83.5736581626399","35.6631690745272"
"Blarina_brevicauda","-83.382936","35.707039"
"Blarina_brevicauda","-83.1347","35.4633"
"Blarina_brevicauda","-87.800344","42.181692"
"Blarina_brevicauda","-88.443686","41.761418"
"Blarina_brevicauda","-87.828968","41.900237"
"Blarina_brevicauda","-87.650052","41.850033"
"Blarina_brevicauda","-87.470038","41.450036"
"Blarina_brevicauda","-88.681188","41.633641"
"Blarina_brevicauda","-87.96561","41.511976"
"Blarina_brevicauda","-87.8334","46.8238"
"Blarina_brevicauda","-88.123853","41.872317"
"Blarina_brevicauda","-87.52674","41.615591"
"Blarina_brevicauda","-87.816998","41.696699"
"Blarina_brevicauda","-81.14371","41.312555"
"Blarina_brevicauda","-87.5164795017238","41.1522642474209"
"Blarina_brevicauda","-88.6690691477616","39.9900386277313"
"Blarina_brevicauda","-88.390914","42.008082"
"Blarina_brevicauda","-87.979444","42.219444"
"Blarina_brevicauda","-87.844794","42.363633"
"Blarina_brevicauda","-86.6220552646488","41.8332571630331"
"Blarina_brevicauda","-88.6539","44.8933"
"Blarina_brevicauda","-88.64361","42.63306"
