"sp","decimallongitude","decimallatitude"
"Buteo_jamaicensis",-98.280773,19.188137
"Buteo_jamaicensis",-73.025381,43.693106
"Buteo_jamaicensis",-104.098671,35.086349
"Buteo_jamaicensis",-76.824024,35.021926
"Buteo_jamaicensis",-99.261475,28.381352
"Buteo_jamaicensis",-121.724618,48.833776
"Buteo_jamaicensis",-112.583556,40.640628
"Buteo_jamaicensis",-91.095972,34.262324
"Buteo_jamaicensis",-103.302244,21.389067
"Buteo_jamaicensis",-116.687894,34.880844
"Buteo_jamaicensis",-112.107405,45.924073
"Buteo_jamaicensis",-81.31172,37.32512
"Buteo_jamaicensis",-116.4517,51.6791
"Buteo_jamaicensis",-122.173059,47.992573
"Buteo_jamaicensis",-70.807325,41.683639
"Buteo_jamaicensis",-121.027451,42.735918
"Buteo_jamaicensis",-106.323035,39.431174
"Buteo_jamaicensis",-63.54548,46.484151
"Buteo_jamaicensis",-103.087292,31.847816
"Buteo_jamaicensis",-126.312936,50.00249
"Buteo_jamaicensis",-102.13264,35.880079
"Buteo_jamaicensis",-114.593775,42.63088
"Buteo_jamaicensis",-76.383905,36.5931
"Buteo_jamaicensis",-114.698553,39.190223
"Buteo_jamaicensis",-106.850667,29.757922
"Buteo_jamaicensis",-85.952911,34.152159
"Buteo_jamaicensis",-83.701857,9.462301
"Buteo_jamaicensis",-104.708633,52.710507
"Buteo_jamaicensis",-111.590881,24.685081
"Buteo_jamaicensis",-100.761323,37.154002
"Buteo_jamaicensis",-93.872766,30.166872
"Buteo_jamaicensis",-93.104233,37.640336
"Buteo_jamaicensis",-104.759112,49.946922
"Buteo_jamaicensis",-77.195435,44.89285
"Buteo_jamaicensis",-103.059182,40.745252
"Buteo_jamaicensis",-123.58378,41.32378
"Buteo_jamaicensis",-100.48724,30.20385
"Buteo_jamaicensis",-117.30727,44.394474
"Buteo_jamaicensis",-119.768456,39.438497
"Buteo_jamaicensis",-119.584765,38.897179
"Buteo_jamaicensis",-87.317276,32.133757
"Buteo_jamaicensis",-97.556791,39.322214
"Buteo_jamaicensis",-110.536643,45.815932
"Buteo_jamaicensis",-84.1433,9.83979
"Buteo_jamaicensis",-102.031403,36.764073
"Buteo_jamaicensis",-114.230347,27.472943
"Buteo_jamaicensis",-94.717598,37.453806
"Buteo_jamaicensis",-77.303833,42.961555
"Buteo_jamaicensis",-80.474328,46.952322
"Buteo_jamaicensis",-92.1831,37.1617
"Buteo_jamaicensis",-108.196507,39.646809
"Buteo_jamaicensis",-77.15866,35.69718
"Buteo_jamaicensis",-100.483806,48.991628
"Buteo_jamaicensis",-91.758623,45.959858
"Buteo_jamaicensis",-121.153793,40.383167
"Buteo_jamaicensis",-81.057301,43.262298
"Buteo_jamaicensis",-114.530883,44.244292
"Buteo_jamaicensis",-123.093774,39.278871
"Buteo_jamaicensis",-99.184785,41.278562
"Buteo_jamaicensis",-100.515456,34.921462
"Buteo_jamaicensis",-69.313126,43.765706
"Buteo_jamaicensis",-111.704291,55.909696
"Buteo_jamaicensis",-116.6833,50.4183
"Buteo_jamaicensis",-92.918415,42.031094
"Buteo_jamaicensis",-99.224739,35.43382
"Buteo_jamaicensis",-110.537791,45.559666
"Buteo_jamaicensis",-104.08595,19.3698
"Buteo_jamaicensis",-97.399719,32.77705
"Buteo_jamaicensis",-77.155365,37.629826
"Buteo_jamaicensis",-89.69068,34.8723
"Buteo_jamaicensis",-75.879993,44.056842
"Buteo_jamaicensis",-104.951234,30.61005
"Buteo_jamaicensis",-75.635462,35.22946
"Buteo_jamaicensis",-114.263306,33.197328
"Buteo_jamaicensis",-82.498331,9.391789
"Buteo_jamaicensis",-89.827822,46.802997
"Buteo_jamaicensis",-95.112568,50.442822
"Buteo_jamaicensis",-122.241826,47.758974
"Buteo_jamaicensis",-121.25885,55.718963
"Buteo_jamaicensis",-74.899249,46.111941
"Buteo_jamaicensis",-98.587766,29.57286
"Buteo_jamaicensis",-97.958329,42.089736
"Buteo_jamaicensis",-86.868103,39.214061
"Buteo_jamaicensis",-111.783279,43.302438
"Buteo_jamaicensis",-100.865564,40.787495
"Buteo_jamaicensis",-108.678131,34.652415
"Buteo_jamaicensis",-64.382973,46.61817
"Buteo_jamaicensis",-89.55058,20.08735
"Buteo_jamaicensis",-105.028661,41.986228
"Buteo_jamaicensis",-147.147114,61.948172
"Buteo_jamaicensis",-115.610245,46.533615
"Buteo_jamaicensis",-109.795698,35.086089
"Buteo_jamaicensis",-124.197661,43.475663
"Buteo_jamaicensis",-108.440651,34.626865
"Buteo_jamaicensis",-115.482788,42.45994
"Buteo_jamaicensis",-122.06034,56.85151
"Buteo_jamaicensis",-120.76495,42.75108
"Buteo_jamaicensis",-79.966674,43.534009
"Buteo_jamaicensis",-99.755859,19.807984
"Buteo_jamaicensis",-94.973481,35.463606
"Buteo_jamaicensis",-99.308821,41.929429
"Buteo_jamaicensis",-86.46058,37.78006
"Buteo_jamaicensis",-123.662728,47.689895
"Buteo_jamaicensis",-100.732269,52.73546
"Buteo_jamaicensis",-107.660179,36.817393
"Buteo_jamaicensis",-90.698751,35.82834
"Buteo_jamaicensis",-102.151394,33.796035
"Buteo_jamaicensis",-79.5811,37.02313
"Buteo_jamaicensis",-112.8,53.767
"Buteo_jamaicensis",-106.078,30.2241
"Buteo_jamaicensis",-106.019783,37.088734
"Buteo_jamaicensis",-108.494968,43.027647
"Buteo_jamaicensis",-124.920237,49.35161
"Buteo_jamaicensis",-102.777912,37.377162
"Buteo_jamaicensis",-102.149354,45.443701
"Buteo_jamaicensis",-101.636839,53.608039
"Buteo_jamaicensis",-85.399081,39.02811
"Buteo_jamaicensis",-85.483326,37.408643
"Buteo_jamaicensis",-98.64757,42.4578
"Buteo_jamaicensis",-83.170624,47.197137
"Buteo_jamaicensis",-77.051412,38.959402
"Buteo_jamaicensis",-89.06229,41.57579
"Buteo_jamaicensis",-80.48297,43.08277
"Buteo_jamaicensis",-85.691986,37.973838
"Buteo_jamaicensis",-110.55356,52.23645
"Buteo_jamaicensis",-88.73713,31.222454
"Buteo_jamaicensis",-76.229415,43.089028
"Buteo_jamaicensis",-89.37747,30.272485
"Buteo_jamaicensis",-101.802476,43.825346
"Buteo_jamaicensis",-84.680878,34.990559
"Buteo_jamaicensis",-122.081741,41.828136
"Buteo_jamaicensis",-76.301336,40.121152
"Buteo_jamaicensis",-109.924586,23.604434
"Buteo_jamaicensis",-123.220671,44.669095
"Buteo_jamaicensis",-116.704412,46.048488
"Buteo_jamaicensis",-100.640235,31.33027
"Buteo_jamaicensis",-80.151787,32.574447
"Buteo_jamaicensis",-102.116718,42.026854
"Buteo_jamaicensis",-115.888444,42.452894
"Buteo_jamaicensis",-79.221125,38.11508
"Buteo_jamaicensis",-86.98006,38.29654
"Buteo_jamaicensis",-122.897412,43.754295
"Buteo_jamaicensis",-82.846527,40.360672
"Buteo_jamaicensis",-104.831543,41.739192
"Buteo_jamaicensis",-70.047905,44.928794
"Buteo_jamaicensis",-89.86864,31.98583
"Buteo_jamaicensis",-83.875565,35.348145
"Buteo_jamaicensis",-74.446106,44.632505
"Buteo_jamaicensis",-119.80083,45.29872
"Buteo_jamaicensis",-78.209374,48.256341
"Buteo_jamaicensis",-88.83587,38.765675
"Buteo_jamaicensis",-121.277102,47.82639
"Buteo_jamaicensis",-112.414856,50.158425
"Buteo_jamaicensis",-86.58746,41.12815
"Buteo_jamaicensis",-119.99073,38.18852
"Buteo_jamaicensis",-96.315422,35.41725
"Buteo_jamaicensis",-99.962123,31.983619
"Buteo_jamaicensis",-119.25365,58.44682
"Buteo_jamaicensis",-99.814247,30.448936
"Buteo_jamaicensis",-91.001816,46.097281
"Buteo_jamaicensis",-96.177167,40.899003
"Buteo_jamaicensis",-81.707835,28.674624
"Buteo_jamaicensis",-142.746508,63.319323
"Buteo_jamaicensis",-74.230588,44.337436
"Buteo_jamaicensis",-90.47923,33.41171
"Buteo_jamaicensis",-90.829983,35.245829
"Buteo_jamaicensis",-102.497356,21.929431
"Buteo_jamaicensis",-99.330242,34.898404
"Buteo_jamaicensis",-120.461526,37.878647
"Buteo_jamaicensis",-102.198944,51.328037
"Buteo_jamaicensis",-115.592136,53.734745
"Buteo_jamaicensis",-79.410639,39.528043
"Buteo_jamaicensis",-83.274136,40.568703
"Buteo_jamaicensis",-72.80782,46.753657
"Buteo_jamaicensis",-78.75445,41.85446
"Buteo_jamaicensis",-82.355448,48.565112
"Buteo_jamaicensis",-76.59348,18.03315
"Buteo_jamaicensis",-73.650112,43.432478
"Buteo_jamaicensis",-94.764976,31.233353
"Buteo_jamaicensis",-92.6835,46.286315
"Buteo_jamaicensis",-92.328893,43.067586
"Buteo_jamaicensis",-96.50722,17.58149
"Buteo_jamaicensis",-81.5413,26.280389
"Buteo_jamaicensis",-78.553705,40.90628
"Buteo_jamaicensis",-83.72173,33.29954
"Buteo_jamaicensis",-94.370499,29.639127
"Buteo_jamaicensis",-116.9708,60
"Buteo_jamaicensis",-112.122345,25.192981
"Buteo_jamaicensis",-108.810503,35.506134
"Buteo_jamaicensis",-114.7218,33.1161
"Buteo_jamaicensis",-111.050801,44.128818
