"sp","decimallongitude","decimallatitude"
"Chamaea_fasciata","-122.679326","42.173184"
"Chamaea_fasciata","-117.696104","34.213044"
"Chamaea_fasciata","-123.99451","45.041117"
"Chamaea_fasciata","-123.965521","46.177988"
"Chamaea_fasciata","-122.49493","37.833642"
"Chamaea_fasciata","-122.903838","38.1039"
"Chamaea_fasciata","-117.577497","33.410629"
"Chamaea_fasciata","-122.75927","38.05497"
"Chamaea_fasciata","-121.467134","37.076032"
"Chamaea_fasciata","-121.935429","37.867639"
"Chamaea_fasciata","-124.072077","40.860354"
"Chamaea_fasciata","-122.29288","41.53292"
"Chamaea_fasciata","-121.502518","36.755593"
"Chamaea_fasciata","-121.68736","36.934594"
"Chamaea_fasciata","-121.932964","36.518638"
"Chamaea_fasciata","-117.255009","32.955835"
"Chamaea_fasciata","-122.20444","37.3336"
"Chamaea_fasciata","-117.288254","33.118929"
"Chamaea_fasciata","-123.084855","38.928292"
"Chamaea_fasciata","-122.24486","37.85737"
"Chamaea_fasciata","-117.049965","32.829448"
"Chamaea_fasciata","-122.10748","38.40198"
"Chamaea_fasciata","-119.16275","34.58776"
"Chamaea_fasciata","-121.558614","37.530727"
"Chamaea_fasciata","-116.532358","31.853491"
"Chamaea_fasciata","-122.11939","37.739211"
"Chamaea_fasciata","-120.267699","37.815107"
"Chamaea_fasciata","-121.43167","37.21825"
"Chamaea_fasciata","-121.22087","36.50527"
"Chamaea_fasciata","-123.29334","43.02508"
"Chamaea_fasciata","-122.33976","37.18627"
"Chamaea_fasciata","-123.9255","40.35482"
"Chamaea_fasciata","-117.085547","32.554265"
"Chamaea_fasciata","-116.637323","31.707995"
"Chamaea_fasciata","-121.7139","36.20766"
"Chamaea_fasciata","-118.767742","36.43917"
"Chamaea_fasciata","-122.4863","37.6019"
"Chamaea_fasciata","-121.88253","36.31773"
"Chamaea_fasciata","-121.990642","37.103521"
"Chamaea_fasciata","-116.378333","31.93"
"Chamaea_fasciata","-122.319975","37.141367"
"Chamaea_fasciata","-118.431487","33.980727"
"Chamaea_fasciata","-116.424289","33.37174"
"Chamaea_fasciata","-120.78028","35.272409"
"Chamaea_fasciata","-124.057617","41.308245"
"Chamaea_fasciata","-124.063282","44.624892"
"Chamaea_fasciata","-117.432872","33.604308"
"Chamaea_fasciata","-121.620322","36.391178"
"Chamaea_fasciata","-123.30035","44.39335"
"Chamaea_fasciata","-123.33411","44.71578"
"Chamaea_fasciata","-121.607859","37.34404"
"Chamaea_fasciata","-118.16985","34.20899"
"Chamaea_fasciata","-117.11703","33.0758"
"Chamaea_fasciata","-118.02085","34.212534"
"Chamaea_fasciata","-122.61987","38.920033"
"Chamaea_fasciata","-123.298096","44.517742"
"Chamaea_fasciata","-119.352387","34.770868"
"Chamaea_fasciata","-121.793629","37.012457"
"Chamaea_fasciata","-116.662703","33.098157"
"Chamaea_fasciata","-122.875214","44.034295"
"Chamaea_fasciata","-123.06623","42.440792"
"Chamaea_fasciata","-118.315777","34.121926"
"Chamaea_fasciata","-122.893324","42.373003"
"Chamaea_fasciata","-120.644116","36.369262"
"Chamaea_fasciata","-118.28791","34.2522"
"Chamaea_fasciata","-118.716306","34.099069"
"Chamaea_fasciata","-117.867207","33.635636"
"Chamaea_fasciata","-119.802488","34.471892"
"Chamaea_fasciata","-117.04216","32.663367"
"Chamaea_fasciata","-123.489761","44.576774"
"Chamaea_fasciata","-123.751669","44.453157"
"Chamaea_fasciata","-117.758756","33.798603"
"Chamaea_fasciata","-122.70943","37.95098"
"Chamaea_fasciata","-118.51179","34.04751"
"Chamaea_fasciata","-118.113112","34.277716"
"Chamaea_fasciata","-123.213374","44.712006"
"Chamaea_fasciata","-116.540394","32.68562"
"Chamaea_fasciata","-120.192854","37.754124"
"Chamaea_fasciata","-124.102533","44.314884"
"Chamaea_fasciata","-116.279479","32.747275"
"Chamaea_fasciata","-121.793954","40.63911"
"Chamaea_fasciata","-121.535361","38.971572"
"Chamaea_fasciata","-116.656265","33.762595"
"Chamaea_fasciata","-116.044814","30.959421"
"Chamaea_fasciata","-122.323528","38.868719"
"Chamaea_fasciata","-124.142096","43.879799"
"Chamaea_fasciata","-118.960197","34.148785"
"Chamaea_fasciata","-121.03539","38.912207"
"Chamaea_fasciata","-123.86644","42.8043"
"Chamaea_fasciata","-122.670722","38.667317"
"Chamaea_fasciata","-116.345091","32.823508"
"Chamaea_fasciata","-117.094297","33.514975"
"Chamaea_fasciata","-122.608709","38.653544"
"Chamaea_fasciata","-117.508349","33.681425"
"Chamaea_fasciata","-123.45187","41.22538"
"Chamaea_fasciata","-121.357984","41.173809"
"Chamaea_fasciata","-118.302154","35.704008"
"Chamaea_fasciata","-123.771329","39.271135"
"Chamaea_fasciata","-117.236114","33.623636"
"Chamaea_fasciata","-120.730873","35.331311"
"Chamaea_fasciata","-120.975587","36.588717"
"Chamaea_fasciata","-116.881","33.526"
"Chamaea_fasciata","-116.89982","33.32866"
"Chamaea_fasciata","-124.354248","43.129052"
"Chamaea_fasciata","-123.962474","45.309002"
"Chamaea_fasciata","-116.682291","33.62233"
"Chamaea_fasciata","-117.833733","33.919717"
"Chamaea_fasciata","-120.43535","35.248233"
"Chamaea_fasciata","-117.149963","33.877827"
"Chamaea_fasciata","-121.797046","37.427533"
"Chamaea_fasciata","-121.258593","36.789198"
"Chamaea_fasciata","-121.851489","37.236479"
"Chamaea_fasciata","-122.136254","37.820785"
"Chamaea_fasciata","-123.75927","39.193416"
"Chamaea_fasciata","-118.544095","35.715603"
"Chamaea_fasciata","-120.841734","35.348421"
"Chamaea_fasciata","-117.000607","34.103312"
"Chamaea_fasciata","-116.916377","33.706637"
"Chamaea_fasciata","-121.862326","36.580471"
"Chamaea_fasciata","-116.48941","32.871658"
"Chamaea_fasciata","-117.323513","33.641634"
"Chamaea_fasciata","-124.206233","41.808461"
"Chamaea_fasciata","-122.775251","40.773532"
"Chamaea_fasciata","-118.6965","36.15922"
"Chamaea_fasciata","-121.711006","37.635169"
"Chamaea_fasciata","-119.274142","34.285193"
"Chamaea_fasciata","-122.097137","38.50881"
"Chamaea_fasciata","-120.584468","38.193313"
"Chamaea_fasciata","-121.67309","39.88208"
"Chamaea_fasciata","-117.663156","33.473003"
"Chamaea_fasciata","-122.550774","43.536288"
"Chamaea_fasciata","-120.6248","35.0302"
"Chamaea_fasciata","-120.576866","35.123112"
"Chamaea_fasciata","-124.233493","40.69073"
"Chamaea_fasciata","-124.109632","40.962748"
"Chamaea_fasciata","-117.231256","33.356404"
"Chamaea_fasciata","-121.37035","37.12952"
"Chamaea_fasciata","-120.831124","39.016708"
"Chamaea_fasciata","-119.69427","34.440209"
"Chamaea_fasciata","-116.883674","32.604051"
"Chamaea_fasciata","-122.063706","37.445562"
