"sp","decimallongitude","decimallatitude"
"Cyanocitta_stelleri","-121.799154","42.227818"
"Cyanocitta_stelleri","-122.720118","37.921113"
"Cyanocitta_stelleri","-122.727063","45.544447"
"Cyanocitta_stelleri","-122.797666","45.494165"
"Cyanocitta_stelleri","-122.208465","38.397032"
"Cyanocitta_stelleri","-119.977537","37.758484"
"Cyanocitta_stelleri","-122.666538","45.814933"
"Cyanocitta_stelleri","-122.377138","47.547646"
"Cyanocitta_stelleri","-120.474","38.77468"
"Cyanocitta_stelleri","-122.395145","47.222478"
"Cyanocitta_stelleri","-123.782959","49.489802"
"Cyanocitta_stelleri","-121.690957","48.463785"
"Cyanocitta_stelleri","-127.01736","50.629362"
"Cyanocitta_stelleri","-122.630597","47.396656"
"Cyanocitta_stelleri","-119.713554","37.645453"
"Cyanocitta_stelleri","-121.651094","41.012434"
"Cyanocitta_stelleri","-124.147337","41.056225"
"Cyanocitta_stelleri","-122.398832","37.577338"
"Cyanocitta_stelleri","-122.477637","37.83369"
"Cyanocitta_stelleri","-121.947555","36.518103"
"Cyanocitta_stelleri","-104.747302","39.336495"
"Cyanocitta_stelleri","-123.251699","44.645991"
"Cyanocitta_stelleri","-118.31198","45.33347"
"Cyanocitta_stelleri","-105.608311","39.703225"
"Cyanocitta_stelleri","-122.608795","47.242331"
"Cyanocitta_stelleri","-123.520274","46.267084"
"Cyanocitta_stelleri","-122.144279","37.268111"
"Cyanocitta_stelleri","-122.046742","37.020654"
"Cyanocitta_stelleri","-104.91208","39.12297"
"Cyanocitta_stelleri","-121.628424","36.541489"
"Cyanocitta_stelleri","-111.821721","40.71613"
"Cyanocitta_stelleri","-120.78964","40.09312"
"Cyanocitta_stelleri","-122.077813","37.078898"
"Cyanocitta_stelleri","-111.780082","40.562022"
"Cyanocitta_stelleri","-131.56712","55.306247"
"Cyanocitta_stelleri","-122.225465","37.203842"
"Cyanocitta_stelleri","-105.52401","40.19314"
"Cyanocitta_stelleri","-120.663302","47.590314"
"Cyanocitta_stelleri","-119.80324","37.74649"
"Cyanocitta_stelleri","-120.613575","49.468459"
"Cyanocitta_stelleri","-120.43678","39.6944"
"Cyanocitta_stelleri","-122.352676","42.328601"
"Cyanocitta_stelleri","-119.901287","39.504949"
"Cyanocitta_stelleri","-123.044394","44.938694"
"Cyanocitta_stelleri","-119.548674","49.49372"
"Cyanocitta_stelleri","-118.985527","36.79427"
"Cyanocitta_stelleri","-87.051802","14.055785"
"Cyanocitta_stelleri","-121.848614","37.527715"
"Cyanocitta_stelleri","-123.114425","45.626438"
"Cyanocitta_stelleri","-120.265102","39.564912"
"Cyanocitta_stelleri","-122.543371","47.316244"
"Cyanocitta_stelleri","-118.109894","46.190527"
"Cyanocitta_stelleri","-122.332764","47.320207"
"Cyanocitta_stelleri","-105.268188","40.22188"
"Cyanocitta_stelleri","-113.995428","46.973694"
"Cyanocitta_stelleri","-120.350525","47.411503"
"Cyanocitta_stelleri","-121.353521","43.991518"
"Cyanocitta_stelleri","-106.137457","39.745309"
"Cyanocitta_stelleri","-121.7637","45.14705"
"Cyanocitta_stelleri","-121.908503","47.665228"
"Cyanocitta_stelleri","-121.471195","40.479598"
"Cyanocitta_stelleri","-121.278977","48.521693"
"Cyanocitta_stelleri","-121.39876","47.3799"
"Cyanocitta_stelleri","-122.63218","44.75355"
"Cyanocitta_stelleri","-132.972364","56.806453"
"Cyanocitta_stelleri","-122.188133","47.946472"
"Cyanocitta_stelleri","-105.3855","39.704"
"Cyanocitta_stelleri","-122.146126","44.729027"
"Cyanocitta_stelleri","-123.672642","43.075303"
"Cyanocitta_stelleri","-122.64834","49.171722"
"Cyanocitta_stelleri","-123.819018","40.321118"
"Cyanocitta_stelleri","-118.53722","37.29887"
"Cyanocitta_stelleri","-115.075386","49.499462"
"Cyanocitta_stelleri","-119.088192","37.747508"
"Cyanocitta_stelleri","-119.589786","37.752021"
"Cyanocitta_stelleri","-122.834083","46.510821"
"Cyanocitta_stelleri","-116.92405","46.78726"
"Cyanocitta_stelleri","-119.898273","39.306451"
"Cyanocitta_stelleri","-116.166816","44.234899"
"Cyanocitta_stelleri","-122.713766","38.854113"
"Cyanocitta_stelleri","-124.06069","40.85727"
"Cyanocitta_stelleri","-122.290943","37.274855"
"Cyanocitta_stelleri","-122.892098","43.746666"
"Cyanocitta_stelleri","-122.467475","45.981516"
"Cyanocitta_stelleri","-121.851339","36.286142"
"Cyanocitta_stelleri","-105.352562","39.970223"
"Cyanocitta_stelleri","-107.563534","40.075576"
"Cyanocitta_stelleri","-123.05","39"
"Cyanocitta_stelleri","-105.28563","39.98909"
"Cyanocitta_stelleri","-118.616552","37.204116"
"Cyanocitta_stelleri","-122.822685","46.930938"
"Cyanocitta_stelleri","-124.132118","42.092873"
"Cyanocitta_stelleri","-120.57904","40.347052"
"Cyanocitta_stelleri","-119.662313","37.326059"
"Cyanocitta_stelleri","-119.944267","38.951399"
"Cyanocitta_stelleri","-123.15394","45.0172"
"Cyanocitta_stelleri","-106.097","37.0615"
"Cyanocitta_stelleri","-111.73748","35.051078"
"Cyanocitta_stelleri","-122.763898","38.701619"
"Cyanocitta_stelleri","-124.044399","44.632643"
