"sp","decimallongitude","decimallatitude"
"Geothlypis_trichas",-94.702649,34.323443
"Geothlypis_trichas",-105.178417,31.908094
"Geothlypis_trichas",-88.558533,36.978125
"Geothlypis_trichas",-76.787,34.8346
"Geothlypis_trichas",-92.219925,44.681348
"Geothlypis_trichas",-100.543551,48.223912
"Geothlypis_trichas",-75.3311,47.358
"Geothlypis_trichas",-62.917328,45.699166
"Geothlypis_trichas",-120.093936,51.146698
"Geothlypis_trichas",-94.686667,33.653484
"Geothlypis_trichas",-81.981354,25.944462
"Geothlypis_trichas",-114.1594,49.2469
"Geothlypis_trichas",-94.523818,29.554401
"Geothlypis_trichas",-96.694364,41.834142
"Geothlypis_trichas",-99.073333,21.331667
"Geothlypis_trichas",-94.87331,34.37448
"Geothlypis_trichas",-88.883056,33.420833
"Geothlypis_trichas",-96.240547,51.012516
"Geothlypis_trichas",-123.90035,49.73654
"Geothlypis_trichas",-62.181416,44.950707
"Geothlypis_trichas",-79.23093,43.160638
"Geothlypis_trichas",-78.0976,44.94006
"Geothlypis_trichas",-86.078996,43.30284
"Geothlypis_trichas",-102.116096,31.961047
"Geothlypis_trichas",-98.003175,49.36952
"Geothlypis_trichas",-94.948997,41.356002
"Geothlypis_trichas",-77.823812,38.085578
"Geothlypis_trichas",-80.665649,41.767111
"Geothlypis_trichas",-69.162935,48.075073
"Geothlypis_trichas",-115.445269,46.228437
"Geothlypis_trichas",-86.044407,42.618549
"Geothlypis_trichas",-116.591291,51.275529
"Geothlypis_trichas",-98.991667,18.888333
"Geothlypis_trichas",-90.502313,37.194944
"Geothlypis_trichas",-99.047241,22.27067
"Geothlypis_trichas",-128.928306,60.078996
"Geothlypis_trichas",-93.34465,44.324208
"Geothlypis_trichas",-84.38131,40.436731
"Geothlypis_trichas",-90.620599,16.263459
"Geothlypis_trichas",-113.248444,47.076026
"Geothlypis_trichas",-87.8179,32.780302
"Geothlypis_trichas",-75.516514,19.889096
"Geothlypis_trichas",-110.871234,43.597301
"Geothlypis_trichas",-111.293009,45.270271
"Geothlypis_trichas",-104.733333,51.6
"Geothlypis_trichas",-108.017876,38.668506
"Geothlypis_trichas",-106.81975,51.901545
"Geothlypis_trichas",-99.038454,40.067041
"Geothlypis_trichas",-85.191765,39.590336
"Geothlypis_trichas",-107.381379,35.038085
"Geothlypis_trichas",-66.991882,49.952516
"Geothlypis_trichas",-113.790314,52.281342
"Geothlypis_trichas",-91.046938,45.03035
"Geothlypis_trichas",-91.583218,40.394487
"Geothlypis_trichas",-115.911759,46.359983
"Geothlypis_trichas",-79.261811,37.494374
"Geothlypis_trichas",-98.442349,42.771715
"Geothlypis_trichas",-93.668333,16.686944
"Geothlypis_trichas",-94.995739,51.304998
"Geothlypis_trichas",-110.55356,52.23645
"Geothlypis_trichas",-76.892023,35.461369
"Geothlypis_trichas",-101.135492,34.056546
"Geothlypis_trichas",-108.443899,30.687821
