"sp","decimallongitude","decimallatitude"
"Haemorhous_purpureus",-62.838321,45.751744
"Haemorhous_purpureus",-69.208234,46.170455
"Haemorhous_purpureus",-121.880951,37.857507
"Haemorhous_purpureus",-79.6553,36.3337
"Haemorhous_purpureus",-71.0556,47.4357
"Haemorhous_purpureus",-65.107365,47.068862
"Haemorhous_purpureus",-81.155709,39.368264
"Haemorhous_purpureus",-122.91776,42.18011
"Haemorhous_purpureus",-110.174199,54.465689
"Haemorhous_purpureus",-124.00231,40.35159
"Haemorhous_purpureus",-72.331316,45.272759
"Haemorhous_purpureus",-88.15015,40.451767
"Haemorhous_purpureus",-91.677561,44.073882
"Haemorhous_purpureus",-73.525872,45.163846
"Haemorhous_purpureus",-81.527824,34.610747
"Haemorhous_purpureus",-123.356552,59.097378
"Haemorhous_purpureus",-123.653077,48.314514
"Haemorhous_purpureus",-88.56084,33.10543
"Haemorhous_purpureus",-98.27389,29.84462
"Haemorhous_purpureus",-77.369133,46.050718
"Haemorhous_purpureus",-112.499442,53.888173
"Haemorhous_purpureus",-89.89953,43.163761
"Haemorhous_purpureus",-89.332704,49.179232
"Haemorhous_purpureus",-92.46985,33.53791
"Haemorhous_purpureus",-75.484695,44.69576
"Haemorhous_purpureus",-71.46924,46.554552
"Haemorhous_purpureus",-121.401114,42.198353
"Haemorhous_purpureus",-68.647172,44.949427
"Haemorhous_purpureus",-97.60101,46.622802
"Haemorhous_purpureus",-111.6044,35.227392
"Haemorhous_purpureus",-77.134994,42.810806
"Haemorhous_purpureus",-110.244026,54.507529
"Haemorhous_purpureus",-85.0521,44.1637
"Haemorhous_purpureus",-76.835804,44.383011
"Haemorhous_purpureus",-89.01899,44.48789
"Haemorhous_purpureus",-94.91798,41.90658
"Haemorhous_purpureus",-75.28862,39.686186
"Haemorhous_purpureus",-95.9515,46.518241
"Haemorhous_purpureus",-83.49295,43.17668
"Haemorhous_purpureus",-120.842743,35.343695
"Haemorhous_purpureus",-88.349647,41.694706
"Haemorhous_purpureus",-79.082454,37.556362
"Haemorhous_purpureus",-83.340687,32.390503
"Haemorhous_purpureus",-91.15655,40.82504
"Haemorhous_purpureus",-74.732437,39.402342
"Haemorhous_purpureus",-57.37916,49.3
"Haemorhous_purpureus",-92.088604,48.08152
"Haemorhous_purpureus",-122.5906,53.9013
"Haemorhous_purpureus",-90.66564,42.07055
"Haemorhous_purpureus",-93.749685,33.807465
