"sp","decimallongitude","decimallatitude"
"Leucosticte_tephrocotis","-122.745352","45.795345"
"Leucosticte_tephrocotis","-123.108137","49.286209"
"Leucosticte_tephrocotis","-120.003662","49.187089"
"Leucosticte_tephrocotis","-116.2217","51.392367"
"Leucosticte_tephrocotis","-119.95203","49.38345"
"Leucosticte_tephrocotis","-169.664996","56.575328"
"Leucosticte_tephrocotis","-106.449389","35.20982"
"Leucosticte_tephrocotis","-121.668692","46.917617"
"Leucosticte_tephrocotis","-117.270555","45.519019"
"Leucosticte_tephrocotis","-117.097049","46.414917"
"Leucosticte_tephrocotis","-129.916667","58.35"
"Leucosticte_tephrocotis","-121.516667","51.833333"
"Leucosticte_tephrocotis","-113.966846","49.028414"
"Leucosticte_tephrocotis","-120","50"
"Leucosticte_tephrocotis","-121.416667","52.333333"
"Leucosticte_tephrocotis","-121.800613","50.649461"
"Leucosticte_tephrocotis","-122.250548","52.055164"
"Leucosticte_tephrocotis","-114.4019","44.25932"
"Leucosticte_tephrocotis","-125.966667","52.3"
"Leucosticte_tephrocotis","-118.1306","52.828"
"Leucosticte_tephrocotis","-126.553212","54.156576"
"Leucosticte_tephrocotis","-174.283333","52.233333"
"Leucosticte_tephrocotis","-170.233333","57.4"
"Leucosticte_tephrocotis","-139.333333","69.3"
"Leucosticte_tephrocotis","-140.733333","69.0999999993721"
"Leucosticte_tephrocotis","-114.781998","50.867767"
"Leucosticte_tephrocotis","-127.75","55.5"
"Leucosticte_tephrocotis","-121","49"
"Leucosticte_tephrocotis","-114.6819","45.364841"
"Leucosticte_tephrocotis","-166.432958","53.913212"
"Leucosticte_tephrocotis","-116.966667","53.216667"
"Leucosticte_tephrocotis","-121.783104","49.303188"
"Leucosticte_tephrocotis","-119.138832","37.990751"
"Leucosticte_tephrocotis","-105.214883","39.719763"
"Leucosticte_tephrocotis","-123.07977","49.38069"
"Leucosticte_tephrocotis","-106.904794","40.508151"
"Leucosticte_tephrocotis","-119.350917746136","50.2330478606662"
"Leucosticte_tephrocotis","-111.781428","41.379606"
"Leucosticte_tephrocotis","-118.087508","47.72782"
"Leucosticte_tephrocotis","-107.563534","40.075576"
"Leucosticte_tephrocotis","-107.20577","40.507665"
"Leucosticte_tephrocotis","-104.989471","39.463764"
"Leucosticte_tephrocotis","-117.248497","38.086608"
"Leucosticte_tephrocotis","-118.265204","50.181185"
"Leucosticte_tephrocotis","-122.276667","51.773611"
"Leucosticte_tephrocotis","-111.637336","40.590553"
"Leucosticte_tephrocotis","-106.38859","40.05889"
"Leucosticte_tephrocotis","-148.916683","63.730978"
"Leucosticte_tephrocotis","-151.7992","57.4577"
"Leucosticte_tephrocotis","-152.484484","57.756091"
"Leucosticte_tephrocotis","-106.095032","39.623207"
"Leucosticte_tephrocotis","-170.276329","57.167511"
"Leucosticte_tephrocotis","-105.49755","40.13139"
"Leucosticte_tephrocotis","-121.771259","44.063048"
"Leucosticte_tephrocotis","-116.972165","45.562126"
"Leucosticte_tephrocotis","-115.01354","51.10509"
"Leucosticte_tephrocotis","-121.4683","55.287"
"Leucosticte_tephrocotis","-105.166841","38.719503"
"Leucosticte_tephrocotis","-105.4668","39.98032"
"Leucosticte_tephrocotis","-117.291473","45.246546"
"Leucosticte_tephrocotis","-118.44429","46.200745"
"Leucosticte_tephrocotis","-121.706994","48.848903"
"Leucosticte_tephrocotis","-134.696503","60.080684"
"Leucosticte_tephrocotis","-135.069812","60.722708"
"Leucosticte_tephrocotis","-114.255456","43.645523"
"Leucosticte_tephrocotis","-115.537119","43.001571"
"Leucosticte_tephrocotis","-118.283422","36.572264"
"Leucosticte_tephrocotis","-113.655796","48.713619"
"Leucosticte_tephrocotis","-140.378426","69.446213"
"Leucosticte_tephrocotis","-140.033333","69.283333"
"Leucosticte_tephrocotis","-113.71797","48.6953"
"Leucosticte_tephrocotis","-136.533333","67.983333"
"Leucosticte_tephrocotis","-110.833363","44.460753"
"Leucosticte_tephrocotis","-121.298697","50.593045"
"Leucosticte_tephrocotis","-106.032593","39.47361"
"Leucosticte_tephrocotis","-136.683333","68.016667"
"Leucosticte_tephrocotis","-123.44711","48.14035"
"Leucosticte_tephrocotis","-149.082885","68.518336"
"Leucosticte_tephrocotis","-123.552323","44.504568"
"Leucosticte_tephrocotis","-151.433186","59.607045"
"Leucosticte_tephrocotis","-122.948156","49.367145"
"Leucosticte_tephrocotis","-170.350547","57.144226"
"Leucosticte_tephrocotis","-118.037968","52.681716"
"Leucosticte_tephrocotis","-143.369488","63.045078"
"Leucosticte_tephrocotis","-143.986381","62.712503"
"Leucosticte_tephrocotis","-143.796513","62.761954"
"Leucosticte_tephrocotis","-143.575396","62.929024"
"Leucosticte_tephrocotis","-105.952835","39.600927"
"Leucosticte_tephrocotis","-176.66048","51.87862"
"Leucosticte_tephrocotis","-105.799596","39.377049"
