"sp","decimallongitude","decimallatitude"
"Loxia_curvirostra","-121.920843","48.897176"
"Loxia_curvirostra","-116.077176","50.627659"
"Loxia_curvirostra","-73.56667","45.56667"
"Loxia_curvirostra","-105.572171","40.335954"
"Loxia_curvirostra","-124.374627","49.777702"
"Loxia_curvirostra","-122.417658","41.275485"
"Loxia_curvirostra","-119.46099","49.02919"
"Loxia_curvirostra","-83.46752","35.5915"
"Loxia_curvirostra","-122.593548","37.889316"
"Loxia_curvirostra","-119.789429","48.955312"
"Loxia_curvirostra","-119.60969","49.20893"
"Loxia_curvirostra","-119.440228","49.294914"
"Loxia_curvirostra","-120.95207","47.18617"
"Loxia_curvirostra","-122.534895","48.315253"
"Loxia_curvirostra","-116.149993","49.610066"
"Loxia_curvirostra","-116.26614","50.85138"
"Loxia_curvirostra","-76.353607","44.174325"
"Loxia_curvirostra","-149.110362","60.983053"
"Loxia_curvirostra","-87.8895","43.0032"
"Loxia_curvirostra","-115.07612","44.24298"
"Loxia_curvirostra","-123.576364","48.329493"
"Loxia_curvirostra","-119.404907","50.232273"
"Loxia_curvirostra","-109.302719","31.909391"
"Loxia_curvirostra","-111.865325","41.226861"
"Loxia_curvirostra","-122.135696","44.205097"
"Loxia_curvirostra","-121.947588","44.6123"
"Loxia_curvirostra","-121.993904","44.368287"
"Loxia_curvirostra","-122.145834","44.401294"
"Loxia_curvirostra","-122.54436","44.62902"
"Loxia_curvirostra","-124.783144","49.986663"
"Loxia_curvirostra","-122.625704","44.426241"
"Loxia_curvirostra","-122.34888","44.38139"
"Loxia_curvirostra","-123.360093","48.493502"
"Loxia_curvirostra","-84.982574","46.754476"
"Loxia_curvirostra","-124.562173","49.935975"
"Loxia_curvirostra","-122.89021","44.89999"
"Loxia_curvirostra","-103.536664","43.900411"
"Loxia_curvirostra","-116.953078","50.139499"
"Loxia_curvirostra","-119.601116","39.052652"
"Loxia_curvirostra","-114.435739","46.773752"
"Loxia_curvirostra","-115.973928","50.639143"
"Loxia_curvirostra","-118.151779","48.32156"
"Loxia_curvirostra","-118.2148","47.93636"
"Loxia_curvirostra","-117.358875","49.505259"
"Loxia_curvirostra","-72.861667","46.673611"
"Loxia_curvirostra","-119.560193","49.144742"
"Loxia_curvirostra","-94.212527","31.409912"
"Loxia_curvirostra","-124.229107","40.606329"
"Loxia_curvirostra","-77.702596","43.996494"
"Loxia_curvirostra","-123.555422","44.512307"
"Loxia_curvirostra","-121.800696","38.526397"
"Loxia_curvirostra","-115.924065","49.581661"
"Loxia_curvirostra","-119.623378","37.842449"
"Loxia_curvirostra","-119.636629","38.3299"
"Loxia_curvirostra","-117.534677","47.574908"
"Loxia_curvirostra","-122.503217","47.191133"
"Loxia_curvirostra","-123.024087","46.951831"
"Loxia_curvirostra","-103.575733","43.784883"
"Loxia_curvirostra","-122.852941","46.856611"
"Loxia_curvirostra","-81.944561","46.735924"
"Loxia_curvirostra","-94.573841","37.501689"
"Loxia_curvirostra","-114.19384","51.10701"
"Loxia_curvirostra","-88.915808","43.378322"
"Loxia_curvirostra","-103.4092","43.853616"
"Loxia_curvirostra","-119.602039","49.778472"
"Loxia_curvirostra","-88.207252","40.11063"
"Loxia_curvirostra","-77.95683","45.745284"
"Loxia_curvirostra","-123.588488","46.148782"
"Loxia_curvirostra","-77.625434","45.951236"
"Loxia_curvirostra","-117.82011","45.86566"
"Loxia_curvirostra","-123.230638","45.765236"
"Loxia_curvirostra","-123.451546","45.798226"
"Loxia_curvirostra","-123.49675","45.9897"
"Loxia_curvirostra","-117.355099","45.932241"
"Loxia_curvirostra","-121.772289","49.287312"
"Loxia_curvirostra","-120.786","47.113"
"Loxia_curvirostra","-117.244377","49.324898"
"Loxia_curvirostra","-105.629726","40.405867"
"Loxia_curvirostra","-97.15757","19.49691"
"Loxia_curvirostra","-123.500363","48.425026"
"Loxia_curvirostra","-88.492813","42.918721"
"Loxia_curvirostra","-91.3464020354258","43.7593291801071"
"Loxia_curvirostra","-79.37439","44.151639"
"Loxia_curvirostra","-74.157071","45.694714"
"Loxia_curvirostra","-121.675644","46.605582"
"Loxia_curvirostra","-79.319572","39.508676"
"Loxia_curvirostra","-64.3658668193007","45.0832269222985"
"Loxia_curvirostra","-63.678216","44.8148"
"Loxia_curvirostra","-119.37058","37.87205"
"Loxia_curvirostra","-131.64713","55.34115"
"Loxia_curvirostra","-112.961941","37.234292"
"Loxia_curvirostra","-63.421","44.647"
"Loxia_curvirostra","-65.056143","44.798891"
"Loxia_curvirostra","-91.53173","47.47481"
"Loxia_curvirostra","-121.684227","44.441318"
"Loxia_curvirostra","-125.509701","53.804573"
"Loxia_curvirostra","-105.578594","40.331895"
"Loxia_curvirostra","-122.511166","48.715817"
"Loxia_curvirostra","-124.716674","53.999626"
"Loxia_curvirostra","-125.653322","53.824942"
"Loxia_curvirostra","-106.053708","39.635142"
"Loxia_curvirostra","-107.87768","37.281536"
"Loxia_curvirostra","-105.852692","39.703369"
"Loxia_curvirostra","-107.622435","37.472636"
"Loxia_curvirostra","-107.80479","37.532589"
"Loxia_curvirostra","-107.309647","37.206839"
"Loxia_curvirostra","-125.692536","53.984505"
"Loxia_curvirostra","-107.799632","37.812076"
"Loxia_curvirostra","-107.709765","37.820065"
"Loxia_curvirostra","-108.184154","37.497197"
"Loxia_curvirostra","-85.148141","46.76259"
"Loxia_curvirostra","-108.34769","37.368847"
"Loxia_curvirostra","-111.613083","40.583237"
"Loxia_curvirostra","-120.1926","49.0599"
"Loxia_curvirostra","-106.580687","40.070256"
"Loxia_curvirostra","-113.618545","47.443414"
"Loxia_curvirostra","-74.916384","40.696623"
"Loxia_curvirostra","-111.98412","46.46865"
"Loxia_curvirostra","-123.95798","44.50945"
"Loxia_curvirostra","-122.220076","47.190019"
"Loxia_curvirostra","-91.604744","47.65704"
"Loxia_curvirostra","-122.732141","37.93995"
