"sp","decimallongitude","decimallatitude"
"Megaceryle_alcyon",-99.308333,19.048333
"Megaceryle_alcyon",-94.166307,51.038911
"Megaceryle_alcyon",-79.431976,45.555492
"Megaceryle_alcyon",-118.520413,44.204644
"Megaceryle_alcyon",-97.261963,49.690732
"Megaceryle_alcyon",-94.122253,43.257268
"Megaceryle_alcyon",-76.299062,46.156159
"Megaceryle_alcyon",-96.68964,37.54893
"Megaceryle_alcyon",-92.07736,30.130987
"Megaceryle_alcyon",-72.685084,45.416432
"Megaceryle_alcyon",-112.629305,39.105488
"Megaceryle_alcyon",-112.453816,60.053249
"Megaceryle_alcyon",-69.397075,48.349567
"Megaceryle_alcyon",-120.564728,55.759842
"Megaceryle_alcyon",-75.3311,47.358
"Megaceryle_alcyon",-95.832848,41.689297
"Megaceryle_alcyon",-88.48438,34.059277
"Megaceryle_alcyon",-99.279048,34.379831
"Megaceryle_alcyon",-118.959961,43.225193
"Megaceryle_alcyon",-73.826494,44.493261
"Megaceryle_alcyon",-71.577988,41.459195
"Megaceryle_alcyon",-75.474223,41.28956
"Megaceryle_alcyon",-132.383237,56.455187
"Megaceryle_alcyon",-91.596193,46.686307
"Megaceryle_alcyon",-109.815041,33.822796
"Megaceryle_alcyon",-98.756103,36.173357
"Megaceryle_alcyon",-71.603394,44.37295
"Megaceryle_alcyon",-88.617949,46.104192
"Megaceryle_alcyon",-76.450668,37.690175
"Megaceryle_alcyon",-91.660015,49.416557
"Megaceryle_alcyon",-79.758072,47.879863
"Megaceryle_alcyon",-91.696647,44.717206
"Megaceryle_alcyon",-117.469876,49.723685
"Megaceryle_alcyon",-93.113422,33.690737
"Megaceryle_alcyon",-111.344962,31.645122
"Megaceryle_alcyon",-90.187,30.812
"Megaceryle_alcyon",-107.53661,39.57278
"Megaceryle_alcyon",-133.916731,60.867095
"Megaceryle_alcyon",-81.175922,31.564166
"Megaceryle_alcyon",-77.833422,36.522593
"Megaceryle_alcyon",-99.150823,53.518837
"Megaceryle_alcyon",-149.217743,61.682864
"Megaceryle_alcyon",-71.378174,47.683881
"Megaceryle_alcyon",-119.70274,34.032461
"Megaceryle_alcyon",-94.782713,36.104306
"Megaceryle_alcyon",-119.165568,48.860706
"Megaceryle_alcyon",-77.0246,37.7253
"Megaceryle_alcyon",-110.130128,40.559207
"Megaceryle_alcyon",-90.923431,36.001236
"Megaceryle_alcyon",-100.365922,25.766727
"Megaceryle_alcyon",-90.632857,29.689948
"Megaceryle_alcyon",-90.04348,31.72255
"Megaceryle_alcyon",-87.2603,31.71955
"Megaceryle_alcyon",-88.50694,32.41844
"Megaceryle_alcyon",-97.9993,49.69891
"Megaceryle_alcyon",-59.0497,47.9111
"Megaceryle_alcyon",-82.83468,32.6534
"Megaceryle_alcyon",-135.314414,57.034641
"Megaceryle_alcyon",-76.298075,40.367572
"Megaceryle_alcyon",-113.763331,33.733976
"Megaceryle_alcyon",-93.869805,41.884483
"Megaceryle_alcyon",-86.59091,48.76429
"Megaceryle_alcyon",-53.740053,48.633476
"Megaceryle_alcyon",-67.098999,47.517201
"Megaceryle_alcyon",-70.588757,41.599005
"Megaceryle_alcyon",-79.944935,38.76435
"Megaceryle_alcyon",-86.15297,30.76231
"Megaceryle_alcyon",-118.040972,52.907543
"Megaceryle_alcyon",-92.469197,44.034495
"Megaceryle_alcyon",-120.667193,48.031846
"Megaceryle_alcyon",-98.560404,32.290114
"Megaceryle_alcyon",-56.381836,48.79239
"Megaceryle_alcyon",-108.233333,29.733333
"Megaceryle_alcyon",-114.060308,62.530412
"Megaceryle_alcyon",-109.527999,49.664109
"Megaceryle_alcyon",-89.424248,36.40885
"Megaceryle_alcyon",-77.828522,38.016539
"Megaceryle_alcyon",-97.133131,30.00272
"Megaceryle_alcyon",-121.981888,55.98686
"Megaceryle_alcyon",-123.65318,41.031716
"Megaceryle_alcyon",-99.252634,24.645457
"Megaceryle_alcyon",-92.126058,38.905339
"Megaceryle_alcyon",-101.37885,35.4126
"Megaceryle_alcyon",-80.156035,26.813194
"Megaceryle_alcyon",-113.703947,48.765864
"Megaceryle_alcyon",-94.390298,49.824093
"Megaceryle_alcyon",-109.598812,36.352782
"Megaceryle_alcyon",-101.749374,19.915963
"Megaceryle_alcyon",-71.571739,18.322814
"Megaceryle_alcyon",-116.080899,44.289083
"Megaceryle_alcyon",-80.274095,46.223196
"Megaceryle_alcyon",-95.139027,30.287532
"Megaceryle_alcyon",-74.95388,41.486206
"Megaceryle_alcyon",-92.79735,30.09851
"Megaceryle_alcyon",-113.970623,41.021549
"Megaceryle_alcyon",-67.659774,45.832339
"Megaceryle_alcyon",-92.19359,42.33823
"Megaceryle_alcyon",-73.897209,50.179022
"Megaceryle_alcyon",-60.062084,46.040637
"Megaceryle_alcyon",-89.130975,35.773362
"Megaceryle_alcyon",-118.018889,34.203333
"Megaceryle_alcyon",-97.442053,35.164024
"Megaceryle_alcyon",-114.615857,49.355859
"Megaceryle_alcyon",-85.92151,11.30769
"Megaceryle_alcyon",-110.5042,33.7982
"Megaceryle_alcyon",-125.952682,49.601608
"Megaceryle_alcyon",-96.386833,19.576612
"Megaceryle_alcyon",-107.080313,42.497373
"Megaceryle_alcyon",-123.103301,42.077687
"Megaceryle_alcyon",-85.799446,34.058633
"Megaceryle_alcyon",-92.516556,34.716923
"Megaceryle_alcyon",-84.313493,30.274583
"Megaceryle_alcyon",-80.467173,33.485044
"Megaceryle_alcyon",-81.365261,32.747291
"Megaceryle_alcyon",-92.020809,45.543846
"Megaceryle_alcyon",-88.123012,41.379022
"Megaceryle_alcyon",-79.38463,34.01847
"Megaceryle_alcyon",-88.923438,16.850241
"Megaceryle_alcyon",-86.982193,33.567145
"Megaceryle_alcyon",-84.352233,40.618082
"Megaceryle_alcyon",-124.670298,54.31826
"Megaceryle_alcyon",-81.546252,34.088454
"Megaceryle_alcyon",-89.714584,13.529675
"Megaceryle_alcyon",-57.189331,49.812401
"Megaceryle_alcyon",-104.944005,19.422068
"Megaceryle_alcyon",-109.884133,46.118149
"Megaceryle_alcyon",-94.295139,49.029397
"Megaceryle_alcyon",-81.537612,40.514699
"Megaceryle_alcyon",-82.3004,36.7306
"Megaceryle_alcyon",-97.099228,51.557009
"Megaceryle_alcyon",-84.113683,54.82714
"Megaceryle_alcyon",-142.151038,63.907956
"Megaceryle_alcyon",-109.546652,42.400897
"Megaceryle_alcyon",-80.470914,43.90878
"Megaceryle_alcyon",-80.844912,41.715228
"Megaceryle_alcyon",-94.893131,42.284939
"Megaceryle_alcyon",-71.445079,45.696109
"Megaceryle_alcyon",-92.304837,17.965838
"Megaceryle_alcyon",-74.446106,44.513156
"Megaceryle_alcyon",-91.186867,46.880024
"Megaceryle_alcyon",-76.807136,42.908286
"Megaceryle_alcyon",-121.40768,53.259001
"Megaceryle_alcyon",-91.081113,19.065462
"Megaceryle_alcyon",-93.888104,46.153401
"Megaceryle_alcyon",-80.010145,41.010799
"Megaceryle_alcyon",-101.638931,56.644348
"Megaceryle_alcyon",-123.95962,45.501967
"Megaceryle_alcyon",-82.642911,27.872059
"Megaceryle_alcyon",-88.045893,47.471851
"Megaceryle_alcyon",-121.9882,50.289114
"Megaceryle_alcyon",-98.410377,43.210681
"Megaceryle_alcyon",-120.10374,46.27365
"Megaceryle_alcyon",-96.781311,29.697597
"Megaceryle_alcyon",-69.508953,19.326634
"Megaceryle_alcyon",-150.15564,62.098742
"Megaceryle_alcyon",-95.568565,31.978215
"Megaceryle_alcyon",-84.091265,9.928821
"Megaceryle_alcyon",-149.757055,61.602607
"Megaceryle_alcyon",-94.002628,46.489529
"Megaceryle_alcyon",-99.877009,41.333127
"Megaceryle_alcyon",-123.540226,45.282729
"Megaceryle_alcyon",-78.62699,45.553872
"Megaceryle_alcyon",-60.765451,11.226946
"Megaceryle_alcyon",-80.655426,37.528605
"Megaceryle_alcyon",-114.37133,50.88553
"Megaceryle_alcyon",-106.197109,23.200961
"Megaceryle_alcyon",-65.472309,43.491773
"Megaceryle_alcyon",-95.234814,45.331861
"Megaceryle_alcyon",-121.181946,47.368594
"Megaceryle_alcyon",-86.16786,33.6225
"Megaceryle_alcyon",-97.27672,36.266131
"Megaceryle_alcyon",-84.0657,32.346483
"Megaceryle_alcyon",-87.255135,34.734841
"Megaceryle_alcyon",-120.368519,48.571449
"Megaceryle_alcyon",-81.716223,35.740695
"Megaceryle_alcyon",-114.132032,38.699058
"Megaceryle_alcyon",-85.40625,36.854167
"Megaceryle_alcyon",-106.428418,36.240152
"Megaceryle_alcyon",-91.821241,38.393406
"Megaceryle_alcyon",-123.858818,43.048721
"Megaceryle_alcyon",-90.406655,41.572927
"Megaceryle_alcyon",-64.77569,45.33282
"Megaceryle_alcyon",-147.426402,64.818141
"Megaceryle_alcyon",-85.995226,41.95298
"Megaceryle_alcyon",-93.071022,30.028232
"Megaceryle_alcyon",-84.633849,33.756969
"Megaceryle_alcyon",-55.061666,47.224755
"Megaceryle_alcyon",-91.136185,32.793804
"Megaceryle_alcyon",-114.185264,40.430142
"Megaceryle_alcyon",-113.462505,49.006972
"Megaceryle_alcyon",-96.284008,29.531645
"Megaceryle_alcyon",-107.501221,43.331038
"Megaceryle_alcyon",-100.40638,32.47092
"Megaceryle_alcyon",-112.017803,34.385273
"Megaceryle_alcyon",-96.497581,45.610931
"Megaceryle_alcyon",-77.071581,38.155212
"Megaceryle_alcyon",-81.678382,38.796602
"Megaceryle_alcyon",-121.55873,40.97707
"Megaceryle_alcyon",-91.427894,37.751256
"Megaceryle_alcyon",-66.981668,48.68195
"Megaceryle_alcyon",-79.811125,39.531585
"Megaceryle_alcyon",-85.680956,39.694808
"Megaceryle_alcyon",-105.513596,44.451328
"Megaceryle_alcyon",-81.328676,34.251284
"Megaceryle_alcyon",-80.223911,44.305292
"Megaceryle_alcyon",-86.786499,33.045508
"Megaceryle_alcyon",-102.077064,41.311469
"Megaceryle_alcyon",-76.216667,41.033333
"Megaceryle_alcyon",-100.670396,20.049239
"Megaceryle_alcyon",-88.62045,36.43325
"Megaceryle_alcyon",-80.010316,41.332096
"Megaceryle_alcyon",-114.02298,31.523532
"Megaceryle_alcyon",-109.668566,23.06183
"Megaceryle_alcyon",-82.602277,41.408399
"Megaceryle_alcyon",-98.593326,33.921711
"Megaceryle_alcyon",-87.052917,38.717662
"Megaceryle_alcyon",-102.521324,38.1039
"Megaceryle_alcyon",-80.237918,45.060917
"Megaceryle_alcyon",-92.589995,41.590356
"Megaceryle_alcyon",-97.576532,42.179879
"Megaceryle_alcyon",-61.473151,45.399964
"Megaceryle_alcyon",-67.921386,48.45616
"Megaceryle_alcyon",-61.404745,15.373276
"Megaceryle_alcyon",-72.260084,45.782609
"Megaceryle_alcyon",-94.87484,32.707
"Megaceryle_alcyon",-79.225159,37.472815
"Megaceryle_alcyon",-97.999184,38.673081
"Megaceryle_alcyon",-107.051886,38.168389
"Megaceryle_alcyon",-133.21745,55.87094
"Megaceryle_alcyon",-121.273355,43.713347
"Megaceryle_alcyon",-114.580536,53.549283
"Megaceryle_alcyon",-122.722521,47.041118
"Megaceryle_alcyon",-89.291976,40.562402
"Megaceryle_alcyon",-71.693569,43.942506
"Megaceryle_alcyon",-134.266453,57.904645
"Megaceryle_alcyon",-120.955353,56.278341
"Megaceryle_alcyon",-81.979508,37.245327
"Megaceryle_alcyon",-109.2787,31.3371
"Megaceryle_alcyon",-79.009058,42.86884
"Megaceryle_alcyon",-77.971523,25.067467
"Megaceryle_alcyon",-101.71945,41.12809
"Megaceryle_alcyon",-75.124469,38.236427
"Megaceryle_alcyon",-83.846116,47.852958
"Megaceryle_alcyon",-117.850878,35.007925
"Megaceryle_alcyon",-77.730063,39.637472
"Megaceryle_alcyon",-97.882892,43.640732
"Megaceryle_alcyon",-92.078766,47.794505
"Megaceryle_alcyon",-100.830781,50.847556
"Megaceryle_alcyon",-114.820733,30.984931
"Megaceryle_alcyon",-89.886017,41.327004
"Megaceryle_alcyon",-99.437621,27.554178
"Megaceryle_alcyon",-90.090819,37.042572
"Megaceryle_alcyon",-94.5382,40.0635
"Megaceryle_alcyon",-102.080217,46.04173
"Megaceryle_alcyon",-83.959118,35.785661
"Megaceryle_alcyon",-81.391236,19.276623
"Megaceryle_alcyon",-111.826186,36.043044
"Megaceryle_alcyon",-75.25896,46.143284
"Megaceryle_alcyon",-116.94397,52.549636
"Megaceryle_alcyon",-90.818933,39.621315
"Megaceryle_alcyon",-123.966379,48.044005
"Megaceryle_alcyon",-121.561747,46.239702
"Megaceryle_alcyon",-83.236008,31.416998
"Megaceryle_alcyon",-94.184017,47.461364
"Megaceryle_alcyon",-84.240906,37.554427
"Megaceryle_alcyon",-99.38696,37.935563
"Megaceryle_alcyon",-93.2653,39.474829
"Megaceryle_alcyon",-68.559236,46.103917
"Megaceryle_alcyon",-138.794575,61.251239
"Megaceryle_alcyon",-79.88709,36.407006
"Megaceryle_alcyon",-121.794559,36.331547
"Megaceryle_alcyon",-91.317018,44.366891
"Megaceryle_alcyon",-116.072788,51.094467
"Megaceryle_alcyon",-89.912689,49.705854
"Megaceryle_alcyon",-84.094634,39.022551
"Megaceryle_alcyon",-122.239318,39.414349
"Megaceryle_alcyon",-74.818723,44.618987
"Megaceryle_alcyon",-96.198017,37.720148
"Megaceryle_alcyon",-95.414184,18.595714
"Megaceryle_alcyon",-122.572596,53.407255
"Megaceryle_alcyon",-98.081388,41.068804
"Megaceryle_alcyon",-110.260162,59.551373
"Megaceryle_alcyon",-111.211101,31.397158
"Megaceryle_alcyon",-75.081921,38.578196
"Megaceryle_alcyon",-97.737996,21.201029
"Megaceryle_alcyon",-98.5795,39.828175
"Megaceryle_alcyon",-53.760668,47.633902
"Megaceryle_alcyon",-114.27103,53.510714
"Megaceryle_alcyon",-118.568976,37.16942
"Megaceryle_alcyon",-152.179871,58.932296
"Megaceryle_alcyon",-123.64445,41.54143
"Megaceryle_alcyon",-92.519616,46.52973
"Megaceryle_alcyon",-82.22575,39.44516
"Megaceryle_alcyon",-137.445831,60.808427
"Megaceryle_alcyon",-78.83152,39.760799
"Megaceryle_alcyon",-99.769214,46.499505
"Megaceryle_alcyon",-69.295947,47.527233
"Megaceryle_alcyon",-113.285322,50.396458
"Megaceryle_alcyon",-85.240871,45.285956
"Megaceryle_alcyon",-94.199676,53.673836
"Megaceryle_alcyon",-124.228055,43.275311
"Megaceryle_alcyon",-116.408721,33.67148
"Megaceryle_alcyon",-105.178417,31.908094
"Megaceryle_alcyon",-79.723781,37.035796
"Megaceryle_alcyon",-115.790577,29.792671
"Megaceryle_alcyon",-87.582358,34.731907
"Megaceryle_alcyon",-81.912206,37.005526
"Megaceryle_alcyon",-79.785376,33.347881
"Megaceryle_alcyon",-114.02692,49.130828
"Megaceryle_alcyon",-90.129733,40.319588
"Megaceryle_alcyon",-84.91461,42.44379
"Megaceryle_alcyon",-104.238453,40.645024
"Megaceryle_alcyon",-104.87397,48.15784
"Megaceryle_alcyon",-60.467,46.9
"Megaceryle_alcyon",-79.450279,41.104687
"Megaceryle_alcyon",-103.004208,42.744869
"Megaceryle_alcyon",-90.167411,42.104035
"Megaceryle_alcyon",-88.428483,43.091582
"Megaceryle_alcyon",-79.597278,35.917902
"Megaceryle_alcyon",-119.642778,37.528611
"Megaceryle_alcyon",-84.38168,34.66351
"Megaceryle_alcyon",-112.688734,45.999267
"Megaceryle_alcyon",-80.174961,25.789845
"Megaceryle_alcyon",-88.391533,18.669828
"Megaceryle_alcyon",-73.149633,43.809309
"Megaceryle_alcyon",-66.741943,47.389982
"Megaceryle_alcyon",-82.75905,30.32963
"Megaceryle_alcyon",-82.287083,9.046327
"Megaceryle_alcyon",-88.845081,37.255401
"Megaceryle_alcyon",-90.17327,42.916932
"Megaceryle_alcyon",-113.926789,27.634831
"Megaceryle_alcyon",-88.16,32.83
"Megaceryle_alcyon",-67.552528,48.549692
"Megaceryle_alcyon",-96.978464,37.703041
"Megaceryle_alcyon",-79.428921,44.571232
"Megaceryle_alcyon",-100.0055,38.068021
"Megaceryle_alcyon",-124.61327,49.87981
"Megaceryle_alcyon",-121.009802,37.750782
"Megaceryle_alcyon",-81.132086,47.223412
"Megaceryle_alcyon",-82.61565,30.16697
"Megaceryle_alcyon",-122.915726,39.036644
"Megaceryle_alcyon",-61.755352,17.063677
"Megaceryle_alcyon",-71.979375,45.057717
"Megaceryle_alcyon",-122.340703,39.762367
"Megaceryle_alcyon",-76.838787,34.69718
"Megaceryle_alcyon",-79.846272,38.51362
"Megaceryle_alcyon",-68.844709,18.376357
"Megaceryle_alcyon",-103.625254,48.338042
"Megaceryle_alcyon",-92.861206,49.742405
"Megaceryle_alcyon",-103.37206,40.43018
"Megaceryle_alcyon",-80.026721,45.316502
"Megaceryle_alcyon",-80.321763,27.473492
"Megaceryle_alcyon",-77.326428,44.192162
"Megaceryle_alcyon",-96.35838,40.315399
"Megaceryle_alcyon",-70.458498,45.196192
"Megaceryle_alcyon",-92.98277,57.804608
"Megaceryle_alcyon",-123.46844,40.62578
"Megaceryle_alcyon",-83.877268,34.037938
"Megaceryle_alcyon",-83.630763,49.622645
"Megaceryle_alcyon",-86.488345,33.152122
"Megaceryle_alcyon",-73.465004,44.192793
"Megaceryle_alcyon",-85.615984,42.287638
"Megaceryle_alcyon",-84.089785,44.65742
"Megaceryle_alcyon",-122.708466,41.864913
"Megaceryle_alcyon",-94.294659,44.710074
"Megaceryle_alcyon",-92.650698,45.80897
"Megaceryle_alcyon",-82.784154,49.189013
"Megaceryle_alcyon",-75.743523,43.365375
"Megaceryle_alcyon",-95.880346,28.971125
"Megaceryle_alcyon",-110.42872,41.43775
"Megaceryle_alcyon",-161.339722,59.264126
"Megaceryle_alcyon",-102.79367,49.378704
"Megaceryle_alcyon",-86.185341,40.81277
"Megaceryle_alcyon",-124.43716,42.763524
"Megaceryle_alcyon",-83.058014,12.16487
"Megaceryle_alcyon",-90.46012,31.240992
"Megaceryle_alcyon",-80.517254,27.882387
"Megaceryle_alcyon",-138.26942,65.35263
"Megaceryle_alcyon",-88.880424,13.287397
"Megaceryle_alcyon",-114.870235,43.984463
"Megaceryle_alcyon",-123.472844,60.240868
"Megaceryle_alcyon",-91.238719,18.897699
"Megaceryle_alcyon",-120.966229,40.926007
"Megaceryle_alcyon",-99.22485,30.06947
"Megaceryle_alcyon",-99.59988,33.068549
"Megaceryle_alcyon",-115.114682,44.363145
"Megaceryle_alcyon",-94.387949,36.191788
"Megaceryle_alcyon",-81.601982,22.307044
"Megaceryle_alcyon",-108.54623,47.187
"Megaceryle_alcyon",-78.42137,38.844555
"Megaceryle_alcyon",-83.8923,32.482
