"sp","decimallongitude","decimallatitude"
"Melanerpes_formicivorus","-118.004921","34.29805"
"Melanerpes_formicivorus","-110.779867","31.704765"
"Melanerpes_formicivorus","-122.679906","42.168175"
"Melanerpes_formicivorus","-123.329526","44.418448"
"Melanerpes_formicivorus","-121.27206","38.6446"
"Melanerpes_formicivorus","-119.569466","34.418848"
"Melanerpes_formicivorus","-121.161181","38.691659"
"Melanerpes_formicivorus","-121.886401","37.522287"
"Melanerpes_formicivorus","-118.175822","34.192774"
"Melanerpes_formicivorus","-121.787163","39.707638"
"Melanerpes_formicivorus","-123.627412","40.953484"
"Melanerpes_formicivorus","-123.348656","43.198446"
"Melanerpes_formicivorus","-109.144666","31.911068"
"Melanerpes_formicivorus","-123.20071","43.31804"
"Melanerpes_formicivorus","-122.304869","37.271457"
"Melanerpes_formicivorus","-121.984942","37.844158"
"Melanerpes_formicivorus","-120.313686","37.897588"
"Melanerpes_formicivorus","-117.269611","33.528622"
"Melanerpes_formicivorus","-122.201971","37.140864"
"Melanerpes_formicivorus","-120.006486","37.425896"
"Melanerpes_formicivorus","-118.14517","34.116566"
"Melanerpes_formicivorus","-112.425402","34.425833"
"Melanerpes_formicivorus","-121.323395","37.437793"
"Melanerpes_formicivorus","-119.731686","34.46225"
"Melanerpes_formicivorus","-122.64905","41.70893"
"Melanerpes_formicivorus","-122.084206","37.021233"
"Melanerpes_formicivorus","-121.31774","45.71347"
"Melanerpes_formicivorus","-123.186264","45.121143"
"Melanerpes_formicivorus","-123.788141","40.069747"
"Melanerpes_formicivorus","-116.603823","33.120372"
"Melanerpes_formicivorus","-104.833946","31.994101"
"Melanerpes_formicivorus","-120.99977","38.394029"
"Melanerpes_formicivorus","-116.522611","32.849984"
"Melanerpes_formicivorus","-122.18565","37.891247"
"Melanerpes_formicivorus","-120.296216","37.488719"
"Melanerpes_formicivorus","-122.658834","38.790352"
"Melanerpes_formicivorus","-119.499812","36.723088"
"Melanerpes_formicivorus","-109.190391","31.862783"
"Melanerpes_formicivorus","-103.927075","30.596719"
"Melanerpes_formicivorus","-116.901393","33.340282"
"Melanerpes_formicivorus","-118.289791","34.230098"
"Melanerpes_formicivorus","-118.912582","36.436752"
"Melanerpes_formicivorus","-116.561299","33.022347"
"Melanerpes_formicivorus","-105.010181","24.058099"
"Melanerpes_formicivorus","-121.34398","38.32758"
"Melanerpes_formicivorus","-120.679584","38.659279"
"Melanerpes_formicivorus","-122.02547","40.09127"
"Melanerpes_formicivorus","-122.03401","40.42577"
"Melanerpes_formicivorus","-121.450935","36.274776"
"Melanerpes_formicivorus","-119.817796","34.003079"
"Melanerpes_formicivorus","-121.513252","37.178646"
"Melanerpes_formicivorus","-121.586479","39.535534"
"Melanerpes_formicivorus","-75.582283","4.630448"
"Melanerpes_formicivorus","-105.089303","21.503008"
"Melanerpes_formicivorus","-110.696945","32.379879"
"Melanerpes_formicivorus","-122.078361","38.515199"
"Melanerpes_formicivorus","-121.835638","42.238542"
"Melanerpes_formicivorus","-123.944321","40.72498"
"Melanerpes_formicivorus","-121.634445","37.583621"
"Melanerpes_formicivorus","-90.376282","15.478414"
"Melanerpes_formicivorus","-118.040199","34.378296"
"Melanerpes_formicivorus","-118.765587","36.545932"
"Melanerpes_formicivorus","-122.375507","40.56885"
"Melanerpes_formicivorus","-83.816667","9.541667"
"Melanerpes_formicivorus","-117.752151","34.373727"
"Melanerpes_formicivorus","-117.43138","33.60879"
"Melanerpes_formicivorus","-110.326103","31.4244"
"Melanerpes_formicivorus","-120.96525","38.22869"
"Melanerpes_formicivorus","-122.217345","38.507232"
"Melanerpes_formicivorus","-122.17269","37.42454"
"Melanerpes_formicivorus","-119.384823","37.039695"
"Melanerpes_formicivorus","-118.730621","35.689091"
"Melanerpes_formicivorus","-119.816109","37.534832"
"Melanerpes_formicivorus","-119.925513","37.551382"
"Melanerpes_formicivorus","-123.166008","39.133123"
"Melanerpes_formicivorus","-120.307331","37.6058"
"Melanerpes_formicivorus","-116.921225","32.229575"
"Melanerpes_formicivorus","-104.111595","30.65652"
"Melanerpes_formicivorus","-111.606803","35.226253"
"Melanerpes_formicivorus","-119.955","34.758"
"Melanerpes_formicivorus","-122.837448","38.978494"
"Melanerpes_formicivorus","-116.677937","32.551407"
"Melanerpes_formicivorus","-121.467003","36.021244"
"Melanerpes_formicivorus","-123.103437","39.360099"
"Melanerpes_formicivorus","-120.020669","34.473071"
"Melanerpes_formicivorus","-120.409384","34.642989"
"Melanerpes_formicivorus","-121.807542","37.396218"
"Melanerpes_formicivorus","-122.615662","38.492294"
"Melanerpes_formicivorus","-123.590179","40.134432"
"Melanerpes_formicivorus","-87.249523","13.924612"
"Melanerpes_formicivorus","-120.062585","37.77967"
"Melanerpes_formicivorus","-121.18129","38.92344"
"Melanerpes_formicivorus","-121.789702","36.517207"
"Melanerpes_formicivorus","-117.166141","33.143374"
"Melanerpes_formicivorus","-110.25483","31.50187"
"Melanerpes_formicivorus","-116.942535","33.04015"
"Melanerpes_formicivorus","-96.498033","17.090981"
"Melanerpes_formicivorus","-123.798666","39.450046"
"Melanerpes_formicivorus","-121.302109","36.76653"
"Melanerpes_formicivorus","-119.270944","34.439697"
"Melanerpes_formicivorus","-119.35835","37.44728"
"Melanerpes_formicivorus","-122.785985","42.330543"
"Melanerpes_formicivorus","-120.70819","35.53265"
"Melanerpes_formicivorus","-121.98041","37.2567"
"Melanerpes_formicivorus","-120.948116","39.934314"
"Melanerpes_formicivorus","-121.187412","36.483634"
"Melanerpes_formicivorus","-122.799688","38.041233"
"Melanerpes_formicivorus","-119.824448","36.851604"
"Melanerpes_formicivorus","-119.903283","37.486948"
"Melanerpes_formicivorus","-99.31175","19.331912"
"Melanerpes_formicivorus","-121.880854","39.81543"
"Melanerpes_formicivorus","-121.909404","36.599887"
"Melanerpes_formicivorus","-118.859024","34.840859"
"Melanerpes_formicivorus","-92.636","16.736"
"Melanerpes_formicivorus","-116.922016","32.910617"
"Melanerpes_formicivorus","-121.357144","37.112196"
"Melanerpes_formicivorus","-120.945911","38.295999"
"Melanerpes_formicivorus","-122.872338","42.412209"
"Melanerpes_formicivorus","-96.503981","16.051636"
