"sp","decimallongitude","decimallatitude"
"Melozone_fusca","-111.009122","31.768987"
"Melozone_fusca","-106.904612","33.765948"
"Melozone_fusca","-110.660246","31.678466"
"Melozone_fusca","-111.798159","34.637126"
"Melozone_fusca","-103.943088","30.59102"
"Melozone_fusca","-103.306804","29.278566"
"Melozone_fusca","-110.227867","31.380476"
"Melozone_fusca","-106.612832","33.910282"
"Melozone_fusca","-106.821334","34.43954"
"Melozone_fusca","-112.526371","34.641523"
"Melozone_fusca","-109.132851","31.883571"
"Melozone_fusca","-106.698462","34.321663"
"Melozone_fusca","-106.261153","35.154412"
"Melozone_fusca","-110.173599","31.6257"
"Melozone_fusca","-103.572423","20.709228"
"Melozone_fusca","-106.012979","35.660298"
"Melozone_fusca","-99.185448","19.300491"
"Melozone_fusca","-99.092881","19.296444"
"Melozone_fusca","-110.840367","31.467604"
"Melozone_fusca","-110.245099","31.466825"
"Melozone_fusca","-110.065584","31.933371"
"Melozone_fusca","-99.4939","30.0856"
"Melozone_fusca","-99.060933","29.940953"
"Melozone_fusca","-98.221483","18.987087"
"Melozone_fusca","-111.047857","32.2147"
"Melozone_fusca","-111.13931","33.277595"
"Melozone_fusca","-104.12222","30.69757"
"Melozone_fusca","-111.09508","32.466757"
"Melozone_fusca","-101.859484","31.816897"
"Melozone_fusca","-112.507778","33.589563"
"Melozone_fusca","-98.845142","19.700102"
"Melozone_fusca","-110.421739","31.947975"
"Melozone_fusca","-104.566294","32.113758"
"Melozone_fusca","-103.251915","30.207306"
"Melozone_fusca","-112.739028","32.031123"
"Melozone_fusca","-111.76071","34.86972"
"Melozone_fusca","-105.860418","35.561038"
"Melozone_fusca","-106.620037","35.074118"
"Melozone_fusca","-111.811606","33.901371"
"Melozone_fusca","-106.294861","35.882803"
"Melozone_fusca","-111.254936","31.463602"
"Melozone_fusca","-101.718031","34.984609"
"Melozone_fusca","-98.10565","30.506667"
"Melozone_fusca","-108.149811","32.797307"
"Melozone_fusca","-110.745929","32.349258"
"Melozone_fusca","-112.759895","34.278496"
"Melozone_fusca","-103.42687","20.684525"
"Melozone_fusca","-112.047028","34.671406"
"Melozone_fusca","-108.721658","27.119914"
"Melozone_fusca","-111.801739","33.689538"
"Melozone_fusca","-106.276958","35.789204"
"Melozone_fusca","-100.501299","31.467203"
"Melozone_fusca","-103.760805","30.762873"
"Melozone_fusca","-109.774682","32.536629"
"Melozone_fusca","-106.205301","35.79629"
"Melozone_fusca","-110.908914","32.42058"
"Melozone_fusca","-101.2227","30.3062"
"Melozone_fusca","-101.362932","30.209791"
"Melozone_fusca","-110.770254","31.53158"
"Melozone_fusca","-109.084966","31.771039"
"Melozone_fusca","-101.606739","19.518917"
"Melozone_fusca","-98.121386","18.788132"
"Melozone_fusca","-106.659425","35.324545"
"Melozone_fusca","-112.45954","34.62956"
"Melozone_fusca","-108.784722","27.003056"
"Melozone_fusca","-100.860875","32.395944"
"Melozone_fusca","-104.260624","32.446279"
"Melozone_fusca","-111.23089","33.699201"
"Melozone_fusca","-110.685711","32.234657"
"Melozone_fusca","-102.122328","22.022956"
"Melozone_fusca","-101.56031","29.80921"
"Melozone_fusca","-106.577082","32.322571"
"Melozone_fusca","-111.21486","31.554821"
"Melozone_fusca","-111.602747","33.481635"
"Melozone_fusca","-113.01021","31.943987"
"Melozone_fusca","-111.475831","33.882966"
"Melozone_fusca","-99.031706","19.441828"
"Melozone_fusca","-111.447909","33.919093"
"Melozone_fusca","-100.533271","31.377135"
"Melozone_fusca","-102.316667","21.851667"
"Melozone_fusca","-110.466667","31.5"
"Melozone_fusca","-100.268333","19.445556"
"Melozone_fusca","-114.176592","34.539577"
"Melozone_fusca","-112.023","34.246"
"Melozone_fusca","-112.158022","34.193951"
"Melozone_fusca","-100.745","20.516667"
"Melozone_fusca","-99.766545","30.513211"
"Melozone_fusca","-105.192836","38.42089"
"Melozone_fusca","-99.385","19.308333"
"Melozone_fusca","-103.35109","20.337957"
"Melozone_fusca","-100.4926","19.4915"
"Melozone_fusca","-100.289952","19.761817"
"Melozone_fusca","-110.996912","31.95758"
"Melozone_fusca","-102.957044","20.82079"
"Melozone_fusca","-104.874566","31.883716"
"Melozone_fusca","-111.108255","31.390938"
"Melozone_fusca","-101.080278","19.96"
"Melozone_fusca","-109.271301","31.9328"
"Melozone_fusca","-110.836612","32.505632"
"Melozone_fusca","-104.839632","31.046739"
"Melozone_fusca","-101.647761","34.937289"
"Melozone_fusca","-103.394201","29.451519"
"Melozone_fusca","-103.512685","37.770155"
"Melozone_fusca","-99.85786","20.49987"
"Melozone_fusca","-104.690073","35.035092"
"Melozone_fusca","-99.751739","30.89869"
"Melozone_fusca","-102.970744","19.887596"
"Melozone_fusca","-101.236525","21.012887"
"Melozone_fusca","-112.067558","34.878615"
"Melozone_fusca","-98.033616","30.289709"
"Melozone_fusca","-101.923794","21.917078"
"Melozone_fusca","-102.135352","21.597258"
"Melozone_fusca","-106.451468","35.294497"
"Melozone_fusca","-109.715309","31.579998"
"Melozone_fusca","-102.96328","36.903118"
"Melozone_fusca","-102.748201","36.961551"
"Melozone_fusca","-103.126464","37.172926"
"Melozone_fusca","-100.801134","25.991402"
"Melozone_fusca","-98.563285","19.291994"
"Melozone_fusca","-99.79826","30.433874"
"Melozone_fusca","-103.787112","30.944268"
"Melozone_fusca","-104.739447","38.527801"
"Melozone_fusca","-103.598212","30.070091"
"Melozone_fusca","-106.874406","33.87367"
"Melozone_fusca","-103.712311","30.958396"
"Melozone_fusca","-99.223333","18.968333"
"Melozone_fusca","-105.842242","36.54557"
"Melozone_fusca","-105.292277","38.441329"
"Melozone_fusca","-110.535893","32.600301"
"Melozone_fusca","-107.467252","32.966411"
"Melozone_fusca","-99.779799","30.681594"
"Melozone_fusca","-105.788255","36.276666"
"Melozone_fusca","-105.979992","35.142676"
"Melozone_fusca","-99.128051","20.059559"
"Melozone_fusca","-105.219357","35.597778"
"Melozone_fusca","-100.792687","20.904087"
"Melozone_fusca","-103.242538","29.127487"
"Melozone_fusca","-110.117104","31.385599"
"Melozone_fusca","-110.692285","32.074961"
"Melozone_fusca","-104.528604","24.058142"
"Melozone_fusca","-103.185117","37.106235"
"Melozone_fusca","-104.5293","38.57793"
"Melozone_fusca","-99.78613","29.20964"
"Melozone_fusca","-110.348848","31.836557"
"Melozone_fusca","-101.18342","19.7"
"Melozone_fusca","-99.0992710732124","19.7975448823133"
"Melozone_fusca","-103.55318","37.65898"
"Melozone_fusca","-104.78867","38.937948"
"Melozone_fusca","-103.793999","32.857037"
"Melozone_fusca","-98.17454","30.264933"
"Melozone_fusca","-104.637737","30.590785"
"Melozone_fusca","-99.714564","29.495503"
"Melozone_fusca","-104.780903","37.625177"
"Melozone_fusca","-105.94353","35.3949"
"Melozone_fusca","-99.57005","21.137667"
"Melozone_fusca","-102.779192","33.957066"
"Melozone_fusca","-104.935956","38.153077"
"Melozone_fusca","-106.519887","32.010068"
"Melozone_fusca","-104.718461","38.269454"
"Melozone_fusca","-107.609711","32.087156"
"Melozone_fusca","-111.122093","33.3573"
"Melozone_fusca","-112.428586","34.86706"
"Melozone_fusca","-107.240342","34.125289"
"Melozone_fusca","-111.504","31.523"
"Melozone_fusca","-108.666126","34.433874"
"Melozone_fusca","-107.213978","34.19189"
"Melozone_fusca","-103.113718","20.044684"
"Melozone_fusca","-102.966614","29.18274"
"Melozone_fusca","-103.435335","29.166328"
"Melozone_fusca","-112.693","33.933"
"Melozone_fusca","-104.450344","38.534336"
"Melozone_fusca","-104.803319","37.955244"
"Melozone_fusca","-102.881641","36.841524"
"Melozone_fusca","-100.613348","25.456131"
"Melozone_fusca","-100.808333","25.43"
"Melozone_fusca","-101.103483","34.446907"
"Melozone_fusca","-103.313333","20.665"
"Melozone_fusca","-103.449012","20.573498"
"Melozone_fusca","-104.546242","23.95645"
"Melozone_fusca","-100.427505","25.272554"
"Melozone_fusca","-111.920428","33.825435"
"Melozone_fusca","-100.999203","22.133232"
"Melozone_fusca","-101.826096","30.45992"
"Melozone_fusca","-104.60165","38.57786"
"Melozone_fusca","-102.563381","22.777052"
"Melozone_fusca","-110.831861","33.411002"
"Melozone_fusca","-105.522802","33.498801"
"Melozone_fusca","-105.365826","35.261229"
"Melozone_fusca","-101.765833","19.468611"
"Melozone_fusca","-110.589302","31.701903"
"Melozone_fusca","-105.178417","31.908094"
"Melozone_fusca","-99.663817","29.832072"
"Melozone_fusca","-104.285831","35.295583"
"Melozone_fusca","-113.336978","33.773252"
"Melozone_fusca","-98.820666","19.497277"
"Melozone_fusca","-109.70764","32.83397"
"Melozone_fusca","-103.671927","37.484394"
"Melozone_fusca","-106.480419","33.438264"
"Melozone_fusca","-98.736561","20.097614"
"Melozone_fusca","-100.105822","29.84169"
"Melozone_fusca","-110.972471","33.787601"
"Melozone_fusca","-104.792569","32.161037"
"Melozone_fusca","-107.513598","33.903259"
"Melozone_fusca","-108.782501","31.468496"
"Melozone_fusca","-102.387471","30.132137"
"Melozone_fusca","-107.06019","34.002357"
"Melozone_fusca","-108.23183","33.9241"
"Melozone_fusca","-110.930414","31.348543"
"Melozone_fusca","-101.691458","30.662763"
"Melozone_fusca","-101.08881","30.697711"
"Melozone_fusca","-104.08267","21.168645"
"Melozone_fusca","-98.47069","19.316874"
"Melozone_fusca","-99.199593","19.50933"
"Melozone_fusca","-99.397902","31.136455"
"Melozone_fusca","-105.155854","38.293473"
"Melozone_fusca","-109.943147","31.97652"
"Melozone_fusca","-101.683333","19.6"
"Melozone_fusca","-100.028332","29.510474"
"Melozone_fusca","-107.518601","28.223354"
"Melozone_fusca","-107.955887","36.053002"
"Melozone_fusca","-100.720618","24.952385"
"Melozone_fusca","-100.338827","25.354752"
"Melozone_fusca","-104.15833","30.944636"
"Melozone_fusca","-103.835762","20.667692"
"Melozone_fusca","-105.829925","31.825695"
"Melozone_fusca","-109.152574","34.002464"
"Melozone_fusca","-105.15193","32.83359"
"Melozone_fusca","-103.60589","19.6685"
"Melozone_fusca","-101.571111","19.862222"
"Melozone_fusca","-105.249041","32.906785"
"Melozone_fusca","-107.975349","32.591081"
"Melozone_fusca","-104.274673","37.664164"
"Melozone_fusca","-101.457624","19.229862"
"Melozone_fusca","-110.215842","30.009426"
"Melozone_fusca","-108.472786","32.5655"
"Melozone_fusca","-98.756189","20.165081"
"Melozone_fusca","-98.824553","29.989285"
"Melozone_fusca","-100.590743","29.455374"
"Melozone_fusca","-112.479091","34.512885"
"Melozone_fusca","-100.093438","20.41313"
"Melozone_fusca","-111.314936","32.016373"
"Melozone_fusca","-107.907929","34.147163"
"Melozone_fusca","-102.32025","21.912342"
"Melozone_fusca","-108.674259","29.453375"
"Melozone_fusca","-107.374444","33.810833"
"Melozone_fusca","-105.183663","35.564978"
"Melozone_fusca","-108.883532","33.318745"
"Melozone_fusca","-110.247288","32.3382"
"Melozone_fusca","-110.263585","31.933608"
"Melozone_fusca","-103","38.08333"
"Melozone_fusca","-103.213333","20.371667"
"Melozone_fusca","-103.568115","30.257881"
"Melozone_fusca","-104.389052","34.59937"
"Melozone_fusca","-101.296906","21.307367"
"Melozone_fusca","-106.461736","34.964476"
"Melozone_fusca","-106.495073","36.332354"
"Melozone_fusca","-102.780361","29.562408"
"Melozone_fusca","-101.042719","21.43325"
"Melozone_fusca","-106.969795","35.054886"
"Melozone_fusca","-104.232745","20.820709"
"Melozone_fusca","-100.221863","20.267847"
"Melozone_fusca","-106.051434","38.652939"
"Melozone_fusca","-100.874748","29.909413"
"Melozone_fusca","-110.681709","31.447296"
"Melozone_fusca","-104.097004","30.61738"
"Melozone_fusca","-103.533815","29.329933"
"Melozone_fusca","-101.750559","35.611299"
"Melozone_fusca","-101.878796","35.470876"
"Melozone_fusca","-99.043078","19.663199"
"Melozone_fusca","-101.239014","25.373809"
"Melozone_fusca","-100.66876","20.166279"
"Melozone_fusca","-104.668827","23.979102"
"Melozone_fusca","-104.761269","31.993768"
"Melozone_fusca","-99.70921","19.975608"
"Melozone_fusca","-101.20762","21.11296"
"Melozone_fusca","-102.063804","20.157758"
"Melozone_fusca","-108.503296","35.136032"
"Melozone_fusca","-100.588691","29.751627"
"Melozone_fusca","-104.830685","38.932908"
"Melozone_fusca","-103.513119","38.106737"
"Melozone_fusca","-99.862874","19.824295"
"Melozone_fusca","-110.514049","33.183393"
"Melozone_fusca","-104.98156","35.79064"
"Melozone_fusca","-106.792742","34.626958"
"Melozone_fusca","-108.700534","26.966954"
"Melozone_fusca","-107.4862","33.726803"
"Melozone_fusca","-107.256678","33.676975"
"Melozone_fusca","-99.083462","19.116787"
"Melozone_fusca","-108.123681","32.763936"
"Melozone_fusca","-104.372177","36.067209"
"Melozone_fusca","-108.601398","32.840222"
"Melozone_fusca","-101.966343","31.900878"
"Melozone_fusca","-106.15937","35.835772"
"Melozone_fusca","-107.822674","27.535417"
"Melozone_fusca","-111.034656","32.285681"
"Melozone_fusca","-101.472406","21.082039"
"Melozone_fusca","-102.10847","31.960487"
"Melozone_fusca","-109.685054","31.760137"
"Melozone_fusca","-101.649948","32.76474"
"Melozone_fusca","-104.021258","29.881462"
"Melozone_fusca","-109.135765","31.446244"
"Melozone_fusca","-101.472838","32.221896"
"Melozone_fusca","-104.931219","38.586854"
"Melozone_fusca","-100.379595","25.081314"
"Melozone_fusca","-108.509186","32.770796"
"Melozone_fusca","-112.854636","32.266072"
"Melozone_fusca","-103.264975","19.963629"
"Melozone_fusca","-108.559281","33.016685"
"Melozone_fusca","-101.792271","31.649279"
"Melozone_fusca","-106.041203","31.914595"
"Melozone_fusca","-109.273024","33.151709"
"Melozone_fusca","-112.117225","33.805586"
"Melozone_fusca","-110.005895","34.345361"
"Melozone_fusca","-97.367934","19.605192"
"Melozone_fusca","-108.722248","32.705086"
"Melozone_fusca","-105.542353","36.379355"
"Melozone_fusca","-99.553814","20.896103"
"Melozone_fusca","-106.690331","35.771284"
"Melozone_fusca","-98.778419","19.125707"
"Melozone_fusca","-98.041434","30.660534"
"Melozone_fusca","-99.845123","33.778006"
"Melozone_fusca","-109.161272","33.207382"
"Melozone_fusca","-103.300741","36.574393"
"Melozone_fusca","-104.353966","32.577141"
"Melozone_fusca","-109.332247","31.435254"
"Melozone_fusca","-108.528701","32.964229"
"Melozone_fusca","-110.614128","31.412842"
"Melozone_fusca","-106.15094","35.40983"
"Melozone_fusca","-104.724524","23.917329"
"Melozone_fusca","-104.311575","23.941234"
"Melozone_fusca","-101.433892","23.929622"
"Melozone_fusca","-103.322382","30.524709"
"Melozone_fusca","-101.11997","20.24421"
"Melozone_fusca","-101.89906","37.04931"
"Melozone_fusca","-103.436539","37.636497"
"Melozone_fusca","-109.294224","33.105742"
"Melozone_fusca","-106.051497","31.927289"
"Melozone_fusca","-102.793166","36.559268"
"Melozone_fusca","-103.973064","20.72802"
"Melozone_fusca","-110.968333","29.093333"
"Melozone_fusca","-100.061889","30.485203"
"Melozone_fusca","-101.938003","37.103401"
"Melozone_fusca","-102.694702","21.899411"
"Melozone_fusca","-100.891936","25.095928"
"Melozone_fusca","-108.300557","32.689666"
"Melozone_fusca","-99.179163","19.898673"
"Melozone_fusca","-105.013225","35.90001"
"Melozone_fusca","-110.85886","32.536982"
"Melozone_fusca","-103.799121","34.434355"
"Melozone_fusca","-111.142759","34.994863"
"Melozone_fusca","-106.34345","34.639917"
"Melozone_fusca","-109.983315","34.186885"
"Melozone_fusca","-110.624814","32.090237"
"Melozone_fusca","-99.221861","19.654861"
"Melozone_fusca","-104.976082","38.482553"
"Melozone_fusca","-104.691116","34.939332"
"Melozone_fusca","-100.64337","30.56688"
"Melozone_fusca","-110.583333","28.616667"
"Melozone_fusca","-106.072869","35.458188"
"Melozone_fusca","-103.72452","35.17176"
"Melozone_fusca","-108.74264","35.52812"
"Melozone_fusca","-98.97695","18.79832"
"Melozone_fusca","-112.061619","33.354344"
"Melozone_fusca","-98.468742","31.100864"
"Melozone_fusca","-102.776783","20.812737"
"Melozone_fusca","-103.757139","20.345028"
"Melozone_fusca","-101.838627","21.754325"
"Melozone_fusca","-102.783333","20.35"
"Melozone_fusca","-104.388827","36.960879"
"Melozone_fusca","-105.675344","35.742054"
"Melozone_fusca","-109.304481","34.187311"
"Melozone_fusca","-97.783","17.817"
"Melozone_fusca","-111.061509","34.754804"
"Melozone_fusca","-99.622355","20.030725"
"Melozone_fusca","-100.516533","33.051323"
"Melozone_fusca","-110.416804","29.420552"
"Melozone_fusca","-101.753056","19.986111"
"Melozone_fusca","-100.686295","24.790793"
"Melozone_fusca","-101.322239","29.695647"
"Melozone_fusca","-100.888333","25.43"
"Melozone_fusca","-102.253811","19.456234"
"Melozone_fusca","-100.560458","24.59863"
"Melozone_fusca","-100.664967","24.580253"
"Melozone_fusca","-101.083611","25.183611"
"Melozone_fusca","-98.051667","19.056667"
"Melozone_fusca","-98.361797","30.701697"
"Melozone_fusca","-101.604444","20.1575"
"Melozone_fusca","-108.998629","31.525184"
"Melozone_fusca","-109.927507","31.45474"
"Melozone_fusca","-106.694794","35.134602"
"Melozone_fusca","-106.671517","29.771432"
"Melozone_fusca","-111.37706","32.830379"
"Melozone_fusca","-106.61909","34.346065"
"Melozone_fusca","-112.685454","34.505302"
"Melozone_fusca","-100.29198","19.361309"
"Melozone_fusca","-102.440842","22.234002"
"Melozone_fusca","-106.939748","29.629857"
"Melozone_fusca","-106.216367","35.084022"
"Melozone_fusca","-111.453629","33.355862"
"Melozone_fusca","-98.353568","30.274818"
"Melozone_fusca","-111.053016","29.10395"
"Melozone_fusca","-98.8283","20.6593"
"Melozone_fusca","-105.914898","32.722165"
"Melozone_fusca","-100.531361","20.80967"
"Melozone_fusca","-99.206543","29.748879"
"Melozone_fusca","-99.73938","29.613909"
"Melozone_fusca","-97.688134","19.103202"
"Melozone_fusca","-112.11195","33.63146"
"Melozone_fusca","-105.220356","38.625655"
"Melozone_fusca","-103.654804","20.381963"
"Melozone_fusca","-101.702499","21.165043"
"Melozone_fusca","-111.533761","33.606256"
"Melozone_fusca","-108.195848","32.941124"
"Melozone_fusca","-108.093109","33.005353"
"Melozone_fusca","-99.155045","29.735762"
"Melozone_fusca","-99.349118","30.775836"
"Melozone_fusca","-98.09","19.323333"
"Melozone_fusca","-109.92162","32.11368"
"Melozone_fusca","-104.90787","24.085015"
"Melozone_fusca","-106.822472","32.252515"
"Melozone_fusca","-100.587799","25.020479"
"Melozone_fusca","-105.674683","33.378727"
"Melozone_fusca","-103.147397","23.872922"
"Melozone_fusca","-108.984204","33.122011"
"Melozone_fusca","-103.453917","30.292275"
"Melozone_fusca","-100.793359","25.805029"
"Melozone_fusca","-99.557805","19.885411"
"Melozone_fusca","-106.026134","34.897899"
"Melozone_fusca","-111.451063","33.966712"
"Melozone_fusca","-111.565819","31.99148"
"Melozone_fusca","-108.699943","32.359219"
"Melozone_fusca","-100.782637","25.089764"
"Melozone_fusca","-103.521139","24.290933"
"Melozone_fusca","-102.93163","30.482308"
"Melozone_fusca","-103.830264","20.619771"
"Melozone_fusca","-101.93","20.954"
"Melozone_fusca","-101.754641","34.383857"
"Melozone_fusca","-106.49386","31.85617"
"Melozone_fusca","-112.826972","32.435251"
"Melozone_fusca","-104.13269","30.361088"
"Melozone_fusca","-112.70769","32.05683"
"Melozone_fusca","-103.469467","32.399307"
"Melozone_fusca","-107.402275","32.454458"
"Melozone_fusca","-104.205751","29.79507"
"Melozone_fusca","-114.046068","35.207898"
"Melozone_fusca","-101.266506","21.016012"
"Melozone_fusca","-99.374728","31.4261"
"Melozone_fusca","-112.844408","34.922674"
"Melozone_fusca","-100.488512","29.326885"
"Melozone_fusca","-98.397503","30.856185"
"Melozone_fusca","-111.850761","34.54967"
"Melozone_fusca","-107.05","28.383333"
"Melozone_fusca","-102.233","22.333"
"Melozone_fusca","-107.186967","33.202321"
"Melozone_fusca","-102.247276","21.811833"
"Melozone_fusca","-108.24229","33.22398"
"Melozone_fusca","-100.493102","21.223621"
"Melozone_fusca","-100.958197","25.249325"
"Melozone_fusca","-109.031067","35.362176"
"Melozone_fusca","-100.405426","29.793858"
"Melozone_fusca","-107.279434","32.911586"
"Melozone_fusca","-111.266033","31.410143"
"Melozone_fusca","-100.004011770375","19.0400774833775"
"Melozone_fusca","-106.486","29.9233"
"Melozone_fusca","-104.873085","24.843294"
"Melozone_fusca","-106.345","29.646"
"Melozone_fusca","-100.157204","19.19754"
"Melozone_fusca","-104.57816","35.468028"
"Melozone_fusca","-104.005852","20.902598"
"Melozone_fusca","-106.872438","29.936702"
"Melozone_fusca","-103.62056","19.40083"
"Melozone_fusca","-106.988719","29.905407"
"Melozone_fusca","-103.47409","19.53206"
"Melozone_fusca","-110.571757","32.307991"
"Melozone_fusca","-107.799911","33.473621"
"Melozone_fusca","-105.38354","33.49198"
"Melozone_fusca","-101.000613","31.000468"
"Melozone_fusca","-104.33739","38.2913"
"Melozone_fusca","-111.11626","31.989738"
"Melozone_fusca","-106.1619","35.00101"
"Melozone_fusca","-101.847027","35.254882"
"Melozone_fusca","-109.632697","34.266748"
"Melozone_fusca","-103.227239","32.465236"
"Melozone_fusca","-98.933131","19.853972"
"Melozone_fusca","-111.43586","31.682539"
"Melozone_fusca","-107.978589","35.258411"
"Melozone_fusca","-104.793949","38.051133"
"Melozone_fusca","-114.260553","35.583135"
"Melozone_fusca","-104.283531","38.443558"
"Melozone_fusca","-104.582806","36.581074"
"Melozone_fusca","-99.891257","31.503776"
"Melozone_fusca","-105.676102","35.568306"
"Melozone_fusca","-103.814605","33.417636"
"Melozone_fusca","-105.450168","34.960176"
"Melozone_fusca","-104.555415","33.397447"
"Melozone_fusca","-107.641132","32.971474"
"Melozone_fusca","-113.12854","32.11224"
"Melozone_fusca","-104.640922","33.952946"
"Melozone_fusca","-111.160212","35.031857"
"Melozone_fusca","-99.554082","18.912295"
"Melozone_fusca","-107.594862","35.062396"
"Melozone_fusca","-104.348823","35.914375"
"Melozone_fusca","-104.69341","35.5184"
"Melozone_fusca","-101.883984","33.59138"
