"sp","decimallongitude","decimallatitude"
"Microtus_californicus","-121.921311","37.90735"
"Microtus_californicus","-122.652912","38.453735"
"Microtus_californicus","-122.040023","36.955903"
"Microtus_californicus","-122.362434276897","37.8997959424096"
"Microtus_californicus","-117.827463","36.695922"
"Microtus_californicus","-121.972472689189","38.1512367348942"
"Microtus_californicus","-122.403976","37.678747"
"Microtus_californicus","-122.697376","38.060608"
"Microtus_californicus","-122.285535","37.468131"
"Microtus_californicus","-122.812214","38.067926"
"Microtus_californicus","-120.687922","38.36367"
"Microtus_californicus","-122.1525","37.9154"
"Microtus_californicus","-121.708952","36.733946"
"Microtus_californicus","-121.961825","36.819699"
"Microtus_californicus","-122.939438","38.134998"
"Microtus_californicus","-115.590903","30.938061"
"Microtus_californicus","-119.359075","34.68808"
"Microtus_californicus","-118.113327","35.381773"
"Microtus_californicus","-122.980175","37.996293"
"Microtus_californicus","-117.001672","32.519733"
"Microtus_californicus","-115.68913","31.02621"
"Microtus_californicus","-116.15","30.183333"
"Microtus_californicus","-116.535833","32.558889"
"Microtus_californicus","-115.683333","30.033333"
"Microtus_californicus","-116.016667","30.749167"
"Microtus_californicus","-115.909084862917","30.4030051929071"
"Microtus_californicus","-116.441389","31.615556"
"Microtus_californicus","-116.53417","32.24167"
"Microtus_californicus","-116.14139","31.87389"
"Microtus_californicus","-122.172228","37.792326"
"Microtus_californicus","-115.82705642061","30.9422566041868"
"Microtus_californicus","-116.658936420361","31.536543974629"
"Microtus_californicus","-115.723595901028","31.4015602184592"
"Microtus_californicus","-121.713413","37.342706"
"Microtus_californicus","-116.834384","32.867645"
"Microtus_californicus","-122.120666","37.334605"
"Microtus_californicus","-122.8","45.1"
"Microtus_californicus","-116.984559","33.091973"
"Microtus_californicus","-120.874175","35.252678"
"Microtus_californicus","-117.92456","36.52875"
"Microtus_californicus","-122.439142","37.440625"
"Microtus_californicus","-117.07","32.77667"
"Microtus_californicus","-120.65361","35.335"
"Microtus_californicus","-123.965325","41.205758"
"Microtus_californicus","-121.64249475199","37.3414472029113"
"Microtus_californicus","-124.406090784549","40.4399887835985"
"Microtus_californicus","-122.384775505697","37.6478443063998"
"Microtus_californicus","-121.839259","37.545382"
"Microtus_californicus","-117.252399","32.963089"
"Microtus_californicus","-122.540734","37.832286"
"Microtus_californicus","-118.406862","33.99083"
"Microtus_californicus","-122.506324","37.545309"
"Microtus_californicus","-122.279204","37.113242"
"Microtus_californicus","-121.632972","38.548924"
"Microtus_californicus","-121.870045","37.173852"
"Microtus_californicus","-119.7513","37.2502"
"Microtus_californicus","-123.767502","39.22361"
"Microtus_californicus","-117.765278","34.498611"
"Microtus_californicus","-120.46879","39.808451"
"Microtus_californicus","-117.438","34.29889"
"Microtus_californicus","-116.350586162766","32.9700105154845"
"Microtus_californicus","-122.434153250498","38.1536528823315"
"Microtus_californicus","-121.925042226877","36.6213018034201"
"Microtus_californicus","-117.269220977156","33.3600029217578"
"Microtus_californicus","-123.583333","39.666667"
"Microtus_californicus","-116.15","33.65"
"Microtus_californicus","-117.988","33.8953"
"Microtus_californicus","-118","34"
"Microtus_californicus","-118.2","34"
"Microtus_californicus","-117","33.9"
"Microtus_californicus","-117.8","33.6"
