"sp","decimallongitude","decimallatitude"
"Microtus_longicaudus","-132.999005797218","56.8181469961689"
"Microtus_longicaudus","-105.47996","40.897999"
"Microtus_longicaudus","-113.96019919975","46.8280953554686"
"Microtus_longicaudus","-113.908","46.8392"
"Microtus_longicaudus","-106.54512","37.341686"
"Microtus_longicaudus","-108.3378","37.4934"
"Microtus_longicaudus","-105.447065034021","40.6862783500714"
"Microtus_longicaudus","-108.610833","33.388683"
"Microtus_longicaudus","-105.664","35.83"
"Microtus_longicaudus","-113.300342","44.458473"
"Microtus_longicaudus","-113.51654","44.97591"
"Microtus_longicaudus","-115.19","50.8"
"Microtus_longicaudus","-115.93","50.68"
"Microtus_longicaudus","-105.601522512512","32.9519726195731"
"Microtus_longicaudus","-106.616","35.964"
"Microtus_longicaudus","-105.8065","32.6968"
"Microtus_longicaudus","-105.716624","32.996801"
"Microtus_longicaudus","-105.768974553052","35.7953356719231"
"Microtus_longicaudus","-106.732969","35.784897"
"Microtus_longicaudus","-105.795342157416","35.7858277598263"
"Microtus_longicaudus","-106.839484370705","35.9639890862135"
"Microtus_longicaudus","-107.34","37.22"
"Microtus_longicaudus","-107.807969","37.650862"
"Microtus_longicaudus","-106.409398","34.620918"
"Microtus_longicaudus","-106.3847","34.79"
"Microtus_longicaudus","-105.65744","33.473099"
"Microtus_longicaudus","-105.730423995888","33.4190718419846"
"Microtus_longicaudus","-107.818663","32.899051"
"Microtus_longicaudus","-107.286105","37.376491"
"Microtus_longicaudus","-105.4087","33.6137"
"Microtus_longicaudus","-106.379009","36.60641"
"Microtus_longicaudus","-110.63","39.97"
"Microtus_longicaudus","-106.11","32.43"
"Microtus_longicaudus","-105.498128","36.749445"
"Microtus_longicaudus","-106.49","31.9"
"Microtus_longicaudus","-106.414034578339","35.2170522572427"
"Microtus_longicaudus","-105.47","32.89"
"Microtus_longicaudus","-119.547926","49.088365"
"Microtus_longicaudus","-119.123454","50.628094"
"Microtus_longicaudus","-120.50616","49.242809"
"Microtus_longicaudus","-119.334190623306","49.033046109932"
"Microtus_longicaudus","-120.327267","50.674522"
"Microtus_longicaudus","-120.95873","49.320419"
"Microtus_longicaudus","-118.517558177059","50.0997552923381"
"Microtus_longicaudus","-119.35","50.233333"
"Microtus_longicaudus","-120.783333","49.066667"
"Microtus_longicaudus","-106.742794","37.587932"
"Microtus_longicaudus","-109.323967","33.671294"
"Microtus_longicaudus","-118.75333","36.59722"
"Microtus_longicaudus","-109.535966","33.941224"
"Microtus_longicaudus","-109.49028","33.900152"
"Microtus_longicaudus","-108.673463884908","33.3628231495905"
"Microtus_longicaudus","-120.652794","46.996621"
"Microtus_longicaudus","-120.50904","47.40713"
"Microtus_longicaudus","-109.858429466663","32.6580589489932"
"Microtus_longicaudus","-109.770089","36.87488"
"Microtus_longicaudus","-106.941523425615","39.0043490479079"
"Microtus_longicaudus","-109.34167","33.91667"
"Microtus_longicaudus","-112.118117935426","36.46244566304"
"Microtus_longicaudus","-111.946399","36.27506"
"Microtus_longicaudus","-109.20306","36.48444"
"Microtus_longicaudus","-105.725839","39.696098"
"Microtus_longicaudus","-109.871468","32.701735"
"Microtus_longicaudus","-105.390262","41.231926"
"Microtus_longicaudus","-105.1911","39.653599"
"Microtus_longicaudus","-109.8881","32.6671"
"Microtus_longicaudus","-105.706491790898","35.7754224630703"
"Microtus_longicaudus","-109.193134","33.876068"
"Microtus_longicaudus","-107.501501656197","35.1502811317204"
"Microtus_longicaudus","-122.786014911597","45.7922232894234"
"Microtus_longicaudus","-136.983333","60.466667"
"Microtus_longicaudus","-136.666667","59.85"
"Microtus_longicaudus","-139.666667","59.933333"
"Microtus_longicaudus","-136.55","59.666667"
"Microtus_longicaudus","-139.816667","59.483333"
"Microtus_longicaudus","-127.583333","55.116667"
"Microtus_longicaudus","-128.55","54.366667"
"Microtus_longicaudus","-118.066667","52.7"
"Microtus_longicaudus","-118.45","52.133333"
"Microtus_longicaudus","-118.466667","51.416667"
"Microtus_longicaudus","-117.983333","51.35"
"Microtus_longicaudus","-117.516667","51.266667"
"Microtus_longicaudus","-115.833333","51.25"
"Microtus_longicaudus","-118.066667","51.1"
"Microtus_longicaudus","-117.916667","51.083333"
"Microtus_longicaudus","-115.983333","51.033333"
"Microtus_longicaudus","-113.866667","50.583333"
"Microtus_longicaudus","-119.55","50.5"
"Microtus_longicaudus","-118.933333","50.416667"
"Microtus_longicaudus","-119.066667","50.366667"
"Microtus_longicaudus","-122.983333","50.1"
"Microtus_longicaudus","-120.583333","49.35"
"Microtus_longicaudus","-123.233333","49.283333"
"Microtus_longicaudus","-114.083333","49.183333"
"Microtus_longicaudus","-118.55","49.116667"
"Microtus_longicaudus","-117.8","49.083333"
"Microtus_longicaudus","-113.9","49.05"
"Microtus_longicaudus","-119.15","49.033333"
"Microtus_longicaudus","-118.388005611729","46.0057261780109"
"Microtus_longicaudus","-106.382333500891","38.438257485717"
"Microtus_longicaudus","-117.997510160854","46.8269618222123"
"Microtus_longicaudus","-105.197225144549","37.4836295089992"
"Microtus_longicaudus","-119.966948190573","41.9038578353922"
"Microtus_longicaudus","-120.529774017212","46.6539397861191"
"Microtus_longicaudus","-116.556753542707","38.0315512106884"
"Microtus_longicaudus","-117.030674059649","46.9407787678969"
"Microtus_longicaudus","-111.601046372082","40.4034630531147"
"Microtus_longicaudus","-106.22528","41.35111"
"Microtus_longicaudus","-114.216505208818","46.7586935638039"
"Microtus_longicaudus","-111.106579390679","44.1294320909759"
"Microtus_longicaudus","-113.650824901729","48.7990951988198"
"Microtus_longicaudus","-117.558212746179","41.5075930897561"
"Microtus_longicaudus","-114.408932032012","39.0109874461046"
"Microtus_longicaudus","-117.097060305125","39.1620750331927"
"Microtus_longicaudus","-120.653364408987","45.9847420568531"
"Microtus_longicaudus","-121.521675971332","45.4186376792789"
"Microtus_longicaudus","-118.409376012421","44.2480745569694"
"Microtus_longicaudus","-121.616253811699","44.0580481830722"
"Microtus_longicaudus","-120.376989913019","44.466640543923"
"Microtus_longicaudus","-121.315440546314","43.7200542800467"
"Microtus_longicaudus","-120.09658348419","42.0430848486765"
"Microtus_longicaudus","-118.695872987264","41.6416620312151"
"Microtus_longicaudus","-118.587680698032","41.6686925366686"
"Microtus_longicaudus","-114.150598092848","39.2298752621033"
"Microtus_longicaudus","-118.354480460681","44.6025720006159"
