"sp","decimallongitude","decimallatitude"
"Microtus_pinetorum","-72.95593","41.732766"
"Microtus_pinetorum","-80.4549","38.59762"
"Microtus_pinetorum","-83.955","35.97"
"Microtus_pinetorum","-77.04722","38.80472"
"Microtus_pinetorum","-76.55","38.88"
"Microtus_pinetorum","-77.5417","39.5958"
"Microtus_pinetorum","-75.5417","39.5958"
"Microtus_pinetorum","-89.517","37.835"
"Microtus_pinetorum","-75.0672","40.4272"
"Microtus_pinetorum","-75.8417","39.7083"
"Microtus_pinetorum","-75.97","38.83"
"Microtus_pinetorum","-75.3831","41.0725"
"Microtus_pinetorum","-82.3258","35.7194"
"Microtus_pinetorum","-79.0557475574173","35.9131214024595"
"Microtus_pinetorum","-86.6069","37.1032"
"Microtus_pinetorum","-85.2877","37.5273"
"Microtus_pinetorum","-84.2726","37.9181"
"Microtus_pinetorum","-84.5091","38.0187"
"Microtus_pinetorum","-85.6877","38.1267"
"Microtus_pinetorum","-83.98","38.0565"
"Microtus_pinetorum","-70.670261","43.542036"
"Microtus_pinetorum","-71.27383","44.049466"
"Microtus_pinetorum","-75.992624","45.39642"
"Microtus_pinetorum","-77.9825","39.15167"
"Microtus_pinetorum","-89.209512","37.700131"
"Microtus_pinetorum","-87.8051","42.1851"
"Microtus_pinetorum","-88.681188","41.633641"
"Microtus_pinetorum","-87.96561","41.511976"
"Microtus_pinetorum","-90.801389","44.913637"
"Microtus_pinetorum","-79.862585","32.794065"
"Microtus_pinetorum","-83.554333","35.788424"
"Microtus_pinetorum","-87.650052","41.850033"
"Microtus_pinetorum","-88.731998","37.151166"
"Microtus_pinetorum","-88.636715","36.741724"
"Microtus_pinetorum","-87.8301680991941","41.6671792974484"
"Microtus_pinetorum","-84.016522","30.851954"
"Microtus_pinetorum","-87.671692","38.901711"
"Microtus_pinetorum","-89.440315","37.510889"
"Microtus_pinetorum","-87.970346","42.003918"
"Microtus_pinetorum","-88.001726","41.673642"
"Microtus_pinetorum","-83.352552074459","35.5762713089235"
"Microtus_pinetorum","-87.195012","39.890041"
"Microtus_pinetorum","-86.6193551893889","41.8347571491818"
"Microtus_pinetorum","-79.933333","43.483333"
"Microtus_pinetorum","-81.832397","43.258087"
"Microtus_pinetorum","-79.9517","43.1880499990586"
"Microtus_pinetorum","-81.26872","43.1257199990587"
"Microtus_pinetorum","-79.31348","43.0372999990589"
"Microtus_pinetorum","-80","43.033333"
"Microtus_pinetorum","-79.59061","42.97142"
"Microtus_pinetorum","-81.43735","42.9530799990591"
"Microtus_pinetorum","-80.07192","42.8084099990594"
"Microtus_pinetorum","-79.09511","42.8454299990593"
"Microtus_pinetorum","-80.71386","42.79612"
"Microtus_pinetorum","-80.57137","42.71283"
"Microtus_pinetorum","-81.133333","42.75"
"Microtus_pinetorum","-80.30958","42.7244599990596"
"Microtus_pinetorum","-81.033333","42.733333"
"Microtus_pinetorum","-80.45181","42.6242699990599"
"Microtus_pinetorum","-73.6","41.0333"
"Microtus_pinetorum","-87.233333","40.116667"
"Microtus_pinetorum","-79.9557722065585","39.6294362651498"
"Microtus_pinetorum","-95.3138825265391","39.0331867744057"
"Microtus_pinetorum","-76.0814","38.5731"
"Microtus_pinetorum","-97.0581246916721","36.1740471008008"
"Microtus_pinetorum","-97.022373418289","36.1160285276041"
"Microtus_pinetorum","-75.9187469939652","40.300579682356"
"Microtus_pinetorum","-79.7642544810143","32.8593440801947"
"Microtus_pinetorum","-80.3151686476249","32.5525526496876"
"Microtus_pinetorum","-81.172485","42.972502"
"Microtus_pinetorum","-81.85721","42.62127"
"Microtus_pinetorum","-92.4277017267548","36.6698307370128"
