"sp","decimallongitude","decimallatitude"
"Mniotilta_varia",-77.289784,37.044457
"Mniotilta_varia",-93.667684,41.680957
"Mniotilta_varia",-77.34434,39.09095
"Mniotilta_varia",-84.788189,47.982913
"Mniotilta_varia",-64.436102,48.851049
"Mniotilta_varia",-97.864438,27.416393
"Mniotilta_varia",-101.195412,30.011733
"Mniotilta_varia",-76.58184,3.8833
"Mniotilta_varia",-90.871043,38.601215
"Mniotilta_varia",-103.814605,33.417636
"Mniotilta_varia",-77.76623,36.46381
"Mniotilta_varia",-91.412572,45.550662
"Mniotilta_varia",-89.628594,40.765071
"Mniotilta_varia",-78.680434,47.565487
"Mniotilta_varia",-80.21643,46.060581
"Mniotilta_varia",-75.67433,46.25255
"Mniotilta_varia",-82.420705,40.086982
"Mniotilta_varia",-111.385527,54.926747
"Mniotilta_varia",-85.107862,35.831302
"Mniotilta_varia",-95.645396,49.892191
"Mniotilta_varia",-86.296406,38.168777
"Mniotilta_varia",-92.595605,34.581143
"Mniotilta_varia",-84.36058,43.977499
"Mniotilta_varia",-89.560789,48.274676
"Mniotilta_varia",-81.717334,37.723422
"Mniotilta_varia",-71.526446,18.372284
"Mniotilta_varia",-86.185341,40.81277
"Mniotilta_varia",-81.19518,22.32835
"Mniotilta_varia",-92.162502,46.469067
"Mniotilta_varia",-70.503557,43.619751
"Mniotilta_varia",-78.370585,38.561455
"Mniotilta_varia",-101.034124,51.883172
"Mniotilta_varia",-88.950553,35.996816
"Mniotilta_varia",-85.126084,42.31984
"Mniotilta_varia",-86.396141,36.077893
"Mniotilta_varia",-63.881003,45.959444
"Mniotilta_varia",-78.425152,42.058565
"Mniotilta_varia",-77.340776,36.802714
"Mniotilta_varia",-87.400124,12.870297
"Mniotilta_varia",-94.159722,16.45
"Mniotilta_varia",-57.901897,48.172268
"Mniotilta_varia",-82.293634,30.118812
"Mniotilta_varia",-84.93,21.884833
"Mniotilta_varia",-81.368721,28.137054
"Mniotilta_varia",-80.670678,28.162498
"Mniotilta_varia",-93.868754,47.639225
"Mniotilta_varia",-85.461464,34.790493
"Mniotilta_varia",-95.835,29.9275
"Mniotilta_varia",-106.413333,21.453333
"Mniotilta_varia",-68.082275,48.344324
"Mniotilta_varia",-103.358002,51.76699
"Mniotilta_varia",-86.682646,46.496844
"Mniotilta_varia",-82.6298,29.2564
"Mniotilta_varia",-99.985634,20.395111
"Mniotilta_varia",-80.010617,45.028487
"Mniotilta_varia",-97.188277,15.941804
"Mniotilta_varia",-84.825905,36.612387
"Mniotilta_varia",-92.3125,29.5625
"Mniotilta_varia",-69.274155,47.822415
"Mniotilta_varia",-81.443024,30.845647
"Mniotilta_varia",-92.562,31.812
"Mniotilta_varia",-87.958244,44.098763
"Mniotilta_varia",-88.397412,16.936289
"Mniotilta_varia",-91.808769,38.140328
"Mniotilta_varia",-94.250336,33.233806
"Mniotilta_varia",-100.075585,20.395111
"Mniotilta_varia",-63.30062,46.46453
"Mniotilta_varia",-96.848224,47.842853
"Mniotilta_varia",-64.031668,44.964373
"Mniotilta_varia",-80.853882,25.591424
"Mniotilta_varia",-86.954899,13.382564
"Mniotilta_varia",-94.518814,32.466667
"Mniotilta_varia",-78.188453,41.595138
"Mniotilta_varia",-77.431126,39.469131
"Mniotilta_varia",-67.286882,45.135192
"Mniotilta_varia",-121.552048,56.535542
"Mniotilta_varia",-96.97673,28.15171
"Mniotilta_varia",-82.660575,35.244523
"Mniotilta_varia",-76.83078,36.86595
"Mniotilta_varia",-78.665914,22.596561
"Mniotilta_varia",-78.816497,40.914826
"Mniotilta_varia",-84.229427,37.838592
"Mniotilta_varia",-111.739626,54.184188
"Mniotilta_varia",-85.555,45.712892
"Mniotilta_varia",-79.232001,45.336244
"Mniotilta_varia",-89.103842,44.822699
"Mniotilta_varia",-82.882576,34.924997
"Mniotilta_varia",-71.123946,48.795135
"Mniotilta_varia",-82.562278,29.828674
"Mniotilta_varia",-73.118211,40.817619
"Mniotilta_varia",-84.410019,42.93307
"Mniotilta_varia",-83.530244,35.356716
"Mniotilta_varia",-98.956261,22.126037
"Mniotilta_varia",-97.915223,20.230645
"Mniotilta_varia",-77.859871,18.049875
"Mniotilta_varia",-90.167523,14.011632
"Mniotilta_varia",-81.610222,27.517711
"Mniotilta_varia",-109.758911,23.412217
"Mniotilta_varia",-76.144857,45.147739
"Mniotilta_varia",-99.703331,23.86292
"Mniotilta_varia",-74.732587,40.033065
"Mniotilta_varia",-84.043683,10.686421
"Mniotilta_varia",-85.075765,31.995047
"Mniotilta_varia",-91.788633,48.206845
"Mniotilta_varia",-82.248073,32.92722
"Mniotilta_varia",-83.229554,46.841822
"Mniotilta_varia",-117.169917,59.62318
"Mniotilta_varia",-101.349647,49.101456
"Mniotilta_varia",-90.599441,44.29277
"Mniotilta_varia",-96.529055,41.42104
"Mniotilta_varia",-90.925169,14.764923
"Mniotilta_varia",-73.467636,40.605612
"Mniotilta_varia",-116.505711,57.097759
"Mniotilta_varia",-85.647354,35.811131
"Mniotilta_varia",-70.048345,12.561454
"Mniotilta_varia",-81.408869,48.842247
"Mniotilta_varia",-77.197087,38.134569
"Mniotilta_varia",-85.671716,45.107595
"Mniotilta_varia",-98.243377,30.299393
"Mniotilta_varia",-90.010475,46.121721
"Mniotilta_varia",-104.057222,21.043056
"Mniotilta_varia",-71.13391,48.3026
"Mniotilta_varia",-84.224496,44.417781
"Mniotilta_varia",-95.097856,29.580751
"Mniotilta_varia",-89.829336,20.999273
"Mniotilta_varia",-86.464907,40.747257
"Mniotilta_varia",-88.526347,20.662644
"Mniotilta_varia",-88.023577,36.910098
"Mniotilta_varia",-105.938333,23.561667
"Mniotilta_varia",-78.502217,48.845038
"Mniotilta_varia",-81.71776,48.61818
"Mniotilta_varia",-88.539934,42.583485
"Mniotilta_varia",-85.621184,13.372873
"Mniotilta_varia",-96.99561,37.23973
"Mniotilta_varia",-70.163766,45.231004
"Mniotilta_varia",-98.11615,28.373126
"Mniotilta_varia",-76.128849,45.264824
"Mniotilta_varia",-116.609487,31.897373
"Mniotilta_varia",-84.734223,33.156703
"Mniotilta_varia",-78.441396,37.063238
"Mniotilta_varia",-78.112292,48.675413
"Mniotilta_varia",-98.975897,31.739514
"Mniotilta_varia",-87.529449,17.332286
"Mniotilta_varia",-101.672029,34.965874
"Mniotilta_varia",-92.725811,44.543946
"Mniotilta_varia",-80.22603,8.316167
"Mniotilta_varia",-95.8623,37.69502
"Mniotilta_varia",-99.270783,18.559789
"Mniotilta_varia",-70.146897,46.443184
"Mniotilta_varia",-68.90439,47.67922
"Mniotilta_varia",-75.577949,4.728472
"Mniotilta_varia",-89.746667,18.183889
"Mniotilta_varia",-86.955513,34.506336
"Mniotilta_varia",-81.19777,27.154541
"Mniotilta_varia",-75.789528,23.51636
"Mniotilta_varia",-82.562052,33.200828
"Mniotilta_varia",-58.885174,48.708182
"Mniotilta_varia",-77.087245,34.692121
"Mniotilta_varia",-97.31206,18.20219
"Mniotilta_varia",-95.294809,30.023699
"Mniotilta_varia",-93.236241,45.570215
"Mniotilta_varia",-96.60814,47.77417
"Mniotilta_varia",-114.473835,27.537721
"Mniotilta_varia",-93.601305,44.854409
"Mniotilta_varia",-85.112655,48.287707
"Mniotilta_varia",-79.225266,36.896834
