"sp","decimallongitude","decimallatitude"
"Mustela_erminea","-79.28263","45.361707"
"Mustela_erminea","-112.902482","53.236427"
"Mustela_erminea","-78.126647","44.620387"
"Mustela_erminea","-122.271286","47.405177"
"Mustela_erminea","-73.241199","44.516884"
"Mustela_erminea","-75.818024","45.037351"
"Mustela_erminea","-75.865788","45.299093"
"Mustela_erminea","-113.908","46.8392"
"Mustela_erminea","-106.4109","37.3902"
"Mustela_erminea","-123.302","44.7027"
"Mustela_erminea","-122.177","44.2358"
"Mustela_erminea","-123.151","44.6985"
"Mustela_erminea","-106.304365","39.853127"
"Mustela_erminea","-107.64","39.57"
"Mustela_erminea","-110.80275","43.642508"
"Mustela_erminea","-93.219","45.424"
"Mustela_erminea","-148.957883","63.72309"
"Mustela_erminea","-72.525655","43.132368"
"Mustela_erminea","-72.997703","44.338422"
"Mustela_erminea","-84.473582","46.627202"
"Mustela_erminea","-66.698931","45.864306"
"Mustela_erminea","-111.747895","41.562559"
"Mustela_erminea","-71.225765","42.428957"
"Mustela_erminea","-87.2653745927919","48.8073115755103"
"Mustela_erminea","-82.1","47.283333"
"Mustela_erminea","-113","54"
"Mustela_erminea","-82.433333","49.416667"
"Mustela_erminea","-81.416667","50.6"
"Mustela_erminea","-81.666667","50.2"
"Mustela_erminea","-152.313","63.883"
"Mustela_erminea","-68.739224","46.207201"
"Mustela_erminea","-84.4436","42.5792"
"Mustela_erminea","-85.077332","43.980919"
"Mustela_erminea","-84.673889","43.597778"
"Mustela_erminea","-84.247222","43.615556"
"Mustela_erminea","-84.808043","43.661525"
"Mustela_erminea","-85.67337","43.839811"
"Mustela_erminea","-85.154272","44.236782"
"Mustela_erminea","-84.988873","43.554428"
"Mustela_erminea","-84.761508","45.853836"
"Mustela_erminea","-85.079167","45.284444"
"Mustela_erminea","-88.64887","46.07934"
"Mustela_erminea","-115.123161427454","50.9686887180334"
"Mustela_erminea","-89.69","48.54"
"Mustela_erminea","-79.12516","55.7683"
"Mustela_erminea","-106.6628739619","35.9783906950792"
