"sp","decimallongitude","decimallatitude"
"Myadestes_townsendi","-110.247502","31.420423"
"Myadestes_townsendi","-122.169256","41.344727"
"Myadestes_townsendi","-121.611443","39.873253"
"Myadestes_townsendi","-119.677505","38.753012"
"Myadestes_townsendi","-122.92595","49.312867"
"Myadestes_townsendi","-111.096223","45.149555"
"Myadestes_townsendi","-125.90332","49.143987"
"Myadestes_townsendi","-118.939726","34.705295"
"Myadestes_townsendi","-105.168756","39.576023"
"Myadestes_townsendi","-118.867764","46.657783"
"Myadestes_townsendi","-123.921287","46.049637"
"Myadestes_townsendi","-123.639518","42.503271"
"Myadestes_townsendi","-109.540815","43.449897"
"Myadestes_townsendi","-117.081213","34.238309"
"Myadestes_townsendi","-117.097092","49.60893"
"Myadestes_townsendi","-110.575461","43.845941"
"Myadestes_townsendi","-108.813526","42.819882"
"Myadestes_townsendi","-121.191816","39.516622"
"Myadestes_townsendi","-121.673166","44.164127"
"Myadestes_townsendi","-120.655277","45.990823"
"Myadestes_townsendi","-102.767805","33.953768"
"Myadestes_townsendi","-121.295328","41.974313"
"Myadestes_townsendi","-123.615087","44.180268"
"Myadestes_townsendi","-111.653151","35.322619"
"Myadestes_townsendi","-121.525376","41.740674"
"Myadestes_townsendi","-110.757315","43.471982"
"Myadestes_townsendi","-119.551853","37.76673"
"Myadestes_townsendi","-101.23794","34.377251"
"Myadestes_townsendi","-119.27772","37.670178"
"Myadestes_townsendi","-116.627869","50.2119"
"Myadestes_townsendi","-120.697517","44.306653"
"Myadestes_townsendi","-116.585884","51.217852"
"Myadestes_townsendi","-116.499023","51.390636"
"Myadestes_townsendi","-123.551787","43.934034"
"Myadestes_townsendi","-105.59156","40.387284"
"Myadestes_townsendi","-123.852825","40.786544"
"Myadestes_townsendi","-121.768169","44.131217"
"Myadestes_townsendi","-120.915012","49.911958"
"Myadestes_townsendi","-116.43111","51.42382"
"Myadestes_townsendi","-123.595475","44.115786"
"Myadestes_townsendi","-121.516857","41.894739"
"Myadestes_townsendi","-109.528473","33.948262"
"Myadestes_townsendi","-115.107574","49.184173"
"Myadestes_townsendi","-109.2261","42.835777"
"Myadestes_townsendi","-110.86212","31.774194"
"Myadestes_townsendi","-119.315278","49.007222"
"Myadestes_townsendi","-98.4833","38.15"
"Myadestes_townsendi","-120.700287","40.573673"
"Myadestes_townsendi","-123.250567","49.263456"
"Myadestes_townsendi","-119.62796","49.657763"
"Myadestes_townsendi","-105.433","39.668"
"Myadestes_townsendi","-116.732745","33.766357"
"Myadestes_townsendi","-118.839111","46.935261"
"Myadestes_townsendi","-121.586048","41.007582"
"Myadestes_townsendi","-110.31568","44.920136"
"Myadestes_townsendi","-107.414703","44.044661"
"Myadestes_townsendi","-119.762192","49.54587"
"Myadestes_townsendi","-109.740251","40.224934"
"Myadestes_townsendi","-110.962515","44.661938"
"Myadestes_townsendi","-120.282277","40.345341"
"Myadestes_townsendi","-103.9282","30.5987"
"Myadestes_townsendi","-121.064142","44.395894"
"Myadestes_townsendi","-123.733939","40.86584"
"Myadestes_townsendi","-108.822327","42.498428"
"Myadestes_townsendi","-119.560193","49.144742"
"Myadestes_townsendi","-110.2367","32.337"
"Myadestes_townsendi","-106.987953","38.95754"
"Myadestes_townsendi","-123.80258","44.034438"
"Myadestes_townsendi","-120.838891","47.125548"
"Myadestes_townsendi","-121.115663","45.755906"
"Myadestes_townsendi","-102.1847","39.60682"
"Myadestes_townsendi","-109.064174","31.371713"
"Myadestes_townsendi","-115.557058","31.000327"
"Myadestes_townsendi","-105.604606","40.357058"
"Myadestes_townsendi","-109.07145","33.692995"
"Myadestes_townsendi","-120.77184","49.07742"
"Myadestes_townsendi","-123.547021","45.291062"
"Myadestes_townsendi","-122.043471","43.633404"
"Myadestes_townsendi","-123.128586","48.115684"
"Myadestes_townsendi","-101.672029","34.965874"
"Myadestes_townsendi","-122.006435","43.749025"
"Myadestes_townsendi","-115.732501","51.448257"
"Myadestes_townsendi","-122.083404","42.979606"
"Myadestes_townsendi","-121.243566","44.722404"
"Myadestes_townsendi","-123.616014","42.454573"
"Myadestes_townsendi","-106.393146","35.895934"
"Myadestes_townsendi","-107.218774","34.049145"
"Myadestes_townsendi","-119.29214","47.61127"
"Myadestes_townsendi","-121.569675","39.711504"
"Myadestes_townsendi","-122.444751","47.226286"
