"sp","decimallongitude","decimallatitude"
"Myotis_lucifugus","-81.33395","42.9542499990591"
"Myotis_lucifugus","-112.972142","53.391793"
"Myotis_lucifugus","-78.162564","44.382658"
"Myotis_lucifugus","-81.720964","41.351914"
"Myotis_lucifugus","-80.682031","32.379912"
"Myotis_lucifugus","-81.224981","41.361906"
"Myotis_lucifugus","-87.455271","41.712382"
"Myotis_lucifugus","-136.347","58.251"
"Myotis_lucifugus","-135.219","57.78"
"Myotis_lucifugus","-151.716","59.701"
"Myotis_lucifugus","-151.557","59.649"
"Myotis_lucifugus","-150.91592","60.517105"
"Myotis_lucifugus","-151.366361","60.71375"
"Myotis_lucifugus","-119.697021","37.719012"
"Myotis_lucifugus","-81.466543","40.853268"
"Myotis_lucifugus","-92.746476","44.417081"
"Myotis_lucifugus","-79.026692","37.53245"
"Myotis_lucifugus","-81.435862","41.178964"
"Myotis_lucifugus","-76.719793","37.502796"
"Myotis_lucifugus","-92.482422","38.290639"
"Myotis_lucifugus","-81.648486","40.897091"
"Myotis_lucifugus","-134.59887","58.33136"
"Myotis_lucifugus","-151.057577","60.487281"
"Myotis_lucifugus","-149.844842","61.191136"
"Myotis_lucifugus","-147.35","64.751"
"Myotis_lucifugus","-105.112182","40.167864"
"Myotis_lucifugus","-106.897116","40.272471"
"Myotis_lucifugus","-104.962629","39.738961"
"Myotis_lucifugus","-106.875666","38.614459"
"Myotis_lucifugus","-105.060789","39.579025"
"Myotis_lucifugus","-79.9957","43.8624599990574"
"Myotis_lucifugus","-75.66202","39.866773"
"Myotis_lucifugus","-122.701899","38.584758"
"Myotis_lucifugus","-103.131493","42.686929"
"Myotis_lucifugus","-75.009616","41.588251"
"Myotis_lucifugus","-93.4","48.6"
"Myotis_lucifugus","-91.316667","48.616667"
"Myotis_lucifugus","-84.774087","43.588029"
"Myotis_lucifugus","-84.293697","45.435901"
"Myotis_lucifugus","-84.6","43.29"
"Myotis_lucifugus","-79.0193","35.759573"
"Myotis_lucifugus","-84.47989","44.25455"
"Myotis_lucifugus","-84.84","43.99"
"Myotis_lucifugus","-104.869046","39.598199"
"Myotis_lucifugus","-85.77961","47.7491899990613"
"Myotis_lucifugus","-80.766667","47.65"
"Myotis_lucifugus","-109.36","40.37"
"Myotis_lucifugus","-105.86","37.68"
"Myotis_lucifugus","-112.221","38.239"
"Myotis_lucifugus","-118.783","37.588"
"Myotis_lucifugus","-119.085","38.044"
"Myotis_lucifugus","-111.724","38.548"
"Myotis_lucifugus","-107.04","40.47"
"Myotis_lucifugus","-107.425","40.526"
"Myotis_lucifugus","-106.89","40.51"
"Myotis_lucifugus","-106.69","39.87"
"Myotis_lucifugus","-79.4225","39.5681"
"Myotis_lucifugus","-66.25","53"
"Myotis_lucifugus","-77.6856","39.4711"
"Myotis_lucifugus","-79.1375","39.5089"
"Myotis_lucifugus","-75.78","45.63"
"Myotis_lucifugus","-92.780883","38.251333"
"Myotis_lucifugus","-91.781","41.9195"
"Myotis_lucifugus","-92.7701","38.197256"
"Myotis_lucifugus","-94.197608","41.028139"
"Myotis_lucifugus","-113.429017438809","48.7437969384505"
"Myotis_lucifugus","-92.24492","37.75662"
"Myotis_lucifugus","-112.644389","37.515606"
"Myotis_lucifugus","-112.157472","37.673572"
"Myotis_lucifugus","-113.830025","48.555661"
"Myotis_lucifugus","-93.3816277156591","36.6687281213001"
"Myotis_lucifugus","-87.81962","42.015475"
"Myotis_lucifugus","-76.884031","38.953548"
"Myotis_lucifugus","-122.979357","50.118519"
"Myotis_lucifugus","-101.238183","53.82387"
"Myotis_lucifugus","-123.70796","48.778708"
"Myotis_lucifugus","-124.045","52.338611"
"Myotis_lucifugus","-121.444335","49.380215"
"Myotis_lucifugus","-123.113521","49.261096"
"Myotis_lucifugus","-122.264439","49.006408"
"Myotis_lucifugus","-119.366667","50.2"
"Myotis_lucifugus","-119.230003","50.223464"
"Myotis_lucifugus","-120.066111","51.841944"
"Myotis_lucifugus","-113.881389","49.050278"
"Myotis_lucifugus","-122.071944","52.116944"
"Myotis_lucifugus","-119.46556","49.029389"
"Myotis_lucifugus","-74.804","44.2226"
"Myotis_lucifugus","-103.510225","43.777815"
"Myotis_lucifugus","-103.468968","43.426033"
"Myotis_lucifugus","-105.084270180087","40.5851787927717"
"Myotis_lucifugus","-144.677","61.671"
"Myotis_lucifugus","-134.45254","58.31998"
"Myotis_lucifugus","-144.735","64"
"Myotis_lucifugus","-147.768","64.892"
"Myotis_lucifugus","-145.522073","62.107671"
"Myotis_lucifugus","-76.910162","38.832028"
"Myotis_lucifugus","-82.039377","46.070368"
"Myotis_lucifugus","-89.0454","37.601944"
"Myotis_lucifugus","-155.779016","58.556791"
"Myotis_lucifugus","-150.108","67.41"
"Myotis_lucifugus","-147.968","64.827"
"Myotis_lucifugus","-151.31","59.39"
"Myotis_lucifugus","-109.171086","36.451686"
"Myotis_lucifugus","-75.22361","40.57556"
"Myotis_lucifugus","-112.03917","35.36667"
"Myotis_lucifugus","-111.851393","35.362007"
"Myotis_lucifugus","-83.12083","38.42889"
"Myotis_lucifugus","-90.669191","42.509014"
"Myotis_lucifugus","-90.42889","42.300767"
"Myotis_lucifugus","-110.65944","45.979411"
"Myotis_lucifugus","-89.2167","37.7272"
"Myotis_lucifugus","-80.05","43.983333"
"Myotis_lucifugus","-110.69222","43.664249"
"Myotis_lucifugus","-64.870642","45.790142"
"Myotis_lucifugus","-113.247673","53.5922"
"Myotis_lucifugus","-91.296534","38.09199"
"Myotis_lucifugus","-88.147289","41.785863"
"Myotis_lucifugus","-88.443686","41.761418"
"Myotis_lucifugus","-103.678558","43.766644"
"Myotis_lucifugus","-89.0435743622721","41.340519133743"
"Myotis_lucifugus","-110.547196","44.596445"
"Myotis_lucifugus","-84.104006","30.859327"
"Myotis_lucifugus","-84.280733","30.438256"
"Myotis_lucifugus","-87.65","41.85"
"Myotis_lucifugus","-86.0736290476338","37.1876328215596"
"Myotis_lucifugus","-83.382936","35.707039"
"Myotis_lucifugus","-92.769073","37.968924"
"Myotis_lucifugus","-86.294698","38.228676"
"Myotis_lucifugus","-102.88","42.1"
"Myotis_lucifugus","-79.816667","44.866667"
"Myotis_lucifugus","-78.140307","45.055108"
"Myotis_lucifugus","-75.741162","45.463715"
"Myotis_lucifugus","-139.516667","59.583333"
"Myotis_lucifugus","-123.05","55"
"Myotis_lucifugus","-67.083333","55"
"Myotis_lucifugus","-109.166667","54.033333"
"Myotis_lucifugus","-121.366667","53.233333"
"Myotis_lucifugus","-100.4","53.3"
"Myotis_lucifugus","-122.516667","53.05"
"Myotis_lucifugus","-93.65","52.833333"
"Myotis_lucifugus","-98.633333","51.766667"
"Myotis_lucifugus","-112.7","51.466667"
"Myotis_lucifugus","-115.9","51.3"
"Myotis_lucifugus","-80.616667","51.266667"
"Myotis_lucifugus","-115.566667","51.166667"
"Myotis_lucifugus","-116","50.5"
"Myotis_lucifugus","-93.183333","50.316667"
"Myotis_lucifugus","-98.316667","50.183333"
"Myotis_lucifugus","-119.383333","50.033333"
"Myotis_lucifugus","-91.916667","50.1"
"Myotis_lucifugus","-88.59605","49.9918699990713"
"Myotis_lucifugus","-81.616667","49.85"
"Myotis_lucifugus","-93.883333","49.816667"
"Myotis_lucifugus","-113.766667","49.55"
"Myotis_lucifugus","-88.1305452880421","49.4356817700974"
"Myotis_lucifugus","-81.716667","49.283333"
"Myotis_lucifugus","-102.166667","49.233333"
"Myotis_lucifugus","-123.966667","49.133333"
"Myotis_lucifugus","-111.383333","49.116667"
"Myotis_lucifugus","-93.82399","48.8995099990657"
"Myotis_lucifugus","-88.6655805380928","48.8318194066668"
"Myotis_lucifugus","-91.6","48.816667"
"Myotis_lucifugus","-87.2653745927919","48.8073115755103"
"Myotis_lucifugus","-86.9591645030121","48.7873419553006"
"Myotis_lucifugus","-87.00805","48.6464899990646"
"Myotis_lucifugus","-91.05","48.566667"
"Myotis_lucifugus","-92.066667","48.533333"
"Myotis_lucifugus","-88.916667","48.516667"
"Myotis_lucifugus","-91.3889893411409","48.788403537039"
"Myotis_lucifugus","-91.116667","48.416667"
"Myotis_lucifugus","-90.5","48.416667"
"Myotis_lucifugus","-89.2591982085807","48.429657725291"
"Myotis_lucifugus","-90.00025","48.2169699990629"
"Myotis_lucifugus","-79.766667","47.866667"
"Myotis_lucifugus","-83.4","47.833333"
"Myotis_lucifugus","-121.133333","47.7"
"Myotis_lucifugus","-72.35","47.583333"
"Myotis_lucifugus","-101.428337532163","47.4570751718778"
"Myotis_lucifugus","-84.633333","47.35"
"Myotis_lucifugus","-84.7111282250404","47.1603040687847"
"Myotis_lucifugus","-79.783333","47.066667"
"Myotis_lucifugus","-63.95","46.6"
"Myotis_lucifugus","-60.933333","46.45"
"Myotis_lucifugus","-84.07005","46.399299999058"
"Myotis_lucifugus","-81.883333","46.266667"
"Myotis_lucifugus","-83.55719","46.2569599990577"
"Myotis_lucifugus","-79.8","46.2"
"Myotis_lucifugus","-80.016667","46.133333"
"Myotis_lucifugus","-78.77294","46.116667"
"Myotis_lucifugus","-80.6","46.033333"
"Myotis_lucifugus","-80.9","45.966667"
"Myotis_lucifugus","-78.92586","45.9425999990573"
"Myotis_lucifugus","-78.35854","45.604179999057"
"Myotis_lucifugus","-76.616667","45.683333"
"Myotis_lucifugus","-76.516667","45.683333"
"Myotis_lucifugus","-79.3","45.666667"
"Myotis_lucifugus","-78.77174","45.6718699990571"
"Myotis_lucifugus","-80.083333","45.633333"
"Myotis_lucifugus","-74.616667","45.6"
"Myotis_lucifugus","-77.233333","45.583333"
"Myotis_lucifugus","-78.41596","45.7885199990572"
"Myotis_lucifugus","-78.58456","45.55"
"Myotis_lucifugus","-78.68008","45.514409999057"
"Myotis_lucifugus","-79.666667","45.416667"
"Myotis_lucifugus","-80.333333","45.4"
"Myotis_lucifugus","-77.616667","45.366667"
"Myotis_lucifugus","-76.966667","45.366667"
"Myotis_lucifugus","-80.033333","45.35"
"Myotis_lucifugus","-76.883333","45.333333"
"Myotis_lucifugus","-77.633333","45.3"
"Myotis_lucifugus","-73.25","45.3"
"Myotis_lucifugus","-79.65","45.266667"
"Myotis_lucifugus","-80.75","45.25"
"Myotis_lucifugus","-79","45.266667"
"Myotis_lucifugus","-79.783333","45.183333"
"Myotis_lucifugus","-81.716667","45.116667"
"Myotis_lucifugus","-81.55","45.116667"
"Myotis_lucifugus","-79.616667","45.016667"
"Myotis_lucifugus","-77.85688","45.0644199990568"
"Myotis_lucifugus","-79.3","44.833333"
"Myotis_lucifugus","-78.783333","44.85"
"Myotis_lucifugus","-80.2","44.833333"
"Myotis_lucifugus","-81.3","44.816667"
"Myotis_lucifugus","-76.933333","44.716667"
"Myotis_lucifugus","-76.4","44.683333"
"Myotis_lucifugus","-80.016667","44.516667"
"Myotis_lucifugus","-76.683333","44.666667"
"Myotis_lucifugus","-78.8","44.65"
"Myotis_lucifugus","-79.366667","44.666667"
"Myotis_lucifugus","-80.583333","44.6"
"Myotis_lucifugus","-76.216667","44.6"
"Myotis_lucifugus","-76.133333","44.55"
"Myotis_lucifugus","-81.283333","44.533333"
"Myotis_lucifugus","-77.4042329460987","44.3582154780385"
"Myotis_lucifugus","-76.233333","44.483333"
"Myotis_lucifugus","-76.766667","44.466667"
"Myotis_lucifugus","-79.516667","44.45"
"Myotis_lucifugus","-79.833333","44.433333"
"Myotis_lucifugus","-79.2309977425536","44.4465661600544"
"Myotis_lucifugus","-72.05","44.416667"
"Myotis_lucifugus","-77.4794152129354","44.3507556021746"
"Myotis_lucifugus","-77.4286638915752","44.2397963751474"
"Myotis_lucifugus","-79.3260307099436","44.3353569937913"
"Myotis_lucifugus","-76.166667","44.333333"
"Myotis_lucifugus","-77.183333","44.3"
"Myotis_lucifugus","-79.883333","44.266667"
"Myotis_lucifugus","-79.533333","44.25"
"Myotis_lucifugus","-77.058303203691","44.0411375488629"
"Myotis_lucifugus","-79.533333","43.933333"
"Myotis_lucifugus","-77.3467019577089","43.952058537939"
"Myotis_lucifugus","-75.9319198298105","43.9900166781772"
"Myotis_lucifugus","-78.68266","43.9116099990574"
"Myotis_lucifugus","-79.91565","43.8209999990575"
"Myotis_lucifugus","-81.716667","43.75"
"Myotis_lucifugus","-79.633333","43.7"
"Myotis_lucifugus","-80.25","43.666667"
"Myotis_lucifugus","-79.383333","43.666667"
"Myotis_lucifugus","-79.58445","43.5494499990579"
"Myotis_lucifugus","-79.87595","43.516579999058"
"Myotis_lucifugus","-80.34078","43.37732"
"Myotis_lucifugus","-80.033333","43.45"
"Myotis_lucifugus","-81.133333","43.25"
