"sp","decimallongitude","decimallatitude"
"Notiosorex_crawfordi","-117.238128","32.669433"
"Notiosorex_crawfordi","-110.620174","29.329299"
"Notiosorex_crawfordi","-108.564","32.982"
"Notiosorex_crawfordi","-106.714776","35.136349"
"Notiosorex_crawfordi","-104.8","27"
"Notiosorex_crawfordi","-108.22167","25.82472"
"Notiosorex_crawfordi","-103.359734","25.175793"
"Notiosorex_crawfordi","-110.749791","28.066666"
"Notiosorex_crawfordi","-108.926389","26.035"
"Notiosorex_crawfordi","-107.533333","28.45"
"Notiosorex_crawfordi","-105.536111","26.123333"
"Notiosorex_crawfordi","-112.080556","27.188056"
"Notiosorex_crawfordi","-114.766667","29.766667"
"Notiosorex_crawfordi","-100.076944","24.673889"
"Notiosorex_crawfordi","-115.177778","28.111111"
"Notiosorex_crawfordi","-109.688256","23.179328"
"Notiosorex_crawfordi","-105.766667","30.6"
"Notiosorex_crawfordi","-108.617578173857","26.4163901890674"
"Notiosorex_crawfordi","-103.933333","26.518056"
"Notiosorex_crawfordi","-103.655278","24.604167"
"Notiosorex_crawfordi","-104.229","23.873"
"Notiosorex_crawfordi","-103.935","23.65"
"Notiosorex_crawfordi","-102.712922","20.145892"
"Notiosorex_crawfordi","-109.514999","23.487"
"Notiosorex_crawfordi","-111.820556","26.059167"
"Notiosorex_crawfordi","-100.643","23.431"
"Notiosorex_crawfordi","-99.026944","20.403611"
"Notiosorex_crawfordi","-113.538482346023","28.9123892193448"
"Notiosorex_crawfordi","-114.152427367064","29.0455539760247"
"Notiosorex_crawfordi","-115.831667543523","30.333687024072"
"Notiosorex_crawfordi","-108.938056","31.298333"
"Notiosorex_crawfordi","-110.300556","30.498056"
"Notiosorex_crawfordi","-103.09194","21.93472"
"Notiosorex_crawfordi","-108.320833","26.7075"
"Notiosorex_crawfordi","-99.611667","26.974167"
"Notiosorex_crawfordi","-102.067222","27.004722"
"Notiosorex_crawfordi","-108.221944","25.522778"
"Notiosorex_crawfordi","-103.85","25.822"
"Notiosorex_crawfordi","-99.38028","23.40528"
"Notiosorex_crawfordi","-113.383333","28"
"Notiosorex_crawfordi","-103.3461","20.6764"
"Notiosorex_crawfordi","-105.12","30.78"
"Notiosorex_crawfordi","-106.279583","32.763278"
"Notiosorex_crawfordi","-106.857527","34.367843"
"Notiosorex_crawfordi","-107.623","32.1308"
"Notiosorex_crawfordi","-106.931513272258","32.0399158178247"
"Notiosorex_crawfordi","-117.009","33.7059"
"Notiosorex_crawfordi","-116.855","32.6876"
"Notiosorex_crawfordi","-117.782","33.553"
"Notiosorex_crawfordi","-117.563","33.3904"
"Notiosorex_crawfordi","-117.021","33.5827"
"Notiosorex_crawfordi","-117.315","33.511"
"Notiosorex_crawfordi","-117.215","32.9312"
"Notiosorex_crawfordi","-116.871","32.1184"
"Notiosorex_crawfordi","-117.847","33.6334"
"Notiosorex_crawfordi","-117.685","33.8925"
"Notiosorex_crawfordi","-117.349","33.3708"
"Notiosorex_crawfordi","-117.016667","32.533333"
"Notiosorex_crawfordi","-117.04","32.6403"
"Notiosorex_crawfordi","-116.659","33.1145"
"Notiosorex_crawfordi","-117.548","33.6118"
"Notiosorex_crawfordi","-107.681139","33.261296"
"Notiosorex_crawfordi","-112.02528","34.77083"
"Notiosorex_crawfordi","-109.2031","31.9623"
"Notiosorex_crawfordi","-110.543935","32.225131"
"Notiosorex_crawfordi","-111.05","31.56806"
"Notiosorex_crawfordi","-110.959398","31.452558"
"Notiosorex_crawfordi","-110.58806","31.53194"
"Notiosorex_crawfordi","-110.4742","32.1591"
"Notiosorex_crawfordi","-110.50611","31.59056"
"Notiosorex_crawfordi","-112.68444","32.04444"
"Notiosorex_crawfordi","-110.29449","31.43511"
"Notiosorex_crawfordi","-110.90417","32.43611"
"Notiosorex_crawfordi","-113.01694","31.94444"
"Notiosorex_crawfordi","-110.6639","31.8537"
"Notiosorex_crawfordi","-110.85222","31.83333"
"Notiosorex_crawfordi","-111.32278","32.45139"
"Notiosorex_crawfordi","-109.92778","31.44806"
"Notiosorex_crawfordi","-110.71806","32.56222"
"Notiosorex_crawfordi","-110.3603","31.9409"
"Notiosorex_crawfordi","-111.4175","33.42861"
"Notiosorex_crawfordi","-109.425814","33.032216"
"Notiosorex_crawfordi","-109.50583","33.95972"
"Notiosorex_crawfordi","-113.963473","35.189408"
"Notiosorex_crawfordi","-110.347132870696","31.5527898788005"
"Notiosorex_crawfordi","-110.705547730998","32.3696628024716"
"Notiosorex_crawfordi","-110.89667","32.74167"
"Notiosorex_crawfordi","-114.526032","32.807332"
"Notiosorex_crawfordi","-111.060841","33.293885"
"Notiosorex_crawfordi","-109.314110964736","31.9588829045679"
"Notiosorex_crawfordi","-109.2441","31.5897"
"Notiosorex_crawfordi","-110.77028","32.61083"
"Notiosorex_crawfordi","-109.14083","31.91361"
"Notiosorex_crawfordi","-110.994555","32.096957"
"Notiosorex_crawfordi","-108.9","32.46667"
"Notiosorex_crawfordi","-100.069634","29.650232"
"Notiosorex_crawfordi","-100.643188150694","30.6586238602045"
"Notiosorex_crawfordi","-117.067283806762","36.9821302302917"
"Notiosorex_crawfordi","-103.411","29.247"
"Notiosorex_crawfordi","-116.451667","32.983333"
"Notiosorex_crawfordi","-117.078283818396","33.0669718326586"
"Notiosorex_crawfordi","-117.07966522463","33.0002408093594"
"Notiosorex_crawfordi","-117.289218121296","34.0485730786399"
"Notiosorex_crawfordi","-114.685751409441","33.4167081821923"
"Notiosorex_crawfordi","-116.558398013419","33.7205872817648"
"Notiosorex_crawfordi","-108.932343590554","31.9449503696805"
"Notiosorex_crawfordi","-115.51216078804","34.9869337203926"
"Notiosorex_crawfordi","-115.653367378919","34.8092884394166"
"Notiosorex_crawfordi","-114.030496746706","28.5162838741905"
"Notiosorex_crawfordi","-115.578889","30.064444"
