"sp","decimallongitude","decimallatitude"
"Otospermophilus_beecheyi","-121.997475","37.412034"
"Otospermophilus_beecheyi","-118.499474","34.014297"
"Otospermophilus_beecheyi","-118.409821","34.120421"
"Otospermophilus_beecheyi","-118.550378927038","37.5793339933445"
"Otospermophilus_beecheyi","-117.680133","33.462756"
"Otospermophilus_beecheyi","-119.028432","37.942031"
"Otospermophilus_beecheyi","-117.600224031602","33.717212342358"
"Otospermophilus_beecheyi","-117.276017","32.848612"
"Otospermophilus_beecheyi","-117.023084","32.767829"
"Otospermophilus_beecheyi","-118.400114","37.560763"
"Otospermophilus_beecheyi","-121.648178","41.024431"
"Otospermophilus_beecheyi","-116.796","33.392"
"Otospermophilus_beecheyi","-120.527782","38.732842"
"Otospermophilus_beecheyi","-119.25","36.75"
"Otospermophilus_beecheyi","-118.019774","34.211607"
"Otospermophilus_beecheyi","-118.703397","34.03238"
"Otospermophilus_beecheyi","-120.201653973951","41.5080484365081"
"Otospermophilus_beecheyi","-118.24","34.04"
"Otospermophilus_beecheyi","-117.207352883858","33.2894604027246"
"Otospermophilus_beecheyi","-118.239622750813","34.2241316008375"
"Otospermophilus_beecheyi","-117.599846","33.395689"
"Otospermophilus_beecheyi","-123.083522","39.001083"
"Otospermophilus_beecheyi","-121.951837","36.518082"
"Otospermophilus_beecheyi","-116.58077","32.95894"
"Otospermophilus_beecheyi","-116.42265","33.370253"
"Otospermophilus_beecheyi","-122.154325","37.649332"
"Otospermophilus_beecheyi","-117.064525","32.590914"
"Otospermophilus_beecheyi","-123.963272","46.174931"
"Otospermophilus_beecheyi","-122.182687","37.410443"
"Otospermophilus_beecheyi","-115.906496","32.047465"
"Otospermophilus_beecheyi","-121.314715","38.599505"
"Otospermophilus_beecheyi","-122.159391688198","38.4320103032265"
"Otospermophilus_beecheyi","-118.328351013278","33.3435642000746"
"Otospermophilus_beecheyi","-120.863841","35.371163"
"Otospermophilus_beecheyi","-121.256876","35.662915"
"Otospermophilus_beecheyi","-119.4","34.433333"
"Otospermophilus_beecheyi","-123.89374101076","45.7200130870631"
"Otospermophilus_beecheyi","-118.317652","33.715001"
"Otospermophilus_beecheyi","-117.631039","34.249565"
"Otospermophilus_beecheyi","-119.863297","35.189864"
"Otospermophilus_beecheyi","-118.545087","36.120501"
"Otospermophilus_beecheyi","-118.540100235579","35.9742544119308"
"Otospermophilus_beecheyi","-117.482901","33.314427"
"Otospermophilus_beecheyi","-116.914993","32.85806"
"Otospermophilus_beecheyi","-121.269029","37.539672"
"Otospermophilus_beecheyi","-119.568163172814","37.8504223404422"
"Otospermophilus_beecheyi","-118.091834","33.789268"
"Otospermophilus_beecheyi","-121.750673","37.867836"
"Otospermophilus_beecheyi","-116.607231","31.813408"
"Otospermophilus_beecheyi","-122.666985","38.453478"
"Otospermophilus_beecheyi","-122.379541","37.712158"
"Otospermophilus_beecheyi","-116.776761","32.832049"
"Otospermophilus_beecheyi","-119.481854","34.986005"
"Otospermophilus_beecheyi","-119.705309","39.167833"
"Otospermophilus_beecheyi","-115.682553470972","30.9845770952519"
"Otospermophilus_beecheyi","-115.942275","30.9393"
"Otospermophilus_beecheyi","-117.744503","33.775331"
"Otospermophilus_beecheyi","-119.753197","38.789322"
"Otospermophilus_beecheyi","-118.940695","34.044551"
"Otospermophilus_beecheyi","-120.464945","38.068307"
"Otospermophilus_beecheyi","-120.474186","46.619541"
"Otospermophilus_beecheyi","-119.787643","37.960711"
"Otospermophilus_beecheyi","-120.061225","38.92432"
"Otospermophilus_beecheyi","-122.35266","38.409558"
"Otospermophilus_beecheyi","-117.254877","32.920577"
"Otospermophilus_beecheyi","-116.603627","33.070015"
"Otospermophilus_beecheyi","-121.167293","38.720523"
"Otospermophilus_beecheyi","-121.913809828663","37.8815380092046"
"Otospermophilus_beecheyi","-117.326805","33.976283"
"Otospermophilus_beecheyi","-121.926334","37.922264"
"Otospermophilus_beecheyi","-117.922543","33.964233"
"Otospermophilus_beecheyi","-115.476861","30.893864"
"Otospermophilus_beecheyi","-121.118852","35.581639"
"Otospermophilus_beecheyi","-118.41673","34.175492"
"Otospermophilus_beecheyi","-117.885607","33.653347"
"Otospermophilus_beecheyi","-122.292892046737","38.3051908451394"
"Otospermophilus_beecheyi","-117.245191","32.674992"
"Otospermophilus_beecheyi","-118.496427","34.182962"
"Otospermophilus_beecheyi","-119.407355","37.977481"
"Otospermophilus_beecheyi","-121.210012","36.492521"
"Otospermophilus_beecheyi","-123.095642","43.983097"
"Otospermophilus_beecheyi","-120.024206","34.459125"
"Otospermophilus_beecheyi","-117.259586","34.544214"
"Otospermophilus_beecheyi","-116.970332420872","34.2194104978"
"Otospermophilus_beecheyi","-119.393017594269","37.7306862730368"
"Otospermophilus_beecheyi","-122.036292","37.893394"
"Otospermophilus_beecheyi","-116.687398","33.764416"
"Otospermophilus_beecheyi","-118.902369","34.217196"
"Otospermophilus_beecheyi","-119.965725","35.154232"
"Otospermophilus_beecheyi","-120.51796","46.855327"
"Otospermophilus_beecheyi","-117.715513","34.135855"
"Otospermophilus_beecheyi","-116.37356","33.6977"
"Otospermophilus_beecheyi","-120.068611","34.696944"
"Otospermophilus_beecheyi","-117.395919502832","33.9387654375538"
"Otospermophilus_beecheyi","-120.761255","35.800924"
"Otospermophilus_beecheyi","-118.724807","34.203033"
"Otospermophilus_beecheyi","-118.087916482533","33.745394185963"
"Otospermophilus_beecheyi","-123.790846","39.496706"
"Otospermophilus_beecheyi","-122.88675","46.036608"
"Otospermophilus_beecheyi","-119.683334","34.416668"
"Otospermophilus_beecheyi","-118.851478","37.590044"
"Otospermophilus_beecheyi","-117.447823","33.850628"
"Otospermophilus_beecheyi","-116.576997663392","34.0544847432083"
"Otospermophilus_beecheyi","-116.564304513371","33.7585021635108"
"Otospermophilus_beecheyi","-116.465249","32.872896"
"Otospermophilus_beecheyi","-121.755149","44.405771"
"Otospermophilus_beecheyi","-121.776081","36.813058"
"Otospermophilus_beecheyi","-119.179985","36.333204"
"Otospermophilus_beecheyi","-117.017270983329","33.9621533558885"
"Otospermophilus_beecheyi","-119.932423","39.19766"
"Otospermophilus_beecheyi","-116.643424","32.460016"
"Otospermophilus_beecheyi","-123.34704","43.289015"
"Otospermophilus_beecheyi","-120.968838","36.61704"
"Otospermophilus_beecheyi","-121.288462","36.831095"
"Otospermophilus_beecheyi","-117.376957","33.185659"
"Otospermophilus_beecheyi","-116.427162","33.590063"
"Otospermophilus_beecheyi","-120.680219","35.263277"
"Otospermophilus_beecheyi","-117.895687","34.503376"
"Otospermophilus_beecheyi","-121.569782","40.938569"
"Otospermophilus_beecheyi","-120.409388","37.378758"
"Otospermophilus_beecheyi","-118.933503","35.922117"
"Otospermophilus_beecheyi","-120.530278","34.838056"
"Otospermophilus_beecheyi","-118.112769","35.381544"
"Otospermophilus_beecheyi","-121.775117","37.147403"
"Otospermophilus_beecheyi","-122.339974986902","37.6861438218692"
"Otospermophilus_beecheyi","-121.776507","37.638714"
"Otospermophilus_beecheyi","-122.007551","36.978383"
"Otospermophilus_beecheyi","-122.23926","37.405946"
"Otospermophilus_beecheyi","-121.894074","37.525099"
"Otospermophilus_beecheyi","-124.053123957645","44.6366200494407"
"Otospermophilus_beecheyi","-120.679793","40.420521"
"Otospermophilus_beecheyi","-122.165575","39.422045"
"Otospermophilus_beecheyi","-116.860341576196","33.041848025716"
"Otospermophilus_beecheyi","-122.518284","38.025884"
"Otospermophilus_beecheyi","-116.798175","33.25237"
"Otospermophilus_beecheyi","-117.69803265011","33.6531715129002"
"Otospermophilus_beecheyi","-122.625562","38.238729"
"Otospermophilus_beecheyi","-122.422557060338","38.4586365680463"
"Otospermophilus_beecheyi","-123.876278","46.142293"
"Otospermophilus_beecheyi","-117.050614388461","34.229969658279"
"Otospermophilus_beecheyi","-122.257886307803","37.1518866009963"
"Otospermophilus_beecheyi","-121.371639549031","37.4190576140226"
"Otospermophilus_beecheyi","-121.808796","42.229815"
"Otospermophilus_beecheyi","-121.972403","37.235946"
"Otospermophilus_beecheyi","-118.948503","34.82035"
"Otospermophilus_beecheyi","-122.143792","37.935113"
"Otospermophilus_beecheyi","-120.895472347593","36.7415280293601"
"Otospermophilus_beecheyi","-117.024127","34.870969"
"Otospermophilus_beecheyi","-123.466615","43.263929"
"Otospermophilus_beecheyi","-121.365092","38.05385"
"Otospermophilus_beecheyi","-122.436342487743","42.1944624355927"
"Otospermophilus_beecheyi","-122.409959833436","37.9362677584777"
"Otospermophilus_beecheyi","-118.512312","33.450482"
"Otospermophilus_beecheyi","-120.666753510648","35.4860219737458"
"Otospermophilus_beecheyi","-117.014852","33.014812"
"Otospermophilus_beecheyi","-116.576032","33.313216"
"Otospermophilus_beecheyi","-121.69148","38.11678"
"Otospermophilus_beecheyi","-122.133173","38.245731"
"Otospermophilus_beecheyi","-121.179607","45.652462"
"Otospermophilus_beecheyi","-119.873108","34.420973"
"Otospermophilus_beecheyi","-120.923965241983","36.5952732942309"
"Otospermophilus_beecheyi","-122.092558048361","37.2687432428883"
"Otospermophilus_beecheyi","-118.872967","34.828654"
"Otospermophilus_beecheyi","-115.630715","30.815613"
"Otospermophilus_beecheyi","-117.493509","34.260434"
"Otospermophilus_beecheyi","-115.905762","33.874976"
"Otospermophilus_beecheyi","-115.835002","33.969101"
"Otospermophilus_beecheyi","-117.924438","33.870281"
"Otospermophilus_beecheyi","-120.619696","37.182286"
"Otospermophilus_beecheyi","-119.709246363048","37.0176897488264"
"Otospermophilus_beecheyi","-120.635345","35.128753"
"Otospermophilus_beecheyi","-119.191292","34.243253"
"Otospermophilus_beecheyi","-119.477065739609","34.7753376386612"
"Otospermophilus_beecheyi","-118.565752","36.486367"
"Otospermophilus_beecheyi","-120.867026","38.654699"
"Otospermophilus_beecheyi","-118.981766","36.275032"
