"sp","decimallongitude","decimallatitude"
"Peromyscus_eremicus","-114.130783","33.447485"
"Peromyscus_eremicus","-108.99463","26.088857"
"Peromyscus_eremicus","-108.712238","32.719562"
"Peromyscus_eremicus","-107.9244","32.5896999991433"
"Peromyscus_eremicus","-108.489955","32.96583"
"Peromyscus_eremicus","-113.559","28.918"
"Peromyscus_eremicus","-105.265","27.6175"
"Peromyscus_eremicus","-113.501507","31.771412"
"Peromyscus_eremicus","-112.366667","29.2"
"Peromyscus_eremicus","-111.650766","28.999815"
"Peromyscus_eremicus","-115.5472","32.4375"
"Peromyscus_eremicus","-113.431","28.115"
"Peromyscus_eremicus","-111.046111","27.989722"
"Peromyscus_eremicus","-101.12","27.848333"
"Peromyscus_eremicus","-101.138486","21.841087"
"Peromyscus_eremicus","-105.936111","26.687222"
"Peromyscus_eremicus","-102.725","23.6"
"Peromyscus_eremicus","-105.4","26.773611"
"Peromyscus_eremicus","-108.866667","27.766667"
"Peromyscus_eremicus","-110.964170743076","30.6257863284018"
"Peromyscus_eremicus","-106.243027","29.683867"
"Peromyscus_eremicus","-105.7","26.95"
"Peromyscus_eremicus","-100.643765441896","23.6459851663957"
"Peromyscus_eremicus","-99.604167","22.398333"
"Peromyscus_eremicus","-100.724722","23.9375"
"Peromyscus_eremicus","-107.389722","24.799444"
"Peromyscus_eremicus","-99.508056","22.009167"
"Peromyscus_eremicus","-107.330556","28.935"
"Peromyscus_eremicus","-104.866667","27.133333"
"Peromyscus_eremicus","-103.84056","24.73722"
"Peromyscus_eremicus","-105.538889","25.798333"
"Peromyscus_eremicus","-100.7125","23.808611"
"Peromyscus_eremicus","-105.01833","30.77597"
"Peromyscus_eremicus","-100.229167","23.5125"
"Peromyscus_eremicus","-101.090130956901","23.1218968493006"
"Peromyscus_eremicus","-104.5","26.933333"
"Peromyscus_eremicus","-108.016667","30.383333"
"Peromyscus_eremicus","-105.4","27.523611"
"Peromyscus_eremicus","-110.713333","28.287222"
"Peromyscus_eremicus","-101.008056","23.820833"
"Peromyscus_eremicus","-113.536687","31.318067"
"Peromyscus_eremicus","-100.951","23.912"
"Peromyscus_eremicus","-105.216667","25.916667"
"Peromyscus_eremicus","-104.366667","28.733333"
"Peromyscus_eremicus","-100.643611","22.912222"
"Peromyscus_eremicus","-105.216667","26.383333"
"Peromyscus_eremicus","-112.302778","28.753889"
"Peromyscus_eremicus","-104.716667","29.116667"
"Peromyscus_eremicus","-104.066667","24.466667"
"Peromyscus_eremicus","-104.780914875084","25.9294232303889"
"Peromyscus_eremicus","-105.005833","25.512778"
"Peromyscus_eremicus","-106.383333","31.416667"
"Peromyscus_eremicus","-106.316667","31.233333"
"Peromyscus_eremicus","-100.95","24.008333"
"Peromyscus_eremicus","-106.130360272368","28.6766453209157"
"Peromyscus_eremicus","-107.616667","31.483333"
"Peromyscus_eremicus","-110.857141425035","30.9289399961382"
