"sp","decimallongitude","decimallatitude"
"Picoides_pubescens",-82.524537,39.159953
"Picoides_pubescens",-87.281243,50.371726
"Picoides_pubescens",-85.54888,35.833572
"Picoides_pubescens",-111.871719,50.566092
"Picoides_pubescens",-98.649373,34.718334
"Picoides_pubescens",-74.400003,42.653561
"Picoides_pubescens",-100.035324,39.77002
"Picoides_pubescens",-82.544489,35.397709
"Picoides_pubescens",-120.5548,35.3864
"Picoides_pubescens",-82.13789,39.344296
"Picoides_pubescens",-79.000926,43.276955
"Picoides_pubescens",-81.401728,38.37265
"Picoides_pubescens",-79.003049,40.946007
"Picoides_pubescens",-114.317475,50.816218
"Picoides_pubescens",-89.416502,38.005798
"Picoides_pubescens",-91.55016,40.966923
"Picoides_pubescens",-94.592303,34.949803
"Picoides_pubescens",-117.684603,47.924913
"Picoides_pubescens",-94.4297,41.489277
"Picoides_pubescens",-80.379105,42.018522
"Picoides_pubescens",-76.210979,43.042285
"Picoides_pubescens",-113.313675,48.641076
"Picoides_pubescens",-98.255882,37.657189
"Picoides_pubescens",-95.15414,36.63868
"Picoides_pubescens",-105.612673,40.793315
"Picoides_pubescens",-99.874135,40.110176
"Picoides_pubescens",-85.697155,33.235462
"Picoides_pubescens",-110.363073,37.414516
"Picoides_pubescens",-122.98797,44.3928
"Picoides_pubescens",-80.574176,35.263715
"Picoides_pubescens",-114.35154,54.356781
"Picoides_pubescens",-107.90308,44.800474
"Picoides_pubescens",-97.418572,33.831083
"Picoides_pubescens",-93.908308,34.078102
"Picoides_pubescens",-89.93979,34.51071
"Picoides_pubescens",-80.175347,26.249151
"Picoides_pubescens",-97.008698,42.000931
"Picoides_pubescens",-99.595356,40.694761
"Picoides_pubescens",-86.714912,46.362555
"Picoides_pubescens",-76.916313,45.481077
"Picoides_pubescens",-99.472391,30.060834
"Picoides_pubescens",-122.285439,46.310196
"Picoides_pubescens",-98.33285,49.68465
"Picoides_pubescens",-73.903828,43.621637
"Picoides_pubescens",-78.151202,36.582023
"Picoides_pubescens",-122.459329,44.175639
"Picoides_pubescens",-116.072308,49.626087
"Picoides_pubescens",-53.943268,48.604298
"Picoides_pubescens",-107.345275,34.061305
"Picoides_pubescens",-91.447846,44.754669
"Picoides_pubescens",-62.63149,46.280908
"Picoides_pubescens",-107.820858,34.95462
"Picoides_pubescens",-98.719608,36.781801
"Picoides_pubescens",-83.577633,37.851882
"Picoides_pubescens",-111.564102,41.603378
"Picoides_pubescens",-116.864319,32.649782
"Picoides_pubescens",-85.025638,49.419055
"Picoides_pubescens",-110.044417,43.203972
"Picoides_pubescens",-74.21667,41.63616
"Picoides_pubescens",-94.318194,40.588363
"Picoides_pubescens",-70.345924,48.20535
"Picoides_pubescens",-78.89872,35.12873
"Picoides_pubescens",-73.77944,41.027763
"Picoides_pubescens",-92.54891,31.52386
"Picoides_pubescens",-82.032131,33.123496
"Picoides_pubescens",-91.65636,47.27442
"Picoides_pubescens",-89.72247,41.39977
"Picoides_pubescens",-123.690473,45.963715
"Picoides_pubescens",-99.815423,38.792834
"Picoides_pubescens",-79.617249,37.113976
