"sp","decimallongitude","decimallatitude"
"Poecile_gambeli","-105.84771","40.387032"
"Poecile_gambeli","-105.52555","40.19439"
"Poecile_gambeli","-119.269466","37.908721"
"Poecile_gambeli","-119.21945","48.362983"
"Poecile_gambeli","-119.702504","37.507564"
"Poecile_gambeli","-117.857967","34.371112"
"Poecile_gambeli","-121.631398","44.371762"
"Poecile_gambeli","-105.2086","39.72681"
"Poecile_gambeli","-106.444323","35.206873"
"Poecile_gambeli","-111.160789","34.403454"
"Poecile_gambeli","-121.06062872482","39.9322146038448"
"Poecile_gambeli","-104.765496","39.399658"
"Poecile_gambeli","-105.290909","40.267026"
"Poecile_gambeli","-104.440434","38.507559"
"Poecile_gambeli","-114.109583","46.596973"
"Poecile_gambeli","-111.492433","41.469551"
"Poecile_gambeli","-110.672536","44.150396"
"Poecile_gambeli","-117.949219","52.816044"
"Poecile_gambeli","-122.083148","50.681612"
"Poecile_gambeli","-121.92923","42.58824"
"Poecile_gambeli","-118.115516","48.675717"
"Poecile_gambeli","-119.27393","50.396263"
"Poecile_gambeli","-119.313927","50.783582"
"Poecile_gambeli","-110.740766","32.427378"
"Poecile_gambeli","-120.81665","47.82422"
"Poecile_gambeli","-105.259465","39.939475"
"Poecile_gambeli","-115.759444","49.821944"
"Poecile_gambeli","-106.171652","39.636389"
"Poecile_gambeli","-118.189459","34.192352"
"Poecile_gambeli","-118.617757","36.152447"
"Poecile_gambeli","-119.082387","37.645301"
"Poecile_gambeli","-120.529997","49.451708"
"Poecile_gambeli","-115.077324","49.286701"
"Poecile_gambeli","-116.962773","46.783979"
"Poecile_gambeli","-120.059689","38.839626"
"Poecile_gambeli","-120.766239","46.750257"
"Poecile_gambeli","-111.671905","40.004476"
"Poecile_gambeli","-115.629171","36.262268"
"Poecile_gambeli","-119.214135","50.25097"
"Poecile_gambeli","-123.73438","40.87345"
"Poecile_gambeli","-115.765686","49.583061"
"Poecile_gambeli","-118.616476","34.527015"
"Poecile_gambeli","-111.379789","42.935958"
"Poecile_gambeli","-117.199913","34.270293"
"Poecile_gambeli","-117.671063","34.228277"
"Poecile_gambeli","-119.56875","37.738211"
"Poecile_gambeli","-120.036364","39.546328"
"Poecile_gambeli","-121.752485","46.85033"
"Poecile_gambeli","-116.309437","48.645226"
"Poecile_gambeli","-108.488335","37.184489"
"Poecile_gambeli","-116.77776","47.66506"
"Poecile_gambeli","-116.13412","43.73378"
"Poecile_gambeli","-105.157978","38.908083"
"Poecile_gambeli","-119.190718","50.640919"
"Poecile_gambeli","-116.855049","33.311307"
"Poecile_gambeli","-117.667694","48.242205"
"Poecile_gambeli","-105.581403","41.307641"
"Poecile_gambeli","-110.72629","43.79442"
"Poecile_gambeli","-111.022339","43.71355"
"Poecile_gambeli","-120.033949","47.87355"
"Poecile_gambeli","-117.376098","38.899695"
"Poecile_gambeli","-119.704714","49.961325"
"Poecile_gambeli","-116.934614","34.225784"
"Poecile_gambeli","-117.47936","47.68091"
"Poecile_gambeli","-111.536525","35.182736"
"Poecile_gambeli","-119.025278","37.751857"
"Poecile_gambeli","-118.56883","37.323008"
"Poecile_gambeli","-121.251297","50.668831"
"Poecile_gambeli","-120.524057","39.909605"
"Poecile_gambeli","-120.641288","39.679547"
"Poecile_gambeli","-110.858016","40.730088"
"Poecile_gambeli","-115.98715","49.685719"
"Poecile_gambeli","-117.876134","34.029651"
"Poecile_gambeli","-119.201102","38.312388"
"Poecile_gambeli","-111.457576","44.477386"
"Poecile_gambeli","-121.39347","40.13463"
"Poecile_gambeli","-117.257509","39.155889"
"Poecile_gambeli","-113.510485","37.390004"
"Poecile_gambeli","-118.136029","34.127011"
"Poecile_gambeli","-105.445769","38.996824"
