"sp","decimallongitude","decimallatitude"
"Pooecetes_gramineus",-95.004187,30.320359
"Pooecetes_gramineus",-78.641365,42.684586
"Pooecetes_gramineus",-110.801899,51.382216
"Pooecetes_gramineus",-104.652,28.0824
"Pooecetes_gramineus",-112.529056,51.583657
"Pooecetes_gramineus",-108.396349,38.630114
"Pooecetes_gramineus",-65.364964,47.23563
"Pooecetes_gramineus",-113.98191,40.989714
"Pooecetes_gramineus",-119.111866,38.313414
"Pooecetes_gramineus",-82.297254,29.533923
"Pooecetes_gramineus",-98.232466,36.218693
"Pooecetes_gramineus",-105.304813,50.559637
"Pooecetes_gramineus",-110.846284,45.962323
"Pooecetes_gramineus",-107.918243,37.806457
"Pooecetes_gramineus",-90.092693,30.001382
"Pooecetes_gramineus",-87.969648,47.463974
"Pooecetes_gramineus",-75.647424,45.310413
"Pooecetes_gramineus",-121.32494,42.26151
"Pooecetes_gramineus",-107.969735,34.206238
"Pooecetes_gramineus",-119.529748,44.470358
"Pooecetes_gramineus",-102.74664,48.48594
"Pooecetes_gramineus",-99.613037,28.758028
"Pooecetes_gramineus",-116.17836,51.41698
"Pooecetes_gramineus",-103.04108,45.95931
"Pooecetes_gramineus",-105.985,29.3901
"Pooecetes_gramineus",-98.493203,40.79627
"Pooecetes_gramineus",-98.8122,30.4178
"Pooecetes_gramineus",-107.071896,41.779249
"Pooecetes_gramineus",-111.903435,44.403287
"Pooecetes_gramineus",-89.231931,38.801206
"Pooecetes_gramineus",-103.26667,39.41431
"Pooecetes_gramineus",-87.786866,30.244327
"Pooecetes_gramineus",-64.807491,46.492011
"Pooecetes_gramineus",-110.764029,41.857854
"Pooecetes_gramineus",-105.279279,23.856187
"Pooecetes_gramineus",-101.800346,43.852355
"Pooecetes_gramineus",-120.123653,50.186741
"Pooecetes_gramineus",-85.376018,46.626487
"Pooecetes_gramineus",-82.8207,41.6501
"Pooecetes_gramineus",-76.050239,42.812057
"Pooecetes_gramineus",-95.980682,36.955379
"Pooecetes_gramineus",-103.307564,32.716877
"Pooecetes_gramineus",-98.118505,26.936529
"Pooecetes_gramineus",-111.4408,46.17273
"Pooecetes_gramineus",-65.576663,45.38127
"Pooecetes_gramineus",-79.095812,39.888791
"Pooecetes_gramineus",-81.01078,40.764681
"Pooecetes_gramineus",-82.023383,29.702967
"Pooecetes_gramineus",-108.20697,40.0899
"Pooecetes_gramineus",-85.061216,40.040806
"Pooecetes_gramineus",-89.3324,40.6881
"Pooecetes_gramineus",-101.562984,39.512046
"Pooecetes_gramineus",-83.117516,40.173856
"Pooecetes_gramineus",-113.50209,42.153233
"Pooecetes_gramineus",-99.346383,38.524382
"Pooecetes_gramineus",-102.850721,31.278166
"Pooecetes_gramineus",-98.076539,47.935918
"Pooecetes_gramineus",-109.11063,45.963593
"Pooecetes_gramineus",-101.72678,47.60301
"Pooecetes_gramineus",-103.900495,34.648625
"Pooecetes_gramineus",-113.573862,43.473952
"Pooecetes_gramineus",-112.736378,40.033792
"Pooecetes_gramineus",-95.23563,47.21239
"Pooecetes_gramineus",-114.22348,50.339515
"Pooecetes_gramineus",-89.48797,41.28551
"Pooecetes_gramineus",-120.800811,43.048076
"Pooecetes_gramineus",-76.528527,45.026598
"Pooecetes_gramineus",-82.214556,31.141276
"Pooecetes_gramineus",-122.204361,39.522979
