"sp","decimallongitude","decimallatitude"
"Procyon_lotor","-72.368746","43.501095"
"Procyon_lotor","-122.385915","37.581771"
"Procyon_lotor","-94.055692","32.712032"
"Procyon_lotor","-97.017107","36.137515"
"Procyon_lotor","-79.38","43.67"
"Procyon_lotor","-79.90752","43.4328499990581"
"Procyon_lotor","-82.56633","39.519558"
"Procyon_lotor","-97.197826","27.949542"
"Procyon_lotor","-122.460422","47.454749"
"Procyon_lotor","-122.502354","37.769855"
"Procyon_lotor","-80.154853","25.670708"
"Procyon_lotor","-117.073218","32.566326"
"Procyon_lotor","-123.299722","42.924722"
"Procyon_lotor","-87.025551","20.696898"
"Procyon_lotor","-87.0369","41.6631"
"Procyon_lotor","-87.578253","41.783252"
"Procyon_lotor","-94.885","30.163"
"Procyon_lotor","-93.123912","44.921262"
"Procyon_lotor","-100.97417","25.432302"
"Procyon_lotor","-79.899194","43.282323"
"Procyon_lotor","-80.1071654713564","39.6799914526309"
"Procyon_lotor","-84.281187","32.205788"
"Procyon_lotor","-96.76098","28.48299"
"Procyon_lotor","-95.674825","30.263812"
"Procyon_lotor","-73.965355","40.782865"
"Procyon_lotor","-96.716615","32.671654"
"Procyon_lotor","-103.971196","30.607499"
"Procyon_lotor","-95.537979","29.7519"
"Procyon_lotor","-122.208438662039","47.6814202787732"
"Procyon_lotor","-97.336378","21.012216"
"Procyon_lotor","-104.288611","23.443056"
"Procyon_lotor","-72.691103","44.930552"
"Procyon_lotor","-100.215429","26.485233"
"Procyon_lotor","-122.147103","37.646275"
"Procyon_lotor","-71.3036","42.3731"
"Procyon_lotor","-97.690591","24.479591"
"Procyon_lotor","-104.852583","39.807339"
"Procyon_lotor","-116.422812","33.370163"
"Procyon_lotor","-111.022233","32.279295"
"Procyon_lotor","-97.77606","22.266199"
"Procyon_lotor","-61.128372","45.924484"
"Procyon_lotor","-73.13012","44.7392"
"Procyon_lotor","-88.330057","41.712862"
"Procyon_lotor","-118.23403","34.078243"
"Procyon_lotor","-98.708888","29.781436"
"Procyon_lotor","-96.244703","44.375229"
"Procyon_lotor","-117.71801","33.514155"
"Procyon_lotor","-96.712679","32.90656"
"Procyon_lotor","-122.418766","37.718688"
"Procyon_lotor","-121.972472689189","38.1512367348942"
"Procyon_lotor","-75.742373","45.736439"
"Procyon_lotor","-97.172053","32.903062"
"Procyon_lotor","-76.238723","44.750371"
"Procyon_lotor","-122.479698","38.30796"
"Procyon_lotor","-80.05281","45.928093"
"Procyon_lotor","-73.226424","43.657356"
"Procyon_lotor","-97.570331","31.789683"
"Procyon_lotor","-102.013363","20.967645"
"Procyon_lotor","-88.557857","41.597306"
"Procyon_lotor","-123.140903","49.308315"
"Procyon_lotor","-94.448257","29.586296"
"Procyon_lotor","-84.14445","9.384554"
"Procyon_lotor","-82.51844","41.962772"
"Procyon_lotor","-96.953758","33.063672"
"Procyon_lotor","-96.816117","30.656817"
"Procyon_lotor","-108.951986","27.009309"
"Procyon_lotor","-97.889187","30.290999"
"Procyon_lotor","-79.996605","44.835832"
"Procyon_lotor","-91.572778","43.635278"
"Procyon_lotor","-119.591235","37.748169"
"Procyon_lotor","-81.496233","40.854609"
"Procyon_lotor","-100.734072","28.858929"
"Procyon_lotor","-116.989368","46.731325"
"Procyon_lotor","-95.882192","31.919256"
"Procyon_lotor","-89.645133","21.274988"
"Procyon_lotor","-118.908136","35.444458"
"Procyon_lotor","-79.228162","44.209803"
"Procyon_lotor","-86.017456","42.540434"
"Procyon_lotor","-72.924763","41.318824"
"Procyon_lotor","-71.387734","42.652346"
"Procyon_lotor","-123.654565","46.14726"
"Procyon_lotor","-95.804424","30.300559"
"Procyon_lotor","-123.264928","48.412689"
"Procyon_lotor","-94.618757","38.238635"
"Procyon_lotor","-79.453533","38.291595"
"Procyon_lotor","-100.776498","33.834295"
"Procyon_lotor","-97.758602","30.417984"
"Procyon_lotor","-81.608239","26.377129"
"Procyon_lotor","-124.05069","40.917055"
"Procyon_lotor","-81.6690961822765","25.9953753254054"
"Procyon_lotor","-81.75481","40.911915"
"Procyon_lotor","-81.391182","41.326811"
"Procyon_lotor","-97.459524","31.084477"
"Procyon_lotor","-105.045486","39.881455"
"Procyon_lotor","-64.381082","44.426297"
"Procyon_lotor","-96.843362","32.835432"
"Procyon_lotor","-80.6724743791716","28.54138156313"
"Procyon_lotor","-122.127061","36.859348"
"Procyon_lotor","-83.994355","42.509884"
"Procyon_lotor","-91.403171","31.560444"
"Procyon_lotor","-97.368513","32.710525"
"Procyon_lotor","-82.234161","36.572995"
"Procyon_lotor","-79.707855","40.653188"
"Procyon_lotor","-119.704884","39.139229"
"Procyon_lotor","-110.64283","32.01752"
"Procyon_lotor","-79.930983","42.052835"
"Procyon_lotor","-118.114491","33.78316"
"Procyon_lotor","-73.136629","41.230544"
"Procyon_lotor","-119.224944","34.3387"
"Procyon_lotor","-97.7173","29.7108"
"Procyon_lotor","-76.52083","42.42944"
"Procyon_lotor","-95.419722","29.0425"
"Procyon_lotor","-118.364582644867","34.1287133924363"
"Procyon_lotor","-103.233992","30.203149"
"Procyon_lotor","-122.257886307803","37.1518866009963"
"Procyon_lotor","-90.688063","41.462825"
"Procyon_lotor","-78.472697","44.506216"
"Procyon_lotor","-84.292502","34.129339"
"Procyon_lotor","-90.541892","38.53367"
"Procyon_lotor","-81.674843","28.525884"
"Procyon_lotor","-122.514494","37.520225"
"Procyon_lotor","-93.178267","45.390012"
"Procyon_lotor","-84.728449","45.774136"
"Procyon_lotor","-80.609865","25.383192"
"Procyon_lotor","-123.328775","43.288932"
"Procyon_lotor","-78.964925","43.852194"
"Procyon_lotor","-80.211116","45.354487"
"Procyon_lotor","-87.334694","20.370247"
"Procyon_lotor","-122.758106868414","37.9476836355533"
"Procyon_lotor","-98.114291","30.198539"
"Procyon_lotor","-92.232004","38.589057"
"Procyon_lotor","-73.573038","40.841917"
"Procyon_lotor","-72.529503","42.33158"
"Procyon_lotor","-120.620667","35.031667"
"Procyon_lotor","-78.597583","42.808677"
"Procyon_lotor","-105.139397","39.9768"
"Procyon_lotor","-94.941142","47.186053"
"Procyon_lotor","-81.20812","28.669997"
"Procyon_lotor","-68.057779","44.334207"
"Procyon_lotor","-105.017366","40.55695"
"Procyon_lotor","-91.371585","31.555178"
"Procyon_lotor","-97.263986","37.739294"
"Procyon_lotor","-84.643989","40.097167"
"Procyon_lotor","-123.702042","48.165762"
"Procyon_lotor","-87.779424","41.998827"
"Procyon_lotor","-96.777884","32.979384"
"Procyon_lotor","-122.306386","47.657867"
"Procyon_lotor","-86.295665","39.873888"
"Procyon_lotor","-77.561492","37.54763"
"Procyon_lotor","-83.999898","42.468631"
"Procyon_lotor","-111.117697","45.744158"
"Procyon_lotor","-93.649492","42.023492"
"Procyon_lotor","-97.3131","30.5878"
"Procyon_lotor","-77.020017","39.058053"
"Procyon_lotor","-100.516362","33.051428"
