"sp","decimallongitude","decimallatitude"
"Regulus_satrapa",-87.990274,34.647658
"Regulus_satrapa",-90.713938,45.70752
"Regulus_satrapa",-79.325907,42.347089
"Regulus_satrapa",-85.503845,44.64441
"Regulus_satrapa",-81.116096,37.140289
"Regulus_satrapa",-116.319036,46.897764
"Regulus_satrapa",-77.372879,43.099902
"Regulus_satrapa",-82.72352,40.357184
"Regulus_satrapa",-85.296392,35.91668
"Regulus_satrapa",-109.537811,42.940842
"Regulus_satrapa",-123.2787,44.5534
"Regulus_satrapa",-90.716569,36.717678
"Regulus_satrapa",-88.73944,45.50167
"Regulus_satrapa",-95.106637,31.04486
"Regulus_satrapa",-113.414593,55.614562
"Regulus_satrapa",-68.765702,47.765517
"Regulus_satrapa",-112.185323,36.028295
"Regulus_satrapa",-101.103483,34.446907
"Regulus_satrapa",-119.90892,44.95521
"Regulus_satrapa",-106.101496,39.209155
"Regulus_satrapa",-77.000573,37.5873
"Regulus_satrapa",-134.062128391334,57.6649227418135
"Regulus_satrapa",-114.706535,45.011661
"Regulus_satrapa",-109.037697,44.509697
"Regulus_satrapa",-68.85701,46.96528
"Regulus_satrapa",-109.833267,33.826218
"Regulus_satrapa",-147.695629207315,59.9703113506833
"Regulus_satrapa",-94.463355,36.578304
"Regulus_satrapa",-145.410683,60.474922
"Regulus_satrapa",-83.77854,39.23678
"Regulus_satrapa",-121.665344,47.374175
"Regulus_satrapa",-99.712944,39.886821
"Regulus_satrapa",-79.847689,33.666836
"Regulus_satrapa",-82.63135,39.770943
"Regulus_satrapa",-123.56788,46.78195
"Regulus_satrapa",-124.223034,50.093439
"Regulus_satrapa",-92.908528,43.797592
"Regulus_satrapa",-84.79238,49.451576
"Regulus_satrapa",-88.326484,45.951719
"Regulus_satrapa",-81.690559,33.308151
"Regulus_satrapa",-74.144383,44.092357
"Regulus_satrapa",-92.078766,47.794505
"Regulus_satrapa",-104.698387,41.126771
"Regulus_satrapa",-84.304962,34.699284
"Regulus_satrapa",-104.963156,39.666206
"Regulus_satrapa",-97.913933,48.921493
"Regulus_satrapa",-88.256489,41.395546
"Regulus_satrapa",-114.510927,34.769871
"Regulus_satrapa",-86.619998,36.08841
"Regulus_satrapa",-84.048243,46.783649
"Regulus_satrapa",-90.559788,33.224338
"Regulus_satrapa",-86.44359,36.99034
"Regulus_satrapa",-114.24474,51.94822
"Regulus_satrapa",-95.937291,33.594907
"Regulus_satrapa",-94.177895,32.675939
"Regulus_satrapa",-71.981735,41.28058
"Regulus_satrapa",-94.956787,35.854395
"Regulus_satrapa",-78.105733,39.578086
"Regulus_satrapa",-73.43567,44.18395
"Regulus_satrapa",-90.734196,33.739292
"Regulus_satrapa",-99.433182,30.068914
"Regulus_satrapa",-93.411169,43.263144
"Regulus_satrapa",-80.208858,47.130771
"Regulus_satrapa",-82.682443,38.685495
"Regulus_satrapa",-79.720734,42.095309
"Regulus_satrapa",-85.191615,46.382754
"Regulus_satrapa",-92.562,31.937
"Regulus_satrapa",-122.76604,39.33841
"Regulus_satrapa",-118.34308,46.98442
"Regulus_satrapa",-80.648517,41.15354
"Regulus_satrapa",-67.564704,47.207141
"Regulus_satrapa",-124.906311,49.190679
"Regulus_satrapa",-124.0128,43.75622
"Regulus_satrapa",-123.45103,49.377372
"Regulus_satrapa",-85.418701,46.37292
"Regulus_satrapa",-115.759506,49.586814
"Regulus_satrapa",-79.475303,46.339365
"Regulus_satrapa",-77.648242,38.311546
"Regulus_satrapa",-121.409722,55.126667
"Regulus_satrapa",-85.484158,33.301419
"Regulus_satrapa",-78.103998,39.877755
"Regulus_satrapa",-81.440277,30.558713
"Regulus_satrapa",-94.348366,36.841383
"Regulus_satrapa",-79.018822,45.162493
"Regulus_satrapa",-53.181257,47.729764
"Regulus_satrapa",-108.763334,32.675773
"Regulus_satrapa",-93.790283,34.893816
"Regulus_satrapa",-86.543255,42.018947
"Regulus_satrapa",-89.839421,35.150223
"Regulus_satrapa",-122.534035,45.819033
"Regulus_satrapa",-94.250275,35.78
"Regulus_satrapa",-75.13773,39.876019
"Regulus_satrapa",-97.993943,29.76475
"Regulus_satrapa",-89.162546,43.894809
"Regulus_satrapa",-72.287307,41.43191
"Regulus_satrapa",-85.322185,30.757511
"Regulus_satrapa",-83.941448,41.967771
"Regulus_satrapa",-120.784121,42.396397
"Regulus_satrapa",-84.665104,44.255478
"Regulus_satrapa",-123.049991,47.395346
"Regulus_satrapa",-121.069679,43.373112
"Regulus_satrapa",-75.1735,40.313747
"Regulus_satrapa",-74.774533,39.629014
"Regulus_satrapa",-104.868933,35.816787
"Regulus_satrapa",-76.742905,37.966286
"Regulus_satrapa",-119.212657,50.93923
"Regulus_satrapa",-94.140043,30.007423
"Regulus_satrapa",-84.004898,32.136374
"Regulus_satrapa",-79.97725,43.444242
"Regulus_satrapa",-96.99561,37.23973
"Regulus_satrapa",-93.062,29.812
"Regulus_satrapa",-102.82571,40.83309
"Regulus_satrapa",-75.775452,41.281161
"Regulus_satrapa",-108.958819,31.731087
"Regulus_satrapa",-132.33055,53.59348
"Regulus_satrapa",-94.450149,32.378222
"Regulus_satrapa",-112.059386,36.208649
"Regulus_satrapa",-115.888145,45.242594
"Regulus_satrapa",-117.359047,45.364931
"Regulus_satrapa",-80.102875,42.553589
"Regulus_satrapa",-88.408959,30.368188
"Regulus_satrapa",-122.716942,50.513536
"Regulus_satrapa",-89.783669,43.684282
"Regulus_satrapa",-121.481495,45.741316
"Regulus_satrapa",-97.490337,25.897411
"Regulus_satrapa",-79.971027,37.917659
"Regulus_satrapa",-97.290855,29.093285
"Regulus_satrapa",-123.2058,42.72887
"Regulus_satrapa",-122.80955,38.03089
"Regulus_satrapa",-82.65152,34.571648
"Regulus_satrapa",-91.205063,35.979951
"Regulus_satrapa",-92.296244,37.719387
"Regulus_satrapa",-74.196167,45.471688
"Regulus_satrapa",-90.774637,35.05086
"Regulus_satrapa",-80.63903,39.667957
"Regulus_satrapa",-110.50905,44.751378
"Regulus_satrapa",-84.355774,29.841835
"Regulus_satrapa",-91.895828,30.276265
"Regulus_satrapa",-106.241774,42.860318
"Regulus_satrapa",-75.07488,41.634081
"Regulus_satrapa",-122.08968,47.27657
"Regulus_satrapa",-120.227122,35.90051
"Regulus_satrapa",-122.636175,46.051552
"Regulus_satrapa",-151.073341,60.464729
"Regulus_satrapa",-76.550503,38.409213
"Regulus_satrapa",-86.358761,36.377241
"Regulus_satrapa",-79.786251,36.097437
"Regulus_satrapa",-90.078278,33.85331
"Regulus_satrapa",-113.576115,50.608275
"Regulus_satrapa",-70.349353,45.533956
"Regulus_satrapa",-87.962508,42.925352
"Regulus_satrapa",-92.60539,38.761914
"Regulus_satrapa",-144.814559,61.685705
"Regulus_satrapa",-122.11961,52.11975
"Regulus_satrapa",-63.601944,50.238061
"Regulus_satrapa",-90.517159,41.252995
"Regulus_satrapa",-63.387182,46.504631
"Regulus_satrapa",-87.25595,37.217915
"Regulus_satrapa",-83.8028,34.627
"Regulus_satrapa",-83.285776,34.801452
"Regulus_satrapa",-121.999397,51.202602
"Regulus_satrapa",-80.769639,40.657153
"Regulus_satrapa",-91.840278,31.201667
"Regulus_satrapa",-96.088035,40.041497
"Regulus_satrapa",-90.687,30.687
"Regulus_satrapa",-88.971233,31.508752
"Regulus_satrapa",-94.015503,56.577641
"Regulus_satrapa",-132.475891,55.33305
"Regulus_satrapa",-116.732483,47.474519
"Regulus_satrapa",-114.026735,47.004676
"Regulus_satrapa",-123.944921,58.659085
"Regulus_satrapa",-76.546597,44.559966
"Regulus_satrapa",-76.620252,39.265558
"Regulus_satrapa",-119.477524,46.249579
"Regulus_satrapa",-120.308565,41.558682
"Regulus_satrapa",-66.164026,47.190963
"Regulus_satrapa",-135.718963,56.986677
"Regulus_satrapa",-96.652007,38.344686
"Regulus_satrapa",-82.636521,40.704994
"Regulus_satrapa",-81.259807,46.323281
"Regulus_satrapa",-92.26181,44.432799
"Regulus_satrapa",-116.804849,44.000965
"Regulus_satrapa",-70.774097,42.629791
"Regulus_satrapa",-88.907527,48.827189
"Regulus_satrapa",-115.810833,45.554153
"Regulus_satrapa",-92.340281,36.373319
"Regulus_satrapa",-114.793911,51.739148
"Regulus_satrapa",-111.05533,45.549984
"Regulus_satrapa",-118.542107,48.050392
"Regulus_satrapa",-94.17595,38.999489
"Regulus_satrapa",-91.119089,30.978197
"Regulus_satrapa",-72.726273,46.07728
"Regulus_satrapa",-92.874019,45.570854
"Regulus_satrapa",-90.904913,42.292231
"Regulus_satrapa",-96.465068,43.384934
"Regulus_satrapa",-113.075313,56.491876
"Regulus_satrapa",-84.97842,45.147
"Regulus_satrapa",-115.876923,50.293287
"Regulus_satrapa",-78.015896,43.287865
"Regulus_satrapa",-83.718803,41.385793
"Regulus_satrapa",-106.2791,53.9822
"Regulus_satrapa",-87.104807,32.319659
"Regulus_satrapa",-95.089701,29.406142
"Regulus_satrapa",-82.41806,43.002639
"Regulus_satrapa",-123.058591,54.139512
"Regulus_satrapa",-125.521683,49.644001
"Regulus_satrapa",-87.8362,38.72684
"Regulus_satrapa",-93.5974,45.341332
"Regulus_satrapa",-121.738522,43.566666
"Regulus_satrapa",-79.650259,32.988809
"Regulus_satrapa",-99.926125,34.83224
"Regulus_satrapa",-116.725159,51.935827
"Regulus_satrapa",-90.325986,46.157211
"Regulus_satrapa",-61.51549,47.62627
"Regulus_satrapa",-113.889255,35.096035
"Regulus_satrapa",-81.669443,49.276606
"Regulus_satrapa",-134.41927,58.249108
"Regulus_satrapa",-70.994278,49.773106
"Regulus_satrapa",-93.836632,33.003409
"Regulus_satrapa",-90.482356,49.084966
"Regulus_satrapa",-83.498422,36.166288
"Regulus_satrapa",-80.931045,33.95912
"Regulus_satrapa",-122.033451,49.094816
"Regulus_satrapa",-89.317131,44.784516
"Regulus_satrapa",-120.74889,39.33186
"Regulus_satrapa",-73.885239,44.145531
"Regulus_satrapa",-94.252481,34.853467
"Regulus_satrapa",-89.675517,39.789215
"Regulus_satrapa",-83.960329,41.134127
"Regulus_satrapa",-68.698694,45.289888
"Regulus_satrapa",-110.86056,45.566316
"Regulus_satrapa",-89.503929,37.99341
"Regulus_satrapa",-78.069041,39.321189
"Regulus_satrapa",-88.992142,45.741568
"Regulus_satrapa",-97.781196,31.261311
"Regulus_satrapa",-122.569914,44.407653
"Regulus_satrapa",-79.544998,46.723663
"Regulus_satrapa",-121.404591,39.225122
"Regulus_satrapa",-90.664637,36.044489
"Regulus_satrapa",-85.12495,30.0858
"Regulus_satrapa",-80.517511,42.584244
"Regulus_satrapa",-88.249555,40.120346
"Regulus_satrapa",-90.469665,46.481374
"Regulus_satrapa",-97.606316,33.308232
"Regulus_satrapa",-123.093481,46.460506
"Regulus_satrapa",-120.423803,47.820878
"Regulus_satrapa",-73.15207,49.05874
"Regulus_satrapa",-122.509918,41.323201
"Regulus_satrapa",-92.072318,46.834816
"Regulus_satrapa",-113.81896,51.075032
"Regulus_satrapa",-146.331711,59.437744
"Regulus_satrapa",-70.014667,47.434358
"Regulus_satrapa",-89.226537,34.277078
"Regulus_satrapa",-136.778686,58.930999
"Regulus_satrapa",-78.709037,39.04342
"Regulus_satrapa",-115.120389,37.28342
"Regulus_satrapa",-71.305417,46.658546
"Regulus_satrapa",-106.564318,39.108326
"Regulus_satrapa",-81.518555,33.229498
"Regulus_satrapa",-126.834099,50.032028
"Regulus_satrapa",-113.773896,50.345559
"Regulus_satrapa",-80.647931,41.931119
"Regulus_satrapa",-93.226483,44.570988
"Regulus_satrapa",-91.173434,45.906942
"Regulus_satrapa",-85.234773,30.817614
"Regulus_satrapa",-87.228572,41.240779
"Regulus_satrapa",-78.339601,45.800124
"Regulus_satrapa",-63.995023,47.056353
"Regulus_satrapa",-132.644763,54.004894
"Regulus_satrapa",-69.198177,47.810868
"Regulus_satrapa",-85.462389,40.840957
"Regulus_satrapa",-89.769459,42.583612
"Regulus_satrapa",-81.489029,33.543112
"Regulus_satrapa",-90.34357,41.69456
"Regulus_satrapa",-79.471748,40.151276
"Regulus_satrapa",-83.80603,42.70636
"Regulus_satrapa",-86.249499,50.619292
"Regulus_satrapa",-139.732661,59.547175
"Regulus_satrapa",-122.928395,47.185163
"Regulus_satrapa",-103.226595,36.490662
"Regulus_satrapa",-95.5299,29.5255
"Regulus_satrapa",-84.591803,41.126114
"Regulus_satrapa",-93.909931,29.879946
"Regulus_satrapa",-122.653845,49.35131
"Regulus_satrapa",-92.752,36.5245
"Regulus_satrapa",-123.900375,41.706873
"Regulus_satrapa",-75.816253,45.304459
"Regulus_satrapa",-92.474241,34.413
"Regulus_satrapa",-87.46645,46.615252
"Regulus_satrapa",-81.308974,46.604279
"Regulus_satrapa",-111.43637,41.606907
"Regulus_satrapa",-79.106154,38.222268
"Regulus_satrapa",-92.459958,39.246708
"Regulus_satrapa",-71.650848,42.783416
"Regulus_satrapa",-89.716702,51.149866
"Regulus_satrapa",-73.975919,41.797621
"Regulus_satrapa",-115.540595,49.181311
"Regulus_satrapa",-81.796532,47.490667
"Regulus_satrapa",-116.197039,43.914264
"Regulus_satrapa",-82.090228,48.837817
"Regulus_satrapa",-150.019941,62.221496
"Regulus_satrapa",-80.001689,36.50672
"Regulus_satrapa",-123.315546,47.70156
"Regulus_satrapa",-91.903679,35.06508
