"sp","decimallongitude","decimallatitude"
"Setophaga_ruticilla",-102.533319,32.315798
"Setophaga_ruticilla",-84.0986,48.05873
"Setophaga_ruticilla",-77.403016,51.273354
"Setophaga_ruticilla",-108.617,50.117
"Setophaga_ruticilla",-98.632507,51.349485
"Setophaga_ruticilla",-92.141206,39.031978
"Setophaga_ruticilla",-83.4203,42.9041
"Setophaga_ruticilla",-113.42445,53.55456
"Setophaga_ruticilla",-83.273363,44.713196
"Setophaga_ruticilla",-107.313992,44.080695
"Setophaga_ruticilla",-103.766856,50.372675
"Setophaga_ruticilla",-82.833956,32.671669
"Setophaga_ruticilla",-122.089004,62.03103
"Setophaga_ruticilla",-81.119258,35.963679
"Setophaga_ruticilla",-91.261711,33.296243
"Setophaga_ruticilla",-82.25459,48.14974
"Setophaga_ruticilla",-114.052849,54.180877
"Setophaga_ruticilla",-85.893349,14.402497
"Setophaga_ruticilla",-84.850762,15.675417
"Setophaga_ruticilla",-80.858055,45.96153
"Setophaga_ruticilla",-108.529624,47.621403
"Setophaga_ruticilla",-78.434999,40.49309
"Setophaga_ruticilla",-81.009163,48.644124
"Setophaga_ruticilla",-91.582729,35.250172
"Setophaga_ruticilla",-74.447179,42.396673
"Setophaga_ruticilla",-90.861955,16.25629
"Setophaga_ruticilla",-86.15726,49.4905
"Setophaga_ruticilla",-74.612446,41.894611
"Setophaga_ruticilla",-104.218788,34.431594
"Setophaga_ruticilla",-116.957959,56.57836
"Setophaga_ruticilla",-94.467101,44.286073
"Setophaga_ruticilla",-82.355865,38.332316
"Setophaga_ruticilla",-94.94668,43.192474
"Setophaga_ruticilla",-117.286147,48.788248
"Setophaga_ruticilla",-77.5,47.55
"Setophaga_ruticilla",-90.803204,43.942097
"Setophaga_ruticilla",-90.650098,46.352603
"Setophaga_ruticilla",-117.156136,46.86872
"Setophaga_ruticilla",-109.356666,32.005461
"Setophaga_ruticilla",-84.40865,43.232536
"Setophaga_ruticilla",-89.490209,48.034055
"Setophaga_ruticilla",-97.411056,48.412888
"Setophaga_ruticilla",-63.284962,45.735572
"Setophaga_ruticilla",-93.407103,17.828476
"Setophaga_ruticilla",-85.882745,39.195345
"Setophaga_ruticilla",-79.171386,34.191074
"Setophaga_ruticilla",-75.91866,36.518397
"Setophaga_ruticilla",-97.15682,33.004993
"Setophaga_ruticilla",-104.506525,46.02358
"Setophaga_ruticilla",-66.888847,44.601493
"Setophaga_ruticilla",-81.938868,40.800231
"Setophaga_ruticilla",-83.051054,45.585127
"Setophaga_ruticilla",-74.60836,46.592896
"Setophaga_ruticilla",-91.539617,42.287
"Setophaga_ruticilla",-101.62114,51.63935
"Setophaga_ruticilla",-66.097827,47.575773
"Setophaga_ruticilla",-66.87558,46.602371
"Setophaga_ruticilla",-72.012656,21.919638
"Setophaga_ruticilla",-63.325195,49.468124
"Setophaga_ruticilla",-96.475272,44.475175
"Setophaga_ruticilla",-65.91667,48.75
"Setophaga_ruticilla",-83.464508,33.309872
"Setophaga_ruticilla",-127,54.75
"Setophaga_ruticilla",-79.469511,40.151732
"Setophaga_ruticilla",-76.203598,44.79266
"Setophaga_ruticilla",-112.53091,46.977947
"Setophaga_ruticilla",-93.373291,31.397375
"Setophaga_ruticilla",-75.061483,5.999859
"Setophaga_ruticilla",-78.13013,45.044791
"Setophaga_ruticilla",-86.180061,36.979591
"Setophaga_ruticilla",-84.505463,38.015775
"Setophaga_ruticilla",-73.020233,42.871957
"Setophaga_ruticilla",-64.034672,45.019542
"Setophaga_ruticilla",-96.05683,49.792102
"Setophaga_ruticilla",-94.689102,30.67169
"Setophaga_ruticilla",-79.790268,47.062171
"Setophaga_ruticilla",-110.586465,47.452212
"Setophaga_ruticilla",-88.6401,43.45865
"Setophaga_ruticilla",-92.130323,16.235535
"Setophaga_ruticilla",-100.710608,49.680417
"Setophaga_ruticilla",-115.676516,54.125233
"Setophaga_ruticilla",-67.92585,44.607281
"Setophaga_ruticilla",-74.986828,35.228513
"Setophaga_ruticilla",-72.306604,44.29363
"Setophaga_ruticilla",-86.002994,34.957151
"Setophaga_ruticilla",-88.20837,35.336274
"Setophaga_ruticilla",-85.943734,46.465501
"Setophaga_ruticilla",-88.66569,50.35643
"Setophaga_ruticilla",-78.436648,45.574775
"Setophaga_ruticilla",-76.33333,47.83333
"Setophaga_ruticilla",-88.835947,46.484652
"Setophaga_ruticilla",-81.343488,41.698572
"Setophaga_ruticilla",-73.493517,10.611085
"Setophaga_ruticilla",-79.770721,34.99386
"Setophaga_ruticilla",-78.778114,42.865296
"Setophaga_ruticilla",-94.299667,36.550148
"Setophaga_ruticilla",-127.624483,55.293339
"Setophaga_ruticilla",-91.451254,17.960471
"Setophaga_ruticilla",-92.808437,15.656888
"Setophaga_ruticilla",-89.911499,48.070099
"Setophaga_ruticilla",-96.645737,49.389774
"Setophaga_ruticilla",-69.400901,44.772748
"Setophaga_ruticilla",-75.98,5.93
"Setophaga_ruticilla",-107.14909,44.718956
"Setophaga_ruticilla",-110.96775,49.040344
"Setophaga_ruticilla",-91.789138,29.842017
"Setophaga_ruticilla",-89.107618,16.76555
"Setophaga_ruticilla",-92.538024,45.518271
"Setophaga_ruticilla",-71.25,47.75
"Setophaga_ruticilla",-115.97227,49.68494
"Setophaga_ruticilla",-63.958272,46.478232
"Setophaga_ruticilla",-115.031812,47.910197
"Setophaga_ruticilla",-121.922836,47.664
"Setophaga_ruticilla",-78.112889,35.905111
"Setophaga_ruticilla",-79.235204,42.452587
"Setophaga_ruticilla",-78.527111,36.630654
"Setophaga_ruticilla",-96.011496,28.983216
"Setophaga_ruticilla",-89.535454,48.957642
"Setophaga_ruticilla",-83.159128,22.969653
"Setophaga_ruticilla",-101.674904,53.463917
"Setophaga_ruticilla",-88.596013,30.30475
"Setophaga_ruticilla",-66.06667,48.66667
"Setophaga_ruticilla",-86.560931,13.869584
"Setophaga_ruticilla",-98.667011,29.312512
"Setophaga_ruticilla",-79.433963,42.03154
"Setophaga_ruticilla",-68.380537,44.816672
"Setophaga_ruticilla",-96.05248,15.806459
"Setophaga_ruticilla",-88.767013,37.45651
"Setophaga_ruticilla",-81.107933,28.486186
"Setophaga_ruticilla",-84.39149,30.022314
"Setophaga_ruticilla",-65.561342,45.315521
"Setophaga_ruticilla",-79.91762,37.343929
"Setophaga_ruticilla",-110.745449,52.116099
"Setophaga_ruticilla",-92.036161,32.912594
"Setophaga_ruticilla",-103.920619,44.371747
"Setophaga_ruticilla",-117.518209,37.463056
"Setophaga_ruticilla",-93.552597,32.348244
"Setophaga_ruticilla",-87.523648,15.205899
"Setophaga_ruticilla",-81.797895,47.580638
"Setophaga_ruticilla",-86.412728,44.131402
"Setophaga_ruticilla",-97.315269,30.110519
"Setophaga_ruticilla",-109.919722,49.603056
"Setophaga_ruticilla",-87.03993,20.36236
"Setophaga_ruticilla",-78.066667,49.333333
"Setophaga_ruticilla",-64.938347,44.959993
"Setophaga_ruticilla",-87.906246,45.700485
"Setophaga_ruticilla",-79.982784,34.596209
"Setophaga_ruticilla",-84.938735,42.240525
"Setophaga_ruticilla",-94.358816,18.103716
"Setophaga_ruticilla",-71.73941,44.76401
"Setophaga_ruticilla",-81.604238,22.30793
"Setophaga_ruticilla",-61.510906,45.906494
"Setophaga_ruticilla",-86.288981,39.864755
"Setophaga_ruticilla",-90.53112,39.36891
"Setophaga_ruticilla",-101.605511,17.664051
"Setophaga_ruticilla",-83.73436,39.95907
"Setophaga_ruticilla",-87.4135,44.86445
"Setophaga_ruticilla",-71.95,47.066667
"Setophaga_ruticilla",-87.283041,40.877731
"Setophaga_ruticilla",-120.818882,54.957841
"Setophaga_ruticilla",-89.76496,41.58393
"Setophaga_ruticilla",-101.435761,51.245997
"Setophaga_ruticilla",-76.267304,42.775747
"Setophaga_ruticilla",-87.105446,34.909514
"Setophaga_ruticilla",-75.1585,39.59927
"Setophaga_ruticilla",-99.128673,47.440377
"Setophaga_ruticilla",-116.538395,57.416914
"Setophaga_ruticilla",-109.02432,48.5095
"Setophaga_ruticilla",-81.092209,46.883968
"Setophaga_ruticilla",-96.375756,19.55149
"Setophaga_ruticilla",-91.483326,45.828321
"Setophaga_ruticilla",-86.588918,49.11211
"Setophaga_ruticilla",-71.720141,44.304711
"Setophaga_ruticilla",-77.944799,43.315213
"Setophaga_ruticilla",-97.623347,20.108844
"Setophaga_ruticilla",-76.074657,46.221296
"Setophaga_ruticilla",-105.08308,34.98154
"Setophaga_ruticilla",-100.0576,47.6939
"Setophaga_ruticilla",-68.49375,48.47453
"Setophaga_ruticilla",-86.374447,48.71679
"Setophaga_ruticilla",-112.899559,27.29741
"Setophaga_ruticilla",-77.4714,50.5707
"Setophaga_ruticilla",-71.123946,48.795135
"Setophaga_ruticilla",-77.77329,37.510509
"Setophaga_ruticilla",-103.286462,42.087841
"Setophaga_ruticilla",-64.345809,45.094214
"Setophaga_ruticilla",-76.8381,41.664589
"Setophaga_ruticilla",-69.039233,45.877092
"Setophaga_ruticilla",-112.944603,53.505099
"Setophaga_ruticilla",-91.224675,48.133236
"Setophaga_ruticilla",-78.310547,24.507143
"Setophaga_ruticilla",-80.516231,49.307036
"Setophaga_ruticilla",-128.998795,55.28899
"Setophaga_ruticilla",-121.995985,56.462405
"Setophaga_ruticilla",-111.204127,57.256875
"Setophaga_ruticilla",-72.3,45.08333
"Setophaga_ruticilla",-99.099426,32.836328
"Setophaga_ruticilla",-93.651589,36.189932
"Setophaga_ruticilla",-99.59725,44.399546
"Setophaga_ruticilla",-78.670478,46.064426
"Setophaga_ruticilla",-96.615026,50.257656
"Setophaga_ruticilla",-71.515889,8.463373
"Setophaga_ruticilla",-78.051277,42.572021
"Setophaga_ruticilla",-113.877524,58.713871
"Setophaga_ruticilla",-91.433333,40.366667
"Setophaga_ruticilla",-81.46347,30.745198
"Setophaga_ruticilla",-97.594728,38.092688
"Setophaga_ruticilla",-90.546548,17.917922
"Setophaga_ruticilla",-62.126312,45.562877
"Setophaga_ruticilla",-89.24617,35.03725
"Setophaga_ruticilla",-68.614976,44.235133
"Setophaga_ruticilla",-102.003937,48.603177
"Setophaga_ruticilla",-117.420502,61.416149
"Setophaga_ruticilla",-119.207185,48.825387
"Setophaga_ruticilla",-67.839691,8.770373
"Setophaga_ruticilla",-89.147615,50.367091
"Setophaga_ruticilla",-65.96667,48.86667
"Setophaga_ruticilla",-87.188951,46.068732
"Setophaga_ruticilla",-101.335911,37.56454
"Setophaga_ruticilla",-115.961763,35.795067
"Setophaga_ruticilla",-91.678505,36.855536
"Setophaga_ruticilla",-63.415438,49.767078
"Setophaga_ruticilla",-81.981643,43.204222
"Setophaga_ruticilla",-95.950813,41.17762
"Setophaga_ruticilla",-67.39944,46.90004
"Setophaga_ruticilla",-87.361221,13.695359
"Setophaga_ruticilla",-108.60154,32.812775
"Setophaga_ruticilla",-126.11618,54.274046
"Setophaga_ruticilla",-70.379491,45.180676
"Setophaga_ruticilla",-98.74083,45.16866
"Setophaga_ruticilla",-95.545006,48.630867
"Setophaga_ruticilla",-91.825222,40.188158
"Setophaga_ruticilla",-118.115773,49.837472
"Setophaga_ruticilla",-114.256868,49.394306
"Setophaga_ruticilla",-95.772757,39.454953
"Setophaga_ruticilla",-93.00641,49.51755
"Setophaga_ruticilla",-77.687346,42.510364
"Setophaga_ruticilla",-122.474599,41.719216
"Setophaga_ruticilla",-87.69642,46.0042
"Setophaga_ruticilla",-87.668366,37.939308
"Setophaga_ruticilla",-117.081299,32.573453
"Setophaga_ruticilla",-78.818665,36.712829
"Setophaga_ruticilla",-71.592793,10.655674
"Setophaga_ruticilla",-61.46583,47.604167
"Setophaga_ruticilla",-111.48475,58.66584
"Setophaga_ruticilla",-88.776497,48.410599
"Setophaga_ruticilla",-75.996036,43.25258
"Setophaga_ruticilla",-95.349913,28.90931
"Setophaga_ruticilla",-87.88841,47.46881
"Setophaga_ruticilla",-95.348174,50.090123
"Setophaga_ruticilla",-111.39274,54.5432
"Setophaga_ruticilla",-103.042971,34.403024
"Setophaga_ruticilla",-96.510218,38.688258
"Setophaga_ruticilla",-81.551099,49.381385
"Setophaga_ruticilla",-96.687769,45.054077
"Setophaga_ruticilla",-64.499788,44.808269
"Setophaga_ruticilla",-106.920184,32.490724
"Setophaga_ruticilla",-66.148875,18.364769
"Setophaga_ruticilla",-86.707855,45.937483
"Setophaga_ruticilla",-68.466291,48.511797
"Setophaga_ruticilla",-86.063684,41.665336
"Setophaga_ruticilla",-88.155724,20.608163
"Setophaga_ruticilla",-73.931243,18.094785
"Setophaga_ruticilla",-86.029987,39.10677
"Setophaga_ruticilla",-95.026309,48.886956
"Setophaga_ruticilla",-125.052773,54.047973
"Setophaga_ruticilla",-116.580219,34.044694
"Setophaga_ruticilla",-78.007511,37.54342
"Setophaga_ruticilla",-77.97452,33.853649
"Setophaga_ruticilla",-123.126011,54.026655
"Setophaga_ruticilla",-117.014644,58.427458
"Setophaga_ruticilla",-79.55948,33.72517
"Setophaga_ruticilla",-88.924477,42.248687
"Setophaga_ruticilla",-83.16117,37.454105
"Setophaga_ruticilla",-69.455683,44.200857
"Setophaga_ruticilla",-97.352963,37.704524
"Setophaga_ruticilla",-81.442251,28.629427
"Setophaga_ruticilla",-94.78949,39.15212
"Setophaga_ruticilla",-105.249027,53.727207
"Setophaga_ruticilla",-74.603371,42.253666
"Setophaga_ruticilla",-88.900423,43.499383
"Setophaga_ruticilla",-97.40501,31.061684
"Setophaga_ruticilla",-79.314594,44.324155
"Setophaga_ruticilla",-78.49414,42.09006
"Setophaga_ruticilla",-93.929749,44.855212
"Setophaga_ruticilla",-83.262357,39.983706
"Setophaga_ruticilla",-115.119504,44.320479
