"sp","decimallongitude","decimallatitude"
"Sialia_mexicana","-116.745529","34.27495"
"Sialia_mexicana","-115.645094","36.318885"
"Sialia_mexicana","-122.394562","37.941533"
"Sialia_mexicana","-105.901101","35.739317"
"Sialia_mexicana","-116.54491","33.7612"
"Sialia_mexicana","-117.866667","34.583333"
"Sialia_mexicana","-106.02258","35.89283"
"Sialia_mexicana","-116.590819","33.03932"
"Sialia_mexicana","-106.640763","35.194109"
"Sialia_mexicana","-104.078293","30.674534"
"Sialia_mexicana","-118.227675","35.36914"
"Sialia_mexicana","-122.462239","40.236229"
"Sialia_mexicana","-120.092969","34.653262"
"Sialia_mexicana","-121.276746","45.24452"
"Sialia_mexicana","-120.196835","37.753208"
"Sialia_mexicana","-118.121171","34.180186"
"Sialia_mexicana","-120.65663","38.40468"
"Sialia_mexicana","-118.390654","35.446411"
"Sialia_mexicana","-118.305307","35.668611"
"Sialia_mexicana","-117.804283","33.927517"
"Sialia_mexicana","-121.576402","44.296144"
"Sialia_mexicana","-123.21856","39.161475"
"Sialia_mexicana","-119.069738","34.443654"
"Sialia_mexicana","-122.978554","39.113546"
"Sialia_mexicana","-121.30022","36.709698"
"Sialia_mexicana","-122.370164","38.613316"
"Sialia_mexicana","-123.012321","38.791971"
"Sialia_mexicana","-117.085794","32.554293"
"Sialia_mexicana","-117.622327","33.517978"
"Sialia_mexicana","-110.88615","31.73994"
"Sialia_mexicana","-121.760209","36.508429"
"Sialia_mexicana","-112.437323","34.466271"
"Sialia_mexicana","-121.987381","37.97783"
"Sialia_mexicana","-121.80224","37.44926"
"Sialia_mexicana","-120.125219","37.409754"
"Sialia_mexicana","-121.350563","38.55345"
"Sialia_mexicana","-118.375797","34.26275"
"Sialia_mexicana","-121.15853","36.7485"
"Sialia_mexicana","-119.477327","49.925215"
"Sialia_mexicana","-117.889851","34.352046"
"Sialia_mexicana","-106.39283","35.909807"
"Sialia_mexicana","-112.154872","37.685946"
"Sialia_mexicana","-104.779653","39.368589"
"Sialia_mexicana","-118.717486","34.097114"
"Sialia_mexicana","-118.840596","36.28803"
"Sialia_mexicana","-116.912082","33.341642"
"Sialia_mexicana","-119.857278","34.418912"
"Sialia_mexicana","-121.184898","37.463357"
"Sialia_mexicana","-122.718143","37.997313"
"Sialia_mexicana","-119.861757","39.360829"
"Sialia_mexicana","-122.931418","38.093773"
"Sialia_mexicana","-118.433626","34.053202"
"Sialia_mexicana","-117.324913","33.957507"
"Sialia_mexicana","-114.023237","37.143419"
"Sialia_mexicana","-122.716019","42.18038"
"Sialia_mexicana","-112.635271","34.57621"
"Sialia_mexicana","-121.72518","37.171554"
"Sialia_mexicana","-117.942095","33.680283"
"Sialia_mexicana","-120.895743","38.143265"
"Sialia_mexicana","-112.184315","37.60852"
"Sialia_mexicana","-122.05876","39.88666"
"Sialia_mexicana","-108.736528","38.952814"
"Sialia_mexicana","-122.282792","37.466335"
"Sialia_mexicana","-116.559666","34.053399"
"Sialia_mexicana","-114.09352","46.54039"
"Sialia_mexicana","-117.00726","46.219048"
"Sialia_mexicana","-117.663944","34.342662"
"Sialia_mexicana","-117.020917","33.015825"
"Sialia_mexicana","-120.69706","46.908588"
"Sialia_mexicana","-119.270636","34.439611"
"Sialia_mexicana","-111.557236","33.55284"
"Sialia_mexicana","-120.025522","37.536022"
"Sialia_mexicana","-123.485126","38.729372"
"Sialia_mexicana","-112.94956","37.305477"
"Sialia_mexicana","-117.676581","34.210322"
"Sialia_mexicana","-121.535912","36.821104"
"Sialia_mexicana","-112.836424","37.238426"
"Sialia_mexicana","-120.957957","38.824381"
"Sialia_mexicana","-117.080526","33.061445"
"Sialia_mexicana","-117.262917","33.592887"
"Sialia_mexicana","-117.703292","34.08341"
"Sialia_mexicana","-123.06076","44.808447"
"Sialia_mexicana","-118.342507","33.828332"
"Sialia_mexicana","-106.681361","35.093077"
"Sialia_mexicana","-106.19158","35.06145"
"Sialia_mexicana","-121.146412","36.492606"
"Sialia_mexicana","-119.866111","35.313056"
"Sialia_mexicana","-117.691523","48.4738"
"Sialia_mexicana","-122.145792","40.401428"
"Sialia_mexicana","-116.930247","34.231346"
"Sialia_mexicana","-120.971339","36.616957"
"Sialia_mexicana","-120.910923","37.594722"
"Sialia_mexicana","-106.34124","34.957907"
"Sialia_mexicana","-111.051607","31.706848"
"Sialia_mexicana","-119.857986","37.876954"
"Sialia_mexicana","-121.0176","38.017"
"Sialia_mexicana","-110.672042","31.457954"
"Sialia_mexicana","-112.081661","37.624293"
"Sialia_mexicana","-105.383354","39.510307"
"Sialia_mexicana","-118.165641","34.151502"
"Sialia_mexicana","-122.899152","42.52466"
"Sialia_mexicana","-116.231017","32.712769"
"Sialia_mexicana","-122.948119","42.47701"
"Sialia_mexicana","-119.480191","49.0242"
"Sialia_mexicana","-107.811627","34.969848"
"Sialia_mexicana","-123.201107","45.652322"
"Sialia_mexicana","-122.179862","37.361206"
"Sialia_mexicana","-115.53346","45.242307"
"Sialia_mexicana","-104.86378","39.385757"
"Sialia_mexicana","-122.289096","38.3595"
