"sp","decimallongitude","decimallatitude"
"Sitta_pygmaea","-105.511619","40.36673"
"Sitta_pygmaea","-122.21715","37.175056"
"Sitta_pygmaea","-120.495388","49.385442"
"Sitta_pygmaea","-122.471316","37.790218"
"Sitta_pygmaea","-122.206807","37.165549"
"Sitta_pygmaea","-105.578594","40.331895"
"Sitta_pygmaea","-122.57578","37.86474"
"Sitta_pygmaea","-123.781929","39.30455"
"Sitta_pygmaea","-106.302895","35.88081"
"Sitta_pygmaea","-117.9345","34.35134"
"Sitta_pygmaea","-117.421737","47.513564"
"Sitta_pygmaea","-105.296423","40.013203"
"Sitta_pygmaea","-121.98303","37.000983"
"Sitta_pygmaea","-109.21895","31.934813"
"Sitta_pygmaea","-122.391772","37.529264"
"Sitta_pygmaea","-120.3333","39.6667"
"Sitta_pygmaea","-122.713487","37.918214"
"Sitta_pygmaea","-105.327387","40.264464"
"Sitta_pygmaea","-121.929016","36.5626"
"Sitta_pygmaea","-122.040018","36.955572"
"Sitta_pygmaea","-112.144575","36.806742"
"Sitta_pygmaea","-117.207384","46.820737"
"Sitta_pygmaea","-122.18667","37.313354"
"Sitta_pygmaea","-122.315227","37.588646"
"Sitta_pygmaea","-122.45169","38.57075"
"Sitta_pygmaea","-119.564767","49.311514"
"Sitta_pygmaea","-110.739915","32.419604"
"Sitta_pygmaea","-119.981646","34.736492"
"Sitta_pygmaea","-110.829735","32.420834"
"Sitta_pygmaea","-105.4101","40.2504"
"Sitta_pygmaea","-117.307701","47.775803"
"Sitta_pygmaea","-111.94203","46.48392"
"Sitta_pygmaea","-105.4037","39.8431"
"Sitta_pygmaea","-112.1412","36.05505"
"Sitta_pygmaea","-116.92131","46.945106"
"Sitta_pygmaea","-119.099056","34.812795"
"Sitta_pygmaea","-106.58825","35.82756"
"Sitta_pygmaea","-118.481921","35.062883"
"Sitta_pygmaea","-105.227463","39.730477"
"Sitta_pygmaea","-112.18709","37.593038"
"Sitta_pygmaea","-122.16781","37.459"
"Sitta_pygmaea","-112.455142","34.478791"
"Sitta_pygmaea","-122.26912","37.143009"
"Sitta_pygmaea","-117.704717","34.378789"
"Sitta_pygmaea","-117.268581","34.242601"
"Sitta_pygmaea","-121.925716","36.492143"
"Sitta_pygmaea","-122.482538","37.509074"
"Sitta_pygmaea","-105.352557","39.918081"
"Sitta_pygmaea","-105.43032","38.11709"
"Sitta_pygmaea","-122.716857","38.833046"
"Sitta_pygmaea","-119.284914","50.228417"
"Sitta_pygmaea","-104.86334","38.77948"
"Sitta_pygmaea","-119.245539","49.023891"
"Sitta_pygmaea","-121.103212","35.567733"
"Sitta_pygmaea","-113.883214","35.111156"
"Sitta_pygmaea","-112.942457","37.213378"
"Sitta_pygmaea","-118.169145360979","37.5337298554794"
"Sitta_pygmaea","-119.531389","49.89"
"Sitta_pygmaea","-107.799911","33.473621"
"Sitta_pygmaea","-119.401999","50.021898"
"Sitta_pygmaea","-112.052537","36.240881"
"Sitta_pygmaea","-111.696324","35.088538"
"Sitta_pygmaea","-121.818702","36.867708"
"Sitta_pygmaea","-104.719144","39.008563"
"Sitta_pygmaea","-119.820438","38.773104"
"Sitta_pygmaea","-119.996098","39.513841"
"Sitta_pygmaea","-120.965309","39.934585"
"Sitta_pygmaea","-109.581392","34.141171"
"Sitta_pygmaea","-109.9539","34.138714"
"Sitta_pygmaea","-121.919632","42.300015"
"Sitta_pygmaea","-121.554139","44.292657"
"Sitta_pygmaea","-116.894274","34.252605"
"Sitta_pygmaea","-107.841111","37.301447"
"Sitta_pygmaea","-116.954036","47.710648"
"Sitta_pygmaea","-119.336243","48.158757"
"Sitta_pygmaea","-119.217862","50.295763"
"Sitta_pygmaea","-116.963174","34.092491"
"Sitta_pygmaea","-116.566812","32.904334"
"Sitta_pygmaea","-117.208237","47.620176"
"Sitta_pygmaea","-105.275962","39.665505"
"Sitta_pygmaea","-119.838631","39.392246"
"Sitta_pygmaea","-120.170517","48.46484"
"Sitta_pygmaea","-123.801945","39.474105"
"Sitta_pygmaea","-105.830998","35.688045"
"Sitta_pygmaea","-122.405301","37.802827"
"Sitta_pygmaea","-104.80153","44.48688"
"Sitta_pygmaea","-120.761824","46.902909"
"Sitta_pygmaea","-105.123711","38.055391"
"Sitta_pygmaea","-121.782915","42.21945"
"Sitta_pygmaea","-113.454866","37.372886"
"Sitta_pygmaea","-111.17125","34.645707"
"Sitta_pygmaea","-110.564475","32.194427"
"Sitta_pygmaea","-118.3134","35.423744"
"Sitta_pygmaea","-120.629834","36.359666"
"Sitta_pygmaea","-109.897532","34.12827"
"Sitta_pygmaea","-108.15525","32.923708"
"Sitta_pygmaea","-120.954237","47.191856"
"Sitta_pygmaea","-120.94826","39.93669"
"Sitta_pygmaea","-116.770248","34.162386"
"Sitta_pygmaea","-120.055271","38.938323"
"Sitta_pygmaea","-121.322397","44.122738"
"Sitta_pygmaea","-112.214484","36.061138"
"Sitta_pygmaea","-103.803505","44.011791"
"Sitta_pygmaea","-120.971489","40.431269"
"Sitta_pygmaea","-104.731008","39.130705"
"Sitta_pygmaea","-111.26627","34.422974"
"Sitta_pygmaea","-122.409668","38.558587"
"Sitta_pygmaea","-107.575893","33.83834"
"Sitta_pygmaea","-108.696812","33.401013"
"Sitta_pygmaea","-118.154097","48.352713"
"Sitta_pygmaea","-119.29987","34.635069"
"Sitta_pygmaea","-120.94465","40.57416"
"Sitta_pygmaea","-111.68159","35.01837"
"Sitta_pygmaea","-112.119332","34.691419"
"Sitta_pygmaea","-110.8686","31.70645"
"Sitta_pygmaea","-117.554183","47.77122"
"Sitta_pygmaea","-116.728501","33.753492"
"Sitta_pygmaea","-121.719267","44.376673"
"Sitta_pygmaea","-123.494568","38.732661"
"Sitta_pygmaea","-122.809794","38.06013"
"Sitta_pygmaea","-109.458283","34.0101"
"Sitta_pygmaea","-118.242416","48.579219"
"Sitta_pygmaea","-111.578586","35.205604"
"Sitta_pygmaea","-121.384077","44.070382"
"Sitta_pygmaea","-121.768519","37.005077"
"Sitta_pygmaea","-104.580236","39.357023"
"Sitta_pygmaea","-120.502966","39.812776"
"Sitta_pygmaea","-113.142494","36.427622"
"Sitta_pygmaea","-105.412375","39.488261"
"Sitta_pygmaea","-105.128649","38.310826"
"Sitta_pygmaea","-115.427376","36.135349"
"Sitta_pygmaea","-109.544377","33.83449"
"Sitta_pygmaea","-112.346749","36.68096"
"Sitta_pygmaea","-109.550263","33.990817"
"Sitta_pygmaea","-112.225814","37.579542"
"Sitta_pygmaea","-106.094343","39.623487"
"Sitta_pygmaea","-114.076253","46.555363"
"Sitta_pygmaea","-120.19798","39.99085"
"Sitta_pygmaea","-120.43052","47.39353"
"Sitta_pygmaea","-117.707884","47.456791"
"Sitta_pygmaea","-114.139709","48.200033"
"Sitta_pygmaea","-119.166278","37.909625"
"Sitta_pygmaea","-110.53887","32.20439"
"Sitta_pygmaea","-118.22319","35.334173"
"Sitta_pygmaea","-116.606655","32.944725"
"Sitta_pygmaea","-117.68911","47.602203"
"Sitta_pygmaea","-119.091089","37.767712"
"Sitta_pygmaea","-122.853928","38.118622"
"Sitta_pygmaea","-121.066533","42.942654"
"Sitta_pygmaea","-118.905772","37.380213"
"Sitta_pygmaea","-117.193565","34.248419"
"Sitta_pygmaea","-119.714335","34.495572"
"Sitta_pygmaea","-119.605059","49.825401"
"Sitta_pygmaea","-105.986782","36.655411"
"Sitta_pygmaea","-118.786583","48.014042"
"Sitta_pygmaea","-120.751934","47.181196"
"Sitta_pygmaea","-119.003993","37.915795"
"Sitta_pygmaea","-105.420222","35.694004"
"Sitta_pygmaea","-117.857895","47.340219"
"Sitta_pygmaea","-118.06174","47.78237"
"Sitta_pygmaea","-105.331214","40.623515"
"Sitta_pygmaea","-109.225896","38.617836"
"Sitta_pygmaea","-115.659401","36.27327"
"Sitta_pygmaea","-119.085274","34.841211"
"Sitta_pygmaea","-120.71834","40.73434"
"Sitta_pygmaea","-106.360054","35.166079"
"Sitta_pygmaea","-108.259492","37.401937"
"Sitta_pygmaea","-119.580581","48.365274"
"Sitta_pygmaea","-120.229568","39.319425"
"Sitta_pygmaea","-120.683221","47.551995"
"Sitta_pygmaea","-120.168161","39.867394"
"Sitta_pygmaea","-119.75007","37.702604"
"Sitta_pygmaea","-105.497434","40.580169"
"Sitta_pygmaea","-116.784636","47.454346"
"Sitta_pygmaea","-113.043566","37.418163"
"Sitta_pygmaea","-105.725821","39.353779"
"Sitta_pygmaea","-104.764428","39.348672"
"Sitta_pygmaea","-116.749692","47.672425"
"Sitta_pygmaea","-110.211467","34.346628"
"Sitta_pygmaea","-110.801891","34.07828"
"Sitta_pygmaea","-105.595518","35.763912"
"Sitta_pygmaea","-115.947593","44.084022"
"Sitta_pygmaea","-120.353594","48.557765"
"Sitta_pygmaea","-102.676334","42.825876"
"Sitta_pygmaea","-121.503929","43.670221"
"Sitta_pygmaea","-121.479193","40.625337"
"Sitta_pygmaea","-105.707255","39.081155"
"Sitta_pygmaea","-112.292633","37.631635"
"Sitta_pygmaea","-117.645314","48.574676"
"Sitta_pygmaea","-105.59375","40.770833"
"Sitta_pygmaea","-119.188817","48.34935"
"Sitta_pygmaea","-120.34894","39.575521"
"Sitta_pygmaea","-119.331124","50.212663"
"Sitta_pygmaea","-106.429024","35.208459"
"Sitta_pygmaea","-105.094303","39.058434"
"Sitta_pygmaea","-104.668336","39.071321"
"Sitta_pygmaea","-103.564618","43.847605"
"Sitta_pygmaea","-119.124584","48.618272"
"Sitta_pygmaea","-117.691383","48.137683"
"Sitta_pygmaea","-122.030296","42.131792"
"Sitta_pygmaea","-114.319668","48.320267"
