"sp","decimallongitude","decimallatitude"
"Spinus_psaltria","-98.728595","29.842399"
"Spinus_psaltria","-121.387314","36.849632"
"Spinus_psaltria","-121.330793","38.695904"
"Spinus_psaltria","-110.879688","31.725594"
"Spinus_psaltria","-122.084536","37.71427"
"Spinus_psaltria","-121.02928","38.22389"
"Spinus_psaltria","-122.745542","45.473971"
"Spinus_psaltria","-122.342033","37.147182"
"Spinus_psaltria","-121.792502","42.184551"
"Spinus_psaltria","-117.884459","33.888123"
"Spinus_psaltria","-121.541233","37.631363"
"Spinus_psaltria","-110.712163","31.46619"
"Spinus_psaltria","-120.046015","37.475444"
"Spinus_psaltria","-122.352505","37.909805"
"Spinus_psaltria","-121.501172","38.562445"
"Spinus_psaltria","-117.35707","34.17626"
"Spinus_psaltria","-106.6663","35.21513"
"Spinus_psaltria","-121.490986","37.389392"
"Spinus_psaltria","-117.93006","33.8739"
"Spinus_psaltria","-118.295308","34.280533"
"Spinus_psaltria","-105.920187","35.700876"
"Spinus_psaltria","-122.786465","42.256221"
"Spinus_psaltria","-122.5781","42.141488"
"Spinus_psaltria","-118.58621","37.35145"
"Spinus_psaltria","-111.730614","40.365381"
"Spinus_psaltria","-118.44818","34.32076"
"Spinus_psaltria","-122.51485","38.28923"
"Spinus_psaltria","-122.004261","36.974942"
"Spinus_psaltria","-105.160612","39.635117"
"Spinus_psaltria","-82.74971","8.835545"
"Spinus_psaltria","-122.312055","38.209289"
"Spinus_psaltria","-118.454182","34.052393"
"Spinus_psaltria","-103.879933","35.62439"
"Spinus_psaltria","-122.353041","38.395862"
"Spinus_psaltria","-112.238388","41.046541"
"Spinus_psaltria","-105.281892","40.002326"
"Spinus_psaltria","-119.838771","37.371074"
"Spinus_psaltria","-117.801928","33.617681"
"Spinus_psaltria","-123.215404","39.143774"
"Spinus_psaltria","-121.742261","36.487102"
"Spinus_psaltria","-97.78588","30.35701"
"Spinus_psaltria","-114.050778","34.271368"
"Spinus_psaltria","-117.196236","34.126381"
"Spinus_psaltria","-98.145332","27.208381"
"Spinus_psaltria","-123.040928","44.88868"
"Spinus_psaltria","-115.448204","36.081365"
"Spinus_psaltria","-122.568452","38.099845"
"Spinus_psaltria","-115.394452","33.679225"
"Spinus_psaltria","-118.342389","33.826659"
"Spinus_psaltria","-111.889294","40.963557"
"Spinus_psaltria","-97.705464","30.243912"
"Spinus_psaltria","-121.129663","38.681142"
"Spinus_psaltria","-110.97758","32.141415"
"Spinus_psaltria","-98.224718","26.265037"
"Spinus_psaltria","-122.325501068443","37.562888687518"
"Spinus_psaltria","-122.128487","38.012424"
"Spinus_psaltria","-122.649903","45.511183"
"Spinus_psaltria","-116.495676","32.826519"
"Spinus_psaltria","-123.18551","39.179332"
"Spinus_psaltria","-118.088596","34.158974"
"Spinus_psaltria","-122.105559","37.227697"
"Spinus_psaltria","-98.242106","29.609581"
"Spinus_psaltria","-117.542038","33.663782"
"Spinus_psaltria","-97.684121","27.319696"
"Spinus_psaltria","-121.9244","36.6179"
"Spinus_psaltria","-106.706694","35.16832"
"Spinus_psaltria","-98.460146","29.457839"
