"sp","decimallongitude","decimallatitude"
"Sylvilagus_audubonii","-116.99451","36.96922"
"Sylvilagus_audubonii","-104.068381","40.130377"
"Sylvilagus_audubonii","-105.029027","39.86325"
"Sylvilagus_audubonii","-119.15008","38.014925"
"Sylvilagus_audubonii","-118.581978","37.653362"
"Sylvilagus_audubonii","-117.742935328132","33.5145472125898"
"Sylvilagus_audubonii","-117.027365","32.696025"
"Sylvilagus_audubonii","-111.216151","32.445515"
"Sylvilagus_audubonii","-117.145783","32.73167"
"Sylvilagus_audubonii","-109.088516","31.868593"
"Sylvilagus_audubonii","-111.944739","33.46196"
"Sylvilagus_audubonii","-117.68139","33.77333"
"Sylvilagus_audubonii","-110.685487","32.218478"
"Sylvilagus_audubonii","-110.822902","32.221628"
"Sylvilagus_audubonii","-121.182492","36.490566"
"Sylvilagus_audubonii","-116.600592856872","33.0700059057073"
"Sylvilagus_audubonii","-116.422354","33.369366"
"Sylvilagus_audubonii","-121.227627","36.699377"
"Sylvilagus_audubonii","-111.052447","32.308806"
"Sylvilagus_audubonii","-117.010811","33.005603"
"Sylvilagus_audubonii","-110.77417","31.82583"
"Sylvilagus_audubonii","-117.238395","32.88118"
"Sylvilagus_audubonii","-121.780085","38.5141"
"Sylvilagus_audubonii","-107.760063","32.282669"
"Sylvilagus_audubonii","-121.310078","38.615725"
"Sylvilagus_audubonii","-110.269638","31.471108"
"Sylvilagus_audubonii","-118.779757","34.025922"
"Sylvilagus_audubonii","-115.426263","36.135671"
"Sylvilagus_audubonii","-100.745235","20.914449"
"Sylvilagus_audubonii","-119.032397","34.16465"
"Sylvilagus_audubonii","-117.890663","33.650318"
"Sylvilagus_audubonii","-101.12","27.848333"
"Sylvilagus_audubonii","-119.863329","35.189782"
"Sylvilagus_audubonii","-119.106762","35.35602"
"Sylvilagus_audubonii","-121.190093","36.505661"
"Sylvilagus_audubonii","-119.990585","38.923575"
"Sylvilagus_audubonii","-118.996896","37.64429"
"Sylvilagus_audubonii","-117.712132","34.113322"
"Sylvilagus_audubonii","-102.725947","30.226225"
"Sylvilagus_audubonii","-111.414298","35.875503"
"Sylvilagus_audubonii","-119.762371","39.243986"
"Sylvilagus_audubonii","-107.111715","47.547366"
"Sylvilagus_audubonii","-111.768242","33.235672"
"Sylvilagus_audubonii","-119.11036","36.723617"
"Sylvilagus_audubonii","-117.978101","34.156655"
"Sylvilagus_audubonii","-109.779669","35.06648"
"Sylvilagus_audubonii","-117.582196643123","33.5142763146003"
"Sylvilagus_audubonii","-117.753495","33.799886"
"Sylvilagus_audubonii","-110.33861","31.63944"
"Sylvilagus_audubonii","-116.039692","34.128317"
"Sylvilagus_audubonii","-110.345603","31.83618"
"Sylvilagus_audubonii","-117.996173","33.97202"
"Sylvilagus_audubonii","-106.576979","35.216887"
"Sylvilagus_audubonii","-114.436256361878","34.5909772506553"
"Sylvilagus_audubonii","-101.638106","34.935885"
"Sylvilagus_audubonii","-119.278618","34.439651"
"Sylvilagus_audubonii","-117.416614","33.948201"
"Sylvilagus_audubonii","-116.85653","32.828326"
"Sylvilagus_audubonii","-118.61481","34.250636"
"Sylvilagus_audubonii","-116.354659","33.238504"
"Sylvilagus_audubonii","-118.382835","34.269134"
"Sylvilagus_audubonii","-110.954167","32.015556"
"Sylvilagus_audubonii","-102.264477","21.921864"
"Sylvilagus_audubonii","-116.617249355972","31.8667096881759"
"Sylvilagus_audubonii","-118.430595","33.965782"
"Sylvilagus_audubonii","-118.658481","34.135975"
"Sylvilagus_audubonii","-121.238953","36.871331"
"Sylvilagus_audubonii","-117.254934","32.91913"
"Sylvilagus_audubonii","-117.31290827367","34.5103631658216"
