"sp","decimallongitude","decimallatitude"
"Synaptomys_borealis","-151.671785","59.670798"
"Synaptomys_borealis","-154.871259","59.754894"
"Synaptomys_borealis","-105.941825","53.879337"
"Synaptomys_borealis","-143.527297","62.574721"
"Synaptomys_borealis","-143.574509","62.587404"
"Synaptomys_borealis","-155.776416","58.553809"
"Synaptomys_borealis","-154.278415","58.262823"
"Synaptomys_borealis","-133.199418391055","56.9833465838616"
"Synaptomys_borealis","-66.82","54.8"
"Synaptomys_borealis","-66.68","54.98"
"Synaptomys_borealis","-122.849032","50.018228"
"Synaptomys_borealis","-124.045","52.338611"
"Synaptomys_borealis","-123.028509","50.124268"
"Synaptomys_borealis","-120.95873","49.320419"
"Synaptomys_borealis","-125.316667","52.466667"
"Synaptomys_borealis","-118.333333","52.95"
"Synaptomys_borealis","-117.258056","52.041111"
"Synaptomys_borealis","-118.343056","53.370278"
"Synaptomys_borealis","-116.486577","51.395635"
"Synaptomys_borealis","-117.533722","52.664333"
"Synaptomys_borealis","-128.22","65.883"
"Synaptomys_borealis","-94.183333","58.783333"
"Synaptomys_borealis","-94.083333","58.75"
"Synaptomys_borealis","-70.25","58.333333"
"Synaptomys_borealis","-68.366667","56.083333"
"Synaptomys_borealis","-87.633333","55.983333"
"Synaptomys_borealis","-86.966667","55.916667"
"Synaptomys_borealis","-87.616667","55.983333"
"Synaptomys_borealis","-85.083333","55.283333"
"Synaptomys_borealis","-84.916667","54.483333"
"Synaptomys_borealis","-84.55","54.383333"
"Synaptomys_borealis","-64.433333","54.15"
"Synaptomys_borealis","-125.75","54.05"
"Synaptomys_borealis","-76.483333","54.033333"
"Synaptomys_borealis","-123.966667","53.816667"
"Synaptomys_borealis","-106.416667","53.833333"
"Synaptomys_borealis","-105.9","53.6"
"Synaptomys_borealis","-123.566667","53.883333"
"Synaptomys_borealis","-124.15","53.916667"
"Synaptomys_borealis","-113.016667","53.35"
"Synaptomys_borealis","-122.266667","53.033333"
"Synaptomys_borealis","-122.95","52.983333"
"Synaptomys_borealis","-118.116667","52.866667"
"Synaptomys_borealis","-119.266667","52.733333"
"Synaptomys_borealis","-124.033333","52.4"
"Synaptomys_borealis","-80.65","51.283333"
"Synaptomys_borealis","-118.066667","51.1"
"Synaptomys_borealis","-115.9","51.083333"
"Synaptomys_borealis","-79.716667","51.066667"
"Synaptomys_borealis","-67.6","49.316667"
"Synaptomys_borealis","-94.3","48.8"
"Synaptomys_borealis","-148.239567207778","60.552535585701"
"Synaptomys_borealis","-146.458963687952","60.38144932523"
"Synaptomys_borealis","-145.759515448153","60.542297389532"
"Synaptomys_borealis","-132.855122364641","57.0310407904759"
"Synaptomys_borealis","-133.774080890393","58.0054867846212"
