"sp","decimallongitude","decimallatitude"
"Tamias_minimus","-103.532662896617","43.9024805180127"
"Tamias_minimus","-127.206316","61.959515"
"Tamias_minimus","-105.5634","40.20527"
"Tamias_minimus","-105.43605","40.2339"
"Tamias_minimus","-105.132774102134","36.565273364754"
"Tamias_minimus","-105.937801","35.686974"
"Tamias_minimus","-105.68","40.4"
"Tamias_minimus","-105.287317329082","40.00268651288"
"Tamias_minimus","-106.1735","39.512"
"Tamias_minimus","-112.47821","40.29825"
"Tamias_minimus","-112.52874","40.50875"
"Tamias_minimus","-113.533333","53.55"
"Tamias_minimus","-117.651386","49.313507"
"Tamias_minimus","-117.0028119181","39.4751200253986"
"Tamias_minimus","-118.73826477863","41.6926009723189"
"Tamias_minimus","-105.59322","39.642816"
"Tamias_minimus","-84.683333","46.95"
"Tamias_minimus","-103.483333","51.066667"
"Tamias_minimus","-113.766667","52.35"
"Tamias_minimus","-136.3","62.083333"
"Tamias_minimus","-117.3","56.2"
"Tamias_minimus","-110.433889","49.605"
"Tamias_minimus","-112.633333","56.35"
"Tamias_minimus","-95.533333","49.983333"
"Tamias_minimus","-112.7","51.466667"
"Tamias_minimus","-114.983333","50.6"
"Tamias_minimus","-100.15","49.066667"
"Tamias_minimus","-104.766667","55.6"
"Tamias_minimus","-94.216667","56.5"
"Tamias_minimus","-101.653220800629","54.6874163014695"
"Tamias_minimus","-114.3","53.916667"
"Tamias_minimus","-132.75","60.15"
"Tamias_minimus","-128.4","62.033333"
"Tamias_minimus","-115.85","52.25"
"Tamias_minimus","-130.466667","63.516667"
"Tamias_minimus","-127.4","64.208333"
"Tamias_minimus","-84.783333","46.983333"
"Tamias_minimus","-88.816667","48.333333"
"Tamias_minimus","-132.916667","60.233333"
"Tamias_minimus","-135.23815","60.684342"
"Tamias_minimus","-115","60.516667"
"Tamias_minimus","-111.466667","59.516667"
"Tamias_minimus","-127.612778","62.244444"
"Tamias_minimus","-111.9","60.017"
"Tamias_minimus","-99.283333","49.6"
"Tamias_minimus","-112.75","51.566667"
"Tamias_minimus","-128.816667","57.7"
"Tamias_minimus","-95","49.766667"
"Tamias_minimus","-110.333333","53.533333"
"Tamias_minimus","-134.366667","60.275"
"Tamias_minimus","-136.383333","62.183333"
"Tamias_minimus","-113.95","55.316667"
"Tamias_minimus","-123.033333","54.983333"
"Tamias_minimus","-114.766667","54.333333"
"Tamias_minimus","-113.066667","52.333333"
"Tamias_minimus","-136.933333","60.116667"
"Tamias_minimus","-101.25","53.816667"
"Tamias_minimus","-100.833333","54.25"
"Tamias_minimus","-121.6","55.683333"
"Tamias_minimus","-138.4","61.033333"
"Tamias_minimus","-82.433333","49.416667"
"Tamias_minimus","-114.783333","50.75"
"Tamias_minimus","-108.533333","54.616667"
"Tamias_minimus","-112.566667","52.75"
"Tamias_minimus","-102.583333","50.366667"
"Tamias_minimus","-115.55","51.75"
"Tamias_minimus","-101.333333","53.583333"
"Tamias_minimus","-99.6","49.716667"
"Tamias_minimus","-109.85","49.433333"
"Tamias_minimus","-85.583333","49.216667"
"Tamias_minimus","-133.633333","60.483333"
"Tamias_minimus","-103.666667","50.533333"
"Tamias_minimus","-111.933333","52.45"
"Tamias_minimus","-117.583333","56.1"
"Tamias_minimus","-132.616667","61.9"
"Tamias_minimus","-129.833333","59.283333"
"Tamias_minimus","-94.183333","57.383333"
"Tamias_minimus","-125.35","61.533333"
"Tamias_minimus","-134.25","60.333333"
"Tamias_minimus","-87.3019258626243","48.8298815648321"
"Tamias_minimus","-113.9","49.05"
"Tamias_minimus","-124.9","58.75"
"Tamias_minimus","-101.1","52.683333"
"Tamias_minimus","-114.033333","53.016667"
"Tamias_minimus","-99.85417","54.7811099991117"
"Tamias_minimus","-114.65","51.8"
"Tamias_minimus","-116.466667","53.05"
"Tamias_minimus","-94.066667","49.783333"
"Tamias_minimus","-101","49.133333"
"Tamias_minimus","-134.7","60.166667"
"Tamias_minimus","-111","52.883333"
"Tamias_minimus","-109.883333","49.566667"
"Tamias_minimus","-102.55","51.15"
"Tamias_minimus","-116.116667","52.833333"
"Tamias_minimus","-133.684959103207","59.5996819135645"
"Tamias_minimus","-115.35","51.766667"
"Tamias_minimus","-97.683333","55.316667"
"Tamias_minimus","-92.266667","50.333333"
"Tamias_minimus","-132","64.333333"
"Tamias_minimus","-105.716667","54.716667"
"Tamias_minimus","-128.5","59.916667"
"Tamias_minimus","-90.483333","48.65"
"Tamias_minimus","-85.8","49.083333"
"Tamias_minimus","-101.266667","52.116667"
"Tamias_minimus","-125.733333","58.85"
"Tamias_minimus","-99.983333","51.133333"
"Tamias_minimus","-126.25","60.333333"
"Tamias_minimus","-136.383333","62.15"
"Tamias_minimus","-133.914167","60.243056"
"Tamias_minimus","-112.416667","59.116667"
"Tamias_minimus","-112.566667","52.583333"
"Tamias_minimus","-124.65","58.65"
"Tamias_minimus","-139","61.35"
"Tamias_minimus","-110.266667","54.366667"
"Tamias_minimus","-122.65","58.75"
"Tamias_minimus","-95.366667","49.2"
"Tamias_minimus","-115.35","51.083333"
"Tamias_minimus","-82.883333","47.616667"
"Tamias_minimus","-88.766667","48.433333"
"Tamias_minimus","-100.4","53.3"
"Tamias_minimus","-114.604722","52.383333"
"Tamias_minimus","-105.816667","54.433333"
"Tamias_minimus","-112.366667","58.55"
"Tamias_minimus","-113.016667","51.85"
"Tamias_minimus","-99.35","49.866667"
"Tamias_minimus","-138.733333","61.066667"
"Tamias_minimus","-137.5","60.75"
"Tamias_minimus","-117.533333","56.966667"
"Tamias_minimus","-85.416667","49.3"
"Tamias_minimus","-120.980936009629","56.2931827700137"
"Tamias_minimus","-121.916667","56.033333"
"Tamias_minimus","-117.6","56.183333"
"Tamias_minimus","-96.2751937567405","49.4582298397724"
"Tamias_minimus","-81.8","50.383333"
"Tamias_minimus","-128.383333","61.866667"
"Tamias_minimus","-112.833333","53.233333"
"Tamias_minimus","-84.416667","46.833333"
"Tamias_minimus","-85.066667","48.416667"
"Tamias_minimus","-123.916667","58.666667"
"Tamias_minimus","-118.983585026994","38.2242830085261"
"Tamias_minimus","-113.221934","44.369312"
"Tamias_minimus","-89.483602","46.206881"
"Tamias_minimus","-117.357287","47.922709"
"Tamias_minimus","-107.6667","38.0333"
"Tamias_minimus","-112.361809","42.697517"
"Tamias_minimus","-120.3058","46.7453"
"Tamias_minimus","-119.5757","47.6825"
"Tamias_minimus","-118.777462094325","42.7832866110133"
"Tamias_minimus","-118.705244854694","47.6428591151482"
"Tamias_minimus","-119.833416775887","46.6019463895244"
"Tamias_minimus","-117.538029","47.414636"
"Tamias_minimus","-119.808376972928","47.7626398085131"
"Tamias_minimus","-107.079357071976","44.1495783004322"
"Tamias_minimus","-120.230196865895","46.9964411565529"
"Tamias_minimus","-107.889306689946","37.5214640740073"
"Tamias_minimus","-107.682087710829","37.4524376742198"
"Tamias_minimus","-107.505586801101","44.7801010898207"
"Tamias_minimus","-105.622115","40.6551"
"Tamias_minimus","-103.598663421426","43.766581283396"
"Tamias_minimus","-136.7","60.8"
"Tamias_minimus","-127.5","59.966667"
"Tamias_minimus","-113.564137033784","43.4727203196505"
"Tamias_minimus","-118.764865472873","37.5361813111385"
"Tamias_minimus","-125.768101171375","59.1786759910542"
"Tamias_minimus","-111.450623688917","41.367809994567"
"Tamias_minimus","-107.711817492473","37.898813454557"
"Tamias_minimus","-113.31495245288","45.0036094934461"
"Tamias_minimus","-120.7294","45.8914"
"Tamias_minimus","-112.576949629148","39.3521039261923"
"Tamias_minimus","-119.820378304457","42.1482857867582"
"Tamias_minimus","-119.257585622383","37.9108154569151"
"Tamias_minimus","-109.521996354056","44.9607068214229"
"Tamias_minimus","-121.083694531947","46.9616333548324"
"Tamias_minimus","-118.860883000556","47.3330525060152"
"Tamias_minimus","-94.9441841570774","47.3721725201852"
"Tamias_minimus","-111.254728890034","39.6450576528241"
"Tamias_minimus","-119.053878229768","43.3688776954824"
"Tamias_minimus","-120.237180377948","46.8602076152671"
"Tamias_minimus","-113.368916034699","42.3062344964779"
"Tamias_minimus","-120.2325","40.348333"
"Tamias_minimus","-94.9228335894699","47.3866525782605"
"Tamias_minimus","-115.762876571503","40.6874191025904"
"Tamias_minimus","-106.142453776033","45.2900563244659"
"Tamias_minimus","-120.357150206613","46.9964399854104"
"Tamias_minimus","-120.505570136236","46.4861237785496"
"Tamias_minimus","-111.763498148828","35.2903760332693"
"Tamias_minimus","-109.465852662519","41.5283208932719"
"Tamias_minimus","-114.612","41.996"
"Tamias_minimus","-87.6659","46.32429"
"Tamias_minimus","-87.4778","46.61925"
"Tamias_minimus","-88.9378391463896","46.2824204887547"
"Tamias_minimus","-86.4895628571377","46.4277238610111"
"Tamias_minimus","-112.189156","36.733286"
"Tamias_minimus","-103.398941","46.923294"
"Tamias_minimus","-107.029832621882","38.9891408179297"
"Tamias_minimus","-106.144528","37.485825"
"Tamias_minimus","-119.855725","39.35358"
"Tamias_minimus","-114.033333","39.483334"
"Tamias_minimus","-139.313","63.0731"
"Tamias_minimus","-111.2","40.9"
"Tamias_minimus","-105.7","39.3"
"Tamias_minimus","-107","36.5"
"Tamias_minimus","-106.766781987618","36.023089100082"
"Tamias_minimus","-135.326389","60.877222"
"Tamias_minimus","-103.37685","43.761903"
"Tamias_minimus","-118.961874478086","43.2789794436047"
"Tamias_minimus","-103.763931","44.29694"
"Tamias_minimus","-111.745248","59.961585"
"Tamias_minimus","-108.500595","37.552876"
"Tamias_minimus","-107.933460791257","37.73831040219"
"Tamias_minimus","-108.3385","37.6906"
"Tamias_minimus","-105.5085","40.02872"
"Tamias_minimus","-108.1387","37.8307"
"Tamias_minimus","-108.658123","37.699579"
"Tamias_minimus","-108.722625","37.828583"
"Tamias_minimus","-108.06293505964","37.3971566567272"
"Tamias_minimus","-108.394643","37.479033"
"Tamias_minimus","-105.2874","40.4673"
"Tamias_minimus","-105.49516","40.08245"
"Tamias_minimus","-113.319812","41.952856"
"Tamias_minimus","-113.661192","37.880949"
"Tamias_minimus","-112.435627","37.807687"
"Tamias_minimus","-110.87022","40.72353"
"Tamias_minimus","-111.642522084547","39.9298503446853"
"Tamias_minimus","-112.169547","37.640372"
"Tamias_minimus","-109.274635935347","38.5199202503003"
"Tamias_minimus","-110.354063","39.802189"
"Tamias_minimus","-112.461318","38.235949"
"Tamias_minimus","-111.592361","38.560539"
"Tamias_minimus","-112.129404439233","39.9097274190245"
"Tamias_minimus","-111.087194","41.660875"
"Tamias_minimus","-112.828758","37.615438"
"Tamias_minimus","-105.58197","41.440151"
"Tamias_minimus","-105.532007","41.315576"
"Tamias_minimus","-110.732942","39.80184"
"Tamias_minimus","-111.359826","39.53098"
"Tamias_minimus","-105.374965","41.155872"
