"sp","decimallongitude","decimallatitude"
"Tympanuchus_phasianellus","-92.602687","47.189698"
"Tympanuchus_phasianellus","-101.90403","43.96465"
"Tympanuchus_phasianellus","-107.554964","49.232283"
"Tympanuchus_phasianellus","-104.090663","40.841922"
"Tympanuchus_phasianellus","-86.04077","46.352497"
"Tympanuchus_phasianellus","-86.112846","46.314807"
"Tympanuchus_phasianellus","-94.578568","48.951058"
"Tympanuchus_phasianellus","-92.8108","47.1669"
"Tympanuchus_phasianellus","-93.683166","48.579757"
"Tympanuchus_phasianellus","-104.56711","45.89151"
"Tympanuchus_phasianellus","-101.269913","44.647773"
"Tympanuchus_phasianellus","-96.76756","46.87386"
"Tympanuchus_phasianellus","-106.599569","52.173037"
"Tympanuchus_phasianellus","-117.291359","56.056781"
"Tympanuchus_phasianellus","-92.593563","47.520941"
"Tympanuchus_phasianellus","-84.297666","46.504816"
"Tympanuchus_phasianellus","-113.95097","49.47999"
"Tympanuchus_phasianellus","-109.637966","47.736649"
"Tympanuchus_phasianellus","-100.405182","48.344978"
"Tympanuchus_phasianellus","-111.909801","40.965285"
"Tympanuchus_phasianellus","-112.204056","40.956049"
"Tympanuchus_phasianellus","-112.141571","41.089185"
"Tympanuchus_phasianellus","-112.183333","47.816667"
"Tympanuchus_phasianellus","-99.006053","40.642876"
"Tympanuchus_phasianellus","-102.08183","43.791718"
"Tympanuchus_phasianellus","-101.545524","43.107839"
"Tympanuchus_phasianellus","-101.622333","48.590128"
"Tympanuchus_phasianellus","-104.698387","41.126771"
"Tympanuchus_phasianellus","-107.5752","40.4425"
"Tympanuchus_phasianellus","-92.59266","45.893105"
"Tympanuchus_phasianellus","-101.2426","47.5776"
"Tympanuchus_phasianellus","-111.482209","50.75955"
"Tympanuchus_phasianellus","-99.224052","48.572539"
"Tympanuchus_phasianellus","-99.414039","42.754812"
"Tympanuchus_phasianellus","-145.842","64.152611"
"Tympanuchus_phasianellus","-99.35164","42.388243"
"Tympanuchus_phasianellus","-100.057028","45.268686"
"Tympanuchus_phasianellus","-101.052911","41.71345"
"Tympanuchus_phasianellus","-107.286987","40.513799"
"Tympanuchus_phasianellus","-107.965779","50.118212"
"Tympanuchus_phasianellus","-114.105377","51.108696"
"Tympanuchus_phasianellus","-104.852249","49.08723"
"Tympanuchus_phasianellus","-112.87093","49.41999"
"Tympanuchus_phasianellus","-104.159","49.084"
"Tympanuchus_phasianellus","-119.68945","48.51308"
"Tympanuchus_phasianellus","-78.784772","53.740937"
"Tympanuchus_phasianellus","-77.710011","53.727516"
"Tympanuchus_phasianellus","-77.350488","52.768864"
"Tympanuchus_phasianellus","-99.936517","47.1259"
"Tympanuchus_phasianellus","-98.875666","47.31916"
"Tympanuchus_phasianellus","-145.8394","63.864057"
"Tympanuchus_phasianellus","-99.26627","47.449683"
"Tympanuchus_phasianellus","-98.850861","47.778098"
"Tympanuchus_phasianellus","-110.412083","44.8563"
"Tympanuchus_phasianellus","-84.37118","46.345848"
