"sp","decimallongitude","decimallatitude"
"Tyto_alba","-83.301601","40.713826"
"Tyto_alba","-119.674861","34.442738"
"Tyto_alba","-119.86055","34.42124"
"Tyto_alba","-120.195579","34.606932"
"Tyto_alba","-120.353056","34.045"
"Tyto_alba","-120.1025","33.905833"
"Tyto_alba","-119.788828","34.504417"
"Tyto_alba","-120.609648","34.856267"
"Tyto_alba","-119.581461","35.02585"
"Tyto_alba","-120.49154","34.94873"
"Tyto_alba","-120.456944","34.639167"
"Tyto_alba","-119.029444","33.4775"
"Tyto_alba","-120.02403","34.464527"
"Tyto_alba","-120.279136","34.736393"
"Tyto_alba","-119.51373","34.40082"
"Tyto_alba","-120.540683","34.785162"
"Tyto_alba","-120.040762","34.691817"
"Tyto_alba","-118.39983","37.61726"
"Tyto_alba","-118.9325","34.17671"
"Tyto_alba","-118.753059","34.044866"
"Tyto_alba","-119.157929","34.428611"
"Tyto_alba","-110.1409","31.547899"
"Tyto_alba","-118.20111","34.74216"
"Tyto_alba","-118.115556","34.579444"
"Tyto_alba","-118.395556","33.353333"
"Tyto_alba","-121.021821","36.121056"
"Tyto_alba","-123.05693","38.30307"
"Tyto_alba","-120.257837","35.707695"
"Tyto_alba","-120.556691","35.387995"
"Tyto_alba","-120.64496","35.2614"
"Tyto_alba","-120.645332","35.915417"
"Tyto_alba","-119.8456","35.32804"
"Tyto_alba","-117.091544","33.642111"
"Tyto_alba","-121.504841","36.932193"
"Tyto_alba","-121.846405","37.26778"
"Tyto_alba","-117.057778","33.184167"
"Tyto_alba","-117.306512","33.226134"
"Tyto_alba","-112.186714","41.08841"
"Tyto_alba","-122.874055","42.440537"
"Tyto_alba","-82.184858","36.504876"
"Tyto_alba","-123.250122","43.576411"
"Tyto_alba","-122.211571","38.197596"
"Tyto_alba","-122.153527","47.704806"
"Tyto_alba","-88.553925","32.803075"
"Tyto_alba","-93.698562","29.762692"
"Tyto_alba","-124.119286","40.898106"
"Tyto_alba","-111.769667","40.32816"
"Tyto_alba","-122.673114","38.617981"
"Tyto_alba","-122.443528","37.472883"
"Tyto_alba","-115.399062","33.717232"
"Tyto_alba","-117.593868","33.608715"
"Tyto_alba","-121.703904","38.494158"
"Tyto_alba","-74.915147","38.938467"
"Tyto_alba","-104.140885","32.380016"
"Tyto_alba","-117.96936","33.668053"
"Tyto_alba","-122.750931","45.687955"
"Tyto_alba","-119.522069","33.263066"
"Tyto_alba","-94.513391","17.981328"
"Tyto_alba","-121.612207","37.987863"
"Tyto_alba","-99.11221","26.51644"
"Tyto_alba","-92.812","29.687"
"Tyto_alba","-98.711815","38.449825"
"Tyto_alba","-119.637766","37.476834"
