"sp","decimallongitude","decimallatitude"
"Zapus_princeps","-105.658735","35.804356"
"Zapus_princeps","-106.563171","51.851139"
"Zapus_princeps","-111.190936","44.147118"
"Zapus_princeps","-115.119855","44.512611"
"Zapus_princeps","-113.96019919975","46.8280953554686"
"Zapus_princeps","-106.304365","39.853127"
"Zapus_princeps","-114.191518","48.870047"
"Zapus_princeps","-114.880975672949","51.0381211182937"
"Zapus_princeps","-115.16","50.79"
"Zapus_princeps","-105.796064979134","35.7604963536567"
"Zapus_princeps","-106.379009","36.60641"
"Zapus_princeps","-105.486183589143","36.6024797264298"
"Zapus_princeps","-114.560257","46.637452"
"Zapus_princeps","-115.4315","46.636342"
"Zapus_princeps","-118.079251","52.879271"
"Zapus_princeps","-119.336111","49.038611"
"Zapus_princeps","-124.045","52.338611"
"Zapus_princeps","-108.583415","49.613998"
"Zapus_princeps","-118.436976","52.128689"
"Zapus_princeps","-119.230003","50.223464"
"Zapus_princeps","-120.066111","51.841944"
"Zapus_princeps","-120.95873","49.320419"
"Zapus_princeps","-128.009722","52.753056"
"Zapus_princeps","-117.258056","52.041111"
"Zapus_princeps","-116.299175","50.50862"
"Zapus_princeps","-116.486577","51.395635"
"Zapus_princeps","-115.983333","51.033333"
"Zapus_princeps","-106.98917","38.95917"
"Zapus_princeps","-97.2092","44.5805"
"Zapus_princeps","-106.2608","38.7819"
"Zapus_princeps","-116.4487","47.4438"
"Zapus_princeps","-122.56861","44.14611"
"Zapus_princeps","-118.720833","36.604722"
"Zapus_princeps","-105.2089","36.554707"
"Zapus_princeps","-105.725556","39.696944"
"Zapus_princeps","-115.255088010906","41.0187278912284"
"Zapus_princeps","-117.484893","41.738485"
"Zapus_princeps","-133.783333","59.75"
"Zapus_princeps","-128.55","54.366667"
"Zapus_princeps","-122.166667","54.283333"
"Zapus_princeps","-122.983333","54.083333"
"Zapus_princeps","-125.75","54.05"
"Zapus_princeps","-124.15","53.916667"
"Zapus_princeps","-121.383333","53.233333"
"Zapus_princeps","-122.266667","53.033333"
"Zapus_princeps","-112.833333","53.016667"
"Zapus_princeps","-122.6","53.016667"
"Zapus_princeps","-108.309232599964","52.6636312975482"
"Zapus_princeps","-114.15","52.066667"
"Zapus_princeps","-117.983333","51.35"
"Zapus_princeps","-116.25","51.5"
"Zapus_princeps","-105.45","51.45"
"Zapus_princeps","-117.516667","51.266667"
"Zapus_princeps","-115.566667","51.15"
"Zapus_princeps","-122.6","51.1"
"Zapus_princeps","-118.066667","51.1"
"Zapus_princeps","-115.9","51.083333"
"Zapus_princeps","-115.133333","51.066667"
"Zapus_princeps","-113.866667","50.883333"
"Zapus_princeps","-116.05","50.883333"
"Zapus_princeps","-114.4","50.85"
"Zapus_princeps","-103.666667","50.533333"
"Zapus_princeps","-114.35","50.233333"
"Zapus_princeps","-99.6","49.716667"
"Zapus_princeps","-109.516667","49.666667"
"Zapus_princeps","-100.316667","49.233333"
"Zapus_princeps","-114.083333","49.183333"
"Zapus_princeps","-120.783333","49.066667"
"Zapus_princeps","-113.9","49.05"
"Zapus_princeps","-110.16667","41.06667"
"Zapus_princeps","-113.866667","40.583333"
"Zapus_princeps","-123.348950476392","40.6991168158558"
"Zapus_princeps","-120.285487","39.46031"
"Zapus_princeps","-120.161173579307","39.1345016422927"
"Zapus_princeps","-105.197225144549","37.4836295089992"
"Zapus_princeps","-119.916850482313","39.3364697999364"
"Zapus_princeps","-114.216505208818","46.7586935638039"
"Zapus_princeps","-106.524187546266","52.872087328248"
"Zapus_princeps","-111.106579390679","44.1294320909759"
"Zapus_princeps","-109.86481","43.3157"
"Zapus_princeps","-113.68142575089","48.7968949521624"
"Zapus_princeps","-117.828291643985","46.0558667546297"
"Zapus_princeps","-133.842996719991","58.5171609905689"
"Zapus_princeps","-118.409376012421","44.2480745569694"
"Zapus_princeps","-120.427729974094","44.3961557127135"
"Zapus_princeps","-117.367665580848","45.2555754744802"
"Zapus_princeps","-118.751815345065","41.7084206411461"
"Zapus_princeps","-118.33187946339","44.5778723954886"
"Zapus_princeps","-114.135794802534","46.2654961305604"
"Zapus_princeps","-111.550153","42.399673"
"Zapus_princeps","-119.983333","38.75"
"Zapus_princeps","-113.659898713341","42.308382353419"
"Zapus_princeps","-111.1533732685","43.5719366723927"
"Zapus_princeps","-114.858977895328","43.9151063332975"
"Zapus_princeps","-113.70395053184","44.156713023618"
"Zapus_princeps","-114.493275758549","44.4269047764483"
"Zapus_princeps","-120.306590867689","42.1886811212108"
"Zapus_princeps","-116.411222452652","39.8810373694777"
"Zapus_princeps","-121.267750407821","53.2664458829873"
"Zapus_princeps","-122.90632148973","41.9977319302863"
"Zapus_princeps","-123.544293457056","41.9315991028328"
"Zapus_princeps","-116.047318323303","41.7769612054068"
"Zapus_princeps","-119.898553752952","39.1637851966535"
"Zapus_princeps","-106.49836841796","38.0829836256845"
"Zapus_princeps","-107.75195","37.214989"
"Zapus_princeps","-119.884213790594","49.3997412262131"
"Zapus_princeps","-117.917553713694","49.1497591410675"
"Zapus_princeps","-123.524311344158","40.489778780871"
"Zapus_princeps","-123.412523653832","40.4161230240959"
"Zapus_princeps","-116.993836588347","44.0780878706865"
"Zapus_princeps","-115.728889","47.516389"
"Zapus_princeps","-115.565907954758","44.6539945763026"
"Zapus_princeps","-115.908345789877","46.3963812952359"
"Zapus_princeps","-115.23639471156","44.3655994863799"
"Zapus_princeps","-116.725199474163","48.1078697773596"
"Zapus_princeps","-116.86773","44.76624"
"Zapus_princeps","-116.310001666839","48.8197731019008"
"Zapus_princeps","-119.234283887908","53.0330642867799"
"Zapus_princeps","-117.220670686966","38.9498580883195"
"Zapus_princeps","-111.3258007566","41.3986604173857"
"Zapus_princeps","-112.22","42.64"
"Zapus_princeps","-116.549142725736","45.1875827432395"
"Zapus_princeps","-116.637443441318","45.0881827016532"
"Zapus_princeps","-117.163173085063","39.2554128077103"
"Zapus_princeps","-113.338740212746","41.920129511145"
"Zapus_princeps","-115.110643056246","40.9198404345321"
"Zapus_princeps","-115.431773889998","41.8734346334085"
"Zapus_princeps","-115.65998","40.0992"
"Zapus_princeps","-122.167770329706","53.0497348339444"
"Zapus_princeps","-120.268344017868","41.3347694181876"
"Zapus_princeps","-121.394590927672","40.4440279838236"
"Zapus_princeps","-121.560927607271","40.3579250241869"
"Zapus_princeps","-118.816811713323","37.6208970686312"
"Zapus_princeps","-127.668010071287","55.5821983519461"
"Zapus_princeps","-127.667997833234","55.2496945070223"
"Zapus_princeps","-122.194554325556","41.4089097707286"
"Zapus_princeps","-127.4970966941","55.3496976725089"
"Zapus_princeps","-120.074201150503","38.8786512829155"
"Zapus_princeps","-119.828311002247","38.7754212712799"
"Zapus_princeps","-131.184805557315","57.916386700708"
"Zapus_princeps","-131.384807344267","57.8329828026912"
"Zapus_princeps","-118.758106124372","36.5796801491748"
"Zapus_princeps","-122.483333","42.75"
"Zapus_princeps","-118.911245074065","36.7860811579912"
"Zapus_princeps","-120.63597863489","38.7485563302448"
"Zapus_princeps","-119.159004553841","37.9314037805616"
"Zapus_princeps","-119.388232635259","37.743207039441"
"Zapus_princeps","-119.84007827691","37.7487224155195"
"Zapus_princeps","-119.588751416327","37.668416110925"
"Zapus_princeps","-119.395689481399","37.8792730608426"
"Zapus_princeps","-119.50089152201","37.8444729898525"
"Zapus_princeps","-118.132301","36.25424"
"Zapus_princeps","-118.40468","36.76795"
"Zapus_princeps","-118.353763","36.551662"
"Zapus_princeps","-120.279417","41.141017"
"Zapus_princeps","-117.754089370571","46.039167479896"
"Zapus_princeps","-120.295549380898","41.4494314987839"
"Zapus_princeps","-122.853310677894","40.0074480472906"
"Zapus_princeps","-112.52837","46.24466"
"Zapus_princeps","-110.84418","44.12644"
"Zapus_princeps","-111.20983","46.50065"
"Zapus_princeps","-99.9367057764551","48.8405828581987"
"Zapus_princeps","-99.8912995312047","48.3897825064102"
"Zapus_princeps","-120.945532081902","39.8662077325908"
"Zapus_princeps","-110.99","40.6067"
"Zapus_princeps","-118.302354532287","36.2295628980781"
"Zapus_princeps","-121.157511438958","39.5330140160531"
"Zapus_princeps","-122.74748456711","41.2273536726121"
"Zapus_princeps","-122.93239","40.744157"
"Zapus_princeps","-122.964002484389","41.1524549225842"
"Zapus_princeps","-123.158341104241","41.0283831571208"
"Zapus_princeps","-122.905","41.2108999990648"
"Zapus_princeps","-110.587096105383","44.9472496314437"
"Zapus_princeps","-110.466420354487","44.773701642404"
"Zapus_princeps","-110.768782374815","45.0328278056869"
"Zapus_princeps","-110.245408776535","44.9653298743997"
"Zapus_princeps","-115.733","48.8933"
"Zapus_princeps","-115.94538057533","48.2628763034764"
"Zapus_princeps","-115.769086504128","48.8308777321453"
"Zapus_princeps","-122.844932417522","39.7273091902462"
"Zapus_princeps","-119.652460274151","38.2607930481665"
"Zapus_princeps","-120.209708240168","41.9766697856917"
"Zapus_princeps","-122.35","41.283333"
"Zapus_princeps","-121.229168527419","40.2017894913582"
"Zapus_princeps","-115.406477092594","40.6501223433771"
"Zapus_princeps","-115.217107924515","41.8403866940725"
"Zapus_princeps","-105.515282","36.145062"
"Zapus_princeps","-105.822878999449","36.0584272597484"
"Zapus_princeps","-106.500261118866","36.993520865277"
"Zapus_princeps","-120.382862","39.465885"
"Zapus_princeps","-123.859324019184","41.1333202334071"
"Zapus_princeps","-119.074396760365","37.6195061337743"
"Zapus_princeps","-120.899193477252","39.901241495191"
"Zapus_princeps","-120.166993174913","41.4437836642181"
"Zapus_princeps","-120.382630229225","41.7642812494307"
"Zapus_princeps","-122.987604337592","40.1812988103038"
"Zapus_princeps","-119.347314578584","38.379752994659"
"Zapus_princeps","-121.145914350084","40.0464298831772"
"Zapus_princeps","-109.972959813364","45.0164334093478"
"Zapus_princeps","-112.864146348037","45.4229102209368"
"Zapus_princeps","-108.44191","45.13651"
"Zapus_princeps","-119.269785860926","38.4682258042756"
"Zapus_princeps","-101.504549247779","48.2961745824979"
"Zapus_princeps","-101.360343982436","48.2298752775151"
"Zapus_princeps","-101.295541667766","48.2043755923057"
"Zapus_princeps","-107.18006","38.8401"
"Zapus_princeps","-110.522500368861","43.9084479904278"
"Zapus_princeps","-101.643653443682","48.2823738671525"
"Zapus_princeps","-98.9208655157945","48.0567867422908"
"Zapus_princeps","-97.3002130187191","47.9165935450458"
"Zapus_princeps","-97.9507253141355","47.0007917216779"
"Zapus_princeps","-97.6002136911415","46.9165633125129"
"Zapus_princeps","-97.3673064618777","46.9174942459225"
"Zapus_princeps","-110.85771950104","44.6448698382295"
"Zapus_princeps","-111.140061894409","40.1860195263067"
"Zapus_princeps","-106","40.45"
"Zapus_princeps","-106.85","40.716667"
"Zapus_princeps","-106.966667","38.516667"
"Zapus_princeps","-106.250633547653","36.124709495028"
"Zapus_princeps","-110.235565548042","44.8953924041061"
"Zapus_princeps","-115.55425973154","40.5648425728847"
"Zapus_princeps","-105.231770808608","39.8910165775307"
"Zapus_princeps","-109.398844370823","45.0729369332596"
"Zapus_princeps","-119.069251286737","37.6729880111033"
"Zapus_princeps","-105.835630733432","35.7266649493241"
"Zapus_princeps","-106.32229","36.8858"
"Zapus_princeps","-111.040197367822","45.5539227856758"
"Zapus_princeps","-115.067499067666","51.845624024877"
"Zapus_princeps","-106.329260108929","36.5610882163351"
"Zapus_princeps","-105.48164496949","36.1583817258027"
"Zapus_princeps","-111.712781115706","40.5625498570894"
"Zapus_princeps","-105.465280650799","36.1717815036201"
"Zapus_princeps","-105.525877268805","36.5582904975789"
"Zapus_princeps","-105.5085","40.02872"
"Zapus_princeps","-105.346669490135","35.9015203481252"
"Zapus_princeps","-105.235441","36.238424"
"Zapus_princeps","-105.863743883268","42.4336417357046"
"Zapus_princeps","-114.3732","43.7883"
"Zapus_princeps","-114.2823","42.2009"
"Zapus_princeps","-107.2892","44.0510999990572"
"Zapus_princeps","-113.0364","45.2787999990568"
"Zapus_princeps","-113.364","45.2787999990568"
"Zapus_princeps","-118.98556","37.52"
"Zapus_princeps","-118.59389","36.45083"
"Zapus_princeps","-122.3964","42.988799999059"
"Zapus_princeps","-105.447065034021","40.6862783500714"
"Zapus_princeps","-105.604175","40.921666"
"Zapus_princeps","-105.855532","40.673484"
"Zapus_princeps","-111.70389","40.44368"
"Zapus_princeps","-110.776996","41.866954"
"Zapus_princeps","-107.312613","38.530798"
"Zapus_princeps","-105.445313","37.829055"
"Zapus_princeps","-105.521771","37.932841"
"Zapus_princeps","-108.212207","37.406491"
"Zapus_princeps","-110.580795","42.85692"
"Zapus_princeps","-106.074972","42.483183"
"Zapus_princeps","-106.86806","41.29736"
"Zapus_princeps","-107.628497","40.458694"
"Zapus_princeps","-106.550119","39.964253"
"Zapus_princeps","-108.585217","39.671616"
"Zapus_princeps","-107.734087","38.284306"
"Zapus_princeps","-106.96457","40.288954"
"Zapus_princeps","-106.945595","40.812279"
"Zapus_princeps","-106.964755","40.841283"
"Zapus_princeps","-108.167052","39.822043"
"Zapus_princeps","-108.247378","39.838825"
"Zapus_princeps","-107.154437","41.454438"
"Zapus_princeps","-107.125109","40.439264"
"Zapus_princeps","-107.258544","40.819619"
"Zapus_princeps","-114.483747","43.637224"
"Zapus_princeps","-105.727426","39.763767"
"Zapus_princeps","-107.907653","39.737748"
"Zapus_princeps","-108.803157","39.611971"
"Zapus_princeps","-111.240399","45.223908"
"Zapus_princeps","-107.923941","39.610741"
"Zapus_princeps","-108.020747","39.679752"
"Zapus_princeps","-107.193105","41.454315"
