"sp","decimallongitude","decimallatitude"
"Zonotrichia_albicollis",-91.907501,43.173824
"Zonotrichia_albicollis",-123.830506,40.250864
"Zonotrichia_albicollis",-85.296165,35.053047
"Zonotrichia_albicollis",-80.017222,44.9875
"Zonotrichia_albicollis",-87.453027,38.739481
"Zonotrichia_albicollis",-91.143737,36.069217
"Zonotrichia_albicollis",-96.413142,39.470714
"Zonotrichia_albicollis",-122.493478,53.086353
"Zonotrichia_albicollis",-90.414319,46.50377
"Zonotrichia_albicollis",-123.584058,58.781019
"Zonotrichia_albicollis",-92.865758,39.731548
"Zonotrichia_albicollis",-86.055994,43.295075
"Zonotrichia_albicollis",-65.907669,44.512651
"Zonotrichia_albicollis",-73.116074,41.43552
"Zonotrichia_albicollis",-86.37284,48.718305
"Zonotrichia_albicollis",-65.627518,48.941896
"Zonotrichia_albicollis",-55.62258,48.96338
"Zonotrichia_albicollis",-91.427894,37.751256
"Zonotrichia_albicollis",-90.881309,41.46849
"Zonotrichia_albicollis",-93.77272,42.42178
"Zonotrichia_albicollis",-89.6654,38.4947
"Zonotrichia_albicollis",-80.097542,41.604918
"Zonotrichia_albicollis",-83.682148,32.915765
"Zonotrichia_albicollis",-90.776596,46.039554
"Zonotrichia_albicollis",-99.609407,47.457696
"Zonotrichia_albicollis",-89.812,30.937
"Zonotrichia_albicollis",-88.007772,48.725573
"Zonotrichia_albicollis",-83.727139,45.947831
"Zonotrichia_albicollis",-77.092051,39.367947
"Zonotrichia_albicollis",-79.938564,32.659039
"Zonotrichia_albicollis",-101.037998,41.852174
"Zonotrichia_albicollis",-103.96616,46.93702
"Zonotrichia_albicollis",-83.042371,35.275256
"Zonotrichia_albicollis",-116.494904,62.379892
"Zonotrichia_albicollis",-107.611084,32.18433
"Zonotrichia_albicollis",-97.101306,32.588126
"Zonotrichia_albicollis",-120.64018,37.960094
"Zonotrichia_albicollis",-83.230059,35.376481
"Zonotrichia_albicollis",-98.110828,49.202289
"Zonotrichia_albicollis",-96.493607,36.113887
"Zonotrichia_albicollis",-112.850991,56.471499
"Zonotrichia_albicollis",-82.985473,37.231559
"Zonotrichia_albicollis",-88.417104,47.29017
"Zonotrichia_albicollis",-74.702179,43.100588
"Zonotrichia_albicollis",-79.997249,44.694224
"Zonotrichia_albicollis",-73.518147,46.333321
"Zonotrichia_albicollis",-97.46096,41.85856
"Zonotrichia_albicollis",-99,52.530099
"Zonotrichia_albicollis",-84.784412,50.149846
"Zonotrichia_albicollis",-88.572769,30.329041
"Zonotrichia_albicollis",-91.954493,31.252049
"Zonotrichia_albicollis",-80.842895,43.559019
"Zonotrichia_albicollis",-114.318194,62.520517
"Zonotrichia_albicollis",-90.722265,34.755894
"Zonotrichia_albicollis",-79.8985,40.445276
"Zonotrichia_albicollis",-82.169849,50.033123
"Zonotrichia_albicollis",-88.092155,49.634842
"Zonotrichia_albicollis",-77.103985,36.233332
"Zonotrichia_albicollis",-57.976227,49.466785
"Zonotrichia_albicollis",-95.41064,38.913593
"Zonotrichia_albicollis",-98.511422,38.912775
