"sp","decimallongitude","decimallatitude"
"Zonotrichia_leucophrys",-114.550409,36.423734
"Zonotrichia_leucophrys",-124.1,43.166667
"Zonotrichia_leucophrys",-110.922646,39.26655
"Zonotrichia_leucophrys",-93.980566,35.609666
"Zonotrichia_leucophrys",-82.275655,45.66297
"Zonotrichia_leucophrys",-118.406696,32.855797
"Zonotrichia_leucophrys",-120.485687,45.676802
"Zonotrichia_leucophrys",-114.019732,43.260546
"Zonotrichia_leucophrys",-95.388855,35.75364
"Zonotrichia_leucophrys",-88.462644,43.803655
"Zonotrichia_leucophrys",-95.854238,40.871424
"Zonotrichia_leucophrys",-92.962961,38.222184
"Zonotrichia_leucophrys",-152.7,68.3167
"Zonotrichia_leucophrys",-117.857809,34.413637
"Zonotrichia_leucophrys",-95.5495,40.2799
"Zonotrichia_leucophrys",-119.986844,34.587534
"Zonotrichia_leucophrys",-114.785467,39.80375
"Zonotrichia_leucophrys",-94.23161,35.43039
"Zonotrichia_leucophrys",-88.167214,42.909126
"Zonotrichia_leucophrys",-156.948645,58.752109
"Zonotrichia_leucophrys",-149.613876,59.643111
"Zonotrichia_leucophrys",-121.930625,36.626541
"Zonotrichia_leucophrys",-114.267254,37.910346
"Zonotrichia_leucophrys",-70.503302,43.354229
"Zonotrichia_leucophrys",-78.487401,35.93394
"Zonotrichia_leucophrys",-117.982326,35.134686
"Zonotrichia_leucophrys",-163.67054,64.568351
"Zonotrichia_leucophrys",-114.226532,36.725356
"Zonotrichia_leucophrys",-100.81418,37.02533
"Zonotrichia_leucophrys",-104.391972,36.982638
"Zonotrichia_leucophrys",-83.17427,54.45811
"Zonotrichia_leucophrys",-116.578099,43.313067
"Zonotrichia_leucophrys",-124.112549,51.388602
"Zonotrichia_leucophrys",-85.902089,55.131724
"Zonotrichia_leucophrys",-74.690288,43.673236
"Zonotrichia_leucophrys",-119.918901,49.872956
"Zonotrichia_leucophrys",-115.991478,55.497495
"Zonotrichia_leucophrys",-95.998783,41.836404
